Stunden,Neutor (gesamt),FR stadteinwärts,FR stadtauswärts,Temperatur (°C),Windstärke (km/h),Wetter
1/1/2016 0:00,137,49,88,3,9,Klarer Himmel
1/1/2016 1:00,178,97,81,3,7,Klarer Himmel
1/1/2016 2:00,243,115,128,3,9,Klarer Himmel
1/1/2016 3:00,256,101,155,3,9,teilweise bewölkt
1/1/2016 4:00,205,68,137,2,6,wolkig
1/1/2016 5:00,125,36,89,3,6,Regen
1/1/2016 6:00,49,11,38,3,7,
1/1/2016 7:00,46,21,25,2,4,
1/1/2016 8:00,22,10,12,0,2,Nebel
1/1/2016 9:00,25,20,5,1,4,wolkig
1/1/2016 10:00,40,24,16,4,6,Nebel
1/1/2016 11:00,75,44,31,5,6,wolkig
1/1/2016 12:00,126,86,40,6,4,wolkig
1/1/2016 13:00,145,65,80,7,4,wolkig
1/1/2016 14:00,173,94,79,7,4,wolkig
1/1/2016 15:00,216,119,97,6,4,Nebel
1/1/2016 16:00,179,100,79,6,6,Nebel
1/1/2016 17:00,138,72,66,5,4,Nebel
1/1/2016 18:00,163,89,74,4,4,Nebel
1/1/2016 19:00,96,53,43,5,7,
1/1/2016 20:00,83,30,53,4,9,wolkig
1/1/2016 21:00,55,25,30,4,9,wolkig
1/1/2016 22:00,77,24,53,4,9,Klarer Himmel
1/1/2016 23:00,33,7,26,4,7,Klarer Himmel
1/2/2016 0:00,34,18,16,4,9,teilweise bewölkt
1/2/2016 1:00,18,5,13,5,9,wolkig
1/2/2016 2:00,8,5,3,4,11,Klarer Himmel
1/2/2016 3:00,5,2,3,4,13,Klarer Himmel
1/2/2016 4:00,6,5,1,4,13,Klarer Himmel
1/2/2016 5:00,21,12,9,4,17,Klarer Himmel
1/2/2016 6:00,35,20,15,4,17,Klarer Himmel
1/2/2016 7:00,44,34,10,4,13,Klarer Himmel
1/2/2016 8:00,79,43,36,4,15,Klarer Himmel
1/2/2016 9:00,130,97,33,4,15,wolkig
1/2/2016 10:00,195,131,64,4,15,Regen
1/2/2016 11:00,201,133,68,3,15,wolkig
1/2/2016 12:00,214,107,107,3,15,Regen
1/2/2016 13:00,215,120,95,3,15,Regen
1/2/2016 14:00,252,151,101,3,13,wolkig
1/2/2016 15:00,248,134,114,3,13,Regen
1/2/2016 16:00,235,119,116,3,15,Regen
1/2/2016 17:00,216,91,125,3,13,Regen
1/2/2016 18:00,177,83,94,2,17,Regen
1/2/2016 19:00,175,77,98,2,13,Regen
1/2/2016 20:00,148,79,69,2,13,wolkig
1/2/2016 21:00,95,45,50,2,15,wolkig
1/2/2016 22:00,68,29,39,2,13,wolkig
1/2/2016 23:00,83,51,32,2,13,wolkig
1/3/2016 0:00,73,37,36,2,13,wolkig
1/3/2016 1:00,53,16,37,2,11,teilweise bewölkt
1/3/2016 2:00,33,9,24,2,15,wolkig
1/3/2016 3:00,33,4,29,2,11,Regen
1/3/2016 4:00,16,6,10,3,15,wolkig
1/3/2016 5:00,15,6,9,3,15,wolkig
1/3/2016 6:00,18,6,12,2,17,Regen
1/3/2016 7:00,19,10,9,2,13,Regen
1/3/2016 8:00,34,23,11,2,17,Regen
1/3/2016 9:00,40,31,9,2,15,Regen
1/3/2016 10:00,88,50,38,2,15,Regen
1/3/2016 11:00,69,43,26,3,11,Regen
1/3/2016 12:00,80,40,40,3,13,Regen
1/3/2016 13:00,111,60,51,3,11,Regen
1/3/2016 14:00,133,74,59,3,9,Regen
1/3/2016 15:00,139,78,61,3,13,wolkig
1/3/2016 16:00,147,78,69,3,11,wolkig
1/3/2016 17:00,170,96,74,3,13,teilweise bewölkt
1/3/2016 18:00,201,114,87,3,11,teilweise bewölkt
1/3/2016 19:00,170,74,96,2,11,wolkig
1/3/2016 20:00,118,59,59,2,15,wolkig
1/3/2016 21:00,65,32,33,2,15,wolkig
1/3/2016 22:00,77,31,46,2,17,wolkig
1/3/2016 23:00,72,27,45,2,15,wolkig
1/4/2016 0:00,42,14,28,2,15,Regen
1/4/2016 1:00,19,5,14,2,15,Schnee
1/4/2016 2:00,9,2,7,1,13,Schnee
1/4/2016 3:00,6,3,3,1,13,Schnee
1/4/2016 4:00,14,10,4,1,13,Regen
1/4/2016 5:00,40,31,9,1,13,Schnee
1/4/2016 6:00,100,75,25,1,11,Schnee
1/4/2016 7:00,304,195,109,1,13,Schnee
1/4/2016 8:00,394,237,157,1,9,Schnee
1/4/2016 9:00,322,194,128,0,9,Schnee
1/4/2016 10:00,210,124,86,0,9,Schnee
1/4/2016 11:00,226,129,97,0,7,Schnee
1/4/2016 12:00,271,142,129,0,9,Schnee
1/4/2016 13:00,287,159,128,0,7,Schnee
1/4/2016 14:00,342,184,158,0,7,wolkig
1/4/2016 15:00,361,179,182,1,6,Schnee
1/4/2016 16:00,481,255,226,0,7,wolkig
1/4/2016 17:00,497,274,223,-1,9,wolkig
1/4/2016 18:00,474,238,236,-1,11,wolkig
1/4/2016 19:00,374,180,194,-1,9,Regen
1/4/2016 20:00,256,124,132,-1,6,Regen
1/4/2016 21:00,144,45,99,-1,6,Schneeregen
1/4/2016 22:00,128,59,69,0,4,wolkig
1/4/2016 23:00,113,35,78,0,6,Schnee
1/5/2016 0:00,60,20,40,0,4,Schnee
1/5/2016 1:00,35,15,20,1,6,wolkig
1/5/2016 2:00,34,16,18,1,4,wolkig
1/5/2016 3:00,21,8,13,1,4,wolkig
1/5/2016 4:00,19,16,3,1,4,wolkig
1/5/2016 5:00,45,31,14,,,
1/5/2016 6:00,115,75,40,,,
1/5/2016 7:00,300,187,113,,,
1/5/2016 8:00,537,340,197,3,4,wolkig
1/5/2016 9:00,479,297,182,3,7,wolkig
1/5/2016 10:00,408,242,166,4,6,wolkig
1/5/2016 11:00,404,248,156,4,7,wolkig
1/5/2016 12:00,481,265,216,5,7,wolkig
1/5/2016 13:00,499,268,231,5,7,wolkig
1/5/2016 14:00,574,328,246,4,7,wolkig
1/5/2016 15:00,575,297,278,2,11,wolkig
1/5/2016 16:00,697,334,363,1,13,wolkig
1/5/2016 17:00,754,379,375,0,11,wolkig
1/5/2016 18:00,605,309,296,0,9,wolkig
1/5/2016 19:00,505,234,271,-1,13,Schneeregen
1/5/2016 20:00,334,169,165,-1,13,wolkig
1/5/2016 21:00,191,79,112,-1,11,wolkig
1/5/2016 22:00,200,85,115,-2,13,wolkig
1/5/2016 23:00,145,46,99,-2,11,wolkig
1/6/2016 0:00,88,33,55,-2,15,wolkig
1/6/2016 1:00,42,11,31,-2,13,wolkig
1/6/2016 2:00,16,6,10,-2,9,Schneeregen
1/6/2016 3:00,14,3,11,-2,11,wolkig
1/6/2016 4:00,20,11,9,-2,11,wolkig
1/6/2016 5:00,50,38,12,-2,13,wolkig
1/6/2016 6:00,127,95,32,-2,13,Schneeregen
1/6/2016 7:00,411,253,158,-2,11,Schneeregen
1/6/2016 8:00,560,310,250,-2,11,Schneeregen
1/6/2016 9:00,514,325,189,-2,11,Schneeregen
1/6/2016 10:00,469,291,178,-2,11,Schneeregen
1/6/2016 11:00,385,204,181,-2,11,Schneeregen
1/6/2016 12:00,513,272,241,-2,11,Schneeregen
1/6/2016 13:00,528,261,267,-2,11,wolkig
1/6/2016 14:00,532,281,251,-2,15,wolkig
1/6/2016 15:00,616,352,264,-2,9,wolkig
1/6/2016 16:00,705,374,331,-2,9,wolkig
1/6/2016 17:00,723,381,342,-2,7,wolkig
1/6/2016 18:00,671,351,320,-2,9,wolkig
1/6/2016 19:00,554,299,255,-2,6,wolkig
1/6/2016 20:00,416,221,195,-2,7,wolkig
1/6/2016 21:00,280,127,153,-2,7,wolkig
1/6/2016 22:00,241,85,156,-2,6,wolkig
1/6/2016 23:00,163,46,117,-1,6,wolkig
1/7/2016 0:00,95,30,65,-1,6,wolkig
1/7/2016 1:00,58,19,39,-1,6,wolkig
1/7/2016 2:00,29,12,17,0,2,wolkig
1/7/2016 3:00,17,2,15,0,4,wolkig
1/7/2016 4:00,24,11,13,0,6,wolkig
1/7/2016 5:00,55,33,22,1,6,wolkig
1/7/2016 6:00,114,92,22,1,7,wolkig
1/7/2016 7:00,680,417,263,2,11,Nebel
1/7/2016 8:00,885,488,397,2,7,Nebel
1/7/2016 9:00,842,465,377,3,13,Nebel
1/7/2016 10:00,753,448,305,3,9,
1/7/2016 11:00,895,483,412,5,9,
1/7/2016 12:00,828,455,373,5,9,Klarer Himmel
1/7/2016 13:00,982,487,495,6,9,Klarer Himmel
1/7/2016 14:00,867,453,414,6,17,Klarer Himmel
1/7/2016 15:00,1091,585,506,6,15,wolkig
1/7/2016 16:00,964,484,480,5,17,Regen
1/7/2016 17:00,795,390,405,5,15,Regen
1/7/2016 18:00,677,308,369,5,24,Regen
1/7/2016 19:00,615,289,326,5,20,Regen
1/7/2016 20:00,346,154,192,5,19,Regen
1/7/2016 21:00,257,126,131,7,43,Regen
1/7/2016 22:00,190,82,108,6,35,Regen
1/7/2016 23:00,138,53,85,6,28,teilweise bewölkt
1/8/2016 0:00,76,27,49,6,30,teilweise bewölkt
1/8/2016 1:00,35,14,21,5,32,teilweise bewölkt
1/8/2016 2:00,15,4,11,5,28,wolkig
1/8/2016 3:00,14,3,11,5,33,Klarer Himmel
1/8/2016 4:00,15,9,6,5,32,Klarer Himmel
1/8/2016 5:00,36,27,9,5,32,Klarer Himmel
1/8/2016 6:00,126,93,33,5,32,Klarer Himmel
1/8/2016 7:00,608,385,223,5,28,teilweise bewölkt
1/8/2016 8:00,869,460,409,4,28,teilweise bewölkt
1/8/2016 9:00,730,416,314,4,26,teilweise bewölkt
1/8/2016 10:00,730,471,259,5,28,teilweise bewölkt
1/8/2016 11:00,787,445,342,6,26,teilweise bewölkt
1/8/2016 12:00,801,455,346,7,24,teilweise bewölkt
1/8/2016 13:00,906,510,396,7,24,teilweise bewölkt
1/8/2016 14:00,903,454,449,8,19,teilweise bewölkt
1/8/2016 15:00,826,445,381,7,17,teilweise bewölkt
1/8/2016 16:00,781,397,384,7,13,wolkig
1/8/2016 17:00,776,399,377,7,15,wolkig
1/8/2016 18:00,698,369,329,6,13,teilweise bewölkt
1/8/2016 19:00,582,301,281,5,9,Klarer Himmel
1/8/2016 20:00,519,274,245,4,11,Klarer Himmel
1/8/2016 21:00,304,151,153,4,11,Klarer Himmel
1/8/2016 22:00,296,137,159,2,7,Klarer Himmel
1/8/2016 23:00,263,102,161,2,7,Klarer Himmel
1/9/2016 0:00,244,84,160,1,6,Klarer Himmel
1/9/2016 1:00,222,68,154,1,6,Klarer Himmel
1/9/2016 2:00,122,35,87,0,6,Klarer Himmel
1/9/2016 3:00,103,27,76,1,7,wolkig
1/9/2016 4:00,87,23,64,1,9,wolkig
1/9/2016 5:00,41,15,26,1,7,Schnee
1/9/2016 6:00,42,26,16,1,9,wolkig
1/9/2016 7:00,69,44,25,1,9,teilweise bewölkt
1/9/2016 8:00,171,107,64,1,9,teilweise bewölkt
1/9/2016 9:00,385,258,127,2,9,Klarer Himmel
1/9/2016 10:00,448,316,132,4,9,Klarer Himmel
1/9/2016 11:00,546,388,158,6,13,Klarer Himmel
1/9/2016 12:00,557,338,219,6,7,Klarer Himmel
1/9/2016 13:00,606,368,238,7,11,Klarer Himmel
1/9/2016 14:00,647,324,323,7,9,Klarer Himmel
1/9/2016 15:00,564,256,308,7,7,Klarer Himmel
1/9/2016 16:00,530,252,278,7,9,Klarer Himmel
1/9/2016 17:00,518,214,304,7,9,Klarer Himmel
1/9/2016 18:00,508,241,267,6,13,Klarer Himmel
1/9/2016 19:00,526,273,253,5,20,Klarer Himmel
1/9/2016 20:00,423,209,214,5,15,wolkig
1/9/2016 21:00,332,197,135,4,13,teilweise bewölkt
1/9/2016 22:00,271,120,151,3,13,teilweise bewölkt
1/9/2016 23:00,242,98,144,3,13,teilweise bewölkt
1/10/2016 0:00,263,116,147,2,9,Klarer Himmel
1/10/2016 1:00,207,98,109,3,15,teilweise bewölkt
1/10/2016 2:00,180,51,129,3,15,Klarer Himmel
1/10/2016 3:00,142,46,96,4,13,wolkig
1/10/2016 4:00,91,23,68,4,13,Regen
1/10/2016 5:00,45,6,39,5,13,wolkig
1/10/2016 6:00,35,14,21,5,13,wolkig
1/10/2016 7:00,26,18,8,6,9,Regen
1/10/2016 8:00,44,24,20,6,13,Regen
1/10/2016 9:00,168,136,32,6,15,wolkig
1/10/2016 10:00,259,190,69,7,19,wolkig
1/10/2016 11:00,262,157,105,8,22,teilweise bewölkt
1/10/2016 12:00,282,167,115,8,20,teilweise bewölkt
1/10/2016 13:00,345,195,150,9,22,teilweise bewölkt
1/10/2016 14:00,441,238,203,9,19,teilweise bewölkt
1/10/2016 15:00,462,240,222,8,17,teilweise bewölkt
1/10/2016 16:00,444,217,227,7,11,Klarer Himmel
1/10/2016 17:00,372,164,208,7,15,Klarer Himmel
1/10/2016 18:00,385,181,204,7,11,wolkig
1/10/2016 19:00,307,134,173,6,11,Regen
1/10/2016 20:00,238,78,160,5,6,wolkig
1/10/2016 21:00,136,50,86,5,7,wolkig
1/10/2016 22:00,167,53,114,5,9,wolkig
1/10/2016 23:00,129,41,88,5,13,wolkig
1/11/2016 0:00,43,17,26,5,9,wolkig
1/11/2016 1:00,27,8,19,5,11,wolkig
1/11/2016 2:00,12,3,9,6,9,wolkig
1/11/2016 3:00,5,5,0,6,11,wolkig
1/11/2016 4:00,8,8,0,4,6,wolkig
1/11/2016 5:00,48,36,12,3,9,teilweise bewölkt
1/11/2016 6:00,141,98,43,3,7,teilweise bewölkt
1/11/2016 7:00,666,446,220,3,7,teilweise bewölkt
1/11/2016 8:00,1088,646,442,3,7,Klarer Himmel
1/11/2016 9:00,918,516,402,3,9,Klarer Himmel
1/11/2016 10:00,866,527,339,3,9,Klarer Himmel
1/11/2016 11:00,938,424,514,4,7,wolkig
1/11/2016 12:00,910,463,447,5,9,Regen
1/11/2016 13:00,933,457,476,5,13,Regen
1/11/2016 14:00,714,375,339,5,7,Regen
1/11/2016 15:00,1043,557,486,5,9,Regen
1/11/2016 16:00,1052,550,502,5,7,Regen
1/11/2016 17:00,1247,602,645,5,9,wolkig
1/11/2016 18:00,993,520,473,5,6,wolkig
1/11/2016 19:00,888,406,482,5,7,Regen
1/11/2016 20:00,464,216,248,5,7,wolkig
1/11/2016 21:00,298,114,184,6,13,wolkig
1/11/2016 22:00,285,111,174,6,13,Regen
1/11/2016 23:00,157,51,106,6,11,Regen
1/12/2016 0:00,68,22,46,6,17,Regen
1/12/2016 1:00,43,10,33,6,17,Regen
1/12/2016 2:00,17,7,10,6,13,Regen
1/12/2016 3:00,8,3,5,6,15,wolkig
1/12/2016 4:00,14,9,5,6,15,wolkig
1/12/2016 5:00,35,23,12,5,20,wolkig
1/12/2016 6:00,134,92,42,5,20,wolkig
1/12/2016 7:00,678,412,266,6,22,wolkig
1/12/2016 8:00,1179,689,490,5,19,wolkig
1/12/2016 9:00,1017,504,513,6,20,wolkig
1/12/2016 10:00,962,596,366,6,19,wolkig
1/12/2016 11:00,1021,502,519,6,26,wolkig
1/12/2016 12:00,997,548,449,6,22,Regen
1/12/2016 13:00,1033,522,511,7,22,wolkig
1/12/2016 14:00,992,511,481,6,20,Regen
1/12/2016 15:00,1112,494,618,6,20,wolkig
1/12/2016 16:00,1110,578,532,7,17,wolkig
1/12/2016 17:00,1329,694,635,7,17,wolkig
1/12/2016 18:00,1089,535,554,6,17,wolkig
1/12/2016 19:00,1045,474,571,6,17,wolkig
1/12/2016 20:00,562,278,284,6,20,wolkig
1/12/2016 21:00,437,199,238,6,24,wolkig
1/12/2016 22:00,347,135,212,5,22,wolkig
1/12/2016 23:00,213,74,139,5,20,Regen
1/13/2016 0:00,90,37,53,4,20,Regen
1/13/2016 1:00,59,18,41,4,15,wolkig
1/13/2016 2:00,20,7,13,4,17,Regen
1/13/2016 3:00,4,4,0,4,17,Regen
1/13/2016 4:00,18,13,5,5,19,wolkig
1/13/2016 5:00,43,32,11,5,20,wolkig
1/13/2016 6:00,151,115,36,5,22,wolkig
1/13/2016 7:00,709,461,248,5,24,Regen
1/13/2016 8:00,1137,635,502,5,24,wolkig
1/13/2016 9:00,953,535,418,5,17,wolkig
1/13/2016 10:00,935,559,376,5,19,wolkig
1/13/2016 11:00,845,463,382,6,17,wolkig
1/13/2016 12:00,992,562,430,6,17,wolkig
1/13/2016 13:00,1011,540,471,6,13,wolkig
1/13/2016 14:00,958,532,426,6,19,wolkig
1/13/2016 15:00,1080,547,533,6,7,wolkig
1/13/2016 16:00,960,470,490,5,28,Regen
1/13/2016 17:00,1181,579,602,4,15,wolkig
1/13/2016 18:00,909,450,459,4,13,wolkig
1/13/2016 19:00,965,489,476,5,20,wolkig
1/13/2016 20:00,546,287,259,4,20,teilweise bewölkt
1/13/2016 21:00,374,144,230,3,17,teilweise bewölkt
1/13/2016 22:00,399,178,221,3,11,teilweise bewölkt
1/13/2016 23:00,247,102,145,3,11,teilweise bewölkt
1/14/2016 0:00,179,55,124,3,15,teilweise bewölkt
1/14/2016 1:00,107,38,69,2,13,teilweise bewölkt
1/14/2016 2:00,64,11,53,1,9,teilweise bewölkt
1/14/2016 3:00,44,15,29,1,9,wolkig
1/14/2016 4:00,33,12,21,1,9,teilweise bewölkt
1/14/2016 5:00,51,31,20,1,13,wolkig
1/14/2016 6:00,137,93,44,1,13,wolkig
1/14/2016 7:00,633,392,241,1,13,wolkig
1/14/2016 8:00,1005,575,430,2,17,Klarer Himmel
1/14/2016 9:00,925,565,360,2,19,Klarer Himmel
1/14/2016 10:00,846,526,320,4,22,wolkig
1/14/2016 11:00,943,487,456,4,22,Regen
1/14/2016 12:00,868,471,397,4,28,Regen
1/14/2016 13:00,906,462,444,4,20,Regen
1/14/2016 14:00,787,362,425,3,22,Regen
1/14/2016 15:00,864,414,450,2,19,Regen
1/14/2016 16:00,954,493,461,3,15,wolkig
1/14/2016 17:00,1051,578,473,3,15,wolkig
1/14/2016 18:00,903,490,413,3,15,teilweise bewölkt
1/14/2016 19:00,757,352,405,3,17,Regen
1/14/2016 20:00,529,234,295,2,17,wolkig
1/14/2016 21:00,343,170,173,3,17,Regen
1/14/2016 22:00,317,135,182,3,17,Regen
1/14/2016 23:00,217,66,151,3,15,Regen
1/15/2016 0:00,119,37,82,3,15,wolkig
1/15/2016 1:00,80,25,55,3,15,Regen
1/15/2016 2:00,31,8,23,2,15,Regen
1/15/2016 3:00,33,8,25,2,15,Schnee
1/15/2016 4:00,16,8,8,2,13,Schnee
1/15/2016 5:00,32,23,9,1,7,Schnee
1/15/2016 6:00,112,78,34,2,6,Schnee
1/15/2016 7:00,545,345,200,2,7,wolkig
1/15/2016 8:00,891,483,408,1,13,wolkig
1/15/2016 9:00,730,432,298,2,9,wolkig
1/15/2016 10:00,683,427,256,2,9,wolkig
1/15/2016 11:00,740,437,303,3,11,wolkig
1/15/2016 12:00,790,441,349,3,17,wolkig
1/15/2016 13:00,868,434,434,2,13,wolkig
1/15/2016 14:00,777,389,388,3,13,wolkig
1/15/2016 15:00,735,387,348,2,20,wolkig
1/15/2016 16:00,719,384,335,2,15,wolkig
1/15/2016 17:00,736,385,351,2,9,wolkig
1/15/2016 18:00,676,354,322,2,11,wolkig
1/15/2016 19:00,617,313,304,2,9,wolkig
1/15/2016 20:00,505,266,239,1,9,wolkig
1/15/2016 21:00,359,163,196,2,9,wolkig
1/15/2016 22:00,256,124,132,2,7,wolkig
1/15/2016 23:00,274,133,141,0,4,wolkig
1/16/2016 0:00,247,93,154,0,4,wolkig
1/16/2016 1:00,222,69,153,0,7,wolkig
1/16/2016 2:00,126,36,90,1,7,wolkig
1/16/2016 3:00,114,36,78,1,9,teilweise bewölkt
1/16/2016 4:00,63,14,49,1,9,teilweise bewölkt
1/16/2016 5:00,60,28,32,0,9,teilweise bewölkt
1/16/2016 6:00,40,28,12,0,13,wolkig
1/16/2016 7:00,98,82,16,1,20,Schnee
1/16/2016 8:00,174,122,52,1,20,Schnee
1/16/2016 9:00,327,222,105,2,22,Schnee
1/16/2016 10:00,306,219,87,2,20,Regen
1/16/2016 11:00,313,216,97,2,32,Regen
1/16/2016 12:00,356,234,122,1,26,Schnee
1/16/2016 13:00,355,196,159,1,30,wolkig
1/16/2016 14:00,435,213,222,2,24,wolkig
1/16/2016 15:00,375,200,175,1,17,Schnee
1/16/2016 16:00,375,206,169,1,13,Schnee
1/16/2016 17:00,340,131,209,1,11,teilweise bewölkt
1/16/2016 18:00,450,216,234,0,9,wolkig
1/16/2016 19:00,395,206,189,0,17,Schnee
1/16/2016 20:00,314,167,147,0,9,teilweise bewölkt
1/16/2016 21:00,270,136,134,-1,11,teilweise bewölkt
1/16/2016 22:00,198,84,114,0,17,Schnee
1/16/2016 23:00,198,88,110,0,17,teilweise bewölkt
1/17/2016 0:00,180,91,89,0,17,wolkig
1/17/2016 1:00,172,72,100,-1,13,wolkig
1/17/2016 2:00,113,35,78,-1,13,Klarer Himmel
1/17/2016 3:00,86,14,72,-1,17,wolkig
1/17/2016 4:00,72,21,51,0,13,wolkig
1/17/2016 5:00,48,11,37,-1,19,wolkig
1/17/2016 6:00,32,15,17,-1,15,wolkig
1/17/2016 7:00,24,18,6,-1,13,wolkig
1/17/2016 8:00,39,16,23,-1,13,wolkig
1/17/2016 9:00,131,108,23,-1,9,wolkig
1/17/2016 10:00,178,124,54,0,7,wolkig
1/17/2016 11:00,231,112,119,0,11,wolkig
1/17/2016 12:00,250,124,126,0,11,wolkig
1/17/2016 13:00,340,174,166,0,11,wolkig
1/17/2016 14:00,312,173,139,0,9,Schnee
1/17/2016 15:00,353,188,165,0,11,wolkig
1/17/2016 16:00,328,182,146,-1,9,teilweise bewölkt
1/17/2016 17:00,365,220,145,-2,2,teilweise bewölkt
1/17/2016 18:00,345,171,174,-3,2,Klarer Himmel
1/17/2016 19:00,307,124,183,-4,4,Klarer Himmel
1/17/2016 20:00,255,93,162,-5,2,Klarer Himmel
1/17/2016 21:00,126,59,67,-5,4,Nebel
1/17/2016 22:00,157,55,102,-6,2,Nebel
1/17/2016 23:00,100,40,60,-7,2,Klarer Himmel
1/18/2016 0:00,28,9,19,-6,2,Nebel
1/18/2016 1:00,17,9,8,-7,0,Klarer Himmel
1/18/2016 2:00,6,4,2,-7,0,Klarer Himmel
1/18/2016 3:00,7,6,1,-7,2,
1/18/2016 4:00,15,10,5,-7,6,Klarer Himmel
1/18/2016 5:00,42,26,16,-7,2,
1/18/2016 6:00,136,97,39,-7,2,
1/18/2016 7:00,548,392,156,-7,4,
1/18/2016 8:00,917,526,391,-6,6,Nebel
1/18/2016 9:00,754,433,321,-5,6,Nebel
1/18/2016 10:00,749,408,341,-4,6,
1/18/2016 11:00,709,334,375,-3,6,
1/18/2016 12:00,795,434,361,-2,7,Klarer Himmel
1/18/2016 13:00,952,495,457,-1,7,teilweise bewölkt
1/18/2016 14:00,947,522,425,-1,9,teilweise bewölkt
1/18/2016 15:00,1049,532,517,-1,6,Klarer Himmel
1/18/2016 16:00,1109,593,516,-2,6,Klarer Himmel
1/18/2016 17:00,1277,599,678,-3,6,Klarer Himmel
1/18/2016 18:00,1031,501,530,-3,4,Klarer Himmel
1/18/2016 19:00,884,414,470,-3,4,Klarer Himmel
1/18/2016 20:00,513,207,306,-4,7,Klarer Himmel
1/18/2016 21:00,335,132,203,-4,9,Klarer Himmel
1/18/2016 22:00,284,83,201,-5,6,Klarer Himmel
1/18/2016 23:00,193,60,133,-5,4,Klarer Himmel
1/19/2016 0:00,77,20,57,-5,6,Klarer Himmel
1/19/2016 1:00,35,7,28,-6,9,Klarer Himmel
1/19/2016 2:00,11,5,6,-7,4,Klarer Himmel
1/19/2016 3:00,12,10,2,-8,2,Klarer Himmel
1/19/2016 4:00,10,7,3,-8,2,Klarer Himmel
1/19/2016 5:00,41,26,15,-7,4,Klarer Himmel
1/19/2016 6:00,123,86,37,-8,4,Klarer Himmel
1/19/2016 7:00,626,362,264,-8,7,Klarer Himmel
1/19/2016 8:00,1056,626,430,-8,6,Klarer Himmel
1/19/2016 9:00,842,430,412,-7,6,Klarer Himmel
1/19/2016 10:00,842,490,352,-4,6,Klarer Himmel
1/19/2016 11:00,797,412,385,-3,13,Klarer Himmel
1/19/2016 12:00,954,560,394,-2,13,Klarer Himmel
1/19/2016 13:00,908,437,471,-1,13,Klarer Himmel
1/19/2016 14:00,900,474,426,-1,11,Klarer Himmel
1/19/2016 15:00,1080,523,557,-1,11,
1/19/2016 16:00,1067,559,508,-1,11,wolkig
1/19/2016 17:00,1182,576,606,-1,9,wolkig
1/19/2016 18:00,1030,516,514,-2,17,Schnee
1/19/2016 19:00,858,439,419,-2,9,Schnee
1/19/2016 20:00,545,223,322,-2,15,Schnee
1/19/2016 21:00,366,159,207,-1,11,wolkig
1/19/2016 22:00,329,117,212,-1,9,wolkig
1/19/2016 23:00,220,50,170,-1,13,Klarer Himmel
1/20/2016 0:00,102,38,64,-1,9,wolkig
1/20/2016 1:00,39,7,32,-1,9,wolkig
1/20/2016 2:00,12,4,8,-1,9,wolkig
1/20/2016 3:00,6,3,3,-1,9,Schnee
1/20/2016 4:00,28,19,9,-1,13,wolkig
1/20/2016 5:00,47,29,18,-1,13,wolkig
1/20/2016 6:00,138,108,30,0,13,wolkig
1/20/2016 7:00,671,449,222,-1,13,Schnee
1/20/2016 8:00,1027,588,439,0,15,wolkig
1/20/2016 9:00,814,429,385,0,17,wolkig
1/20/2016 10:00,783,456,327,1,17,wolkig
1/20/2016 11:00,775,408,367,1,15,Schnee
1/20/2016 12:00,834,456,378,2,19,wolkig
1/20/2016 13:00,903,461,442,3,15,wolkig
1/20/2016 14:00,826,431,395,2,15,wolkig
1/20/2016 15:00,898,452,446,2,11,wolkig
1/20/2016 16:00,990,523,467,2,11,wolkig
1/20/2016 17:00,1146,547,599,1,9,wolkig
1/20/2016 18:00,1036,487,549,1,6,wolkig
1/20/2016 19:00,879,433,446,1,6,wolkig
1/20/2016 20:00,544,265,279,1,4,wolkig
1/20/2016 21:00,384,156,228,1,4,wolkig
1/20/2016 22:00,456,257,199,1,4,wolkig
1/20/2016 23:00,311,151,160,1,4,wolkig
1/21/2016 0:00,165,81,84,0,4,wolkig
1/21/2016 1:00,95,45,50,-2,2,teilweise bewölkt
1/21/2016 2:00,79,25,54,-3,4,Nebel
1/21/2016 3:00,47,14,33,-4,2,Nebel
1/21/2016 4:00,49,17,32,-5,4,Nebel
1/21/2016 5:00,51,27,24,-4,4,Nebel
1/21/2016 6:00,128,86,42,-4,2,Nebel
1/21/2016 7:00,553,337,216,-3,4,wolkig
1/21/2016 8:00,967,530,437,-3,2,Nebel
1/21/2016 9:00,828,486,342,-3,4,wolkig
1/21/2016 10:00,755,446,309,-2,4,teilweise bewölkt
1/21/2016 11:00,884,458,426,-2,6,Nebel
1/21/2016 12:00,876,457,419,-3,7,Nebel
1/21/2016 13:00,898,456,442,-3,7,Nebel
1/21/2016 14:00,783,381,402,-3,6,Nebel
1/21/2016 15:00,924,475,449,-3,6,Nebel
1/21/2016 16:00,967,547,420,-2,4,Nebel
1/21/2016 17:00,1073,566,507,-2,7,Nebel
1/21/2016 18:00,939,497,442,-3,6,Nebel
1/21/2016 19:00,749,369,380,-3,6,Nebel
1/21/2016 20:00,514,216,298,-4,6,Nebel
1/21/2016 21:00,366,164,202,-5,4,wolkig
1/21/2016 22:00,275,112,163,-5,4,Nebel
1/21/2016 23:00,230,74,156,-6,2,
1/22/2016 0:00,103,38,65,-6,6,
1/22/2016 1:00,78,25,53,-6,6,
1/22/2016 2:00,38,6,32,-6,6,
1/22/2016 3:00,18,7,11,-6,6,
1/22/2016 4:00,25,11,14,-6,6,
1/22/2016 5:00,46,22,24,-6,7,
1/22/2016 6:00,131,92,39,-6,7,
1/22/2016 7:00,572,352,220,-6,7,
