Bezeichnung,Hersteller,Leistung (kW),Jahresleistung (grün=tatsächl. Werte),Rotor-Durchmesser (m),Nabenhöhe (m),Errichtungsjahr,Alter (Jahre),Rechtswert,Hochwert,Bürgerwind,Kleinwind,Column2,Column3,Column 16,Column 17
,,,,,,2014,0,,,,,Herthasee,Derzeit im Bau,0.0035730868600171886,-4.486726756845246
H1,Enercon,1800,,70,98,2001,13,3380946,5776196,,,,,52.106656190648486,7.26119177633045
H2,Enercon,1800,,70,98,2001,13,3381459,5775085,Ja,,,,52.096786071415,7.269062316814272
H3,Enercon,1800,,70,98,2001,13,3381660,5774929,Ja,,,,52.09542771332246,7.272048180418382
H4,Enercon,1800,,70,98,2001,13,3382061,5775104,Ja,,,,52.09708537063857,7.277836290159587
H5,Enercon,80,,18,34,1992,22,3382269,5775012,,Ja,,,52.09630320296534,7.280901904775523
H6,Enercon,80,,18,34,1992,22,3382279,5774866,,Ja,,,52.09499378071141,7.281098181544426
H7,Enercon,1800,,70,98,2001,13,3382465,5774994,Ja,,,,52.096183165068865,7.283766874224154
H8,Enercon,500,,40.2999999999999,50,1995,19,3381867,5774765,,,,,52.09399869281354,7.2751241440233905
H9,Enercon,1800,,70,98,2001,13,3382437,5774726,Ja,,,,52.0937697129402,7.283450907741221
H10,Enercon,1800,,70,98,2001,13,3381527,5774443,Ja,,,,52.091033439577686,7.270277246156297
H11,Enercon,1800,,70,98,2001,13,3382027,5774439,Ja,,,,52.091104295351215,7.277570505977427
H12,Enercon,1800,,70,98,2001,13,3381656,5774180,Ja,,,,52.08869845723374,7.272249823478007
H13,Enercon,1800,,70,98,2001,13,3382066,5774093,Ja,,,,52.08800441483276,7.278258939789657
H14,Enercon,1800,,70,98,2000,14,3382513,5774299,Ja,,,,52.08995000800597,7.284706486282974
H15,Enercon,200,,30,50,1995,19,3383289,5772524,,,,,52.074168792398126,7.296630578263411
Ho1,Lagerwey,80,,18,40,1994,20,3406584,5815568,,Ja,,,52.46531393158712,7.624359032624405
Ho2,Enercon,1000,,58.6,70.5,2003,11,3407107,5805572,,,,,52.375596990402656,7.634829033001187
Ho3,Enercon,1000,,58.6,68,2000,14,3406960,5805342,,,,,52.37350566018588,7.632734928557913
Ho4,Enercon,1000,,58.6,68,2000,14,3407960,5805338,,,,,52.37363863693414,7.647415179672415
Ho5,Enercon,1000,,58.6,70.5,2003,11,3407919,5805121,,,,,52.371682147122314,7.646872920571013
Ho6,Enercon,1000,,58.6,70.5,2003,11,3408243,5805016,,,,,52.37079314767021,7.651657511653167
Ho7,Enercon,1000,,58.6,70.5,2003,11,3408928,5805394,,,,,52.37430353496982,7.661609515517458
I1,Lagerwey,80,,18,40,1995,19,3413075,5797014,,Ja,,,52.29968578952197,7.724654627072058
I2,Enercon,80,,18,36.5,1993,21,3413837,5795010,,Ja,,,52.281800358151344,7.736334432130075
I3,AEROCRAFT AC 750,0.7,,2.4,10,2002,,,,,Ja,,,0.0035730868600171886,-4.486726756845246
,,,,,,2014,,,,,,,Derzeit im Bau,0.0035730868600171886,-4.486726756845246
L1,Enercon,2000,,82,108,2009,5,3390745.81999999,5773224.25,,,,,52.081978482379014,7.40510792964373
L2,Enercon,1800,,70,114,2004,10,3390917,5773081,Ja,,,,52.08072771048972,7.407661720000367
L3,Enercon,1800,,70,114,2004,10,3391179,5773081,Ja,,,,52.080779263951456,7.411482042559982
L4,Enercon,1800,,70,114,2004,10,3391505,5773168,Ja,,,,52.081624832647385,7.416207920043072
