vu_ort,vu_hoehe,tag,datum,uhrzeit,kat,flucht,igo,ago,t,sv,lv,anzahl_beteiligte,fg,rf,helm,mofa,kkr,krad,pkw,lkw,kom,sonstige,1,kennz_01,2,kennz_02,alkohol,typ,1_urs,2_urs,3_urs,sonst_urs,urs_02,lichtverhaeltnisse,strassenzustand,01_alter_in_jahren,02_alter_in_jahren,bemerkungen,kinder,18_24,senioren
Coerdeplatz,2,fr,7/29/2016,9:15,5,X,,,,,,2,,,,,,,2,,,,21,ms,21,ms,,501,,14,,,,,,38,,,,,
haus Uhlenkotten,28,sa,9/10/2016,10:00,5,X,,,,,,2,,,,,,,2,,,,21,,21,os,,703,,49,,,,,,F,,,,,
Frankenweg,48,mo,8/1/2016,16:00,5,X,,,,,,2,,,,,,,1,1,,,40,os,21,mi,,711,,36,,,,,,55,,,,,
Voßgasse,3,sa,9/10/2016,22:42,5,,a,,,,,2,,1,n,,,,1,,,,21,ms,71,,,243,,34,,,,2/3,,49,,,,,
Hedwigstraße,3,so,9/11/2016,8:15,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,501,,49,,,,,,F,,,,,
Weseler Straße,3,so,8/28/2016,0:20,3,,,,,,1,1,,1,n ,,,,,,,,71,,,,,799,01,9,,,,2/3,1,18,,1.67 °/oo,,,
Düesbergweg,124,mi,9/7/2016,8:40,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,703,,49,,,,,,F,,,,,
Lühnstiege,10,di,9/13/2016,16:03,2,,,,,1,,1,,1,n,,,,,,,,71,,,,,799,,49,,,,,,22,,,,,
Grevener Straße,69,mo,8/1/2016,16:13,5,,a,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,36,,,,,1,68,,,,,
Wolbecker Straße,139,do,9/8/2016,18:45,5,X,,,,,,1,,,,,,,,,,1,92,,,,,799,,49,,,,,,F,,Stadt,,,
Rüschhausweg,270,so,9/18/2016,14:25,4,,,,,,,4,,,,,,,4,,,,21,ms,21,ms,,645,,18,21,,,,,48,,,,,
Langemarckstraße,28,fr,9/9/2016,18:30,5,X,,,,,,2,,,,,,,1,,,1,92,,21,waf,,799,,49,,,,,,F,,,,,
Hafenstraße,zw. Den Brücken,fr,9/16/2016,10:55,2,,,,,1,,2,,2,j/j,,,,,,,,73,,73,,,601,,14,,,,,,78,78,,,,
Kriegerweg,1,fr,9/16/2016,14:55,3,,,,,,2,2,,2,n/n,,,,,,,,71,,71,,,371,,49,,,,,,15,47,,,,
Nevinghoff,5,mo,8/1/2016,12:15,5,X,,,,,,2,,,,,,,1,1,,,21,ms,40,ms,,703,,49,,,,,,67,,,,,
Stolbergstraße,2a,di,9/6/2016,9:40,5,X,,,,,,1,,,,,,,,,,1,92,,,,,703,,49,,,,,,F,,,,,
Haus Uhlenkotten,28,mi,9/7/2016,17:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,703,,49,,,,,,F,,,,,
Gescherweg,100,so,9/11/2016,11:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,vie,,703,,49,,,,,,F,,,,,
Manfred-von-Richthofen-Straße,Andreas-Hofer-Straße,sa,9/17/2016,14:45,3,,,,,,1,2,,1,n,,,,1,,,,21,ms,71,,,252,,18,34,,,,,28,25,,,,
Kanalstraße,Nevinghoff,do,9/15/2016,12:30,3,,,,,,1,2,,1,n,,,,1,,,,21,ms,71,,,341,,34,,,,,,78,57,,,,
Delstrup,21,fr,9/16/2016,8:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,703,,49,,,,,1,F,,,,,
Fürstenbergstraße,5,fr,8/5/2016,9:55,5,X,,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,36,,,,,1,71,,,,,
Hammer Straße,Friedrich-Ebert-Straße,di,9/20/2016,16:50,3,,,,,,1,1,,1,n,,,,,,,,71,,,,,141,,49,,,,,,12,,,,,
Raesfeldstraße,,do,8/25/2016,17:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,799,,49,,,,,,F,,,,,
Kanalstraße,Nevinghoff,di,7/26/2016,7:35,3,,,,,,1,2,,1,n,,,,1,,,,71,,21,ms,,311,,49,,,,,,49,24,,,,
Hittorfstraße,10,mo,8/29/2016,17:20,3,,,,,,1,2,,1,n,,,,1,,,,21,ms,71,,,589,,45,,,,,,29,38,,,,
Egbertstraße,Wiener Straße,mo,8/15/2016,18:20,5,,a,,,,,2,,,,,,,2,,,,21,ms,21,ms,,301,,27,,,,,,53,,,,,
Grevener Straße,k.v. Bereichsgrenze,sa,9/3/2016,0:15,5,,,o,,,,1,,,,,,,1,,,,21,st,,,,751,,0,,86,,2,,47,,,,,
