vu_ort,vu_hoehe,tag,datum,uhrzeit,kat,flucht,igo,ago,t,sv,lv,anzahl_beteiligte,fg,rf,helm,mofa,kkr,krad,pkw,lkw,kom,sonstige,1,kennz_01,2,kennz_02,alkohol,typ,1_urs,2_urs,3_urs,sonst_urs,urs_02,lichtverhaeltnisse,strassenzustand,01_alter_in_jahren,02_alter_in_jahren,bemerkungen,kinder,18_24,senioren
Hoher Heckenweg,Im Hagenfeld,fr,1/1/2016,13:50,5,,a,,,,,2,,,,,,,2,,,,21,ms,21,ms,,631,,26,,,,,,26,,,,,
Bennostraße,8,fr,1/1/2016,15:15,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,501,,14,,,,,,33,,,,,
Albersloher Weg,Egbert-Snoek-Straße,fr,1/1/2016,0:20,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ham,,623,,14,,,,2/3,,24,,,,,
Geiststraße,3,fr,1/1/2016,14:30,5,,m,,,,,2,,,,,,,2,,,,21,waf,21,ms,,711,,36,,,,,,66,,,,,
Toppheideweg,12,fr,1/1/2016,13:40,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,502,,14,,,,,,77,,,,,
Nienkamp,ggü. 4,fr,1/1/2016,17:00,5,,m,,,,,1,,,,,,,1,,,,21,pm,,,,711,,36,,,,2,,54,,Stadt,,,
Kristiansandstraße,,fr,1/1/2016,16:00,5,,a,,,,,2,,,,,,,2,,,,21,ms,21,ms,,551,,37,,,,,1,24,,,,,
Liboristraße,5,fr,1/1/2016,4:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,wan,,703,,49,,,,,,F,,,,,
Freckenhorster Straße,500m vor Telgter Straße,sa,1/2/2016,20:02,5,,,o,,,,1,,,,,,,1,,,,21,waf,,,,751,,0,,86,,2,1,26,,,,,
Theodor-Scheiwe-Straße,Albersloher Weg,sa,1/2/2016,17:45,5,,m,,,,,2,,,,,,,2,,,,21,re,21,be,,201,,14,,,,2,1,59,,,,,
Robert-Bosch-Straße,2,sa,1/2/2016,15:55,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,waf,,703,,36,,,,1,1,59,,,,,
Hohenzollernring,Warendorfer Straße,sa,1/2/2016,12:00,5,,m,,,,,2,,,,,,,2,,,,21,m,21,waf,,623,,14,,,,,1,23,,,,,
Albersloher Weg,Höhe Beresa,sa,1/2/2016,14:45,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,ms,,641,,26,,,,,1,34,,,,,
Dammeweg,11,sa,1/2/2016,11:40,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,571,,36,37,,,,1,35,,,,,
Meckmannweg,2,so,1/3/2016,14:05,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,321,,37,,,,,,32,,,,,
Friedensstraße,12,so,1/3/2016,19:20,5,,m,,,,,2,,,,,,,2,,,,21,m,21,ms,,711,,36,,,,2/3,,48,,,,,
Meesenstiege,Grafschaft,so,1/3/2016,18:20,5,,a,,,,,2,,,,,,,2,,,,21,waf,21,ms,,303,,28,,,,2,1,24,,,,,
Düesbergweg,13,so,1/3/2016,16:51,5,,z,,,,,2,,,,,,,2,,,,21,a,21,lh,,501,,14,,,,2,1,64,,,,,
Wiener Straße,58,so,1/3/2016,23:45,5,,m,,,,,2,,,,,,,2,,,,21,waf,21,ms,,711,,36,,,,,,21,,,,,
Heinrich-Hemsath-Weg,Stierlinstraße,so,1/3/2016,13:25,5,,m,,,,,2,,,,,,,2,,,,21,e,21,st,,501,,14,,,,,1,28,,,,,
B 54,Auffahrt Nienberge,so,1/3/2016,11:40,5,,,m,,,,1,,,,,,,1,,,,21,st,,,,102,,13,49,,,,1,53,,Stadt,,,
Althoffstraße,Metzerstraße,mo,1/4/2016,8:10,5,,o,,,,,1,,,,,,,1,,,,21,ms,,,,799,,49,,,,1,1,33,,,,,
Bahnhofstraße,5,mo,1/4/2016,12:00,5,,m,,,,,2,,,,,,,,1,1,,33,ms,44,ms,,551,,37,,,,,1,53,,,,,
Gittruper Straße,22,mo,1/4/2016,8:45,5,,o,,,,,2,,,,,,,1,1,,,21,ms,40,waf,,501,,14,,,,,1,37,,,,,
Osterstraße,95,mo,1/4/2016,21:33,5,,o,,,,,2,,,,,,,2,,,,21,un,21,ms,,703,,44,,,,1,1,32,,,,,
Unckelstraße,Marktallee,mo,1/4/2016,13:10,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,501,,14,,,,,1,81,,,,,
Hölkenbusch,34,mo,1/4/2016,10:15,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,681,,14,,,,,1,33,,,,,
Niels-Stensen-Straße,21,mo,1/4/2016,16:30,5,,m,,,,,2,,,,,,,2,,,,21,waf,21,mk,,711,,36,,,,2,1,45,,,,,
Am Kalvarienberg,Parkstreifen,mo,1/4/2016,11:55,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,711,,36,,,,,,59,,,,,
Himmelreichallee,25,mo,1/4/2016,9:38,5,X,,,,,,1,,,,,,,,,,1,92,,,,,799,,49,,,,,1,F,,Stadt,,,
Von-Vincke-Straße,9,mo,1/4/2016,12:00,5,,m,,,,,2,,,,,,,2,,,,21,ne,21,coe,,630,,26,,,,,1,58,,,,,
Friedrich-Ebert-Straße,143,mo,1/4/2016,12:00,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,36,,,,,1,51,,,,,
Fresnostraße,ggü. 129,mo,1/4/2016,10:45,5,,,o,,,,2,,,,,,,2,,,,21,m,21,ms,,711,,36,,,,,1,42,,,,,
Engelstraße,60,mo,1/4/2016,9:25,5,,m,,,,,2,,,,,,,2,,,,21,bot,21,ms,,202,,35,,,,,1,22,,,,,
Leerer Straße,,mo,1/4/2016,6:40,5,,z,,,,,2,,,,,,,1,1,,,40,ms,21,ms,,501,,14,,,,2,1,47,,,,,
Martinistraße,Stiftsherrenstraße,mo,1/4/2016,14:30,5,,z,,,,,1,,,,,,,,1,,,51,sn,,,,299,,35,,,,,1,44,,,,,
Wolbecker Straße,2,mo,1/4/2016,16:45,5,,m,,,,,1,,,,,,,1,,,,21,ms,,,,711,,36,,,,1/3,1,31,,,,,
Neubrückenstraße,69,mo,1/4/2016,10:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,799,,49,,,,2/3,,F,,,,,
Osttor,Brücke über Gleise und Kanal,mo,1/4/2016,2:20,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,681,,11,,,,2/3,,F,,,,,
Moltkestraße,Parkplatz,mo,1/4/2016,13:05,5,,a,,,,,2,,,,,,,2,,,,21,hh,21,ms,,303,,28,,,,,1,20,,,,,
Nieland,28,mo,1/4/2016,20:30,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,ms,,711,,36,,,,2/3,1,20,,,,,
Merkureck,Merkureck,mo,1/4/2016,13:03,5,,a,,,,,2,,1,n,,,,1,,,,21,ms,71,,,342,,28,,,,,1,49,,,,,
Schifffahrter Damm,Königsberger Straße,di,1/5/2016,5:15,5,,a,,,,,2,,,,,,,2,,,,21,ms,21,st,,301,,28,,,,2,,39,,,,,
Nordhornstraße,53,di,1/5/2016,14:02,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,799,,49,,,,,1,F,,,,,
Lüderitzweg,Angelmodder Weg,di,1/5/2016,14:25,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,501,,14,,,,,1,79,,,,,
von-der-Tinnen-Straße,2,di,1/5/2016,14:45,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,711,,36,,,,,1,56,,,,,
Schorlemerstraße,Engelenschanze,di,1/5/2016,16:30,5,,m,,,,,2,,,,,,,2,,,,21,bot,21,ms,,645,,22,,,,1/3,1,56,,,,,
Friedrich-Ebert-Straße,143,di,1/5/2016,12:10,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,201,,14,,,,,,39,,,,,
Albersloher Weg,Am Schütthook,di,1/5/2016,12:15,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,201,,14,,,,,1,66,,,,,
Steinfurter Straße,Wilkinghege,di,1/5/2016,7:15,3,,,,,,1,3,,,,,,,3,,,,21,st,21,ms,,621,,14,,,,2/3,1,29,50,,,,
Dahlweg,120,di,1/5/2016,16:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,799,,49,,,,2/3,1,F,,,,,
Handorfer Straße,Warendorfer Straße,di,1/5/2016,11:40,5,,a,,,,,2,,,,,,,1,1,,,40,ms,21,ms,,711,,36,,,,,1,48,,,,,
Hägerstraße,500m h. OA Nienberge,di,1/5/2016,7:35,5,,,o,,,,1,,,,,,,1,,,,21,ms,,,,751,,0,,86,,2,1,30,,,,,
Gescherweg,27,di,1/5/2016,14:30,5,,m,,,,,1,,,,,,,,1,,,44,gt,,,,711,,36,,,,,1,24,,Stadt,,,
Robert-Bosch-Straße,21,di,1/5/2016,17:30,5,,m,,,,,2,,,,,,,2,,,,21,b,21,ms,,703,,36,,,,2/3,1,38,,,,,
Siemensstraße,51,di,1/5/2016,13:37,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,711,,36,,,,,1,61,,,,,
Mauritz-Lindenweg,Parkplatz Schwimmbad,di,1/5/2016,20:15,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,44,,,,2/3,1,50,,,,,
Steinfurter Straße,Wilkinghege,di,1/5/2016,7:20,5,,,o,,,,2,,,,,,,2,,,,21,ms,21,ms,,623,,14,,,,2,1,22,,,,,
Melchersstraße,28,di,1/5/2016,14:00,3,,,,,,1,2,,1,n,,,,1,,,,21,ms,71,,,581,,37,,,,,,67,39,,,,
Schulte-Herrmann-Straße,9,di,1/5/2016,14:40,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,waf,,703,,14,,,,,1,78,,,,,
Melchersstraße,78,di,1/5/2016,11:59,5,,o,,,,,2,,,,,,,1,1,,,40,gt,21,st,,711,,36,,,,,,46,,,,,
Glasuritstraße,Hansestraße,mi,1/6/2016,17:05,5,,o,,,,,1,,,,,,,,1,,,46,so,,,,299,,14,,,,2/3,1,58,,Stadt,,,
Hansestraße,Glasuritstraße,mi,1/6/2016,16:50,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,231,,14,,,,1,1,54,,,,,
Westfalenstraße,148,mi,1/6/2016,13:50,5,,m,,,,,2,,,,,,,2,,,,21,be,21,ms,,721,,36,,,,,1,28,,,,,
Glasuritstraße,Hansestraße,mi,1/6/2016,20:50,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,waf,,231,,14,,,,2,,36,,,,,
Voßgasse,Höhe Bank,mi,1/6/2016,11:10,5,,m,,,,,2,,,,,,,1,1,,,40,ms,21,ms,,501,,14,,,,,1,34,,,,,
Albersloher Weg,Nieberdingstraße,mi,1/6/2016,10:30,5,,m,,,,,3,,,,,,,1,2,,,21,ms,44,ms,,649,,14,,,,,1,43,,,,,
Friesenring,ggü. 16,mi,1/6/2016,15:21,5,,m,,,,,2,,,,,,,2,,,,21,d,21,coe,,601,,14,,,,,1,34,,,,,
Nevinghoff,18,mi,1/6/2016,13:25,5,,m,,,,,2,,,,,,,2,,,,21,waf,21,st,,703,,14,,,,,1,56,,,,,
Gasselstiege,186,mi,1/6/2016,16:50,5,,m,,,,,2,,1,j,,,,1,,,,21,du,71,,,243,,35,,,,2,1,54,,,,,
Clemensstraße,Parkhaus Karstadt,mi,1/6/2016,13:40,5,,m,,,,,2,,,,,,,2,,,,21,waf,21,ms,,703,,36,,,,,,72,,,,,
Schlaunstraße,12,mi,1/6/2016,11:12,5,,o,,,,,2,,,,,,,1,1,,,44,lp,21,ms,,501,,14,,,,,1,50,,,,,
Roxeler Straße,Parkplatz Ackermann,mi,1/6/2016,14:00,5,,o,,,,,2,,,,,,,1,1,,,21,coe,44,os,,703,,36,,,,1,,49,,,,,
Hohenzollernring,99,mi,1/6/2016,12:55,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,640,,26,,,,,1,25,,,,,
Lublinring,Bushaltestelle Rtg. Kanalstraße,mi,1/6/2016,17:05,5,,a,,,,,2,,,,,,,1,,,1,33,waf,21,ms,,699,,49,,,,2/3,1,67,,,,,
Albersloher Weg,Otto-Hersing-Weg,mi,1/6/2016,7:20,5,,z,,,,,2,,,,,,,1,1,,,40,ms,21,h,,601,,14,,,,2,1,32,,,,,
Von-Steuben-Straße,14,mi,1/6/2016,10:48,3,,,,,,1,2,1,,,,,,,,1,,81,,33,ms,,421,,64,,,,,1,49,53,,,,
Hammer Straße,Höhe B 51,mi,1/6/2016,17:20,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,ms,,602,,14,,,,2,,27,,,,,
Cheruskerring,82,mi,1/6/2016,6:55,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,711,,36,,,,2,1,34,,,,,
Mauritzstraße,4,mi,1/6/2016,17:21,5,,m,,,,,2,,,,,,,1,1,,,40,ms,21,waf,,623,,14,,,,2,1,52,,,,,
Hagelbachstiege,,do,1/7/2016,8:10,5,,,o,,,,1,,,,,,,1,,,,21,ms,,,,751,,0,,86,,,1,60,,,,,
Kaiser-Wilhelm-Ring,26,do,1/7/2016,11:50,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,601,,14,,,,,,38,,,,,
Königsberger Straße,100,do,1/7/2016,11:09,5,,m,,,,,2,,,,,,,1,,,1,21,ms,59,ms,,651,,22,,,,,,78,,,,,
Albert-Schweitzer-Straße,Roxeler Straße,do,1/7/2016,7:50,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,621,,14,,,,1,,35,,,,,
Ludgeriplatz,Hafenstraße,do,1/7/2016,10:35,5,,o,,,,,2,1,1,n,,,,,,,,71,,83,,,241,,35,,,,,,23,,,,,
Roxeler Straße,Fußgänger LZA ???,do,1/7/2016,16:00,5,,m,,,,,2,,,,,,,2,,,,21,coe,21,coe,,621,,14,,,,,1,46,,,,,
Am Berler Kamp,33,do,1/7/2016,13:50,5,,o,,,,,2,,1,j,,1,,,,,,71,,02,,,232,,49,,,,,,11,,,,,
Hafenweg,46,do,1/7/2016,17:10,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,waf,,711,,36,,,,2/3,1,44,,,,,
Niedersachsenring,Höhe Bahnüberführung,do,1/7/2016,8:00,5,,m,,,,,2,,,,,,,2,,,,21,un,21,ms,,601,,14,,,,1/3,,25,,,,,
Scheibenstraße,55,do,1/7/2016,7:00,5,,m,,,,,2,,,,,,,2,,,,21,coe,21,coe,,711,,36,,,,2/3,,30,,,,,
Ludgeristraße,11,do,1/7/2016,21:00,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,36,,,,,1,18,,,,,
Bohlweg,Auf der Horst,do,1/7/2016,16:50,3,,,,,,1,2,,1,n,,,,1,,,,71,,21,st,,399,,37,,,,,1,23,36,,,,
Goldstraße,Hörsterplatz,do,1/7/2016,7:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,799,,49,,,,,,F,,,,,
Kinderhauser Straße,111,do,1/7/2016,5:50,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,799,,49,,,,,1,F,,,,,
Grevener Straße,Höhe Haltestelle Ermlandweg,do,1/7/2016,18:00,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,ms,,651,,14,,,,,,80,,,,,
Wolbecker Straße,Querstraße,do,1/7/2016,15:30,3,,,,,,1,2,,1,n,,,,1,,,,21,ms,71,,,211,,35,,,,,,56,60,,,,
Gartenstraße,Lublinring,do,1/7/2016,17:10,5,,a,,,,,2,,1,n,,,,1,,,,21,ms,71,,,341,,28,,,,2,1,54,,,,,
Pantaleonplatz,,do,1/7/2016,16:55,5,,z,,,,,2,,,,,,,2,,,,21,bn,21,ms,,711,,36,,,,2,1,31,,,,,
Badestraße,20,do,1/7/2016,12:30,5,,z,,,,,2,,,,,,,2,,,,21,coe,21,ms,,711,,36,,,,,,69,,,,,
Meesenstiege,54,do,1/7/2016,17:02,5,,z,,,,,3,,,,,,,3,,,,21,ms,21,ms,,601,,14,,,,2,1,23,,,,,
Weseler Straße,Kerkheideweg,do,1/7/2016,7:15,5,,z,,,,,2,,,,,,,1,,1,,21,coe,33,ms,,644,,26,,,,,3,59,,,,,
Mecklenbecker Straße,Haltestelle Vorländerweg,do,1/7/2016,13:45,5,,o,,,,,2,,,,,,,1,,1,,33,ms,21,F,,501,,14,,,,,,56,,,,,
Friedrich-Ebert-Straße,22,do,1/7/2016,17:57,5,,a,,,,,2,,,,,,,1,,1,,31,wes,21,ms,,681,,49,,,,2/3,1,64,,,,,
Warendorfer Straße,103,do,1/7/2016,8:50,5,,a,,,,,2,,,,,,,2,,,,21,ge,21,so,,711,,36,,,,,,60,,,,,
Von-Vincke-Straße,14,fr,1/8/2016,11:40,5,,a,,,,,2,,,,,,,2,,,,21,ms,21,un,,631,,26,,,,,,28,,,,,
Mauritz-Lindenweg,101,fr,1/8/2016,16:50,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,703,,49,,,,2,1,F,,,,,
Helene-Weige-Weg,1,fr,1/8/2016,13:15,5,,m,,,,,2,,,,,,,1,1,,,40,re,21,bbg,,571,,36,,,,,,54,,,,,
Hammer Straße,453,fr,1/8/2016,14:35,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,bo,,703,,36,,,,,,41,,,,,
Albersloher Weg,Haltestelle Paul-Engelhard-Weg,fr,1/8/2016,13:40,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,601,,14,,,,,,50,,,,,
Industrieweg,106,fr,1/8/2016,16:00,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,pb,,601,,14,,,,1,,54,,,,,
Düesbergweg,124,fr,1/8/2016,12:35,5,,m,,,,,2,,,,,,,2,,,,21,waf,21,lh,,703,,36,,,,,,78,,,,,
Albersloher Weg,680,fr,1/8/2016,14:00,5,,m,,,,,2,,,,,,,1,,,1,59,ms,21,ms,,599,,14,,,,,,53,,,,,
Grüner Grund,66,fr,1/8/2016,17:00,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,501,,14,,,,2/3,,54,,,,,
Hammer Straße,323,fr,1/8/2016,12:50,3,,,,,,1,2,,,,,,,1,1,,,44,NL,21,ms,,611,,14,,,,,,20,50,,,,
Lüderitzweg,1,fr,1/8/2016,18:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,501,,49,,,,,,F,,,,,
Weseler Straße,Harkortstraße,sa,1/9/2016,9:48,2,,,,,1,,2,,,,,,,2,,,,21,ms,21,ms,,601,,14,,,,,,60,46,,,,
Mersmannsstiege,Weseler Straße,sa,1/9/2016,22:30,3,,,,,,1,2,,,,,1,,1,,,,01,,21,ms,,621,,13,73,,,2/3,1,21,46,,,,
Trauttmansdorffstraße,Siemensstraße,sa,1/9/2016,11:20,5,,m,,,,,2,,,,,,,2,,,,21,waf,21,ms,,251,,14,,,,,1,72,,,,,
Gustav-Stresemann-Weg,21,sa,1/9/2016,17:47,5,,m,,,,,2,,,,,,,2,,,,21,waf,21,st,,711,,36,,,,2,,33,,,,,
Hafenstraße,Bahnhofstraße,sa,1/9/2016,4:45,5,,m,,,,,2,,,,,,,2,,,,21,st,21,ms,,640,,14,,,,2/3,,20,,,,,
Hammer Straße,371,so,1/10/2016,14:55,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,630,,26,,,,,,71,,,,,
Eichendorffstraße,14,mo,1/11/2016,9:30,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,coe,,711,,36,,,,,,56,,,,,
Steinfurter Straße,Altenberger Straße,mo,1/11/2016,13:55,3,,,,,,1,2,,,,,,,2,,,,21,clp,21,ms,,621,,14,,,,,1,25,40,,,,
Prozessionsweg,Skagerrakstraße,mo,1/11/2016,9:44,2,,,,,1,,1,,1,n,,,,,,,,71,,,,,121,,35,75,,,,2,50,,,,,
Von-Stauffenberg-Straße,Sperlichstraße,di,1/12/2016,18:10,3,,,,,,1,2,,1,n,,,,1,,,,71,,21,coe,,321,,27,,,,2/3,1,23,50,,,,
Sprakeler Straße,Ahlertweg,di,1/12/2016,7:50,3,,,,,,1,2,,,,,,,2,,,,21,coe,21,ms,,321,,28,,,,1,1,59,24,,,,
Marktallee,49,mo,1/11/2016,11:47,5,,m,,,,,2,,,,,,,1,,1,,33,ms,21,bs,,501,,14,,,,,1,63,,,,,
Höltenweg,Münnichweg,fr,1/8/2016,15:35,5,,a,,,,,2,,1,n,,,,1,,,,71,,21,ms,,321,,28,,,,,,23,,,,,
Neutor,Schlossplatz,fr,1/8/2016,7:20,5,,z,,,,,2,,,,,,,1,1,,,40,söm,21,st,,621,,14,,,,2,1,43,,,,,
Albersloher Weg,,mo,1/11/2016,10:05,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,799,,49,,,,,1,45,,,,,
Andreas-Hofer-Straße,14,mo,1/11/2016,6:40,5,,m,,,,,2,,,,,,,2,,,,21,waf,21,coe,,501,,14,,,,2/3,1,87,,,,,
Dingbängerweg,Altenroxeler Straße,fr,1/8/2016,18:00,5,,a,,,,,2,,,,,,,2,,,,21,ms,21,ms,,323,,28,,,,2/3,,29,,,,,
Gemenweg,78,fr,1/1/2016,17:30,5,,o,,,,,2,,,,,,,2,,,,21,hf,21,gz,,711,,36,,,,,,60,,,,,
Bremer Platz,Parkplatz h. HBF,di,1/5/2016,20:15,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,36,,,,2/3,1,22,,,,,
Weseler Straße,Boeselagerstraße,di,1/5/2016,15:50,5,,z,,,,,2,,,,,,,2,,,,21,ah,21,ms,,201,,14,,,,,1,19,,,,,
Königsstraße,33,di,1/5/2016,16:45,5,,z,,,,,2,,,,,,,1,,1,,33,ms,21,ms,,201,,14,,,,1,1,46,,,,,
Steinfurter Straße,Wilkinghege,di,1/5/2016,11:40,5,,z,,,,,2,,,,,,,2,,,,21,st,21,st,,623,,14,,,,,1,54,,,,,
Weseler Straße,BurgerKing,fr,1/8/2016,22:30,5,,m,,,,,2,,,,,,,2,,,,21,waf,21,dh,,711,,36,,,,2/3,,23,,,,,
Kronprinzenstraße,22,fr,1/8/2016,14:20,5,,o,,,,,2,,1,n,,,,1,,,,71,,21,ms,,501,,14,,,,,,?,,,,,
Am Berg Fidel,Hammer Straße,sa,1/9/2016,5:05,5,,a,,,,,2,,,,,,,2,,,,21,ms,21,ms,,211,,32,,,,2,1,18,,,,,
Osttor,Zum Hiltruper See,so,1/10/2016,13:44,5,,a,,,,,2,,,,,,,2,,,,21,ms,21,ms,,321,,28,,,,,,63,,,,,
Dyckburgstraße,329,so,1/10/2016,12:05,5,,,o,,,,1,,,,,,,1,,,,21,ms,,,,751,,0,,86,,,1,38,,,,,
Albersloher Weg,Parkplatz Halle Münsterland,so,1/10/2016,18:05,5,,m,,,,,2,,,,,,,1,,,1,22,clp,21,ms,,703,,14,,,,2,1,53,,,,,
Münsterstraße,29,mo,1/11/2016,17:00,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,36,,,,1/3,1,76,,,,,
Hafenweg,9,mo,1/11/2016,11:25,5,,m,,,,,2,,,,,,,2,,,,25,ms,21,ms,,502,,14,,,,,,49,,,,,
Hessenweg,Schifffahrter Damm,mo,1/11/2016,18:00,5,,m,,,,,2,,,,,,,1,1,,,21,vec,46,coe,,651,,14,,,,2,1,25,,,,,
Sudmühlenstraße,Dyckburgstraße,mo,1/11/2016,17:15,5,,m,,,,,3,,,,,,,3,,,,21,ms,21,noh,,621,,14,,,,2,1,50,,,,,
Grevener Straße,222,mo,1/11/2016,7:40,5,,o,,,,,2,1,,,,,,,1,,,81,,40,waf,,799,,49,,,,,1,?,,,,,
Steinfurter Straße,Austermannstraße,mo,1/11/2016,18:10,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,231,,14,,,,2,1,45,,,,,
Domagkstraße,Parkplatz,mo,1/11/2016,13:15,5,,m,,,,,2,,,,,,,2,,,,21,kle,21,ms,,703,,36,,,,,1,60,,,,,
Albersloher Weg,10,mo,1/11/2016,10:10,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ne,,623,,14,,,,,1,50,,,,,
Austermannstraße,Horstmarer landweg,di,1/12/2016,1:05,5,,o,,,,,1,,,,,,,1,,,,21,nrw,,,,711,,36,,,,2/3,1,31,,Stadt,,,
Steinfurter Straße,116,di,1/12/2016,9:28,5,,m,,,,,2,,,,,,,,1,1,,33,ms,40,ms,,651,,14,,,,,1,36,,,,,
Schorlemerstraße,Ludgeriplatz,di,1/12/2016,18:05,5,,m,,,,,2,,,,,,,2,,,,21,gl,21,st,,232,,35,,,,2,1,19,,,,,
Melchersstraße,79,di,1/12/2016,17:05,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,501,,14,,,,2/3,1,55,,,,,
Annette-Allee,Parkplatz Mövenpick,di,1/12/2016,13:39,5,,o,,,,,2,,,,,,,1,,,1,21,ms,22,iz,,703,,14,,,,,,84,,,,,
Kaiser-Wilhelm-Ring,Erphostraße,do,1/7/2016,18:00,5,,a,,,,,2,,,,,,,2,,,,21,ms,21,ms,,321,,28,,,,2,1,49,,,,,
Heinrich-Ebel-Straße,5,do,1/7/2016,13:26,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,ms,,326,,27,,,,,,42,,,,,
Gartenstraße,17,fr,1/8/2016,7:30,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,st,,709,,44,,,,,,18,,,,,
Dodostraße,19,fr,1/8/2016,8:10,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,ms,,502,,14,,,,,,67,,,,,
Soester Straße,Hansaring,fr,1/8/2016,7:50,5,,z,,,,,2,,,,,,,1,1,,,40,re,21,ms,,501,,14,,,,2,,54,,,,,
Borkenfeld,29,fr,1/8/2016,16:20,5,,m,,,,,1,,,,,,,1,,,,21,ms,,,,711,,36,,,,1,,53,,Stadt,,,
Neubrückenstraße,ggü. Theater,fr,1/8/2016,17:10,5,,o,,,,,2,,1,n,,,,1,,,,71,,21,ms,,501,,14,,,,2,,13,,,,,
Gasselsteige,421,fr,1/8/2016,10:15,5,,m,,,,,2,,,,,,,2,,,,21,sim,21,st,,501,,14,,,,,,52,,,,,
Eisenbahnstraße,,fr,1/8/2016,9:05,5,,m,,,,,2,,,,,,,,1,1,,44,gt,33,waf,,799,,49,,,,,,?,,,,,
Augustastraße,55,fr,1/8/2016,14:05,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,501,,14,,,,,1,50,,,,,
Engelstraße,33,sa,1/9/2016,11:00,5,,z,,,,,2,,,,,,,2,,,,21,waf,21,kib,,630,,26,,,,,,57,,,,,
Domagkstraße,15,sa,1/9/2016,9:00,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,ham,,501,,14,,,,,,65,,,,,
Heerdestraße,29,sa,1/9/2016,13:30,5,,z,,,,,2,,,,,,,2,,,,21,wf,21,mk,,581,,45,,,,,,23,,,,,
Friedrich-Ebert-Straße,100,sa,1/9/2016,12:20,5,,o,,,,,2,,,,,,,2,,,,21,bot,21,ms,,711,,36,,,,,,42,,,,,
Peter-Rosegger-Weg,,sa,1/9/2016,13:45,5,,m,,,,,1,,,,,,,1,,,,21,waf,,,,711,,36,,,,,,51,,Stadt,,,
Kleimannstraße,8,sa,1/9/2016,14:20,5,,m,,,,,2,,,,,,,1,1,,,44,bn,21,ms,,501,,14,,,,,,26,,,,,
An der Kleimannbrücke,95,sa,1/9/2016,23:10,5,,o,,,,,2,,,,,,,2,,,,21,waf,21,ah,,711,,36,,,,2,,28,,,,,
