vu_ort,vu_hoehe,tag,datum,uhrzeit,kat,flucht,igo,ago,t,sv,lv,anzahl_beteiligte,fg,rf,helm,mofa,kkr,krad,pkw,lkw,kom,sonstige,1,kennz_01,2,kennz_02,alkohol,typ,1_urs,2_urs,3_urs,sonst_urs,urs_02,lichtverhaeltnisse,strassenzustand,01_alter_in_jahren,02_alter_in_jahren,bemerkungen,kinder,18_24,senioren
Thierstraße,26,do,1/1/2015,18:20,5,X,,,,,,2,,,,,,,2,,,,21,,21,ms,,681,,14,,,,2/3,,F,-,,,,
Friedrich-Ebert-Straße,143 / Parkplatz,sa,1/3/2015,14:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,703,,49,,,,,,F,-,,,,
Dorpatweg,11,do,1/1/2015,9:30,6,,,,,,,1,,,,,,,1,,,,21,ms,,,,799,01,49,,,,,,26,-,BAK = 1.59 °/oo,,,
Wolbecker Straße,39,so,1/4/2015,20:45,3,,,,,,1,3,,2,n/n,,,,1,,,,21,hsk,71,,,581,,45,,,,2/3,,29,21,,,,
Marktallee,Hohe Geest,do,1/1/2015,20:04,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,232,,14,,,,2,,20,-,,,,
Friedrich-Ebert-Straße,Annenstraße,do,1/1/2015,6:11,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,201,,14,,,,2/3,0,41,-,,,,
Roxeler Straße,416 / Parkplatz ,fr,1/2/2015,14:15,5,,a,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,27,,,,,1,36,-,,,,
Hensenstraße,160,fr,1/2/2015,11:50,5,,m,,,,,1,,,,,,,,1,,,44,bo,,,,711,,36,,,,,1,57,-,,,,
Marktallee,73b / Parkplatz,fr,1/2/2015,11:30,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,14,,,,,1,82,-,,,,
Weseler Straße,Geiststraße,fr,1/2/2015,8:25,5,,a,,,,,2,,,,,,,1,,1,,21,coe,33,ms,,232,,35,,,,1/3,1,63,-,,,,
Wolbecker Straße,Hansaring,so,1/4/2015,20:50,5,,a,,,,,2,,,,,,,2,,,,21,hh,21,ms,,211,,35,,,,2/3,,20,-,,,,
Idenbrockplatz,Parkplatz,mo,1/5/2015,11:10,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,wst,,703,,36,,,,,,82,-,,,,
Lippstädter Straße,Albersloher Weg,mo,1/5/2015,18:00,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,623,,14,,,,,,24,-,,,,
Marktallee,14 / Einfahrt Schulzentrum,mo,1/5/2015,11:35,5,,a,,,,,2,,,,,,,1,1,,,21,ms,44,bn,,301,,28,,,,,,78,-,,,,
Warendorfer Straße,k.v. Handorfer Straße / einw.,di,1/6/2015,10:30,5,,,m,,,,2,,,,,,,1,,,1,59,waf,21,waf,,601,,14,,,,,,31,-,,,,
Schifffahrter Damm,Rudolf-Diesel-Straße,di,1/6/2015,12:15,5,,,m,,,,2,,,,,,,1,1,,,21,waf,40,ms,,641,,26,,,,,1,71,-,,,,
Weseler Straße,Boeselagerstraße,di,1/6/2015,12:55,5,,m,,,,,2,,,,,,,,2,,,40,ms,40,ms,,601,,14,,,,,,49,-,,,,
Orleans-Ring,Einsteinstraße,di,1/6/2015,16:50,5,,a,,,,,2,,1,n,,,,1,,,,21,el,71,,,241,,35,,,,2/3,,88,-,,,,
Toppheideweg,Hensenstraße,do,1/1/2015,6:20,5,,m,,,,,1,,,,,,,1,,,,21,ms,,,,101,,49,,,,2,2,55,-,,,,
Raesfeldstraße,Kellermannstraße,fr,1/2/2015,10:40,5,,m,,,,,2,,,,,,,1,1,,,40,re,21,ms,,594,,14,,,,,1,27,-,,,,
B 54,Höhe AS Nienberge / FR MS,fr,1/2/2015,15:30,5,,,o,,,,1,,,,,,,1,,,,21,el,,,,771,,51,,,,,,39,-,,,,
Schulstraße,21,fr,1/2/2015,16:00,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,501,,14,,,,,,25,-,,,,
Verspoel,Klosterstraße,fr,1/2/2015,10:40,5,,m,,,,,2,,,,,,,1,1,,,44,ms,21,ms,,592,,14,,,,,,27,-,,,,
Am Kalvarienberg,12,fr,1/2/2015,11:30,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,701,,14,,,,,,76,-,,,,
Dodostraße,18,fr,1/2/2015,16:50,5,,m,,,,,2,,,,,,,2,,,,21,gt,21,en,,501,,14,,,,1/3,,26,-,,,,
Schlossplatz,Universitätsstraße,fr,1/2/2015,12:30,5,,m,,,,,2,,,,,,,2,,,,21,st,21,coe,,601,,14,,,,,1,37,-,,,,
Goebenstraße,35,sa,1/3/2015,16:25,5,,m,,,,,2,,,,,,,2,,,,21,st,21,ms,,551,,37,,,,1,1,29,-,Stadt,,,
Steinfurter Straße,Wilkinghege,sa,1/3/2015,13:50,5,,m,,,,,2,,,,,,,1,1,,,40,wi,21,coe,,711,,36,,,,,1,47,-,,,,
Wickenkamp,35,sa,1/3/2015,15:45,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,702,,37,,,,,1,47,-,,,,
Coerdestraße,50,sa,1/3/2015,15:32,5,,m,,,,,2,,,,,,,2,,,,21,sl,21,ms,,711,,36,,,,,,19,-,,,,
Albersloher Weg,100m v. An den Loddenbüschen FR einw.,sa,1/3/2015,14:21,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,602,,14,,,,,1,47,-,,,,
Albersloher Weg,624,sa,1/3/2015,18:05,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,601,,14,,,,2/3,1,27,-,,,,
Hammer Straße,Höhe Trauttmansdorffstraße,sa,1/3/2015,16:55,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,waf,,641,,26,,,,1/3,1,56,-,,,,
Lippstädter Straße,42,sa,1/3/2015,17:40,5,,m,,,,,1,,,,,,,1,,,,21,coe,,,,711,,36,,,,2/3,1,50,-,Stadt,,,
Bremer Platz,Parkhaus,sa,1/3/2015,11:10,5,,m,,,,,2,,,,,,,2,,,,21,waf,21,ms,,703,,14,,,,,,19,-,,,,
Kleiheide,150m v. Sandruper Straße,so,1/4/2015,18:51,5,,,o,,,,1,,,,,,,1,,,,21,ms,,,,751,,0,,86,,2,,27,-,,,,
Annenstraße,ggü. 7,so,1/4/2015,19:00,5,,m,,,,,2,,,,,,,2,,,,21,un,21,ms,,711,,36,,,,2/3,,27,-,,,,
Burgwall,17,so,1/4/2015,13:00,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,501,,14,,,,1,,44,-,,,,
B 51,FR WAF / AS Hammer Straße FR Hiltrup,so,1/4/2015,17:10,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,waf,,622,,14,,,,2,1,29,-,,,,
Weseler Straße,628,so,1/4/2015,15:10,5,,m,,,,,2,,,,,,,2,,,,21,st,21,a,,601,,14,,82,,,,88,-,,,,
Freckenhorster Straße,"Abschn.9; km 0,500; FR WAF",so,1/4/2015,2:32,5,,,o,,,,1,,,,,,,1,,,,21,ms,,,,751,,0,,86,,2,,46,-,,,,
Alter Steinweg,Parkhaus,mo,1/5/2015,16:10,5,,m,,,,,2,,,,,,,2,,,,21,st,21,in,,703,,36,,,,,,46,-,,,,
Schifffahrter Damm,29 / Tankstelle,mo,1/5/2015,14:50,5,,m,,,,,2,,,,,,,1,1,,,21,ms,40,ms,,703,,36,,,,,,50,-,,,,
Roxeler Straße,Dieckmannstraße,mo,1/5/2015,17:30,5,,m,,,,,2,,,,,,,2,,,,21,coe,21,mi,,201,,14,,,,2,,23,-,,,,
Wolbecker Straße,57 / Innenhof,mo,1/5/2015,15:40,5,,m,,,,,2,,,,,,,2,,,,21,waf,21,ms,,702,,14,,,,,,?,-,,,,
Kärntner Straße,44,mo,1/5/2015,11:05,5,,o,,,,,1,,,,,,,,1,,,44,dn,,,,799,,49,,,,1,,41,-,,,,
B 51,zw. Spinne u. Hammer Straße,mo,1/5/2015,17:20,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,601,,14,,,,2,,51,-,,,,
Albersloher Weg,Höhe Erbdrostenweg,mo,1/5/2015,20:08,5,,m,,,,,2,,,,,,,1,1,,,21,ms,40,ms,,601,,14,,,,2/3,,44,-,,,,
Ludgeriplatz,Moltkestraße,mo,1/5/2015,16:48,5,,m,,,,,2,,,,,,,2,,,,21,el,21,ms,,231,,14,,,,1,,57,-,,,,
Freckenhorster Straße,Telgter Straße,mo,1/5/2015,8:16,5,,,m,,,,2,,,,,,,2,,,,21,ms,21,ms,,621,,14,,,,1,,29,-,,,,
Rummler,Albersloher Weg,mo,1/5/2015,20:45,5,,,o,,,,1,,,,,,,1,,,,21,waf,,,,751,,0,,86,,2,,63,-,,,,
Dingbängerweg,Weseler Straße,di,1/6/2015,16:45,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,623,,14,,,,1,,44,-,,,,
Weseler Straße,383 / Tankstelle,di,1/6/2015,20:15,5,,m,,,,,2,,,,,,,1,1,,,21,ms,46,ms,,711,,36,,,,2,,59,-,,,,
Marktallee,62 / Parkplatz,di,1/6/2015,16:00,5,,m,,,,,2,,,,,,,1,1,,,44,st,21,ms,,711,,36,,,,,,58,-,,,,
Industrieweg,105,di,1/6/2015,0:03,5,,m,,,,,1,,,,,,,1,,,,21,ms,,,,102,,13,49,,,2,1,18,-,,,,
Hafenweg,32,di,1/6/2015,0:25,5,,m,,,,,2,,,,,,,1,1,,,46,erb,21,ms,,501,,14,,,,2/3,1,54,-,,,,
Ludgeriplatz,Hammer Straße,di,1/6/2015,15:50,5,,o,,,,,2,,1,n,,,,1,,,,71,,21,ms,,601,,14,,,,,,25,-,,,,
Ludgeriplatz,11 - 13 / Parkplatz,di,1/6/2015,9:50,5,,m,,,,,2,,,,,,,2,,,,21,d,21,kl,,703,,36,,,,,,42,-,,,,
Sprickmannstraße,ggü. 33,di,1/6/2015,8:30,5,,o,,,,,2,,,,,,,1,1,,,44,her,21,ms,,702,,14,,,,,,24,-,,,,
Gartenbreie,1 / Parkplatz,di,1/6/2015,10:40,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,st,,711,,36,,,,,,71,-,,,,
Hoher Heckenweg,ggü. 101,di,1/6/2015,14:30,5,,m,,,,,2,,,,,,,1,,1,,21,ms,33,st,,141,,14,49,,,,,83,-,,,,
Catharina-Müller-Straße,8 / Parkplatz,di,1/6/2015,13:30,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,vel,,711,,36,,,,,,?,-,,,,
Johann-Krane-Weg,Parkplatz Burger-King,di,1/6/2015,17:40,5,,m,,,,,2,,,,,,,2,,,,21,te,21,noh,,703,,36,,,,2,,26,-,,,,
Syndikatsplatz,Parkplatz,di,1/6/2015,7:55,5,,o,,,,,2,,,,,,,,2,,,44,ms,44,hb,,703,,36,,,,1,,51,-,,,,
Korduanenstraße,Ritterstraße / Parkplatz,di,1/6/2015,12:20,5,,m,,,,,2,,,,,,,2,,,,21,waf,21,coe,,703,,14,,,,,,41,-,,,,
Neutor,Wilhelmstraße,di,1/6/2015,13:10,5,,m,,,,,2,,,,,,,1,,1,,33,ms,21,waf,,631,,26,,,,,,34,-,,,,
Hammer Straße,Düesbergweg,mi,1/7/2015,13:10,5,,m,,,,,2,,,,,,,2,,,,21,d,21,coe,,601,,14,,,,,,29,-,,,,
Loerstraße,Parkhaus Karstadt,mi,1/7/2015,10:40,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,do,,703,,14,,,,,,79,-,,,,
Ludgeriplatz,Moltkestraße,mi,1/7/2015,6:55,5,,m,,,,,2,,,,,,,2,,,,21,coe,21,ms,,231,,14,,,,2,1,64,-,,,,
Heidegrund,200m v. Bahnübergang,mi,1/7/2015,16:50,5,,,o,,,,1,,,,,,,1,,,,21,st,,,,751,,0,,86,,1,1,33,-,,,,
Ferdinandstraße,1,mi,1/7/2015,19:05,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,el,,701,,14,,,,2/3,,47,-,,,,
Von-Vincke-Straße,5,mi,1/7/2015,14:39,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,601,,14,,,,,,46,-,,,,
Tegederstraße,Propsteistraße,mi,1/7/2015,16:08,5,,m,,,,,2,,,,,,,2,,,,21,w,21,ms,,711,,14,,,,1,,20,-,,,,
