vu_ort,vu_hoehe,tag,datum,uhrzeit,kat,flucht,t,sv,lv,anzahl_beteiligte,fg,rf,mofa,kkr,krad,pkw,lkw,kom,sonstige,1,2,alkohol,typ,1_urs,2_urs,3_urs,sonst_urs,lichtverhaeltnisse,strassenzustand,01_alter_in_jahren,kinder,18_24,senioren
Friedrich-Ebert-Straße,166,Mo.,1/1/2007,5:55,5,,,,,2,,,,,,2,,,,21,21,,302,28,,,,2/3/2016,1,,,,
Sprakeler Straße,147,Mo.,1/1/2007,23:30,7,,,,,1,,,,,,1,,,,21,,,799,36,,,,2,0,,,,
Hogenbergstraße,43,Mo.,1/1/2007,16:00,7,,,,,2,,,,,,1,,,1,92,21,,799,14,,,,0,1,,,,
Schifffahrter Damm,Ostmarkstraße,Mo.,1/1/2007,23:00,5,,,,,2,,,,,,2,,,,21,21,,231,14,,,,2/3/2016,1,,,,
Schillerstraße,40,Mo.,1/1/2007,14:45,3,,,,1,2,,1,,,,1,,,,71,21,,501,1,,,,0,1,,,,
Drechslerweg,1,Mo.,1/1/2007,12:00,7,,,,,2,,,,,,1,,,1,92,21,,799,49,,,,0,0,,,,
Königsberger Straße,Hoher Heckenweg,Di.,2/1/2007,17:00,5,,,,,2,,,,,,2,,,,21,21,,623,14,,,,2,0,,,,
An der Meerwiese,ggü. 14,Di.,2/1/2007,22:20,5,,,,,2,,,,,,2,,,,21,21,,501,14,,,,2/3/2016,1,,,,
Grevener Straße,Höhe Teppich Frick,Di.,2/1/2007,7:18,5,,,,,1,,,,,,1,,,,21,,,141,51,,,,2/3/2016,1,,,,
Hensenstraße,Twenteweg,Di.,2/1/2007,17:35,5,,,,,2,,,,,,2,,,,21,21,,201,14,,,,2,1,,,,
Kanalstraße,59,Di.,2/1/2007,17:35,5,,,,,2,,,,,,1,,1,,21,33,,572,36,,,,2/3/2016,1,,,,
Hammer Straße,Umgehungsstraße,Di.,2/1/2007,14:15,5,,,,,3,,,,,,3,,,,21,21,,231,14,,,,0,1,,,,
Wolbecker Straße,Schaumburgstraße,Di.,2/1/2007,18:40,5,,,,,3,,,,,,3,,,,21,21,,630,26,,,,2/3/2016,1,,,,
Bremer Platz,Parkplatz Ostausgang HBF,Di.,2/1/2007,17:32,5,,,,,2,,,,,,2,,,,21,21,,703,36,,,,1/3/2016,1,,,,
Diepenbrockstraße,29,Di.,2/1/2007,9:00,5,,,,,2,,,,,,1,1,,,41,21,,501,14,,,,0,1,,,,
Robert-Bosch-Straße,Brücke unter Umgehungsstraße,Di.,2/1/2007,17:15,5,,,,,3,,,,,,3,,,,21,21,,611,14,,,,2,1,,,,
Osttor,Albersloher Weg,Di.,2/1/2007,18:50,5,,,,,2,,,,,,2,,,,21,21,,231,14,,,,2/3/2016,1,,,,
Kappenberger Damm,Brunnenweg,Di.,2/1/2007,18:25,5,,,,,2,,,,,,2,,,,21,21,,711,36,,,,2,1,,,,
Am Kanonengraben,Ludgeriplatz,Di.,2/1/2007,11:30,7,,,,,2,,,,,,2,,,,21,21,,799,36,,,,0,1,,,,
Am Berg Fidel,Parkplatz Sporthalle,Di.,2/1/2007,18:30,7,,,,,2,,,,,,1,,,1,92,21,,703,49,,,,2,1,,,,
Loddenheide,Eulerstraße,Di.,2/1/2007,17:10,3,,,,3,2,,,,,,2,,,,21,21,,211,35,,,,2/3/2016,1,,,1,
Albersloher Weg,Heumannsweg,Di.,2/1/2007,22:35,5,,,,,3,,,,,,3,,,,21,21,,601,14,,,,2/3/2016,1,,,,
Zur Landwehr,60,Di.,2/1/2007,16:55,5,,,,,1,,,,,,1,,,,21,,,751,,,,86,0,,,,,
Marktallee,Parkplatz Edeka,Di.,2/1/2007,10:45,7,,,,,2,,,,,,1,,,1,92,21,,703,49,,,,0,1,,,,
Westfalenstraße,201,Di.,2/1/2007,9:30,7,,,,,2,,,,,,1,,,1,92,21,,799,49,,,,0,,,,,
Gartenstraße,Höhe Edeka,Di.,2/1/2007,21:57,4,,,,,2,,,,,,2,,,,21,21,,211,35,,,,2/3/2016,1,,,,
Hoher Heckenweg,Edelbach,Di.,2/1/2007,6:18,3,,,,1,2,,1,,,,1,,,,21,71,,261,35,,,,2/3/2016,1,,,,
