vu_ort,vu_hoehe,tag,datum,uhrzeit,kat,flucht,t,sv,lv,anzahl_beteiligte,fg,rf,mofa,kkr,krad,pkw,lkw,kom,sonstige,1,2,alkohol,typ,1_urs,2_urs,3_urs,sonst_urs,lichtverhaeltnisse,strassenzustand,01_alter_in_jahren,kinder,18_24,senioren
Altenberger Straße,150m vor Donnerbusch ausw.,So,1/1/2012,4:00,5,,,,,1,,,,,,1,,,,21,,,751,,0,,86,2,1,52,,,
Altenberger Straße,50m vor Beerwiede einw.,So,1/1/2012,4:05,5,,,,,1,,,,,,1,,,,21,,,751,,0,,86,2,1,67,,,
Jacobistraße,12,So,1/1/2012,5:47,5,,,,,2,,,,,,1,,,1,59,21,,711,,36,,,2,1,36,,,
Immelmannstraße,In der Stroth,So,1/1/2012,2:50,5,,,,,2,,,,,,1,1,,,21,41,,711,,36,,,2/3/2016,1,20,,,
Westfalenstraße,120,So,1/1/2012,18:05,3,,,,1,2,,1,,,,1,,,,21,71,,223,,35,,,2/3/2016,1,33,,,
Raesfeldstraße,74,So,1/1/2012,17:00,5,X,,,,2,,,,,,1,,,1,92,21,,799,,49,,,,1,F,,,
Dingbängerweg,Mecklenbecker Straße,So,1/1/2012,2:14,3,,,,1,2,,1,,,,1,,,,71,21,,244,1,31,,,2/3/2016,1,19,,,
Killingstraße,15,So,1/1/2012,4:25,5,X,,,,2,,,,,,2,,,,21,21,,572,,36,,,2/3/2016,1,F,,,
Zum Rieselfeld,35,So,1/1/2012,8:25,4,,,,,1,,,,,,1,,,,21,,,101,1,13,,,1,1,21,,,
Julius-Leber-Straße,20,Mo,1/2/2012,11:00,5,,,,,2,,,,,,2,,,,21,21,,701,,14,,,,1,53,,,
Franz-Ludwig-Weg,9,Mo,1/2/2012,19:17,5,,,,,2,,,,,,2,,,,21,21,,501,,14,,,2/3/2016,1,35,,,
Rektoratsweg,37,Mo,1/2/2012,22:23,5,,,,,2,,,,,,2,,,,21,21,,501,,14,,,2,1,58,,,
Hammer Straße,455,Mo,1/2/2012,18:15,5,,,,,2,,,,,,1,,1,,21,33,,601,,14,,,2,,75,,,
Herwarthstraße,Von-Vincke-Straße,Mo,1/2/2012,7:25,5,,,,,2,,,,,,2,,,,21,21,,623,,14,,,2,1,27,,,
Georgskommende,26,Mo,1/2/2012,10:10,5,,,,,2,,,,,,2,,,,21,21,,711,,36,,,,1,58,,,
Steinfurter Straße,200m vor York-Ring einw.,Mo,1/2/2012,7:35,5,X,,,,2,,,,,,2,,,,21,21,,631,,26,,,2/3/2016,1,61,,,
Rudolf-von-Langen-Straße,38,Mo,1/2/2012,9:30,5,X,,,,2,,,,,,1,,,1,92,21,,799,,14,,,,1,F,,,
Hammer Straße,38,Mo,1/2/2012,15:45,5,X,,,,2,,,,,,2,,,,21,21,,799,,49,,,1,,F,,,
Dachsleite,Coerheide,Mo,1/2/2012,13:20,5,,,,,2,,,,,,,,1,1,53,33,,683,,11,,,,,16,,,
Weseler Straße,59,Mo,1/2/2012,11:40,5,X,,,,2,,,,,,2,,,,21,21,,703,,49,,,,,41,,,
Amelsbürener Straße,Hansestraße,Mo,1/2/2012,7:05,4,,,,,1,,,,,,1,,,,21,,,141,1,13,,,2,1,34,,,
Himmelreichallee,k.h. Am Stadtgraben / Parkstreifen,Mo,1/2/2012,21:30,5,X,,,,2,,,,,,2,,,,21,21,,712,,14,,,,1,46,,,
Schulstraße,3,Di,1/3/2012,18:10,5,,,,,2,,,,,,2,,,,21,21,,501,,14,,,2,1,70,,,
Idenbrockplatz,Parkplatz,Di,1/3/2012,11:30,5,,,,,2,,,,,,2,,,,21,21,,703,,36,,,,1,80,,,
Tellbusch,10,Di,1/3/2012,18:25,5,,,,,2,,,,,,2,,,,21,21,,711,,36,,,2,1,32,,,
Warendorfer Straße,4,Di,1/3/2012,18:15,5,,,,,2,,,,,,2,,,,21,21,,601,,14,,,2,1,48,,,
Scharnhorststraße,Brunnenstraße,Di,1/3/2012,7:40,5,,,,,2,,,,,,2,,,,21,21,,231,,14,,,2/3/2016,,25,,,
Hansaring,Schillerstraße,Di,1/3/2012,17:10,5,,,,,2,,,,,,1,1,,,41,21,,601,,14,,,2,1,47,,,
Weseler Straße,535,Di,1/3/2012,16:00,5,,,,,2,,,,,,2,,,,21,21,,601,,14,,,,,54,,,
Piusallee,53,Di,1/3/2012,8:27,3,,,,,2,,,,,,2,,,,21,21,,681,,14,11,,1,,33,,,
Domagkstraße,ggü. 32,Di,1/3/2012,11:45,5,,,,,2,,,,,,2,,,,21,21,,301,,37,,,,,48,,,
Weseler Straße,1,Di,1/3/2012,8:10,5,,,,,2,,,,,,1,1,,,41,21,,640,,26,,,1,,43,,,
Rektoratsweg,36,Di,1/3/2012,10:50,5,,,,,2,,,,,,1,1,,,41,21,,711,,36,,,,1,48,,,
Idenbrockplatz,Parkplatz,Di,1/3/2012,11:35,5,,,,,2,,,,,,2,,,,21,21,,703,,14,,,,1,73,,,
Warendorfer Straße,150,Di,1/3/2012,14:40,5,,,,,2,,,,,,2,,,,21,21,,501,,14,,,,,81,,,
Augustastraße,5,Di,1/3/2012,8:20,5,,,,,2,,,,,,2,,,,21,21,,501,,14,,,,1,27,,,
Hammer Straße,53,Di,1/3/2012,11:05,5,,,,,2,,,,,,2,,,,21,21,,701,,14,,,,1,22,,,
Gasselstiege,25,Di,1/3/2012,8:35,5,,,,,2,,,,,,1,1,,,41,21,,711,,36,,,,,59,,,
Cheruskerring,Kanalstraße,Di,1/3/2012,16:40,5,,,,,2,,,,,,2,,,,21,21,,623,,14,,,,,19,,,
Am Max-Klemens-Kanal,Höhe BAB-Brücke,Di,1/3/2012,17:15,5,,,,,1,,,,,,1,,,,21,,,751,,0,,86,,,24,,,
Steinfurter Straße,Vorbergweg,Di,1/3/2012,19:10,5,,,,,2,,,,,,2,,,,21,21,,601,,14,,,2,1,18,,,
Cheruskerring,Langemarckstraße,Di,1/3/2012,18:25,3,,,,1,2,1,,,,,1,,,,81,21,,221,,60,81,,2/3/2016,1,28,,,
Idenbrockplatz,Parkplatz,Di,1/3/2012,7:30,5,X,,,,2,,,,,,1,,,1,92,21,,703,,49,,,,,F,,,
Albersloher Weg,Heidestraße,Di,1/3/2012,18:05,3,,,,1,2,1,,,,,1,,,,21,81,,221,,40,81,,2/3/2016,1,55,,,
Westfalenstraße,130 / Parkplatz,Di,1/3/2012,14:30,5,X,,,,2,,,,,,1,,,1,92,21,,703,,49,,,,1,F,,,
Stiftsstraße,17,Di,1/3/2012,21:15,5,X,,,,2,,,,,,2,,,,21,21,,799,,14,,,2/3/2016,1,70,,,
Weseler Straße,Inselbogen,Di,1/3/2012,8:00,5,,,,,2,,1,,,,1,,,,21,71,,224,,35,,,,,38,,,
Haus Uhlenkotten,28 / Parkplatz,Di,1/3/2012,13:45,5,X,,,,2,,,,,,2,,,,21,21,,703,,49,,,2,1,F,,,
Münsterstraße,Grenkuhlenweg,Di,1/3/2012,17:30,3,,,,1,2,,,,,,2,,,,21,21,,302,,28,,,2/3/2016,1,26,,,
Marsweg,Jupiterweg,Di,1/3/2012,11:50,5,,,,,2,,,,,,2,,,,21,21,,322,,27,,,,1,18,,,
Albert-Schweitzer-Campus,1 / Parkhaus,Di,1/3/2012,14:30,5,X,,,,2,,,,,,1,,,1,92,21,,703,,49,,,,,F,,,
Harkortstraße,30 / Parkplatz Grossmarkt,Di,1/3/2012,18:00,5,X,,,,2,,,,,,1,,,1,92,21,,703,,49,,,2/3/2016,1,F,,,
Osthofstraße,Steinkuhle,Di,1/3/2012,17:20,2,,,1,,2,1,,,,,1,,,,21,81,,221,,35,81,,2/3/2016,1,42,,,
Hammer Straße,367,Di,1/3/2012,11:00,4,X,,,,1,,,,,,1,,,,21,,,141,,49,,,,1,F,,,
Hohenzollernring,74,Di,1/3/2012,7:50,5,X,,,,2,,1,,,,1,,,,21,71,,711,,36,,,1,,26,,,
Mecklenbecker Straße,177,Mi,1/4/2012,12:40,5,,,,,2,,,,,,2,,,,21,21,,630,,14,26,,,1,43,,,
Bahnhofstraße,2,Mi,1/4/2012,10:50,5,,,,,2,,,,,,2,,,,21,21,,711,,36,37,,,1,64,,,
Albersloher Weg,Hafenweg,Mi,1/4/2012,8:40,5,,,,,2,,,,,,1,1,,,41,21,,231,,14,,,1,1,40,,,
Marktallee,52,Mi,1/4/2012,8:00,5,,,,,2,,,,,,2,,,,21,21,,231,,14,,,1/3/2016,1,37,,,
Albersloher Weg,Höhe Gremmendorfer Weg,Mi,1/4/2012,11:15,5,,,,,2,,,,,,2,,,,21,21,,231,,14,,,,1,67,,,
Neutor,Wilhelmstraße,Mi,1/4/2012,16:10,5,,,,,2,,,,,,2,,,,21,21,,623,,14,,,,,36,,,
Hörsterstraße,Promenade,Mi,1/4/2012,20:05,5,,,,,2,,,,,,1,,1,,33,21,,623,,14,,,2/3/2016,1,54,,,
Berliner Platz,29,Mi,1/4/2012,20:15,5,,,,,1,,,,,,1,,,,21,,,799,,14,,,2,1,18,,,
Glasuritstraße,Parkplatz BASF,Mi,1/4/2012,14:50,5,,,,,2,,,,,,2,,,,21,21,,703,,14,,,,1,48,,,
An der Germaniabrauerei,Parkplatz Factory Hotel,Mi,1/4/2012,19:25,5,,,,,2,,,,,,2,,,,21,21,,703,,36,,,2/3/2016,,22,,,
Kettelerstraße,50,Mi,1/4/2012,11:40,5,,,,,2,,,,,,2,,,,21,21,,701,,14,,,,1,42,,,
Südstraße,Zimmerstraße,Mi,1/4/2012,18:40,5,,,,,2,,,,,,2,,,,21,21,,711,,36,,,2/3/2016,1,20,,,
Twenhövenweg,40,Mi,1/4/2012,11:05,5,,,,,1,,,,,,,1,,,41,,,799,,14,,,,1,45,,,
Friedrich-Ebert-Straße,143 / Parkplatz E-Center,Mi,1/4/2012,16:05,5,,,,,2,,,,,,2,,,,21,21,,703,,36,,,,,58,,,
Kappenberger Damm,Düesbergweg,Mi,1/4/2012,21:55,2,,,1,,2,,1,,,,1,,,,21,71,,223,,35,,,2/3/2016,1,58,,,
Münsterstraße,25,Mi,1/4/2012,7:30,5,X,,,,2,,,,,,1,,,1,92,21,,799,,14,,,,1,F,,,
Wolbecker Straße,Höhe Überführung Umgehungsstr.,Mi,1/4/2012,6:40,5,X,,,,2,,,,,,1,,,1,92,21,,681,,14,11,,2,1,F,,,
Weseler Straße,Bonhoefferstraße,Mi,1/4/2012,7:20,3,,,,2,3,2,,,,,1,,,,21,81,,221,,39,40,,2/3/2016,1,47,,,
Westfalenstraße,Marktallee,Mi,1/4/2012,14:00,5,X,,,,2,,,1,,,1,,,,2,21,,621,,14,,,,1,F,,,
