vu_ort,vu_hoehe,tag,datum,uhrzeit,kat,flucht,t,sv,lv,anzahl_beteiligte,fg,rf,mofa,kkr,krad,pkw,lkw,kom,sonstige,1,2,alkohol,typ,1_urs,2_urs,3_urs,sonst_urs,lichtverhaeltnisse,strassenzustand,01_alter_in_jahren,kinder,18_24,senioren
Hindenburgplatz,Überwasserstraße,So,1/3/2010,1:55,5,,,,,2,,,,,,2,,,,21,21,,101,,14,72,,2/3/2016,2,31,,,
Hülshoffstraße,Rüschhausweg,So,1/3/2010,6:20,5,,,,,2,,,,,,,1,1,,33,41,,714,,36,,,0,1,26,,,
Peter-Wust-Straße,14,So,1/3/2010,10:30,5,X,,,,2,,,,,,1,,,1,92,21,,101,,13,14,72,2/3/2016,2,43,,,
Meesenstiege,,So,1/3/2010,11:15,5,,,,,2,,,,,,1,,,1,59,21,,201,,14,72,,2,2,24,,,
Friedrich-Ebert-Straße,Hammer Straße,So,1/3/2010,13:30,5,,,,,2,,,,,,2,,,,21,21,,751,,0,,86,2,2,40,,,
Ludgeriplatz,Moltkestraße,So,1/3/2010,14:30,5,,,,,2,,,,,,2,,,,21,21,,714,,36,,,0,1,21,,,
Steinfurter Straße,Grevener Straße,So,1/3/2010,15:50,5,,,,,2,,,,,,1,,1,,33,21,,681,1,11,72,,2/3/2016,2,36,,,
Hammer Straße,Friedrich-Ebert-Straße,So,1/3/2010,17:30,5,,,,,2,,,,,,2,,,,21,21,,141,1,13,72,,2/3/2016,2,21,,,
Westfalenstraße,Merkureck,So,1/3/2010,18:10,5,,,,,2,,,,,,2,,,,21,21,,799,,49,,,0,1,F,,,
Horstmarer Landweg,Austermannstraße,So,1/3/2010,21:35,3,,,,1,2,,,,,,2,,,,21,21,,703,,36,72,,0,2,27,,,
Amelsbürener Straße,Rückertstraße,So,1/3/2010,15:05,5,,,,,2,,,,,,1,,,1,21,59,,141,,13,72,,0,2,20,,,
Telgter Straße,2,So,1/3/2010,1:35,5,,,,,1,,,,,,1,,,,21,,,102,,13,72,,2/3/2016,1/2/2016,55,,,
Metzer Straße,Hammer Straße,Mo,1/4/2010,6:20,3,,,,1,2,,1,,,,1,,,,21,71,,703,,36,72,,2,2,35,,,
Bremer Platz,1,Mo,1/4/2010,6:24,5,,,,,2,,,,,,2,,,,21,21,,711,,36,72,,2,2,56,,,
Albersloher Weg,563,Mo,1/4/2010,8:45,5,,,,,3,,,,,,3,,,,21,21,,601,,14,72,,0,1/2/2016,55,,,
Kanalstraße,Lublinring,Mo,1/4/2010,9:45,5,,,,,2,,,,,,1,1,,,41,21,,751,,0,,86,2,1,27,,,
Ostmarkstraße,56,Mo,1/4/2010,10:15,5,,,,,2,,,,,,2,,,,21,21,,141,,13,72,,0,2,40,,,
Friedrichstraße,Warendorfer Straße,Mo,1/4/2010,10:30,3,,,,1,2,,,,,,2,,,,21,21,,711,,36,,,0,0,50,,,
Frie-Vendt-Straße,Hafenstraße,Mo,1/4/2010,10:40,5,,,,,2,,,,,,1,1,,,21,41,,121,,13,72,,2,2,38,,,
Bremer Straße,Hamburger Straße,Mo,1/4/2010,11:00,5,,,,,2,,,,,,2,,,,21,21,,703,,14,72,,1,2,40,,,
Warendorfer Straße,Hohenzollernring,Mo,1/4/2010,11:10,5,,,,,2,,,,,,2,,,,21,21,,703,,36,72,,2/3/2016,2,50,,,
Bösenseller Straße,61,Mo,1/4/2010,11:18,5,,,,,2,,,,,,2,,,,21,21,,711,,36,72,,2/3/2016,2,36,,,
Sebastiankirchweg,Augustastraße,Mo,1/4/2010,11:30,5,,,,,2,,,,,,2,,,,21,21,,799,,14,72,,1,2,41,,,
Geiststraße,Weseler Straße,Mo,1/4/2010,12:30,5,,,,,2,,,,,,1,,,1,21,59,,703,,36,72,,0,2,57,,,
An der Kleimannbrücke,32,Mo,1/4/2010,13:00,5,X,,,,2,,,,,,1,,,1,92,21,,681,,11,72,,2/3/2016,2,23,,,
Düesbergweg,Kappenberger Damm,Mo,1/4/2010,13:20,5,,,,,2,,,,,,2,,,,21,21,,703,,36,72,,2,2,56,,,
Bernhard-Ernst-Straße,1,Mo,1/4/2010,13:55,5,,,,,2,,,,,,2,,,,21,21,,752,,0,,87,0,2,52,,,
Warendorfer Straße,Höhe Pulverschuppen,Mo,1/4/2010,14:24,3,,,,1,2,,,,,,1,,,1,21,62,,623,,14,72,,0,2,22,,,
Grevener Straße,Jahnstraße,Mo,1/4/2010,14:40,5,,,,,2,,,,,,2,,,,21,21,,601,,14,72,,0,2,37,,,
Düesbergweg,Kappenberger Damm,Mo,1/4/2010,15:10,5,,,,,2,,,,,,2,,,,21,21,,601,,14,72,,0,2,40,,,
Berliner Platz,Parkplatz vor HBF,Mo,1/4/2010,17:00,5,,,,,2,,,,,,2,,,,21,21,,501,,14,72,,0,2,54,,,
Robert-Bosch-Straße,Robert-Bosch-Straße,Mo,1/4/2010,17:10,5,,,,,2,,,,,,2,,,,21,21,,701,,14,72,,0,2,58,,,
Nottebrock,Altes Munition Depot,Mo,1/4/2010,17:20,5,,,,,1,,,,,,1,,,,21,,,501,,14,72,,0,2,33,,,
Westfalenstraße,Höhe Heithorn,Mo,1/4/2010,17:40,5,,,,,2,,,,,,1,1,,,45,21,,681,,11,72,,0,2,26,,,
Bohlweg,Gartenstraße,Mo,1/4/2010,19:28,5,,,,,3,,,,,,3,,,,21,21,,711,,36,72,,2/3/2016,2,23,,,
Von-Esmarch-Straße,ggü. Rewe,Mo,1/4/2010,19:56,5,,,,,1,,,,,,1,,,,21,,,602,,14,72,,2,1/2/2016,26,,,
Klosterstraße,61,Mo,1/4/2010,20:00,5,X,,,,2,,,,,,1,,,1,92,21,,101,,13,72,,2,1/2/2016,54,,,
Straßen und Plätze ohne Namen,Straße ohne Name,Mo,1/4/2010,21:00,5,X,,,,2,,,,,,1,,,1,92,21,,601,,14,72,,2/3/2016,2,41,,,
Alter Mühlenweg,ca. 100m h. Münsterstr.,Mo,1/4/2010,22:25,5,,,,,1,,,,,,1,,,,21,,,501,,14,72,,2/3/2016,2,22,,,
Weseler Straße,Inselbogen,Mo,1/4/2010,9:30,5,,,,,2,,,,,,2,,,,21,21,,623,,14,72,,0,2,42,,,
Grevener Straße,122,Mo,1/4/2010,12:05,5,,,,,2,,,,,,,1,1,,31,41,,602,,14,72,,0,2,49,,,
Voßgasse,Neubrückenstraße,Mo,1/4/2010,7:51,5,,,,,2,,,,,,1,1,,,41,21,,623,,14,72,,1,2,36,,,
Boeselagerstraße,Mecklenbecker Straße,Mo,1/4/2010,10:25,5,,,,,2,,,,,,2,,,,21,21,,201,,14,72,,0,2,58,,,
Boeselagerstraße,Mecklenbecker Straße,Mo,1/4/2010,9:30,5,,,,,2,,,,,,2,,,,21,21,,623,,14,72,,0,2,18,,,
Münzstraße,Kreuzstraße,Mo,1/4/2010,10:10,5,,,,,2,,,,,,1,1,,,41,21,,621,,13,14,72,0,2,31,,,
Düesbergweg,128,Di,1/5/2010,4:40,5,,,,,2,,,,,,2,,,,21,21,,231,,14,72,,0,2,56,,,
Roxeler Straße,Albert-Schweitzer-Straße,Di,1/5/2010,6:50,5,,,,,2,,,,,,2,,,,21,21,,711,,36,72,,0,2,43,,,
Kirchplatz,4,Di,1/5/2010,7:10,5,,,,,2,,,,,,2,,,,21,21,,211,,35,,,2,1,85,,,
Arnheimweg,9 / Parkplatz Lidl,Di,1/5/2010,7:15,5,X,,,,2,,,,,,2,,,,21,21,,681,,49,72,,0,2,53,,,
An der Kleimannbrücke,1,Di,1/5/2010,9:30,5,,,,,1,,,,,,,1,,,51,,,591,,13,72,,0,2,42,,,
