vu_ort,vu_hoehe,tag,datum,uhrzeit,kat,flucht,t,sv,lv,anzahl_beteiligte,fg,rf,mofa,kkr,krad,pkw,lkw,kom,sonstige,1,2,alkohol,typ,1_urs,2_urs,3_urs,sonst_urs,lichtverhaeltnisse,strassenzustand,01_alter_in_jahren,kinder,18_24,senioren
Berliner Platz,Parkplatz,Mi,1/1/2014,0:30,5,,,,,2,,,,,,2,,,,21,21,,711,,36,,,,,25,,,
Albersloher Weg,Paul-Engelhardt-Weg,Mi,1/1/2014,3:15,5,,,,,2,,,,,,2,,,,21,21,,601,,14,,,2/3/2016,1,25,,,
Leostraße,17,Mi,1/1/2014,12:00,5,,,,,2,,,,,,2,,,,21,21,,711,,36,,,,,26,,,
Schlossplatz,ggü. 42,Mi,1/1/2014,15:05,5,,,,,2,,,,,,2,,,,21,21,,640,,26,,,,,18,,,
Hammer Straße,297,Mi,1/1/2014,15:30,5,,,,,2,,,,,,2,,,,21,21,,501,,14,,,,,25,,,
Weseler Straße,14,Mi,1/1/2014,19:00,5,,,,,2,,,,,,2,,,,21,21,,630,,26,,,2/3/2016,,54,,,
Dülmener Straße,27,Do,1/2/2014,12:15,5,,,,,2,,,,,,2,,,,21,21,,301,,37,,,,1,31,,,
Bernhard-Poether-Straße,36,Do,1/2/2014,12:55,5,,,,,2,,,,,,1,1,,,44,21,,711,,36,,,,1,21,,,
Pottkamp,17,Do,1/2/2014,14:20,5,,,,,2,,,,,,2,,,,21,21,,501,,14,,,,1,58,,,
Grevener Straße,Am Burloh,Do,1/2/2014,15:00,5,,,,,2,,,,,,2,,,,21,21,,623,,14,,,,1,56,,,
Hiltruper Straße,59 / Parkplatz,Do,1/2/2014,15:30,5,,,,,2,,,,,,2,,,,21,21,,703,,14,,,,1,45,,,
Weseler Straße,653,Do,1/2/2014,16:00,5,,,,,2,,,,,,2,,,,21,21,,703,,36,,,,,52,,,
Alter Steinweg,47,Do,1/2/2014,16:10,5,,,,,2,,,,,,2,,,,21,21,,501,,14,,,,1,31,,,
Robert-Koch-Straße,55,Do,1/2/2014,21:39,5,,,,,2,,,,,,2,,,,21,21,,711,,36,,,2,1,46,,,
Albersloher Weg,450,Fr,1/3/2014,9:30,5,,,,,2,,,,,,2,,,,21,21,,711,,36,,,,1,78,,,
Meinertzstraße,9 / Parkplatz,Fr,1/3/2014,9:31,5,,,,,2,,,,,,2,,,,21,21,,703,,14,,,,1,53,,,
Ludgeristraße,Königsstraße,Fr,1/3/2014,11:30,5,,,,,2,,,,,,2,,,,21,21,,201,,14,,,,,33,,,
Studtstraße,Grimmstraße,Fr,1/3/2014,11:50,5,,,,,1,,,,,,1,,,,21,,,711,,36,,,1,1,50,,,
Hamannplatz,Parkplatz,Fr,1/3/2014,14:05,5,,,,,2,,,,,,2,,,,21,21,,703,,14,,,,,79,,,
Feldstiege,80 / Parkplatz,Fr,1/3/2014,15:05,5,,,,,2,,,,,,2,,,,21,21,,703,,14,,,,,55,,,
Sternstraße,11,Fr,1/3/2014,22:39,5,,,,,2,,,,,,2,,,,21,21,,711,,36,,,2,1,30,,,
Marktallee,48,Sa,1/4/2014,4:45,5,,,,,1,,,,,,,1,,,44,,,711,,36,,,2,,45,,,
Idenbrockplatz,26 / Parkplatz,Sa,1/4/2014,9:35,5,,,,,2,,,,,,2,,,,21,21,,703,,36,,,,1,57,,,
Schmeddingstraße,123,Sa,1/4/2014,9:50,5,,,,,2,,,,,,2,,,,21,21,,711,,36,,,1,1,40,,,
Freckenhorster Straße,Münsterstraße,Sa,1/4/2014,12:35,5,,,,,2,,,,,,2,,,,21,21,,711,,36,,,,,25,,,
Grevener Straße,69 / Parkplatz,Sa,1/4/2014,13:10,5,,,,,1,,,,,,1,,,,21,,,703,,14,,,,,31,,,
Mondstraße,160,Sa,1/4/2014,13:50,5,,,,,1,,,,,,,1,,,44,,,799,,49,,,,,31,,,
Wolbecker Straße,117,Sa,1/4/2014,16:55,5,,,,,1,,,,,,,,,1,59,,,799,,49,,,2,,22,,,
Hülshoffstraße,ca. 200m hinter Rüschhausweg,Sa,1/4/2014,17:20,5,,,,,1,,,,,,1,,,,21,,,751,,0,,86,1,1,78,,,
Graelstraße,43,Sa,1/4/2014,17:25,5,,,,,2,,,,,,2,,,,21,21,,501,,14,,,2,1,31,,,
Geringhoffstraße,44 / Parkplatz,Sa,1/4/2014,18:30,5,,,,,2,,,,,,2,,,,21,21,,703,,36,,,2/3/2016,,48,,,
Friedrich-Ebert-Straße,139 / Parkplatz,Sa,1/4/2014,19:07,5,,,,,2,,,,,,2,,,,21,21,,703,,36,,,2,1,20,,,
Lippstädter Straße,Albersloher Weg,Sa,1/4/2014,23:10,5,,,,,2,,,,,,2,,,,21,21,,251,,14,,,2,1,56,,,
B 54 neu,k.h. AS Nienberge Rtg. MS,So,1/5/2014,9:05,5,,,,,1,,,,,,1,,,,21,,,112,,13,49,,,1,50,,,
Melchersstraße,74,So,1/5/2014,10:45,5,,,,,2,,,,,,2,,,,21,21,,711,,36,,,,,41,,,
Ludgeriplatz,Schorlemer Straße,So,1/5/2014,12:00,5,,,,,2,,,,,,2,,,,21,21,,231,,14,,,,,62,,,
Königsstraße,ggü. 6,So,1/5/2014,16:10,5,,,,,2,,,,,,2,,,,21,21,,711,,36,,,1/3/2016,,63,,,
B 54 neu,200m hinter AS Nienberge FR MS,Mo,1/6/2014,7:35,5,,,,,3,,,,,,3,,,,21,21,,611,,14,,,2/3/2016,1,25,,,
Hammer Straße,Trauttmansdorffstraße,Mo,1/6/2014,7:45,5,,,,,4,,,,,,4,,,,21,21,,611,,14,,,,,31,,,
Wichernstraße,11,Mo,1/6/2014,9:00,5,,,,,2,,1,,,,1,,,,21,71,,799,,49,,,,1,39,,,
Am Hornbach,k.v. Dorbaumstraße,Mo,1/6/2014,11:25,5,,,,,2,,,,,,1,,,1,59,21,,711,,36,,,,1,52,,,
Haus Uhlenkotten,28 / Parkplatz,Mo,1/6/2014,11:30,5,,,,,2,,,,,,2,,,,21,21,,703,,45,,,,1,79,,,
Piusallee,107,Mo,1/6/2014,12:00,5,,,,,2,,,,,,2,,,,21,21,,322,,37,,,,1,45,,,
Marievengasse,5,Mo,1/6/2014,12:10,5,,,,,1,,,,,,,1,,,44,,,799,,49,,,,,52,,,
Egbertstraße,22,Mo,1/6/2014,13:27,5,,,,,2,,,,,,2,,,,21,21,,322,,37,,,,1,37,,,
Düesbergweg,63,Mo,1/6/2014,14:45,5,,,,,2,,,,,,2,,,,21,21,,501,,14,,,,1,78,,,
Hensenstraße,191,Mo,1/6/2014,15:00,5,,,,,2,,,,,,2,,,,21,21,,601,,14,,,,1,41,,,
Grüner Grund,67,Mo,1/6/2014,15:10,5,,,,,1,,,,,,1,,,,21,,,711,,36,,,1,1,33,,,
Hammer Straße,Am Berg Fidel,Fr,1/3/2014,21:10,5,,,,,2,,,,,,2,,,,21,21,,711,,36,,,2/3/2016,1,40,,,
Geiststraße,Sentmaringer Weg,Fr,1/3/2014,17:40,5,,,,,2,,,,,,2,,,,21,21,,302,,28,,,2/3/2016,,62,,,
Albersloher Weg,Hafenweg,Mo,1/6/2014,10:45,4,,,,,2,,,,,,1,,1,,21,33,,232,,35,,,,,74,,,
Am Hagen,Hohe Geest,Do,1/2/2014,15:40,5,,,,,2,,,,,,2,,,,21,21,,303,,28,,,,,47,,,
Hammer Straße,8 / Radweg,Mi,1/2/2014,9:05,3,,,,1,2,1,1,,,,,,,,81,71,,799,,69,,,,,45,,,
Von-Vincke-Straße,12,Sa,1/4/2014,20:15,5,,,,,2,,,,,,2,,,,21,21,,631,,26,,,2/3/2016,1,24,,,
Weseler Straße,Scharnhorststraße,Do,1/2/2014,13:00,3,,,,2,2,,,,,,2,,,,21,21,,623,,14,,,,1,38,,,
Eulerstraße,15,Mo,1/6/2014,10:10,5,,,,,2,,,,,,2,,,,21,21,,711,,36,37,,,1,31,,,
Am Schütthook,1 / Parkplatz,Mo,1/6/2014,19:10,5,,,,,2,,,,,,2,,,,21,21,,703,,36,,,2,1,59,,,
Am Kreuztor,10,Mo,1/6/2014,20:15,5,,,,,2,,,,,,2,,,,21,21,,711,,36,,,2/3/2016,1,53,,,
Hohenzollernring,Warendorfer Straße,Di,1/7/2014,8:00,5,,,,,2,,,,,,1,,,1,59,21,,601,,14,,,,,22,,,
Von-Steuben-Straße,Westfalentankstelle,Di,1/7/2014,10:20,5,,,,,2,,,,,,2,,,,21,21,,703,,14,,,,,65,,,
Steinfurter Straße,B 54,Di,1/7/2014,11:30,5,,,,,2,,,,,,2,,,,21,21,,601,,14,,,,,67,,,
Augustastraße,70,Di,1/7/2014,11:55,5,,,,,2,,,,,,2,,,,21,21,,501,,14,,,,,79,,,
Schneidemühlerstraße,7,Di,1/7/2014,12:10,5,,,,,2,,,,,,2,,,,21,21,,711,,36,,,,,63,,,
Frie-Vendt-Straße,Hafenstraße,Di,1/7/2014,13:05,5,,,,,2,,,,,,1,,1,,33,21,,630,,26,,,,,51,,,
Am Kanonengraben,Parkplatz,Di,1/7/2014,13:06,5,,,,,2,,,,,,2,,,,21,21,,703,,36,,,,,72,,,
Sertürnerstraße,17,Di,1/7/2014,14:45,5,,,,,2,,,,,,1,1,,,40,21,,711,,36,,,,,23,,,
Warendorfer Straße,ggü. 33,Di,1/7/2014,15:20,5,,,,,2,,,,,,1,1,,,21,51,,799,,49,,,,,51,,,
Orleans-Ring,Einsteinstraße,Di,1/7/2014,15:55,5,,,,,2,,,,,,2,,,,21,21,,231,,14,,,,,20,,,
Hamannplatz,Parkplatz,Di,1/7/2014,17:35,5,,,,,2,,,,,,2,,,,21,21,,703,,36,,,1,,61,,,
Albersloher Weg,550,Di,1/7/2014,17:50,5,,,,,2,,,,,,2,,,,21,21,,601,,14,,,2,1,20,,,
Dyckburgstraße,100m h. Wersebeckmannweg,Di,1/7/2014,18:15,5,,,,,1,,,,,,1,,,,21,,,751,,0,,86,2,,55,,,
Roxeler Straße,416 / Tankstelle,Di,1/7/2014,18:50,5,,,,,2,,,,,,2,,,,21,21,,703,,36,,,2/3/2016,,48,,,
Taubenstraße,10,Di,1/7/2014,19:00,5,,,,,2,,1,,,,1,,,,71,21,,681,,14,49,,2/3/2016,,59,,,
Albersloher Weg,B 51 Abfahrt auswärts,Sa,1/4/2014,18:02,5,,,,,2,,,,,,2,,,,21,21,,252,,35,,,2/3/2016,1,32,,,
Oberschlesier Straße,84a,Mo,1/6/2014,14:00,5,X,,,,2,,,,,,1,,,1,92,21,,599,,49,,,,1,F,,,
Schifffahrter Damm,Pötterhoek,Do,1/9/2014,8:31,3,,,,1,2,,1,,,,1,,,,21,71,,341,,28,,,1,1,21,,,
Grevener Straße,171,Di,1/7/2014,8:30,5,X,,,,2,,,,,,1,,,1,92,21,,799,,49,,,,,F,,,
Rüschhausweg,Stadtlohnweg,Di,1/7/2014,7:10,5,,,,,2,,,,,,2,,,,21,21,,303,,28,,,2/3/2016,1,41,,,
Sternstraße,30,So,1/5/2014,17:30,5,X,,,,2,,,,,,1,,,1,92,21,,799,,49,,,,,F,,,
Aloysia-Delsen-Weg,84,Mi,1/1/2014,2:00,5,X,,,,2,,,,,,2,,,,21,21,,711,,36,,,2,,F,,,
Friesenring,Grevener Straße / Radweg,So,1/5/2014,22:30,3,,,,1,2,,1,,,,1,,,,21,71,,241,,35,,89,2/3/2016,,56,,,
Wolbecker Straße,Laerer Landweg,Mo,1/6/2014,11:45,5,,,,,2,,,,,,2,,,,21,21,,322,,28,,,,1,29,,,
Loddenheide,Eulerstraße,Mi,1/8/2014,7:40,3,,,,1,2,,1,,,,1,,,,21,71,,342,,28,,,2/3/2016,1,25,,,
Berliner Platz,22,So,1/5/2014,3:00,5,,,,,3,1,,,,,2,,,,81,21,,401,,60,,,2/3/2016,,32,,,
B 54,400m vor Nienberge FR MS,Mi,1/8/2014,7:35,5,,,,,2,,,,,,2,,,,21,21,,612,,14,,,2,1,45,,,
Roxeler Straße,Höhe 416,Mi,1/8/2014,7:45,5,,,,,2,,,,,,2,,,,21,21,,601,,14,,,1,1,53,,,
Martin-Luther-King-Weg,24,Mi,1/8/2014,9:15,5,,,,,2,,,,,,1,1,,,40,21,,501,,14,,,,1,21,,,
Glockenblumenweg,9,Mi,1/8/2014,10:00,5,,,,,2,,,,,,2,,,,21,21,,711,,36,,,,,66,,,
Finkenstraße,1,Mi,1/8/2014,10:20,5,,,,,2,,,,,,2,,,,21,21,,711,,36,,,,,19,,,
Bremer Platz,Taxistand,Mi,1/8/2014,12:15,5,,,,,2,,,,,,2,,,,21,21,,703,,36,,,,,86,,,
Averkampstraße,16,Mi,1/8/2014,13:40,5,,,,,2,,,,,,1,1,,,44,21,,501,,14,,,,,49,,,
Im Hagenfeld,83,Mi,1/8/2014,16:30,5,,,,,2,,,,,,1,1,,,40,21,,711,,36,,,1/3/2016,,40,,,
Hohenzollernring,72,Mi,1/8/2014,17:40,5,,,,,2,,,,,,2,,,,21,21,,640,,26,,,2,,55,,,
Hülshoffstraße,342,Mi,1/8/2014,18:45,5,,,,,1,,,,,,1,,,,21,,,751,,0,,86,2,,26,,,
Kanalstraße,Lublinring,Mi,1/8/2014,19:35,5,,,,,2,,,,,,2,,,,21,21,,231,,14,,,2,,57,,,
Von-Steuben-Straße,Herwarthstraße,Mi,1/8/2014,21:50,5,,,,,2,,,,,,2,,,,21,21,,640,,26,,,2,,20,,,
