vu_ort,vu_hoehe,tag,datum,uhrzeit,kat,flucht,t,sv,lv,anzahl_beteiligte,fg,rf,mofa,kkr,krad,pkw,lkw,kom,sonstige,1,2,alkohol,typ,1_urs,2_urs,3_urs,sonst_urs,lichtverhaeltnisse,strassenzustand,01_alter_in_jahren,kinder,18_24,senioren
Sebastianstraße,9 / Parkbucht,Sa,1/1/2011,1:00,5,X,,,,2,,,,,,1,,,1,92,21,,703,,49,,,,,F,,,
Rudolf-von-Langen-Straße,Kampstraße,Sa,1/1/2011,1:11,5,,,,,2,,,,,,1,,,1,59,21,,711,,36,,,2,1,31,,,
Ramertsweg,111,Sa,1/1/2011,1:38,6,,,,,1,,,,,,1,,,,21,,,101,1,13,72,,2,2,40,,,
Mariendorfer Straße,11,Sa,1/1/2011,3:25,6,,,,,1,,,,,,1,,,,21,,,141,1,13,49,,2/3/2016,1,18,,,
Hüfferstraße,52,Sa,1/1/2011,5:30,5,,,,,2,,,,,,2,,,,21,21,,799,,14,,,2/3/2016,,45,,,
Niedersachsenring,24,Sa,1/1/2011,11:25,5,,,,,2,,,,,,2,,,,21,21,,501,,14,,,,1,65,,,
Grevener Straße,k.V. Wilhelmstraße,Sa,1/1/2011,15:00,5,X,,,,2,,,,,,2,,,,21,21,,501,,14,,,1,2,F,,,
Piusallee,142,Sa,1/1/2011,15:20,5,,,,,2,,,,,,2,,,,21,21,,551,,37,,,,1,46,,,
Verspoel,12,Sa,1/1/2011,16:15,5,,,,,2,,,,,,2,,,,21,21,,711,,36,72,,1,2,52,,,
Mecklenbecker Straße,252,Sa,1/1/2011,17:05,5,,,,,2,,,,,,2,,,,21,21,,703,,36,72,,2,2,26,,,
Hammer Straße,Geiststraße,Sa,1/1/2011,19:30,5,,,,,1,,,,,,1,,,,21,,,141,,13,72,,2,2,46,,,
Waldeyer Straße,vor HNO Klinik,Sa,1/1/2011,19:35,5,,,,,2,,,,,,2,,,,21,21,,711,,36,72,,2,2,49,,,
Max-Winkelmann-Straße,9,Sa,1/1/2011,19:40,5,,,,,2,,,,,,1,,,1,21,59,,501,,14,72,,2,2,24,,,
Heckenweg,14,Sa,1/1/2011,20:30,5,X,,,,2,,,,,,1,,,1,92,21,,799,,49,,,,2,F,,,
Habichtshöhe,1,Sa,1/1/2011,0:00,5,X,,,,2,,,,,,1,,,1,92,21,,799,,49,,,,,F,,,
Tibusstraße,,So,1/2/2011,12:00,5,X,,,,2,,,,,,1,,,1,92,21,,799,,49,,,,1,F,,,
Bernsmeyerstiege,Parkplatz KH,So,1/2/2011,12:05,5,,,,,2,,,,,,2,,,,21,21,,711,,36,,,,1,35,,,
Rosenplatz,10,So,1/2/2011,13:35,5,,,,,2,,,,,,2,,,,21,21,,711,,36,,,,1,55,,,
Daimlerweg,50 / Parkplatz,So,1/2/2011,14:30,5,,,,,2,,,,,,2,,,,21,21,,703,,36,72,,,1,59,,,
Warendorfer Straße,131,So,1/2/2011,14:35,5,,,,,2,,,,,,2,,,,21,21,,501,,14,,,,1,22,,,
Ludgeriplatz,11,So,1/2/2011,15:00,5,X,,,,2,,,,,,1,,,1,92,21,,703,,49,,,,1/2/2016,F,,,
Zum Hiltruper See,50m vor Hotel Krautkrämer,So,1/2/2011,15:10,5,,,,,2,,,,,,2,,,,21,21,,681,,13,14,72,,2,36,,,
Hansaring,57,So,1/2/2011,18:00,5,,,,,2,,,,,,1,1,,,41,21,,231,,14,,,2/3/2016,1,43,,,
Zum Hiltruper See,173,So,1/2/2011,18:00,5,X,,,,2,,,,,,1,1,,,41,21,,102,,13,72,,2,2,69,,,
Zum Guten Hirten,43,So,1/2/2011,21:00,5,X,,,,2,,,,,,1,,,1,92,21,,724,,49,,,1,2,F,,,
Siverdesstraße,20,So,1/2/2011,21:50,5,,,,,2,,,,,,2,,,,21,21,,701,,14,72,,2,2,47,,,
