vu_ort,vu_hoehe,tag,datum,uhrzeit,kat,flucht,t,sv,lv,anzahl_beteiligte,fg,rf,mofa,kkr,krad,pkw,lkw,kom,sonstige,1,2,alkohol,typ,1_urs,2_urs,3_urs,sonst_urs,lichtverhaeltnisse,strassenzustand,01_alter_in_jahren,kinder,18_24,senioren
Ostmarkstraße,Lönsstraße,Sa,11/28/2009,22:00,4,,,,,2,,,,,,2,,,,21,21,,301,,28,,,2/3/2016,1,,,1,
Sprakeler Straße,147,Sa,11/28/2009,10:44,3,,,,1,2,,,,,,2,,,,21,21,,201,,14,,,0,1,,,1,
Augustastraße,32,Sa,11/28/2009,15:00,5,X,,,,2,,,,,,,1,,1,92,41,,799,,49,,,1/3/2016,1,,,,
Hindenburgplatz,Münzstraße,Fr,11/27/2009,13:50,4,,,,,2,,,,,,2,,,,21,21,,201,,15,,,0,0,,,,
Grevener Straße,69 / Parkplatz Saturn,Fr,11/27/2009,11:00,5,X,,,,2,,,,,,1,,,1,92,21,,703,,49,,,0,0,,,,
Piusallee,28,Fr,11/27/2009,7:25,5,X,,,,2,,,,,,2,,,,21,21,,681,,11,,,2/3/2016,1,,,,
Bremer Straße,20,Fr,11/27/2009,21:25,2,,,1,,2,1,,,,,1,,,,81,21,,401,,64,,,2/3/2016,1,,,,1
Lützowstraße,Warendorfer Straße,Fr,11/27/2009,11:30,3,,,,1,2,,,,,,2,,,,21,21,,621,,14,,,0,1,,,1,
Scharnhorststraße,Averkampstraße,Fr,11/27/2009,10:33,4,,,,,2,,,,,,2,,,,21,21,,302,,28,,,0,1,,,,1
Hammer Straße,Umgehungsstraße,Do,11/26/2009,14:20,5,,,,,2,,,,,,2,,,,21,21,,304,,28,,,0,1,,,,
Kellermannstraße,23,Do,11/26/2009,18:46,5,,,,,2,,,,,,2,,,,21,21,,501,,14,,,2/3/2016,1,,,,
Roxeler Straße,Albert-Schweitzer-Straße,Do,11/26/2009,15:55,3,,,,1,3,1,,,,,2,,,,21,21,,201,,14,,,1,1,,1,,
An den Loddenbüschen,147,Do,11/26/2009,13:50,5,,,,,2,,,,,,2,,,,21,21,,711,,36,,,0,0,,,,
Rishon-le-Zion-Ring,Hüfferstraße,Do,11/26/2009,15:30,5,,,,,2,,,,,,2,,,,21,21,,304,,28,,,0,1,,,1,1
Hafenstraße,Friedrich-Ebert-Straße,Do,11/26/2009,13:00,5,,,,,2,,,,,,1,,1,,21,33,,231,,35,,,0,1,,,,
Breul,33,Do,11/26/2009,6:50,5,X,,,,2,,,,,,1,,,1,92,21,,799,,49,,,0,0,,,,
Handorfer Straße,Warendorfer Straße,Do,11/26/2009,18:25,5,,,,,2,,,,,,2,,,,21,21,,201,,14,,,2/3/2016,1,,,,1
Umgehungsstraße,Weseler Straße,Mi,11/25/2009,8:50,5,,,,,2,,,,,,1,1,,,21,51,,631,,26,,,0,0,,,,
Wolbecker Straße,Von-der-Tinnen-Straße,Mi,11/25/2009,7:35,5,,,,,2,,1,,,,1,,,,21,71,,211,,35,,,1/3/2016,0,,,1,
Westfalenstraße,Friedhofstraße,Mi,11/25/2009,17:16,2,,,1,,2,,1,,,,1,,,,71,21,,372,,37,,,2/3/2016,1,,,2,
Warendorfer Straße,Höhe NRW Bank,Mi,11/25/2009,16:25,5,X,,,,2,,,,,,1,1,,,41,21,,501,,14,,,2/3/2016,1,,,1,
Wilhelmstraße,55,Di,11/24/2009,8:15,5,,,,,2,,,,,,1,1,,,41,21,,711,,36,,,0,0,,,,
Albert-Schweitzer-Straße,11,Di,11/24/2009,16:45,2,,,1,,2,1,,,,,1,,,,81,21,,421,,64,,,2/3/2016,1,,,,1
Mecklenbecker Straße,Echelmeyerstraße,Di,11/24/2009,13:27,5,,,,,2,,,,,1,1,,,,21,11,,302,,28,,,0,1,,,,
Hogenbergstraße,100,Di,11/24/2009,18:05,5,X,,,,2,,,1,,,,,,1,92,2,,799,,49,,,2/3/2016,1,,,,
Kärntner Straße,65,Di,11/24/2009,16:30,5,X,,,,2,,,,,,,,,2,92,59,,501,,14,,,0,0,,,,
Robert-Bosch-Straße,16,Di,11/24/2009,14:47,3,,,,2,2,,,,,,2,,,,21,21,,303,,28,,,0,1,,2,,
Hoher Heckenweg,36,Di,11/24/2009,19:55,5,,,,,2,,,,1,,1,,,,12,21,,623,,14,,,2/3/2016,1,,,,
Sophienstraße,21,Di,11/24/2009,14:40,5,X,,,,2,,,,,,2,,,,21,21,,701,,49,,,0,1,,,,
Wolbecker Straße,94,Di,11/24/2009,17:00,5,X,,,,2,,,,,,2,,,,21,21,,501,,49,,,2,0,,,,
Piusallee,30,Di,11/24/2009,10:30,5,X,,,,2,,,,,,2,,,,21,21,,799,,45,,,0,0,,,,
Bahnhofstraße,40,Mo,11/23/2009,13:10,3,,,,1,2,,1,,,,1,,,,21,71,,232,,35,,,0,1,,,2,
Gievenbecker Reihe,Roxeler Straße,Mo,11/23/2009,13:25,5,,,,,2,,,,,,2,,,,21,21,,620,,14,,,0,1,,,1,
Moltkestraße,Marks-Haindorf-Stiege,Mo,11/23/2009,15:40,5,,,,,2,,,,,,1,,1,,21,33,,232,,35,,,0,1,,,,
Hohenzollernring,2,Mo,11/23/2009,18:27,5,,,,,2,,,,,,2,,,,21,21,,601,,14,,,2,1,,,1,
Langemarckstraße,48,Mo,11/23/2009,12:40,5,,,,,2,,,,,,2,,,,21,21,,594,,14,,,0,1,,,,
Loergasse,Stubengasse Parkhaus,Mo,11/23/2009,16:20,5,,,,,2,,,,,,2,,,,21,21,,703,,14,,,3,0,,,,
Windthorststraße,Engelstraße,Mo,11/23/2009,15:45,5,,,,,2,,,,,,1,1,,,41,21,,640,,26,,,0,1,,,,
Friedrich-Ebert-Straße,123,Mo,11/23/2009,18:50,5,,,,,1,,,,,,1,,,,21,,,799,,14,,,2,1,,,,
Höfflingerweg,6,Mo,11/23/2009,9:15,5,,,,,2,,,,,,2,,,,21,21,,711,,36,,,0,1,,,,
