Name  /  Date: 2015_03_29;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03290_FV12_GR (MQ0);144;136;106;106;91;99;69;84;108;154;176;210;231;302;275;302;330;303;267;198;184;191;67;
MQ_03020_FV4_L (MQ1);22;24;10;12;24;18;13;25;35;88;90;131;118;130;149;117;149;133;75;94;40;35;23;
MQ_03290_FV3_GR (MQ10);145;113;106;79;82;70;92;75;82;116;161;164;175;199;208;215;208;211;212;159;130;114;59;
MQ_03020_FV2_L (MQ100);13;8;1;2;5;2;0;5;11;17;13;15;18;23;16;21;22;14;15;19;9;13;6;
Alle Motion Det Albersloherweg (MQ1000);9517;8690;5986;5898;5622;5175;5005;6007;9939;13776;19315;22861;23646;28719;26659;24633;29340;25543;19377;16141;14308;10552;5135;
MQ_03181_FV3_R (MQ1001);0;0;0;0;0;0;0;0;0;1;1;1;1;2;1;1;2;1;1;1;0;0;0;
MQ_06170_FV4_L (MQ1002);1;0;1;1;1;2;0;1;1;7;6;5;2;5;8;1;3;6;5;6;3;0;0;
MQ_08050_FV3_L (MQ1003);5;3;0;2;16;2;1;6;5;3;9;9;16;8;10;1;5;3;7;3;2;0;2;
MQ_06161_FV3_L (MQ1004);34;27;13;19;20;15;16;24;54;73;77;144;159;201;181;159;155;165;121;85;60;50;24;
MQ_06170_FV6_L (MQ1005);6;4;2;1;4;2;2;10;15;24;24;20;28;38;28;26;26;24;19;16;12;6;2;
MQ_08110_FV1_LO (MQ1006);2;2;1;1;1;1;2;2;4;4;5;7;7;7;11;8;7;9;8;5;5;3;2;
MQ_08110_FV3_RO (MQ1007);2;2;0;1;1;0;2;5;9;7;9;9;8;9;8;7;9;8;8;4;2;3;1;
MQ_06160_FV2_R (MQ1009);44;28;29;24;31;19;25;33;64;95;114;116;135;181;155;163;178;154;111;85;80;41;20;
MQ_02020_FV4_L (MQ101);36;27;22;9;13;29;19;18;75;99;113;135;178;188;180;187;207;182;136;123;93;63;32;
MQ_03030_FV1_G (MQ1010);67;51;25;18;42;60;54;85;145;179;286;338;379;435;432;398;448;350;281;239;174;118;58;
LSA 3290 Schleifen (MQ1012);2826;2573;2104;1736;1478;1365;1154;1324;1904;2636;3586;3704;4103;5190;4982;5138;5561;5358;4323;3557;2970;2651;1226;
LSA 8020 Schleifen (MQ1013);2762;2589;1991;2018;1549;1540;1138;1045;1648;2096;2840;3276;3417;4542;3977;4163;4730;4677;3468;2835;2793;2495;1063;
LSA 8030 Schleifen (MQ1014);1040;1106;771;803;606;571;386;399;609;797;1103;1311;1350;2060;1596;1758;2315;2329;1580;1250;1574;1260;444;
LSA 8031 Schleifen (MQ1015);1117;958;878;1022;738;663;599;470;620;621;891;1000;979;1268;1265;1362;1672;1987;986;762;1584;782;289;
