Name  /  Date: 2016_07_21;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03290_FV12_GR (MQ0);37;35;10;16;42;83;237;265;302;332;356;299;327;310;315;338;352;374;351;258;144;98;129;42;
MQ_03290_FV3_GR (MQ10);53;34;30;23;37;77;129;193;170;184;180;193;193;199;225;227;221;203;213;187;163;142;120;59;
MQ_03181_FV3_R (MQ1001);0;0;0;0;0;0;1;1;2;1;1;2;1;2;2;2;2;2;2;1;1;1;0;0;
MQ_06170_FV4_L (MQ1002);2;0;0;1;0;1;0;6;9;8;11;15;11;10;14;14;10;9;14;4;6;4;0;0;
MQ_08050_FV3_L (MQ1003);3;2;2;1;10;26;28;35;79;96;133;114;112;111;140;119;110;118;104;80;35;14;3;3;
MQ_06161_FV3_L (MQ1004);16;6;2;1;11;46;198;279;288;225;189;151;175;173;195;179;211;259;239;165;107;69;78;39;
MQ_06170_FV6_L (MQ1005);3;0;0;1;2;4;22;48;40;30;32;32;25;24;28;36;41;39;34;22;18;12;9;6;
MQ_08110_FV1_LO (MQ1006);0;1;0;0;0;1;4;8;11;13;15;14;18;13;14;22;20;26;14;11;8;5;3;2;
MQ_08110_FV3_RO (MQ1007);0;0;0;0;1;1;7;13;18;21;27;23;10;7;14;19;25;22;22;13;10;7;4;3;
LSA 29120 Schleifen (MQ1008);65;64;46;25;81;231;461;706;744;745;761;828;874;863;1003;1148;1335;1123;986;748;476;338;305;170;
MQ_06160_FV2_R (MQ1009);16;12;8;5;12;55;136;179;198;215;205;172;183;184;196;203;229;197;181;124;96;59;57;30;
MQ_02020_FV4_L (MQ101);20;9;5;15;12;39;122;223;237;212;231;219;222;249;256;314;339;318;272;196;133;128;65;38;
MQ_03030_FV1_G (MQ1010);33;17;13;11;35;103;373;661;670;450;436;504;595;627;651;786;809;648;538;326;272;199;151;84;
