Name  /  Date: 2015_07_09;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03290_FV12_GR (MQ0);60;38;20;19;32;104;263;349;358;383;330;345;361;337;352;364;331;361;377;281;244;179;160;102;
MQ_03020_FV4_L (MQ1);18;14;18;6;10;40;142;271;241;202;188;205;189;201;201;224;243;256;212;161;92;67;57;24;
MQ_03290_FV3_GR (MQ10);60;39;37;32;27;83;121;206;201;211;164;228;209;203;226;239;244;248;228;186;139;118;131;71;
MQ_03020_FV2_L (MQ100);1;1;1;1;2;3;9;14;25;28;22;32;20;40;43;25;34;33;28;28;16;8;5;11;
Alle Motion Det Albersloherweg (MQ1000);4464;2888;2034;1680;3398;10832;27207;44046;40933;35000;35044;36871;36549;37714;39878;45812;49799;49663;42173;29300;23111;16007;13476;7556;
MQ_03181_FV3_R (MQ1001);0;0;0;0;0;0;1;1;2;1;2;2;2;2;2;2;3;2;2;1;1;1;1;0;
MQ_06170_FV4_L (MQ1002);0;1;0;0;0;2;1;5;5;15;18;16;9;8;11;9;15;10;26;18;3;3;0;0;
MQ_08050_FV3_L (MQ1003);5;12;0;2;13;53;43;36;68;82;110;119;116;121;91;99;108;114;122;119;73;25;5;9;
MQ_06161_FV3_L (MQ1004);10;8;4;0;8;14;86;120;156;150;102;104;79;78;94;97;105;114;114;88;60;42;32;16;
MQ_06170_FV6_L (MQ1005);4;0;0;1;2;5;22;49;43;34;27;21;25;23;27;38;44;44;42;26;17;15;3;7;
MQ_08110_FV1_LO (MQ1006);0;1;0;0;0;1;3;9;10;12;13;16;14;17;19;17;23;25;18;7;10;6;3;2;
MQ_08110_FV3_RO (MQ1007);0;0;0;0;0;2;5;13;19;25;26;34;26;18;20;26;30;30;19;15;14;9;3;2;
MQ_06160_FV2_R (MQ1009);13;5;11;9;18;58;139;220;210;217;204;183;188;163;184;195;201;229;201;158;88;63;51;33;
MQ_02020_FV4_L (MQ101);23;18;10;11;14;46;135;214;249;240;267;280;250;264;314;326;375;389;319;216;143;118;71;51;
MQ_03030_FV1_G (MQ1010);40;19;20;11;26;109;394;687;635;522;457;543;563;601;683;891;875;731;605;421;305;223;158;70;
LSA 3290 Schleifen (MQ1012);1075;729;523;409;634;1580;3566;5764;5837;5853;5732;6054;5822;5837;6189;6576;6268;6667;6412;5113;4027;3117;3044;1649;
LSA 8020 Schleifen (MQ1013);1076;772;536;431;612;1673;3693;5803;5651;5458;5045;5374;5343;5479;5543;6255;6099;6202;5614;4627;3677;2740;2768;1589;
LSA 8030 Schleifen (MQ1014);438;301;159;136;218;601;1471;2414;2360;2159;1990;2152;2205;2183;2382;2787;2886;3044;2454;1951;1614;1193;1367;689;
LSA 8031 Schleifen (MQ1015);312;146;126;113;146;493;1301;2233;2196;2176;1808;1851;1862;1816;2003;2460;2502;2287;1796;1370;1056;755;709;402;
