Name  /  Date: 2015_04_16;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03290_FV12_GR (MQ0);57;27;14;25;35;101;253;349;359;354;340;351;367;351;373;343;344;353;368;319;234;180;158;85;
MQ_03020_FV4_L (MQ1);10;10;3;10;13;52;127;351;315;224;177;220;246;287;306;290;340;307;273;184;126;88;47;31;
MQ_03290_FV3_GR (MQ10);60;32;24;24;36;79;135;264;228;210;197;220;225;221;221;232;245;233;216;215;178;119;125;65;
MQ_03020_FV2_L (MQ100);7;1;0;2;0;2;8;49;38;41;28;33;35;36;34;26;38;42;38;31;21;13;6;6;
Alle Motion Det Albersloherweg (MQ1000);3736;2107;1482;1913;3572;10194;30344;53298;50422;40044;38328;38881;42933;43678;44134;51935;55773;55662;47848;34031;22731;16997;13649;6361;
MQ_03181_FV3_R (MQ1001);0;0;0;0;0;0;1;2;2;2;2;2;2;2;2;2;3;3;2;2;1;1;0;0;
MQ_06170_FV4_L (MQ1002);0;0;0;0;0;0;3;7;10;9;10;11;10;19;9;10;19;12;12;15;4;5;3;0;
MQ_08050_FV3_L (MQ1003);3;4;0;2;12;23;33;34;71;144;134;101;137;122;92;105;111;120;88;72;33;4;1;2;
MQ_06161_FV3_L (MQ1004);6;8;1;3;14;25;162;289;341;242;229;211;179;214;224;249;225;280;259;190;112;59;58;21;
MQ_06170_FV6_L (MQ1005);3;2;0;1;2;6;34;82;48;40;30;22;23;31;37;43;53;46;51;30;19;14;12;5;
MQ_08110_FV1_LO (MQ1006);1;0;0;0;1;1;3;10;15;14;16;17;19;16;19;22;29;26;26;17;9;6;4;1;
MQ_08110_FV3_RO (MQ1007);0;0;0;1;1;2;9;19;27;20;26;22;27;17;25;33;28;37;23;18;11;5;2;0;
MQ_06160_FV2_R (MQ1009);10;10;6;7;16;48;134;305;269;218;213;181;187;191;197;210;242;256;216;143;92;74;51;29;
