Name  /  Date: 2016_11_24;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03250_FV2_R (MQ1046);4;3;2;2;3;13;36;58;67;62;58;60;57;59;59;58;63;63;59;41;28;21;19;7;
MQ_03250_FV2_G (MQ1047);25;18;13;17;23;92;264;425;490;455;427;444;419;429;435;427;464;463;433;299;205;157;139;52;
MQ_03250_FV2_L (MQ1048);15;4;2;9;12;47;125;143;116;147;143;159;174;176;174;223;234;196;194;132;97;78;82;31;
MQ_03250_FV3_R (MQ1049);5;4;2;3;7;19;74;93;94;103;79;69;78;74;83;77;86;78;77;65;39;29;28;14;
MQ_03250_FV3_G (MQ105);14;11;7;8;21;57;221;279;282;308;236;206;233;222;248;232;257;235;230;196;117;86;83;42;
MQ_03250_FV3_L (MQ1050);8;4;4;4;5;12;67;105;131;94;79;83;67;70;94;99;103;72;104;73;48;35;30;29;
MQ_03250_FV4_R (MQ1051);8;5;2;4;3;15;37;81;82;84;86;84;89;93;101;103;110;106;94;84;64;50;38;19;
MQ_03250_FV4_G (MQ1052);34;18;8;14;14;60;150;324;327;338;344;334;354;371;406;412;438;425;377;338;254;201;154;78;
MQ_03250_FV4_L (MQ1053);3;0;2;1;3;0;6;47;24;27;28;32;37;28;31;27;32;39;33;22;17;16;13;2;
MQ_03030_FV1_R (MQ1054);3;0;0;1;1;4;16;58;48;40;50;39;48;60;57;103;87;74;63;40;35;17;14;4;
MQ_03030_FV2_G (MQ1055);1;0;0;0;0;0;1;2;2;2;1;1;1;1;2;1;2;2;1;1;1;0;1;1;
MQ_03030_FV2_L (MQ1056);7;2;0;1;1;2;7;22;21;24;17;17;16;15;22;14;33;33;11;11;15;6;14;13;
MQ_03030_FV2_R (MQ1057);5;2;0;1;0;2;5;15;14;16;11;11;11;10;15;10;23;23;7;8;10;4;9;9;
MQ_03030_FV3_G (MQ1058);45;15;12;17;27;145;446;786;915;694;537;533;554;603;635;679;800;720;579;404;270;197;137;73;
MQ_03030_FV3_L (MQ1059);6;1;0;1;4;10;21;120;94;74;59;46;74;62;67;92;83;95;88;57;41;21;25;20;
MQ_03080_FV4_R (MQ106);4;0;0;0;1;6;65;239;189;123;69;59;71;85;71;81;68;83;59;37;27;17;13;10;
MQ_03030_FV3_R (MQ1060);1;0;0;0;0;2;6;10;13;10;8;7;8;8;9;9;11;11;8;6;4;3;2;1;
MQ_03030_FV4_G (MQ1061);1;0;0;0;1;2;5;10;11;9;6;7;8;8;10;9;10;9;9;8;6;5;3;1;
MQ_03030_FV4_L (MQ1062);3;1;0;1;3;12;36;65;73;60;41;46;56;52;65;60;67;61;58;54;40;30;20;8;
MQ_03030_FV4_R (MQ1063);3;1;0;1;3;12;36;65;73;60;41;46;56;52;65;60;67;61;58;54;40;30;20;8;
MQ_06070_10_D_TLS_S1S2 (MQ1064);69;53;42;25;53;71;232;473;532;467;502;471;456;501;486;551;563;550;522;425;297;242;198;115;
MQ_06070_11_D_TLS_S3S4 (MQ1065);109;89;77;65;66;99;269;504;626;577;587;594;527;526;598;577;654;679;562;486;347;273;224;125;
MQ_03120_FV1_G (MQ107);65;40;24;29;95;207;642;1086;1133;1025;921;918;1047;1129;1118;1347;1265;1270;1044;743;543;420;278;191;
MQ_03120_FV1_R (MQ109);1;1;0;0;1;2;6;10;10;9;9;9;10;11;11;13;12;12;10;8;6;5;3;2;
MQ_08050_FV2_L (MQ11);32;14;17;15;27;106;186;242;282;355;419;483;487;462;523;587;572;553;443;284;209;129;62;53;
MQ_03120_FV2_L (MQ110);2;1;2;1;1;4;26;21;33;29;29;32;41;37;50;53;41;39;21;13;10;14;2;1;
MQ_03120_FV2_R (MQ111);0;1;0;2;0;1;7;22;19;18;23;25;25;22;30;46;27;33;9;16;12;107;3;2;
MQ_06160_FV3_L (MQ112);0;1;0;0;1;5;15;69;90;53;63;76;67;63;66;82;86;83;92;56;36;25;11;3;
MQ_03120_FV3_G (MQ113);56;27;36;30;41;234;845;1338;1202;1058;867;852;835;989;993;1188;1262;1277;1038;766;555;395;320;140;
MQ_03120_FV3_L (MQ115);5;0;1;1;0;16;80;112;67;52;37;45;66;62;67;74;54;66;32;45;42;9;11;8;
MQ_03140_FV1_G (MQ116);43;23;25;27;35;188;764;1190;1099;960;830;806;805;878;1015;1113;1235;1194;954;693;474;371;323;122;
MQ_03140_FV1_L (MQ117);0;0;1;0;1;2;4;29;27;38;34;26;30;23;42;36;31;34;47;30;13;7;10;1;
MQ_03140_FV1_R (MQ118);1;0;1;1;1;5;16;27;26;22;19;18;19;21;23;25;27;28;22;16;12;9;9;3;
MQ_03140_FV2_G (MQ119);0;0;0;0;0;0;1;2;1;1;1;1;1;1;1;1;2;1;1;1;1;0;0;0;
MQ_03290_FV3_G (MQ12);57;33;30;27;31;77;157;217;212;204;192;194;201;207;211;229;228;221;219;207;190;157;132;70;
MQ_03140_FV2_L (MQ120);0;0;0;0;0;1;9;29;22;18;18;14;17;20;17;26;27;20;17;9;15;5;5;2;
MQ_08040_FV1_L (MQ121);9;2;1;3;6;8;14;32;52;52;47;77;69;60;83;99;98;83;71;38;47;20;47;24;
MQ_03140_FV2_R (MQ122);1;1;0;0;1;2;14;45;35;28;28;22;26;32;28;41;42;31;27;15;24;8;8;4;
MQ_08040_FV1_G (MQ123);50;35;29;36;33;115;244;421;467;423;457;524;533;530;517;536;583;558;517;387;344;235;276;104;
MQ_03140_FV3_G (MQ124);54;31;22;20;80;203;611;1056;1076;905;875;926;990;1141;1082;1344;1324;1305;1070;769;493;379;273;164;
MQ_03140_FV3_L (MQ125);1;3;0;0;3;1;7;11;16;18;22;29;14;14;20;22;23;36;25;18;16;8;10;5;
MQ_03140_FV3_R (MQ126);1;1;1;1;2;4;11;17;17;15;15;14;17;19;18;23;23;22;18;14;10;8;6;3;
MQ_08040_FV1_R (MQ127);18;12;8;11;9;10;43;100;126;129;144;153;188;172;189;252;246;189;172;103;70;76;58;22;
MQ_08040_FV2_R (MQ128);3;1;1;1;6;32;90;60;87;54;78;71;79;61;63;55;63;64;56;46;13;18;7;1;
