Name  /  Date: 2016_05_20;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03250_FV1_R (MQ1043);53;24;25;29;37;46;84;44;38;42;42;28;21;16;14;12;
MQ_03250_FV1_G (MQ1044);300;136;142;167;212;261;476;252;213;237;237;157;116;88;81;68;
MQ_03250_FV1_L (MQ1045);25;45;72;67;67;77;80;101;95;96;87;79;51;49;28;14;
MQ_03250_FV2_R (MQ1046);28;55;58;53;59;58;53;57;54;53;57;51;33;24;23;14;
MQ_03250_FV2_G (MQ1047);209;405;425;393;435;429;387;417;394;388;420;375;244;177;171;100;
MQ_03250_FV2_L (MQ1048);-17;160;169;159;218;230;520;240;208;230;218;153;114;109;66;63;
MQ_03250_FV3_R (MQ1049);78;96;93;83;83;91;80;87;90;95;94;67;46;41;24;26;
MQ_03250_FV3_G (MQ105);235;287;278;249;250;272;240;262;270;284;281;202;138;122;73;77;
MQ_03250_FV3_L (MQ1050);271;108;79;83;58;109;40;88;86;113;108;95;76;57;49;31;
MQ_03250_FV4_R (MQ1051);108;70;88;94;92;100;40;107;100;101;91;73;64;45;53;35;
MQ_03250_FV4_G (MQ1052);431;280;350;378;368;400;160;427;401;405;362;290;254;180;212;138;
MQ_03250_FV4_L (MQ1053);;22;28;27;34;37;40;39;29;42;24;29;11;23;26;13;
MQ_03030_FV1_R (MQ1054);;72;62;56;65;86;80;94;73;71;53;48;25;18;15;7;
MQ_03030_FV2_G (MQ1055);3;2;1;1;2;2;3;2;1;2;1;1;1;1;1;1;
MQ_03030_FV2_L (MQ1056);34;26;17;15;23;26;45;23;17;20;16;16;15;8;13;9;
MQ_03030_FV2_R (MQ1057);24;18;12;10;15;18;31;16;11;14;11;11;10;5;9;6;
MQ_03030_FV3_G (MQ1058);777;660;505;527;535;654;829;705;628;573;508;332;273;157;144;104;
MQ_03030_FV3_L (MQ1059);-29;97;90;71;103;81;200;89;74;90;92;68;46;26;22;23;
MQ_03080_FV4_R (MQ106);;82;50;48;48;57;80;54;81;69;52;41;19;23;13;11;
MQ_03030_FV3_R (MQ1060);10;10;7;7;7;9;11;10;9;8;7;5;4;3;2;2;
MQ_03030_FV4_G (MQ1061);17;8;9;9;9;10;11;11;10;12;14;9;9;7;3;2;
MQ_03030_FV4_L (MQ1062);120;54;58;62;62;69;75;77;71;80;96;58;59;46;21;13;
MQ_03030_FV4_R (MQ1063);120;54;58;62;62;69;75;77;71;80;96;58;59;46;21;13;
MQ_03120_FV1_G (MQ107);1517;920;910;1074;1250;1341;1410;1197;1199;1152;999;749;527;399;325;277;
MQ_03020_FV2_R (MQ108);;;;;;;;;
MQ_03120_FV1_R (MQ109);21;10;10;11;12;14;14;11;12;11;10;8;6;5;4;3;
MQ_08050_FV2_L (MQ11);391;401;481;501;551;591;400;564;510;487;433;294;260;117;52;22;
MQ_03120_FV2_L (MQ110);40;33;35;35;45;41;79;38;30;31;29;20;18;10;7;2;
MQ_03120_FV2_R (MQ111);;21;26;24;30;25;30;25;15;20;12;9;14;6;4;1;
MQ_06160_FV3_L (MQ112);126;63;59;66;84;68;40;92;68;94;83;64;40;28;10;11;
MQ_03120_FV3_G (MQ113);2113;915;846;858;982;1068;1146;1075;1061;1042;963;749;565;368;282;221;
MQ_03020_FV2_G (MQ114);;;;;;;;;
MQ_03120_FV3_L (MQ115);120;65;44;41;49;53;79;54;43;37;27;42;29;13;11;4;
MQ_03140_FV1_G (MQ116);1868;837;783;809;944;1047;1526;1065;981;971;925;692;525;341;284;208;
MQ_03140_FV1_L (MQ117);80;38;25;34;41;38;40;52;45;47;33;14;24;12;7;3;
