Name  /  Date: 2015_12_18;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03290_FV12_GR (MQ0);90;48;20;23;27;98;235;323;339;351;366;348;357;376;368;364;368;382;382;345;296;177;224;222;
MQ_03020_FV4_L (MQ1);23;8;5;6;9;49;140;305;292;234;217;259;286;353;325;327;284;242;224;163;99;72;57;54;
MQ_03290_FV3_GR (MQ10);61;37;33;23;32;65;148;246;230;221;233;229;233;245;250;245;250;236;236;227;183;159;201;193;
MQ_03020_FV2_L (MQ100);5;2;1;0;3;2;19;44;31;30;34;37;32;52;38;36;39;31;37;29;19;7;22;22;
MQ_03181_FV3_R (MQ1001);0;0;0;0;0;0;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;
MQ_06170_FV4_L (MQ1002);0;0;0;0;1;0;1;11;11;13;16;18;14;7;12;15;10;14;18;10;13;5;1;4;
MQ_08050_FV3_L (MQ1003);7;3;2;1;13;26;36;35;112;122;153;130;159;130;142;170;144;129;97;77;42;14;5;5;
MQ_06161_FV3_L (MQ1004);20;9;4;5;7;60;147;331;314;225;220;249;222;269;318;296;273;242;236;159;94;58;55;60;
MQ_06170_FV6_L (MQ1005);6;1;1;1;2;7;30;61;38;38;28;37;46;45;48;50;38;37;34;22;16;13;8;4;
MQ_08110_FV1_LO (MQ1006);2;1;1;0;1;2;5;17;23;19;19;29;31;31;35;31;30;26;25;14;10;9;4;8;
MQ_08110_FV3_RO (MQ1007);1;0;0;0;2;4;12;27;44;55;56;62;51;30;44;50;53;46;27;16;14;7;3;3;
LSA 29120 Schleifen (MQ1008);146;85;59;24;81;362;768;1553;1338;1142;1236;1292;1428;1556;1728;1696;1387;1488;1218;850;607;448;425;414;
MQ_06160_FV2_R (MQ1009);17;9;6;8;19;41;118;245;248;249;228;225;200;216;203;223;224;227;198;152;88;76;84;73;
MQ_02020_FV4_L (MQ101);25;21;6;10;4;35;110;270;269;224;250;279;328;381;354;405;315;290;254;233;169;111;82;87;
MQ_03030_FV1_G (MQ1010);49;27;11;17;12;113;401;828;782;555;636;691;852;879;960;960;817;749;685;495;312;252;169;151;
LSA 3290 Schleifen (MQ1012);1473;981;538;502;677;1400;3537;6226;6085;6327;6707;6677;6946;6964;6858;6787;6678;6729;6444;5951;4542;3611;3915;3723;
LSA 8020 Schleifen (MQ1013);1313;908;535;430;568;1436;3760;5797;5515;5624;5815;5945;6388;6273;6382;6346;5876;5958;5876;5282;3851;3077;3870;3636;
LSA 8030 Schleifen (MQ1014);525;442;215;144;195;532;1458;2487;2374;2371;2421;2511;2913;2933;3013;2979;2850;2727;2818;2566;1687;1323;1872;1704;
LSA 8040 Schleifen (MQ1016);721;456;343;282;576;2015;5732;9846;8809;7453;7290;7807;8947;9651;9938;9379;8772;7842;6955;5316;3317;2426;2412;2116;
LSA 8032 Schleifen (MQ1017);340;254;144;106;175;567;1606;2644;2521;2390;2524;2666;3017;2950;2913;2791;2574;2426;2305;1903;1415;1038;1181;1033;
LSA 8041 Schleifen (MQ1018);255;185;106;95;134;398;1058;1515;1539;1617;1711;1836;1987;1920;2012;1914;1821;1713;1542;1380;948;754;780;684;
LSA 8054 Schleifen (MQ1019);202;121;83;66;130;412;1294;2615;2270;1906;1862;2126;2488;2507;2577;2559;2375;2056;1789;1373;946;647;619;597;
