Name  /  Date: 2015_02_01;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03290_FV12_GR (MQ0);142;162;93;111;91;85;73;64;77;136;142;167;187;231;295;237;294;307;260;241;169;123;109;47;
MQ_03020_FV4_L (MQ1);41;18;18;9;12;27;20;12;42;55;99;118;162;145;165;163;162;163;120;120;65;50;27;26;
MQ_03290_FV3_GR (MQ10);111;105;87;66;75;53;53;66;47;95;135;154;204;194;218;230;194;238;226;210;131;112;108;43;
MQ_03020_FV2_L (MQ100);11;4;7;6;5;1;7;1;3;7;10;17;22;21;29;23;19;28;20;16;14;9;14;4;
MQ_03181_FV3_R (MQ1001);0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
MQ_06170_FV4_L (MQ1002);0;0;2;0;0;3;1;0;1;0;3;3;3;3;7;3;9;2;10;6;2;2;0;2;
MQ_08050_FV3_L (MQ1003);3;0;1;4;3;0;2;3;1;2;6;6;7;5;14;7;6;10;1;1;4;1;0;2;
MQ_06161_FV3_L (MQ1004);31;24;11;5;5;17;22;18;38;58;105;107;154;154;162;175;174;192;144;103;108;35;46;19;
MQ_06170_FV6_L (MQ1005);11;4;2;2;2;3;1;4;8;16;18;22;28;29;28;35;25;28;29;18;11;7;4;3;
MQ_08110_FV1_LO (MQ1006);3;3;2;0;1;1;1;1;3;5;4;7;10;8;8;10;11;10;7;8;5;4;2;1;
MQ_08110_FV3_RO (MQ1007);0;0;1;0;1;0;1;1;7;10;8;10;10;11;8;8;9;9;8;5;5;2;2;1;
MQ_06160_FV2_R (MQ1009);32;32;10;11;15;32;22;12;34;50;74;106;115;133;152;152;141;129;132;117;83;47;37;18;
MQ_02020_FV4_L (MQ101);41;20;13;16;9;15;29;20;22;80;122;144;183;195;210;194;209;225;212;172;115;81;47;32;
MQ_03030_FV1_G (MQ1010);92;72;41;16;19;36;55;61;96;174;245;366;503;448;520;461;409;472;384;325;220;171;111;66;
Alle Motion Det Weselerstr. (MQ1011);23036;19247;15642;13502;12371;13242;13364;14550;18037;29373;36955;46010;54849;57167;62072;56637;56013;60285;56004;47064;35550;27812;23727;15809;
