Name  /  Date: 2015_05_22;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03290_FV12_GR (MQ0);;;;;;;;;362;364;359;370;365;387;378;379;355;318;204;183;152;
MQ_03020_FV4_L (MQ1);205;289;299;264;292;243;257;236;189;101;72;41;39;
MQ_03290_FV3_GR (MQ10);227;242;240;246;250;237;236;249;216;197;149;134;106;
MQ_03020_FV2_L (MQ100);39;40;43;28;29;29;37;28;28;19;10;9;16;
Alle Motion Det Albersloherweg (MQ1000);43073;49506;
MQ_03181_FV3_R (MQ1001);2;2;2;2;2;2;2;2;1;1;1;1;0;
MQ_06170_FV4_L (MQ1002);14;16;8;17;8;13;13;12;9;8;3;3;1;
MQ_08050_FV3_L (MQ1003);141;135;121;139;116;131;139;154;90;56;9;5;2;
MQ_06161_FV3_L (MQ1004);174;247;252;260;238;226;211;219;185;101;77;62;46;
MQ_06170_FV6_L (MQ1005);32;43;41;47;46;40;47;35;33;20;14;9;7;
MQ_08110_FV1_LO (MQ1006);16;22;23;16;24;17;14;13;10;11;5;5;2;
MQ_08110_FV3_RO (MQ1007);35;26;21;26;36;27;27;20;17;13;8;2;3;
LSA 29120 Schleifen (MQ1008);1689;1500;
MQ_06160_FV2_R (MQ1009);213;176;187;191;190;203;200;206;167;121;85;68;55;
MQ_02020_FV4_L (MQ101);265;316;420;422;383;346;337;273;205;197;139;64;54;
MQ_03030_FV1_G (MQ1010);619;810;847;874;879;745;675;541;392;316;229;176;90;
Alle Motion Det Weselerstr. (MQ1011);68537;69425;
LSA 3290 Schleifen (MQ1012);6745;6895;6794;6644;6739;6600;6551;6267;5829;4668;3413;3311;2658;
LSA 8020 Schleifen (MQ1013);6157;6682;7047;6863;6807;6382;6297;5874;5609;4067;3033;3157;2600;
LSA 8030 Schleifen (MQ1014);2382;2595;2735;2838;2912;2729;2581;2363;2276;1635;1236;1469;1105;
LSA 8031 Schleifen (MQ1015);;;
LSA 8040 Schleifen (MQ1016);7428;8594;8892;9405;8903;8188;7552;6792;5180;3620;2250;1810;1293;
LSA 8032 Schleifen (MQ1017);3097;3491;3586;3237;3048;2628;2583;2414;2108;1533;1094;1050;795;
LSA 8041 Schleifen (MQ1018);1757;1943;1906;1991;1944;1745;1736;1606;1403;975;682;626;469;
LSA 8054 Schleifen (MQ1019);2281;2609;2418;2574;2471;2284;2175;1902;1472;1073;634;531;374;
MQ_02020_FV3_L (MQ102);60;60;54;71;76;70;53;59;82;36;16;17;8;
LSA 8140 Schleifen (MQ1020);1087;1225;1324;1395;1448;1288;1224;1138;869;675;426;343;256;
MQ_01210_FV32_L (MQ1021);40;62;61;51;45;52;42;44;42;19;14;15;8;
MQ_01081_FV3_G (MQ1022);264;355;338;307;344;307;309;274;260;188;140;150;111;
MQ_03030_FV1_L (MQ1023);16;13;13;9;18;13;9;15;8;5;0;8;3;
MQ_01200_FV1_G (MQ1024);1068;1238;1397;1405;1372;1203;1113;936;725;576;424;406;254;
MQ_01121_FV1_G (MQ1025);183;172;154;173;158;165;152;132;89;56;40;31;12;
MQ_01121_FV3_L (MQ1026);3;3;3;3;3;3;4;3;3;1;1;1;1;
MQ_01121_FV3_G (MQ1027);130;169;139;164;154;158;178;143;121;69;36;27;24;
MQ_01121_FV1_R (MQ1028);25;23;21;24;22;22;21;18;12;8;5;4;2;
MQ_01200_FV1_L (MQ1029);55;62;76;63;80;52;47;45;24;24;17;23;8;
MQ_01070_FV2_L (MQ1030);;;;;;;;;;;;;;
MQ_01121_FV2_G (MQ1031);15;6;14;12;17;7;11;5;9;13;10;7;12;
---Test (MQ1032);55;62;76;63;80;52;47;45;24;24;17;23;8;
MQ_09040_FV1_G (MQ1033);240;315;311;298;334;313;314;291;242;198;159;160;70;
