Name  /  Date: 2016_05_24;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_09050_FV1_G (MQ1035);32;13;14;10;21;75;281;501;324;332;371;473;490;503;480;599;617;639;556;433;327;278;243;
MQ_09050_FV3_G (MQ1036);23;10;9;14;37;99;395;443;525;537;438;404;411;413;450;454;478;522;479;385;240;180;125;
MQ_09060_FV11_G (MQ1037);29;12;11;9;22;79;302;494;392;316;346;481;453;494;497;577;600;623;532;411;305;252;268;
MQ_09060_FV11L (MQ1038);6;0;1;3;3;7;16;61;48;41;69;31;39;44;35;47;56;39;47;44;29;23;15;
MQ_09060_FV2_L (MQ1039);5;1;2;1;5;21;71;168;123;116;106;129;156;164;179;207;217;175;163;130;79;55;35;
MQ_03023_FV1_G (MQ104);22;5;4;7;21;68;307;697;609;417;440;422;419;428;599;695;860;740;564;368;272;167;126;59;
MQ_09060_FV2_R (MQ1040);1;0;0;0;1;5;15;35;25;24;22;26;32;33;37;42;45;36;33;27;16;11;7;
MQ_09060_FV3_G (MQ1041);29;13;9;13;33;106;410;430;523;530;427;415;398;394;441;453;483;538;496;384;247;157;128;
MQ_09060_FV3_R (MQ1042);5;2;2;2;4;43;166;232;190;153;117;117;112;110;127;143;174;195;163;114;66;39;32;
MQ_03250_FV1_R (MQ1043);2;1;0;1;1;3;16;33;29;22;20;31;32;28;28;37;42;45;41;29;22;18;17;
MQ_03250_FV1_G (MQ1044);10;6;3;5;6;20;88;190;163;126;116;173;183;160;156;212;239;255;230;167;124;101;97;
MQ_03250_FV1_L (MQ1045);4;5;0;3;7;9;31;64;77;57;67;81;62;62;66;89;81;87;112;55;46;27;23;
MQ_03250_FV2_R (MQ1046);4;2;2;1;4;11;33;57;64;59;57;53;57;55;58;58;62;58;55;43;30;21;19;
MQ_03250_FV2_G (MQ1047);25;17;11;10;31;84;241;418;470;431;416;391;418;407;426;428;451;428;406;316;219;157;142;
MQ_03250_FV2_L (MQ1048);9;4;5;6;13;43;141;192;156;136;166;232;177;239;201;250;236;226;204;161;113;98;80;
MQ_03250_FV3_R (MQ1049);5;2;1;2;7;21;79;79;96;103;81;85;86;80;86;83;85;94;83;70;42;34;28;
MQ_03250_FV3_G (MQ105);14;7;4;6;22;62;236;237;287;308;242;256;258;239;259;248;254;281;248;211;125;103;83;
MQ_03250_FV3_L (MQ1050);6;3;4;7;3;14;65;100;124;90;108;90;81;76;84;106;107;108;117;84;58;46;27;
MQ_03250_FV4_R (MQ1051);8;3;3;1;3;14;36;81;77;81;79;86;90;94;93;98;107;114;106;75;64;49;47;
MQ_03250_FV4_G (MQ1052);30;14;11;6;12;57;144;322;309;324;318;343;361;378;372;394;430;457;422;298;256;194;187;
MQ_03250_FV4_L (MQ1053);2;2;1;2;1;0;4;16;18;24;37;30;31;32;28;25;36;31;36;24;14;12;8;
MQ_03030_FV1_R (MQ1054);3;2;0;1;1;3;13;66;62;62;49;55;61;49;52;83;86;114;90;52;27;14;13;6;
MQ_03030_FV2_G (MQ1055);0;0;0;0;0;0;0;1;2;1;1;1;1;1;2;2;2;2;1;1;1;0;1;1;
MQ_03030_FV2_L (MQ1056);2;0;0;1;1;2;3;20;28;18;17;14;13;15;24;24;34;33;15;11;9;3;7;9;
MQ_03030_FV2_R (MQ1057);1;0;0;0;1;1;2;14;19;12;11;9;9;10;16;16;23;23;10;7;6;2;5;6;
MQ_03030_FV3_G (MQ1058);32;15;7;12;30;123;444;791;832;744;580;519;560;585;532;656;743;719;612;401;283;184;126;66;
MQ_03030_FV3_L (MQ1059);5;1;1;1;2;6;37;110;98;76;62;62;65;68;54;94;97;152;133;77;48;22;20;9;
MQ_03080_FV4_R (MQ106);3;1;0;0;1;5;40;166;148;65;67;58;66;60;56;71;67;96;65;52;32;18;16;6;
MQ_03030_FV3_R (MQ1060);1;0;0;0;0;2;6;11;11;11;9;8;8;8;7;9;10;10;9;6;4;3;2;1;
MQ_03030_FV4_G (MQ1061);1;0;0;0;0;2;8;15;14;10;8;9;9;9;10;10;11;12;11;10;10;8;4;1;
MQ_03030_FV4_L (MQ1062);4;0;0;0;1;10;50;101;93;66;52;60;60;59;68;67;73;81;73;70;67;50;27;7;
MQ_03030_FV4_R (MQ1063);4;0;0;0;1;10;50;101;93;66;52;60;60;59;68;67;73;81;73;70;67;50;27;7;
MQ_06070_10_D_TLS_S1S (MQ1064);;561;542;534;490;306;232;209;
MQ_06070_11_D_TLS_S3S4 (MQ1065);675;637;626;485;324;271;253;
MQ_03120_FV1_G (MQ107);68;39;23;33;80;225;619;1201;1115;1003;912;997;1066;1084;1190;1427;1326;1324;1147;791;547;428;329;140;
MQ_03120_FV1_R (MQ109);1;1;0;0;1;3;6;11;10;10;9;10;10;11;12;14;12;13;12;8;6;5;4;2;
MQ_08050_FV2_L (MQ11);26;24;24;16;16;91;161;251;294;395;382;483;566;501;524;602;640;647;458;342;234;129;59;
MQ_03120_FV2_L (MQ110);12;0;2;1;0;4;12;44;41;38;28;39;41;39;30;45;50;50;35;29;18;14;4;2;
MQ_03120_FV2_R (MQ111);0;1;1;2;3;2;7;32;26;24;30;29;29;19;23;25;40;31;21;10;10;8;2;1;
MQ_06160_FV3_L (MQ112);4;1;1;0;2;9;30;80;73;48;53;51;73;62;58;65;79;90;88;65;36;35;15;4;
MQ_03120_FV3_G (MQ113);61;26;15;34;40;225;855;1395;1221;930;849;854;891;997;964;1047;1153;1205;1065;856;523;392;295;130;
MQ_03120_FV3_L (MQ115);2;2;0;2;1;13;60;100;70;58;45;61;73;63;57;61;64;49;56;31;23;22;11;8;
MQ_03140_FV1_G (MQ116);54;18;11;26;34;179;769;1243;1111;829;797;805;795;926;917;984;1128;1168;993;801;497;371;282;117;
MQ_03140_FV1_L (MQ117);1;0;1;2;2;1;7;24;38;31;22;35;21;31;25;30;24;48;28;41;19;12;8;4;
MQ_03140_FV1_R (MQ118);2;0;0;1;1;5;17;30;27;19;19;19;19;20;22;22;25;28;23;19;12;9;7;3;
MQ_03140_FV2_G (MQ119);0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;
MQ_03290_FV3_G (MQ12);50;29;18;14;15;63;150;224;227;218;180;193;209;207;204;218;214;217;206;210;171;128;115;
MQ_03140_FV2_L (MQ120);0;1;0;1;1;1;10;25;20;18;15;16;14;24;14;25;20;19;17;19;6;6;5;1;
MQ_08040_FV1_L (MQ121);10;2;3;1;5;8;13;32;45;47;66;48;65;68;73;106;97;94;81;51;48;27;128;
MQ_03140_FV2_R (MQ122);0;2;0;2;1;2;16;39;31;28;23;25;23;38;22;40;32;31;28;29;10;10;7;1;
MQ_08040_FV1_G (MQ123);44;37;13;14;30;105;250;417;445;452;428;468;545;462;520;605;604;598;487;365;308;220;340;
MQ_03140_FV3_G (MQ124);63;31;21;23;71;212;600;1132;1119;956;886;954;1028;1042;1134;1403;1390;1351;1150;810;554;407;304;128;
MQ_03140_FV3_L (MQ125);0;0;1;0;1;0;6;9;21;13;12;28;17;17;17;20;32;35;29;23;22;10;7;8;
MQ_03140_FV3_R (MQ126);2;1;0;1;2;5;11;18;18;16;15;17;17;18;18;25;23;24;20;15;10;8;6;3;
MQ_08040_FV1_R (MQ127);9;9;3;2;5;19;39;123;104;116;129;170;116;145;183;252;240;221;178;140;79;57;211;
MQ_08040_FV2_R (MQ128);2;0;0;1;4;20;91;83;89;78;70;68;47;52;62;63;71;62;89;79;20;15;16;
MQ_08040_FV2_L (MQ129);10;5;3;10;22;84;164;266;235;232;186;208;200;200;210;175;210;207;143;90;60;34;21;
MQ_08050_FV3_G (MQ13);34;21;23;20;84;246;828;1474;1269;931;740;638;782;766;844;1006;1142;1072;868;539;361;221;164;
MQ_03140_FV4_G (MQ130);1;0;0;0;0;4;16;44;34;14;14;14;25;33;22;27;32;35;38;19;14;12;12;3;
MQ_03140_FV4_L (MQ131);2;1;1;1;1;9;25;72;52;41;43;39;40;36;54;40;54;40;34;32;21;16;11;4;
MQ_03160_FV1_G (MQ132);40;21;14;20;42;196;675;1093;941;796;752;761;729;827;856;912;998;1051;949;740;458;361;303;113;
MQ_03160_FV1_L (MQ133);18;8;2;6;8;49;283;337;317;218;210;208;216;275;255;282;294;315;255;212;132;101;60;32;
MQ_03160_FV1_R (MQ134);4;2;1;2;4;16;55;73;71;60;55;56;55;58;61;62;71;71;63;53;32;28;22;10;
MQ_03160_FV2_G (MQ135);22;22;8;4;37;86;227;422;418;321;311;379;378;350;454;520;476;456;366;230;157;115;86;45;
MQ_03160_FV2_L (MQ136);0;1;0;0;0;5;9;46;45;42;45;42;62;72;78;133;128;121;72;30;13;7;4;4;
MQ_08040_FV3_L (MQ137);26;31;22;19;52;180;461;911;791;550;436;451;545;551;585;743;883;856;566;371;244;145;96;
MQ_03160_FV3_G (MQ138);41;18;10;14;28;152;526;729;739;709;585;587;638;635;698;787;761;812;785;537;382;286;189;93;
MQ_08040_FV3_R (MQ139);10;8;9;4;11;31;91;135;110;148;164;168;167;166;236;273;302;300;193;123;81;56;39;
MQ_03070_FV1_L (MQ14);3;0;0;0;4;5;43;51;51;49;46;35;46;39;38;38;52;46;22;25;18;10;2;8;
MQ_08040_FV3_G (MQ140);24;18;18;15;37;143;452;745;710;642;540;500;516;514;580;628;642;594;578;422;293;159;109;
MQ_03160_FV3_L (MQ141);1;1;0;0;1;1;4;21;18;20;22;23;23;15;25;27;39;35;33;21;19;8;12;4;
MQ_03160_FV3_R (MQ142);0;0;0;0;0;0;3;4;4;4;3;3;4;4;4;4;4;4;4;3;2;2;1;0;
MQ_03160_FV4_G (MQ143);10;10;9;3;7;45;276;223;224;167;144;137;145;156;142;148;158;140;132;116;108;93;51;44;
MQ_03160_FV4_L (MQ144);27;22;16;7;24;75;330;336;355;330;323;359;357;362;363;421;420;391;372;332;278;197;169;70;
MQ_03171_FV1_G (MQ145);44;26;17;21;46;170;501;894;707;619;649;636;664;720;765;873;955;906;806;599;370;279;239;80;
MQ_08040_FV4_R (MQ146);30;29;15;17;52;175;559;986;815;495;412;423;491;542;573;634;727;730;549;348;239;164;100;
MQ_08040_FV4_L (MQ147);4;4;3;9;20;65;239;306;263;205;165;170;138;123;177;180;184;182;183;158;57;52;24;
MQ_08040_FV6_R (MQ148);2;6;0;0;2;5;23;57;36;42;32;28;18;31;38;33;45;47;45;25;23;14;20;
MQ_03171_FV1_L (MQ149);1;1;0;0;0;0;1;9;5;13;8;4;7;14;10;9;11;7;14;4;1;6;1;0;
MQ_03290_FV4_G (MQ15);25;11;7;8;14;24;89;149;217;204;213;208;169;214;211;219;193;265;217;174;125;113;73;
MQ_03171_FV3_G (MQ151);39;19;7;12;26;145;526;750;778;700;566;565;659;649;684;766;764;821;759;548;393;278;196;101;
MQ_03171_FV3_R (MQ152);0;0;0;0;0;1;3;3;4;3;3;3;3;3;3;4;4;4;3;3;2;1;1;0;
MQ_03180_FV1_G (MQ153);33;20;8;10;17;90;344;390;428;436;374;411;474;465;506;537;556;584;529;385;294;228;163;85;
MQ_03180_FV1_L (MQ154);0;3;1;1;1;2;27;25;47;61;49;52;55;55;69;55;63;62;80;45;25;25;13;9;
MQ_03180_FV1_R (MQ155);3;2;1;1;2;8;24;25;29;30;26;28;34;30;33;34;40;40;36;29;21;17;14;7;
MQ_03180_FV2_G (MQ156);10;0;2;2;2;5;42;86;96;129;117;194;159;66;97;176;175;152;166;135;94;66;40;19;
MQ_03180_FV2_L (MQ157);;;;;;;;;;;;;;;;;;;;;;;;;
MQ_03180_FV2_R (MQ158);1;0;0;0;0;1;6;12;14;18;17;28;23;9;14;25;25;22;24;19;14;10;6;3;
MQ_03180_FV3_G (MQ159);17;9;11;12;30;109;341;509;469;420;400;382;375;418;447;492;535;522;476;355;222;166;130;46;
MQ_03290_FV4_L (MQ16);14;9;10;9;29;53;187;277;283;226;235;232;243;245;248;268;254;255;263;194;124;68;89;
MQ_03180_FV3_L (MQ160);19;15;1;3;7;42;151;373;268;211;244;262;277;304;328;373;424;392;337;259;156;92;102;27;
MQ_03180_FV3_R (MQ161);0;0;0;0;1;2;8;13;12;10;9;9;9;10;10;13;15;14;13;9;6;4;3;1;
MQ_03180_FV4_G (MQ162);5;1;1;1;3;18;64;210;169;107;87;95;89;93;91;94;125;127;115;75;44;27;27;14;
MQ_08041_FV1_G (MQ163);58;34;17;16;30;105;260;413;423;422;435;446;469;513;485;601;564;567;458;336;357;265;563;
MQ_03180_FV4_L (MQ164);2;6;1;0;2;8;29;41;60;45;55;40;46;43;49;45;49;54;60;50;24;24;19;6;
MQ_08041_FV1_L (MQ165);2;0;2;2;11;6;16;20;24;35;35;45;51;33;40;42;41;36;35;34;10;18;8;
MQ_08041_FV1_R (MQ166);1;0;0;1;2;5;20;23;19;16;17;14;18;20;22;23;17;18;21;14;10;9;39;
MQ_03180_FV4_R (MQ167);8;6;2;4;10;58;197;379;389;293;239;205;217;236;226;245;274;277;256;195;125;82;54;23;
MQ_03021_FV1_G (MQ168);37;16;8;16;35;148;501;937;952;838;655;601;643;680;623;772;866;884;751;493;333;216;156;75;
MQ_08041_FV2_L (MQ169);2;6;2;3;11;13;15;40;49;74;100;118;156;132;131;134;145;130;120;91;40;18;27;
MQ_03070_FV1_R (MQ17);10;4;0;4;15;54;89;133;164;143;158;154;155;129;134;155;164;184;152;110;78;47;53;14;
MQ_05010_FV1_L (MQ170);25;24;8;7;42;91;328;665;594;386;355;348;355;337;372;442;406;421;359;261;167;125;92;48;
MQ_05010_FV1_R (MQ171);1;0;0;0;3;15;121;181;187;63;33;46;47;41;38;34;51;31;28;17;8;2;5;0;
MQ_08041_FV3_G (MQ172);30;16;16;20;44;176;585;759;717;577;504;454;444;483;521;547;566;534;556;463;303;197;135;
MQ_05010_FV2_G (MQ173);22;16;10;10;17;81;575;467;488;335;288;265;262;293;249;303;307;297;259;187;163;137;82;57;
MQ_08041_FV3_L (MQ174);0;1;0;2;0;11;30;31;18;24;22;14;22;14;25;19;17;17;21;19;12;11;8;
MQ_08041_FV3_R (MQ175);2;4;3;3;17;36;56;96;95;123;117;133;116;110;107;120;119;126;122;71;20;17;5;
MQ_05010_FV2_R (MQ176);27;17;8;8;14;47;152;218;225;234;246;250;268;333;320;334;375;396;360;298;222;183;101;62;
MQ_03021_FV3_G (MQ177);47;15;10;16;39;147;529;1038;975;716;660;666;734;782;885;1015;1241;1093;818;590;395;317;200;113;
MQ_08041_FV4_L (MQ178);1;0;0;2;0;1;2;10;8;12;4;11;11;5;12;5;8;8;5;6;5;7;1;
MQ_05010_FV3_G (MQ179);1;2;1;0;6;20;57;164;182;157;174;241;299;306;349;696;604;512;294;118;57;30;14;7;
MQ_03070_FV2_G (MQ18);17;12;3;1;8;23;70;186;172;144;145;172;198;162;194;188;239;222;228;136;114;106;83;44;
MQ_05010_FV3_L (MQ181);2;0;0;0;2;3;8;13;20;25;24;44;50;56;49;127;128;92;54;29;15;10;5;2;
MQ_03290_FV5_R (MQ19);6;4;1;1;4;3;17;118;105;89;62;65;80;64;71;91;112;108;99;52;47;27;60;
MQ_03040_FV1_G (MQ195);36;9;7;13;31;127;486;942;867;656;599;589;635;678;756;888;1057;937;715;504;330;248;177;87;
MQ_03040_FV1_L (MQ196);2;0;0;0;2;0;27;52;77;46;29;27;19;26;25;30;15;12;11;6;6;2;1;2;
MQ_03040_FV1_R (MQ197);0;0;0;0;0;0;8;21;25;19;4;10;11;11;4;11;10;10;8;6;5;5;0;0;
MQ_03040_FV2_G (MQ198);1;1;0;0;1;1;5;16;23;22;22;23;26;31;28;43;51;47;30;17;8;6;3;0;
MQ_03040_FV2_L (MQ199);1;1;0;0;1;1;5;16;23;22;22;23;26;31;28;43;51;47;30;17;8;6;3;0;
MQ_03070_FV1_G (MQ2);22;7;6;7;27;114;391;741;706;499;388;369;415;384;417;500;535;513;404;298;167;133;96;43;
MQ_03070_FV2_L (MQ20);4;0;2;0;3;13;38;81;91;50;50;55;42;60;61;75;100;75;64;43;24;19;12;6;
MQ_08054_FV1_R (MQ200);1;1;0;1;6;46;181;275;220;118;80;84;93;122;91;75;67;72;49;22;15;4;12;
MQ_08054_FV1_G (MQ201);65;43;14;14;44;100;373;693;683;631;644;732;872;927;922;1098;1279;1267;1087;711;548;349;437;
MQ_03040_FV2_R (MQ202);1;1;0;0;1;1;5;16;23;22;22;23;26;31;28;43;51;47;30;17;8;6;3;0;
MQ_08054_FV2_R (MQ203);1;0;0;2;0;0;6;12;21;13;18;30;37;21;28;30;57;36;27;8;12;7;1;
MQ_08054_FV2_L (MQ204);1;0;1;1;1;4;6;40;55;44;60;74;124;100;105;153;186;168;94;33;35;24;3;
MQ_03040_FV3_G (MQ205);30;14;7;15;30;125;466;908;894;732;594;563;593;605;591;716;837;812;678;453;328;220;149;71;
MQ_03040_FV3_L (MQ206);2;0;0;0;0;0;13;24;27;12;8;9;13;8;8;7;6;9;18;9;4;1;4;0;
MQ_03040_FV3_R (MQ207);2;1;0;1;2;6;21;40;39;32;29;25;25;26;26;32;39;37;32;22;16;12;7;4;
MQ_08054_FV3_G (MQ208);40;21;23;28;89;282;925;1521;1361;996;826;711;759;761;810;852;902;858;782;561;362;191;165;
MQ_08054_FV3_L (MQ209);1;0;0;0;0;5;46;51;60;16;16;18;23;20;13;13;14;15;9;3;1;0;0;
MQ_08060_FV1_R (MQ210);4;0;0;0;4;4;14;41;54;56;66;60;74;66;57;51;72;44;43;30;24;4;17;
MQ_03040_FV4_G (MQ211);0;0;0;0;0;1;6;13;14;11;10;11;12;13;11;18;25;20;11;11;3;4;0;1;
MQ_08060_FV1_G (MQ212);52;35;12;13;29;62;297;459;461;442;463;548;719;728;747;913;1097;1098;937;628;492;328;392;
MQ_03040_FV4_L (MQ213);0;0;0;0;0;1;6;13;14;11;10;11;12;13;11;18;25;20;11;11;3;4;0;1;
MQ_08060_FV1_L (MQ214);3;1;1;1;5;13;25;132;119;91;85;100;133;101;118;134;139;147;113;46;33;17;12;
MQ_03040_FV4_R (MQ215);0;0;0;0;0;1;6;13;14;11;10;11;12;13;11;18;25;20;11;11;3;4;0;1;
MQ_03050_FV1_G (MQ216);44;12;12;14;35;162;553;1080;1008;736;640;643;662;696;739;848;967;871;690;512;310;240;190;73;
MQ_03050_FV1_L (MQ217);6;4;2;0;5;23;129;314;282;222;172;176;159;148;164;173;155;177;136;137;68;39;32;10;
MQ_02010_FV3_L (MQ218);1;1;0;0;1;2;7;12;12;9;8;10;10;12;12;14;18;17;13;10;8;5;5;
MQ_08060_FV2_G (MQ219);3;2;2;3;5;31;81;106;117;103;88;94;108;92;106;112;124;132;92;53;36;21;25;
MQ_08060_FV2_L (MQ220);87;92;106;121;120;157;134;91;62;90;100;
MQ_03050_FV1_R (MQ221);3;0;3;0;2;30;53;148;129;110;86;76;94;69;68;75;70;54;58;49;25;22;18;4;
MQ_03050_FV2_G (MQ222);15;6;4;2;9;21;70;164;177;144;159;165;200;203;209;211;247;217;214;187;152;110;93;33;
MQ_03050_FV2_L (MQ223);3;0;1;0;0;0;26;55;65;49;63;62;72;81;82;107;143;97;98;68;56;34;23;8;
MQ_08060_FV3_R (MQ224);6;0;0;1;1;15;48;148;139;97;59;76;94;73;75;69;85;98;87;48;25;32;31;
MQ_08060_FV3_G (MQ225);31;14;20;24;78;269;891;1407;1225;837;691;595;575;625;660;691;683;641;676;495;308;168;128;
MQ_03050_FV2_R (MQ226);11;7;3;1;8;15;45;100;139;137;162;169;226;191;215;265;291;263;222;173;135;74;80;20;
MQ_08060_FV3_L (MQ227);9;9;2;2;15;71;170;352;340;174;190;166;159;139;179;212;216;169;137;86;66;52;29;
MQ_03050_FV3_G (MQ228);28;13;7;13;30;104;352;672;639;581;477;500;536;556;523;696;814;791;614;412;299;208;135;65;
