Name  /  Date: 2015_06_23;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03290_FV12_GR (MQ0);49;22;11;14;17;101;270;339;354;356;350;348;334;358;387;365;360;356;363;331;236;171;190;91;
MQ_03020_FV4_L (MQ1);15;9;9;3;15;48;156;328;312;217;208;188;201;234;242;248;364;315;258;191;93;82;65;30;
MQ_03290_FV3_GR (MQ10);44;22;8;11;21;70;162;247;253;216;217;198;223;239;231;237;236;245;260;216;155;158;101;48;
MQ_03020_FV2_L (MQ100);2;3;1;0;0;1;18;28;25;23;27;20;40;39;30;42;46;40;40;22;25;10;9;12;
Alle Motion Det Albersloherweg (MQ1000);52235;53317;44203;33071;21717;15868;12235;6959;
MQ_03181_FV3_R (MQ1001);0;0;0;0;0;0;1;2;1;1;1;2;2;2;2;2;3;2;2;2;1;1;0;0;
MQ_06170_FV4_L (MQ1002);0;0;0;0;0;0;3;6;9;10;15;7;10;12;6;18;13;17;11;12;6;6;2;0;
MQ_08050_FV3_L (MQ1003);1;3;1;1;12;37;36;27;83;77;86;97;128;105;102;98;122;110;93;73;43;5;2;3;
MQ_06161_FV3_L (MQ1004);8;6;2;6;4;48;156;283;338;269;198;197;183;172;249;223;253;287;269;162;97;65;64;26;
MQ_06170_FV6_L (MQ1005);1;2;0;1;1;6;31;65;46;34;30;27;34;34;42;41;62;44;42;32;23;12;8;5;
MQ_08110_FV1_LO (MQ1006);1;0;0;1;1;1;4;11;11;11;11;13;17;13;19;22;27;30;18;14;9;6;4;2;
MQ_08110_FV3_RO (MQ1007);0;0;0;0;0;2;6;19;19;26;20;26;20;17;27;26;29;28;21;17;14;9;3;2;
MQ_06160_FV2_R (MQ1009);13;3;5;6;12;54;143;275;267;224;273;269;248;243;262;266;288;236;208;152;108;59;60;32;
MQ_02020_FV4_L (MQ101);19;13;10;3;14;33;132;301;348;251;248;286;306;309;311;410;490;407;376;261;162;125;72;44;
MQ_03030_FV1_G (MQ1010);33;16;13;14;19;111;457;896;890;546;560;637;643;707;789;924;1006;936;707;564;356;271;194;69;
LSA 3290 Schleifen (MQ1012);804;418;225;246;478;1542;4050;6410;6438;6271;6301;6086;5932;6340;6377;6696;6503;6709;6455;5781;4270;3222;2788;1593;
LSA 8020 Schleifen (MQ1013);706;449;215;191;518;1547;4178;6356;6246;5701;5712;5352;5726;5805;6073;6546;6529;6634;6196;5164;3537;2687;2557;1460;
