Name  /  Date: 2015_01_17;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03290_FV12_GR (MQ0);136;99;82;61;67;63;100;101;141;232;272;279;311;376;377;349;354;322;347;296;262;133;241;175;
MQ_03020_FV4_L (MQ1);24;15;28;5;9;31;23;45;93;117;152;198;262;264;216;218;173;177;156;102;74;34;46;38;
MQ_03290_FV3_GR (MQ10);111;92;64;69;52;64;69;93;100;129;173;172;194;225;232;232;215;234;209;196;153;121;153;112;
MQ_03020_FV2_L (MQ100);5;5;5;2;5;3;4;3;19;20;25;30;39;44;46;48;34;36;35;23;16;15;22;12;
MQ_03181_FV3_R (MQ1001);0;0;0;0;0;0;0;0;0;1;1;2;2;2;2;2;2;2;2;1;1;0;1;0;
MQ_06170_FV4_L (MQ1002);3;1;1;0;1;0;0;3;9;5;4;16;14;8;11;11;8;7;10;3;4;2;2;2;
MQ_08050_FV3_L (MQ1003);3;1;2;0;2;9;8;20;42;95;133;169;166;181;187;155;155;160;124;83;29;7;1;0;
MQ_06161_FV3_L (MQ1004);29;15;10;8;9;22;17;45;102;162;168;234;197;206;195;197;167;165;178;128;101;62;61;52;
MQ_06170_FV6_L (MQ1005);5;4;4;2;0;1;3;8;22;23;34;34;29;35;32;27;28;28;27;24;19;14;8;10;
MQ_08110_FV1_LO (MQ1006);1;2;0;1;1;1;1;3;6;9;10;11;18;17;12;12;13;14;14;10;5;3;3;3;
MQ_08110_FV3_RO (MQ1007);2;0;0;0;1;0;3;5;14;22;23;33;28;20;21;19;17;19;18;10;9;5;3;3;
MQ_06160_FV2_R (MQ1009);33;23;24;19;20;29;30;52;79;134;182;211;202;180;180;184;174;172;166;137;103;85;69;49;
MQ_02020_FV4_L (MQ101);29;27;26;12;18;23;42;45;100;128;175;229;272;326;330;282;272;296;233;176;133;89;57;44;
MQ_03030_FV1_G (MQ1010);78;48;29;18;22;50;91;171;268;310;392;442;510;584;653;616;521;528;476;307;271;159;122;96;
