Name  /  Date: 2016_03_21;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03290_FV12_GR (MQ0);48;30;8;13;27;131;296;321;349;346;353;339;385;358;369;369;370;369;353;264;216;143;127;54;
MQ_03020_FV4_L (MQ1);14;11;1;16;5;60;160;276;276;225;220;203;207;219;211;250;301;339;216;183;110;59;28;25;
MQ_03290_FV3_GR (MQ10);50;32;13;6;30;87;175;223;216;209;200;225;215;232;228;206;242;234;185;187;140;105;96;45;
MQ_03020_FV2_L (MQ100);3;1;0;0;3;1;15;26;26;25;32;24;26;37;34;36;42;34;33;20;26;24;9;5;
Alle Motion Det Albersloherweg (MQ1000);1086;1086;3811;45251;45251;45251;44648;38413;38413;38413;38413;41752;
MQ_03181_FV3_R (MQ1001);0;0;0;0;0;0;1;1;2;1;2;2;2;2;2;2;2;2;2;1;1;0;0;0;
MQ_06170_FV4_L (MQ1002);0;0;0;0;0;0;3;4;5;4;11;12;20;12;13;16;9;15;7;9;1;2;0;0;
MQ_08050_FV3_L (MQ1003);2;3;1;1;8;23;33;51;71;123;137;131;140;123;135;120;144;128;86;56;36;6;1;1;
MQ_06161_FV3_L (MQ1004);11;4;2;1;10;45;186;323;297;217;207;199;183;180;223;205;216;246;209;163;74;43;37;22;
MQ_06170_FV6_L (MQ1005);1;0;0;0;1;7;24;41;42;32;41;26;26;26;33;42;41;39;40;19;12;11;9;4;
MQ_08110_FV1_LO (MQ1006);1;0;0;0;0;4;6;15;17;22;6;24;21;20;27;32;35;35;28;16;9;7;4;1;
MQ_08110_FV3_RO (MQ1007);1;1;1;0;1;4;11;28;29;41;41;43;45;26;35;44;49;49;31;21;10;6;5;2;
LSA 29120 Schleifen (MQ1008);86;43;38;28;110;341;866;1320;1211;1122;1079;1153;1088;1131;1234;1408;1568;1512;1150;747;492;332;244;116;
MQ_06160_FV2_R (MQ1009);15;5;5;6;11;62;152;247;250;188;231;200;152;199;222;217;223;228;173;120;73;55;46;26;
MQ_02020_FV4_L (MQ101);13;2;8;11;12;32;147;247;256;244;230;253;270;285;299;350;428;437;315;236;130;105;60;40;
MQ_03030_FV1_G (MQ1010);28;11;7;12;21;114;412;789;717;605;561;554;581;586;689;954;1005;797;553;457;260;200;94;43;
Alle Motion Det Weselerstr. (MQ1011);12300;9994;9315;9291;9743;
LSA 3290 Schleifen (MQ1012);695;386;195;197;473;1388;3710;5276;5704;5731;5763;5827;5819;5868;5964;6095;6201;6348;5416;4398;3284;2391;1887;957;
LSA 8020 Schleifen (MQ1013);676;447;199;166;497;1426;3991;5539;5673;5553;5324;5515;5680;5641;5814;5775;6209;6089;5185;4125;3214;2263;1857;969;
LSA 8030 Schleifen (MQ1014);325;218;81;64;178;497;1559;2304;2488;2255;2187;2358;2331;2397;2670;2591;2915;2986;2273;1785;1352;991;805;387;
LSA 8031 Schleifen (MQ1015);263;251;72;42;124;398;1369;2130;2207;2126;2017;1997;1953;2015;2210;2315;2267;2173;1605;1074;777;526;387;192;
LSA 8040 Schleifen (MQ1016);466;284;235;216;649;2112;5753;9394;8109;6887;6724;6963;6959;7172;7385;7975;8600;8036;6287;4112;2569;1651;1029;608;
LSA 8032 Schleifen (MQ1017);210;182;88;60;183;620;1705;2529;2586;2389;2567;2464;2449;2591;2664;2801;2778;2613;1990;1456;1060;710;497;271;
LSA 8041 Schleifen (MQ1018);186;103;77;47;178;436;1059;1420;1508;1545;1635;1683;1700;1804;1769;1873;1831;1787;1508;1147;758;475;309;162;
LSA 8054 Schleifen (MQ1019);97;63;39;46;134;464;1388;2417;2083;1810;1763;1805;1892;1955;1939;2168;2466;2302;1767;1166;711;429;311;183;
MQ_02020_FV3_L (MQ102);1;1;1;1;0;9;14;42;45;40;56;51;36;52;58;48;45;69;37;38;29;9;6;7;
LSA 8140 Schleifen (MQ1020);83;37;28;30;86;280;835;1171;1050;1042;1024;1008;1004;997;1096;1222;1371;1248;1032;697;443;308;213;120;
MQ_01210_FV32_L (MQ1021);1;3;0;0;6;11;127;157;163;54;41;53;51;44;36;43;40;50;35;28;19;23;8;7;
MQ_01081_FV3_G (MQ1022);24;23;7;7;10;58;142;220;271;218;234;229;262;272;287;289;348;309;303;236;172;112;98;74;
MQ_03030_FV1_L (MQ1023);2;0;0;0;0;4;7;10;20;17;10;12;13;15;19;13;9;11;14;10;7;6;2;0;
MQ_01200_FV1_G (MQ1024);69;32;17;15;39;144;406;709;700;707;746;838;987;1025;1189;1598;1681;1294;930;703;408;325;241;109;
MQ_01121_FV1_G (MQ1025);3;2;1;3;4;21;91;160;223;235;294;206;183;201;187;182;177;156;132;67;42;25;16;12;
MQ_01121_FV3_L (MQ1026);0;0;0;0;0;0;1;1;1;2;2;3;3;4;4;4;4;4;3;2;1;1;1;0;
MQ_01121_FV3_G (MQ1027);5;1;0;0;1;4;22;39;58;79;107;146;157;190;184;207;205;185;167;111;67;38;30;15;
MQ_01121_FV1_R (MQ1028);0;0;0;0;1;3;13;22;30;32;40;28;25;27;26;25;24;21;18;9;6;4;2;2;
MQ_01200_FV1_L (MQ1029);4;0;1;2;0;0;9;81;80;52;36;40;46;41;41;51;64;60;38;41;28;9;5;7;
MQ_01070_FV2_L (MQ1030);;;;;;;;;;;;;;;;;;;;;;;;;
MQ_01121_FV2_G (MQ1031);1;0;1;0;3;2;4;9;29;22;15;17;17;15;13;16;16;16;12;8;5;5;5;1;
---Test (MQ1032);14;4;1;7;6;45;135;256;284;205;199;242;239;247;231;308;376;306;227;185;108;79;50;27;
MQ_09040_FV1_G (MQ1033);29;10;1;4;12;30;81;160;157;191;193;229;216;214;244;310;318;331;314;201;135;110;69;54;
MQ_09040_FV3_G (MQ1034);15;13;3;3;18;57;173;243;287;317;361;305;223;262;282;268;266;307;238;204;101;72;57;28;
MQ_09050_FV1_G (MQ1035);35;16;8;8;23;76;217;365;366;325;339;418;454;445;486;572;596;594;529;355;258;158;144;71;
MQ_09050_FV3_G (MQ1036);24;8;4;7;33;124;329;392;438;473;469;401;329;345;413;373;410;455;401;274;160;117;81;35;
MQ_09060_FV11_G (MQ1037);35;12;7;8;28;79;241;403;367;313;333;409;457;445;485;552;571;573;515;342;239;141;139;66;
MQ_09060_FV11L (MQ1038);2;3;2;1;4;8;19;34;39;35;23;61;34;24;32;40;28;28;40;44;24;11;15;5;
MQ_09060_FV2_L (MQ1039);2;5;2;0;6;22;70;120;123;103;113;133;122;148;149;192;222;156;111;109;63;39;24;7;
MQ_03023_FV1_G (MQ104);18;10;1;8;11;67;268;546;494;424;411;362;437;427;487;772;771;549;407;326;204;152;82;33;
MQ_09060_FV2_R (MQ1040);0;1;0;0;1;5;14;24;25;21;23;27;25;30;31;39;45;32;23;22;13;8;5;1;
MQ_09060_FV3_G (MQ1041);27;18;6;11;37;119;350;375;427;413;439;414;293;361;418;368;413;472;412;247;150;104;82;42;
MQ_09060_FV3_R (MQ1042);3;3;2;1;7;56;158;170;191;163;113;125;113;118;134;133;152;159;156;127;62;25;17;7;
MQ_03250_FV1_R (MQ1043);3;1;0;0;1;3;13;23;23;21;23;28;29;28;31;39;40;39;37;25;17;10;9;7;
MQ_03250_FV1_G (MQ1044);18;5;0;1;7;19;73;131;128;119;130;160;163;159;178;218;228;220;208;140;95;56;48;38;
MQ_03250_FV1_L (MQ1045);12;6;3;4;9;17;20;51;55;73;53;62;72;49;60;75;64;71;65;51;40;31;18;11;
MQ_03250_FV2_R (MQ1046);3;2;1;2;4;12;33;48;57;55;56;55;52;49;57;55;61;59;44;36;26;18;12;8;
MQ_03250_FV2_G (MQ1047);21;14;9;16;29;92;242;350;420;401;408;407;384;359;418;406;445;437;323;268;193;135;88;56;
MQ_03250_FV2_L (MQ1048);12;6;5;7;13;42;104;148;158;147;145;176;193;181;196;242;227;234;194;140;104;63;59;26;
MQ_03250_FV3_R (MQ1049);5;2;1;2;8;26;72;79;83;94;96;75;68;72;81;77;75;83;73;56;30;23;14;8;
MQ_03250_FV3_G (MQ105);14;7;3;5;23;77;215;236;250;281;287;225;203;215;244;230;225;249;220;167;89;68;41;23;
MQ_03250_FV3_L (MQ1050);5;3;1;3;3;15;55;87;95;101;96;93;59;86;84;80;82;95;84;55;41;28;25;6;
MQ_03250_FV4_R (MQ1051);9;4;3;3;4;13;36;63;75;74;74;86;87;88;86;91;98;107;91;68;56;36;30;14;
MQ_03250_FV4_G (MQ1052);36;18;12;10;15;52;144;250;299;295;298;345;348;352;342;366;390;426;366;272;225;144;121;58;
MQ_03250_FV4_L (MQ1053);2;2;2;0;0;2;12;13;24;14;19;29;32;38;20;22;26;27;23;28;14;12;7;6;
MQ_03030_FV1_R (MQ1054);1;0;0;1;2;4;12;63;42;52;37;62;67;43;57;66;85;79;44;22;13;8;2;3;
MQ_03030_FV2_G (MQ1055);0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;2;1;2;1;1;1;1;1;0;
MQ_03030_FV2_L (MQ1056);1;0;0;0;1;2;3;4;7;7;14;12;18;14;18;21;16;21;15;17;8;7;9;4;
MQ_03030_FV2_R (MQ1057);0;0;0;0;0;1;2;3;5;5;9;8;12;9;12;15;11;14;10;12;6;5;6;3;
MQ_03030_FV3_G (MQ1058);27;15;6;16;25;127;412;711;644;588;516;519;515;491;519;605;690;793;481;340;220;158;98;41;
MQ_03030_FV3_L (MQ1059);6;0;0;1;5;14;34;85;67;60;56;61;74;49;67;75;91;110;87;52;37;24;19;8;
MQ_03080_FV4_R (MQ106);5;0;1;1;2;1;38;103;79;84;59;51;48;48;46;65;53;68;38;39;18;21;6;4;
MQ_03030_FV3_R (MQ1060);0;0;0;0;0;2;6;9;9;8;7;7;7;7;6;7;10;11;7;5;3;3;1;1;
MQ_03030_FV4_G (MQ1061);0;0;0;0;0;2;6;11;10;8;7;6;8;9;9;11;11;10;9;8;8;2;1;1;
MQ_03030_FV4_L (MQ1062);0;3;0;1;2;10;40;73;67;57;47;41;56;61;57;73;72;69;62;52;52;14;9;6;
MQ_03030_FV4_R (MQ1063);0;3;0;1;2;10;40;73;67;57;47;41;56;61;57;73;72;69;62;52;52;14;9;6;
MQ_03120_FV1_G (MQ107);60;33;26;22;70;212;515;941;962;813;835;882;915;946;999;1196;1196;1105;869;664;403;276;210;120;
MQ_03020_FV2_R (MQ108);1;1;1;0;1;8;20;48;44;58;47;55;56;46;67;60;79;68;67;35;27;43;12;2;
MQ_03120_FV1_R (MQ109);1;1;0;0;1;3;5;9;9;8;9;9;9;9;10;11;12;11;9;7;5;3;3;2;
MQ_08050_FV2_L (MQ11);9;6;16;10;18;88;132;252;269;365;408;454;508;529;537;613;618;592;422;248;168;116;36;16;
MQ_03120_FV2_L (MQ110);0;0;1;2;0;7;6;35;36;29;43;57;35;36;42;47;46;36;35;18;24;9;3;0;
MQ_03120_FV2_R (MQ111);0;0;1;2;0;6;5;16;15;15;18;38;14;21;18;29;17;25;24;19;9;4;2;1;
MQ_06160_FV3_L (MQ112);0;0;0;0;1;7;24;47;59;50;52;53;90;62;56;70;85;83;67;63;32;23;6;0;
MQ_03120_FV3_G (MQ113);54;20;21;26;37;222;767;1139;1060;924;872;827;822;864;913;926;1074;983;817;670;436;270;188;105;
MQ_03020_FV2_G (MQ114);3;2;1;0;2;10;32;79;64;78;94;87;108;98;119;115;185;156;133;79;62;63;35;11;
MQ_03120_FV3_L (MQ115);1;0;0;1;1;17;62;57;56;45;41;50;59;38;58;38;31;36;30;35;25;8;1;2;
MQ_03140_FV1_G (MQ116);43;12;16;25;27;179;648;1006;964;831;796;744;763;807;878;946;1092;942;818;624;405;260;181;85;
MQ_03140_FV1_L (MQ117);0;0;0;0;1;3;4;17;25;11;16;24;29;26;32;22;25;28;41;20;11;7;4;4;
MQ_03140_FV1_R (MQ118);1;0;1;1;1;5;14;23;22;20;19;17;18;19;21;23;24;22;20;15;11;7;5;2;
