Name  /  Date: 2015_05_09;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03290_FV12_GR (MQ0);99;112;77;67;54;99;112;126;172;313;358;361;389;378;362;361;373;354;352;327;283;220;206;218;
MQ_03020_FV4_L (MQ1);38;13;15;20;6;29;33;58;115;158;198;196;263;197;183;173;170;175;163;143;84;52;34;31;
MQ_03290_FV3_GR (MQ10);101;73;78;71;56;56;74;70;115;150;192;233;211;248;239;237;225;201;233;236;169;125;135;129;
MQ_03020_FV2_L (MQ100);12;4;3;2;1;0;10;11;6;13;15;38;31;22;27;28;32;35;28;25;21;12;13;4;
MQ_03181_FV3_R (MQ1001);0;0;0;0;0;0;0;0;1;1;2;2;2;2;2;2;2;2;2;1;1;0;1;0;
MQ_06170_FV4_L (MQ1002);0;1;0;0;0;0;0;4;7;8;11;13;10;10;17;7;6;15;6;6;8;4;1;1;
MQ_08050_FV3_L (MQ1003);3;1;0;2;1;7;5;16;97;151;173;175;191;182;196;159;188;164;147;102;58;11;3;5;
MQ_06161_FV3_L (MQ1004);35;19;7;7;17;24;31;60;157;180;209;203;202;192;208;213;167;181;196;149;115;71;67;45;
MQ_06170_FV6_L (MQ1005);6;2;1;0;0;2;3;11;24;32;32;36;42;31;41;34;30;31;34;29;18;12;14;8;
MQ_08110_FV1_LO (MQ1006);2;1;1;1;1;1;2;4;7;11;13;16;18;15;15;14;15;13;11;11;8;5;3;2;
MQ_08110_FV3_RO (MQ1007);1;1;0;0;1;1;2;9;17;23;35;35;27;23;19;18;21;17;20;19;8;8;5;3;
MQ_06160_FV2_R (MQ1009);34;25;17;23;19;31;44;53;98;151;170;216;205;206;186;186;160;168;143;130;112;84;81;56;
MQ_02020_FV4_L (MQ101);43;23;14;10;8;11;40;71;181;190;225;231;257;319;263;264;236;241;241;199;147;99;71;47;
MQ_03030_FV1_G (MQ1010);79;44;26;13;23;62;94;197;282;356;398;509;607;634;595;513;474;528;422;390;232;194;165;109;
LSA 3290 Schleifen (MQ1012);2265;2125;1519;1440;1191;1437;1648;1979;3297;4811;5916;6285;6669;6858;6347;6379;6325;5822;6197;5862;4724;3562;3649;3434;
LSA 8020 Schleifen (MQ1013);2318;2073;1611;1524;1316;1431;1554;1790;2966;4064;4811;5269;5762;6276;5845;5887;5775;5307;5763;5616;4390;3096;3620;3415;
LSA 8030 Schleifen (MQ1014);1018;857;603;585;459;564;554;677;1289;1658;1966;2049;2324;2457;2318;2409;2493;2173;2514;2226;1854;1337;1747;1537;
LSA 8040 Schleifen (MQ1016);978;815;530;500;547;876;1399;2329;3767;5307;6586;7430;7625;7785;7517;7123;7152;6314;6075;5071;3571;2229;2029;1791;
LSA 8032 Schleifen (MQ1017);726;541;401;399;400;439;509;738;1134;1606;2001;2324;2525;2703;2523;2566;2576;2260;2354;2180;1721;1149;1236;1073;
LSA 8041 Schleifen (MQ1018);376;342;236;273;251;279;349;496;903;1273;1626;1813;1871;1902;1825;1788;1827;1640;1546;1453;1050;673;706;617;
LSA 8054 Schleifen (MQ1019);304;205;128;125;121;224;320;633;1043;1429;1802;1973;2045;2079;2108;2011;1938;1768;1697;1342;998;601;579;467;
MQ_02020_FV3_L (MQ102);8;2;1;2;1;3;9;14;28;30;52;59;59;60;57;54;55;42;53;45;31;16;17;17;
LSA 8140 Schleifen (MQ1020);221;122;74;82;71;157;203;347;564;881;1057;1137;1191;1244;1184;1115;1048;1027;1025;872;646;421;398;308;
MQ_01210_FV32_L (MQ1021);5;3;5;1;2;4;5;17;10;34;31;35;23;30;30;34;46;44;29;26;11;8;10;13;
MQ_01081_FV3_G (MQ1022);107;82;44;32;33;42;47;77;115;159;206;228;251;285;303;273;288;259;243;204;178;117;168;124;
MQ_03030_FV1_L (MQ1023);2;1;0;0;1;4;2;6;12;13;10;9;17;11;15;7;22;17;12;12;4;7;4;3;
MQ_01200_FV1_G (MQ1024);218;148;112;72;65;71;147;269;390;571;666;816;1033;1158;1188;1156;1209;1263;1086;818;582;390;439;324;
MQ_01121_FV1_G (MQ1025);32;7;7;16;28;39;88;144;160;295;348;283;288;284;251;231;206;158;135;105;69;35;43;24;
MQ_01121_FV3_L (MQ1026);0;0;0;0;0;0;0;1;2;2;3;4;5;5;5;5;5;5;5;3;2;1;1;1;
MQ_01121_FV3_G (MQ1027);14;11;5;8;3;6;14;51;74;83;125;193;245;263;225;247;230;258;228;157;103;55;47;37;
MQ_01121_FV1_R (MQ1028);4;1;1;2;4;5;12;20;22;40;48;39;39;39;34;32;28;21;18;14;10;5;6;3;
MQ_01200_FV1_L (MQ1029);22;12;3;3;4;11;8;11;39;39;30;38;63;47;45;32;39;41;35;34;26;9;19;19;
MQ_01070_FV2_L (MQ1030);;;;;;;;;;;;;;;;;;;;;;;;;
MQ_01121_FV2_G (MQ1031);10;5;10;8;3;1;4;6;8;10;13;16;22;20;18;11;7;10;13;14;9;10;11;18;
---Test (MQ1032);22;12;3;3;4;11;8;11;39;39;30;38;63;47;45;32;39;41;35;34;26;9;19;19;
MQ_09040_FV1_G (MQ1033);84;41;43;31;24;27;47;69;105;148;215;267;294;329;311;340;310;318;276;278;234;133;167;114;
MQ_09040_FV3_G (MQ1034);48;37;30;26;19;52;69;104;193;380;400;353;344;292;327;291;265;271;264;230;183;124;122;98;
MQ_09050_FV1_G (MQ1035);123;54;51;43;32;44;80;107;198;287;379;437;465;521;532;532;529;508;512;417;327;239;267;178;
MQ_09050_FV3_G (MQ1036);80;54;44;38;29;90;115;157;285;475;513;470;419;424;432;416;342;385;401;364;276;197;171;139;
MQ_09060_FV11_G (MQ1037);123;54;45;39;33;39;74;116;202;274;358;433;466;542;510;513;515;502;487;398;288;231;255;183;
MQ_09060_FV11L (MQ1038);13;4;10;9;10;12;15;16;22;42;40;44;47;34;22;39;39;35;36;40;24;28;20;12;
MQ_09060_FV2_L (MQ1039);13;7;7;3;5;9;21;40;57;76;121;139;147;142;156;103;117;116;105;100;84;59;39;32;
