Name  /  Date: 2016_10_31;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03290_FV12_GR (MQ0);35;34;12;10;33;81;215;366;345;360;365;377;350;337;367;343;347;363;361;358;243;189;191;
MQ_03020_FV4_L (MQ1);14;6;9;5;10;41;112;300;263;214;196;249;267;257;278;274;307;337;225;176;110;78;46;36;
MQ_03290_FV3_GR (MQ10);40;13;18;7;17;73;125;203;209;226;210;243;231;240;241;252;252;249;226;213;183;138;164;
MQ_03020_FV2_L (MQ100);3;0;1;0;0;2;13;46;38;32;31;25;39;36;32;52;57;53;49;30;23;11;14;7;
MQ_03181_FV3_R (MQ1001);0;0;0;0;0;0;1;2;1;1;2;2;2;2;2;2;3;2;2;2;1;1;0;0;
MQ_06170_FV4_L (MQ1002);0;0;0;0;0;2;3;2;13;12;13;17;20;14;12;15;15;19;16;8;8;10;4;2;
MQ_08050_FV3_L (MQ1003);2;1;5;2;11;28;38;49;115;183;212;217;208;176;174;170;195;189;123;82;44;12;3;9;
MQ_06161_FV3_L (MQ1004);2;5;2;5;6;44;127;288;264;246;228;237;248;224;219;251;260;275;243;164;90;79;55;44;
MQ_06170_FV6_L (MQ1005);1;1;0;1;2;6;26;58;39;38;35;37;40;44;47;45;51;48;41;33;23;23;12;9;
MQ_08110_FV1_LO (MQ1006);0;0;1;0;0;2;3;8;15;19;18;18;22;18;21;27;24;28;20;12;5;6;4;1;
MQ_08110_FV3_RO (MQ1007);0;0;0;0;0;1;8;17;26;36;34;37;37;22;30;33;41;42;25;21;11;8;4;1;
LSA 29120 Schleifen (MQ1008);72;44;43;16;104;256;674;1300;1157;1211;1284;1352;1244;1328;1457;1589;1749;1599;1250;850;697;390;360;263;
MQ_06160_FV2_R (MQ1009);9;8;5;4;12;47;139;263;235;260;234;229;209;200;216;205;219;223;185;157;116;77;66;50;
MQ_02020_FV4_L (MQ101);20;13;6;7;4;18;92;218;242;231;259;271;245;293;302;323;359;339;298;227;134;94;65;43;
MQ_03030_FV1_G (MQ1010);21;14;10;10;18;87;331;661;645;545;562;574;691;713;751;871;1014;810;667;438;301;213;141;85;
LSA 3290 Schleifen (MQ1012);545;423;265;227;448;1335;3296;5590;5780;6439;6544;6756;6616;6557;6583;6664;6512;6735;6334;5786;4418;3437;3556;
LSA 8030 Schleifen (MQ1014);246;216;81;62;159;456;1195;2411;2252;2624;2416;2417;2458;2815;2710;2811;2798;2898;2498;2198;1600;1386;1700;1099;
LSA 8031 Schleifen (MQ1015);125;115;66;65;173;356;1105;2062;1986;2457;2118;1984;2105;2640;2259;2426;2305;2184;1825;1517;1300;1011;1195;1102;
LSA 8032 Schleifen (MQ1017);175;132;63;66;160;515;1361;2489;2368;2576;2599;2681;2654;3071;2864;2794;2854;2701;2277;1768;1366;1000;1082;777;
LSA 8041 Schleifen (MQ1018);93;71;67;49;125;361;988;1568;1670;1823;1885;1987;1997;2092;2031;2050;2003;1975;1805;1458;979;690;706;494;
LSA 8054 Schleifen (MQ1019);91;46;50;57;100;394;1145;2272;2014;1961;2050;2168;2283;2276;2341;2426;2705;2549;1961;1344;975;683;495;372;
MQ_02020_FV3_L (MQ102);4;2;0;0;1;5;27;38;38;51;74;66;52;59;67;53;71;65;82;50;37;15;9;8;
LSA 8140 Schleifen (MQ1020);67;37;27;35;63;226;640;1217;1059;1098;1183;1230;1157;1224;1318;1363;1485;1425;1101;839;634;391;336;243;
MQ_01210_FV32_L (MQ1021);4;1;1;5;0;11;88;117;110;40;35;26;59;59;48;67;62;61;47;41;30;11;10;16;
MQ_01081_FV3_G (MQ1022);39;22;12;4;12;42;94;263;270;244;258;310;301;335;309;367;381;344;345;269;223;170;168;78;
