Name  /  Date: 2015_05_30;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03290_FV12_GR (MQ0);137;123;107;74;97;122;114;114;188;326;341;377;373;365;359;368;378;326;355;273;202;141;196;158;
MQ_03020_FV4_L (MQ1);28;19;19;6;20;27;24;62;116;139;177;159;226;208;186;182;160;148;153;126;67;42;50;46;
MQ_03290_FV3_GR (MQ10);109;109;72;75;58;80;83;95;139;166;197;219;250;240;237;232;219;219;208;202;136;103;141;149;
MQ_03020_FV2_L (MQ100);7;5;2;5;2;3;7;11;16;13;34;28;32;30;35;19;34;35;30;30;30;8;56;16;
Alle Motion Det Albersloherweg (MQ1000);10140;6821;5012;4411;4574;5960;8313;12397;20477;30510;38421;42639;44018;43245;43221;41554;38519;36277;36165;30025;19595;12578;14666;13007;
MQ_03181_FV3_R (MQ1001);0;0;0;0;0;0;0;0;1;1;2;2;2;2;2;2;2;2;2;1;1;1;1;0;
MQ_06170_FV4_L (MQ1002);1;0;0;0;0;1;0;2;4;5;19;15;6;9;8;9;17;9;4;3;3;2;5;1;
MQ_08050_FV3_L (MQ1003);2;1;0;1;4;10;15;16;84;136;168;184;189;170;196;168;162;165;139;83;52;7;2;2;
MQ_06161_FV3_L (MQ1004);33;17;8;5;12;21;31;58;118;182;189;210;190;193;219;194;154;178;187;140;83;59;81;60;
MQ_06170_FV6_L (MQ1005);5;4;2;1;0;2;2;9;17;35;32;39;35;40;40;34;36;29;34;27;16;9;16;9;
MQ_08110_FV1_LO (MQ1006);2;1;1;1;1;1;2;3;6;14;13;14;16;13;13;15;12;11;13;10;7;3;3;4;
MQ_08110_FV3_RO (MQ1007);1;0;0;1;1;1;3;7;22;22;30;35;34;22;21;22;13;19;16;14;9;7;4;3;
MQ_06160_FV2_R (MQ1009);34;29;25;23;15;38;31;73;107;139;239;200;197;188;205;201;171;169;163;134;92;72;67;51;
MQ_02020_FV4_L (MQ101);35;19;13;10;11;19;32;58;98;146;214;238;274;272;319;263;243;271;234;168;117;75;65;51;
MQ_03030_FV1_G (MQ1010);65;47;21;13;21;49;112;168;290;336;395;535;473;555;562;522;455;478;436;397;224;172;163;134;
LSA 3290 Schleifen (MQ1012);2562;2044;1538;1415;1342;1527;1525;1966;3104;4868;5684;6474;6746;6649;6667;6732;6213;5854;5974;5232;3959;2675;3599;3000;
LSA 8020 Schleifen (MQ1013);2645;2135;1574;1609;1448;1405;1424;1810;2593;4208;4991;5626;6097;5889;6225;5953;5474;5409;5143;4834;3315;2279;3330;2928;
LSA 8030 Schleifen (MQ1014);1135;960;636;560;506;530;533;648;1102;1777;2052;2428;2562;2576;2718;2469;2355;2180;2030;1961;1329;923;1708;1260;
LSA 8031 Schleifen (MQ1015);1170;981;863;628;729;727;690;740;1072;1488;1757;1997;2058;2077;2006;1894;1703;1570;1579;1404;907;655;915;888;
LSA 8040 Schleifen (MQ1016);1263;837;612;496;609;852;1262;2174;3533;4951;6526;7550;7508;7425;7367;7110;6305;6054;5927;4617;2759;1601;1853;1576;
LSA 8032 Schleifen (MQ1017);919;646;476;371;440;428;480;714;1039;1630;2063;2440;2640;2694;2740;2646;2481;2240;2146;1949;1258;840;1114;880;
LSA 8041 Schleifen (MQ1018);476;315;243;204;259;238;306;499;865;1259;1510;1874;1935;1894;1826;1836;1727;1631;1497;1354;840;539;662;576;
LSA 8054 Schleifen (MQ1019);325;209;162;131;149;196;331;571;959;1315;1738;1909;1965;1915;1993;1832;1667;1577;1627;1343;824;513;512;482;
MQ_02020_FV3_L (MQ102);9;10;5;2;2;5;4;11;28;32;43;66;67;77;77;54;61;58;61;47;28;16;14;12;
LSA 8140 Schleifen (MQ1020);227;129;93;80;79;142;208;342;531;804;1062;1083;1114;1107;1104;1061;966;908;961;760;528;350;389;342;
MQ_01210_FV32_L (MQ1021);11;7;2;2;7;4;6;7;23;34;26;38;22;33;36;40;29;26;47;24;22;11;17;18;
MQ_01081_FV3_G (MQ1022);106;67;58;46;48;45;59;62;108;144;186;251;238;302;275;264;300;275;286;244;184;106;156;116;
MQ_03030_FV1_L (MQ1023);0;1;1;0;0;1;2;7;20;20;5;21;7;14;19;10;21;20;12;10;7;2;1;4;
MQ_01200_FV1_G (MQ1024);212;160;91;58;63;86;139;212;324;498;699;852;981;1101;1106;1110;1084;1112;1044;712;422;319;429;305;
MQ_01121_FV1_G (MQ1025);18;16;13;12;25;40;84;121;162;220;295;284;258;261;241;265;173;169;124;94;69;35;31;31;
MQ_01121_FV3_L (MQ1026);0;0;0;0;0;0;0;1;3;2;2;3;4;5;5;5;5;5;5;3;2;1;1;1;
MQ_01121_FV3_G (MQ1027);16;6;5;4;2;2;13;45;119;86;109;172;177;232;227;235;236;260;234;154;81;40;32;25;
MQ_01121_FV1_R (MQ1028);3;2;2;2;3;6;12;17;22;30;40;39;35;36;33;36;24;23;17;13;9;5;4;4;
MQ_01200_FV1_L (MQ1029);8;5;6;6;6;0;15;13;34;30;38;44;53;48;41;51;28;37;36;32;15;11;13;12;
MQ_01070_FV2_L (MQ1030);;;;;;;;;;;;;;;;;;;;;;;;;
MQ_01121_FV2_G (MQ1031);3;7;12;6;5;2;8;9;6;9;14;15;14;17;12;16;13;19;12;13;6;4;8;9;
---Test (MQ1032);8;5;6;6;6;0;15;13;34;30;38;44;53;48;41;51;28;37;36;32;15;11;13;12;
MQ_09040_FV1_G (MQ1033);89;73;41;36;16;29;39;67;108;155;154;216;285;265;326;287;308;327;315;252;174;120;135;114;
MQ_09040_FV3_G (MQ1034);59;46;24;32;17;54;59;96;148;306;388;340;348;341;355;323;294;249;251;229;140;102;143;101;
MQ_09050_FV1_G (MQ1035);127;85;60;50;30;44;66;116;212;314;336;365;471;475;512;496;484;542;524;433;289;184;218;165;
MQ_09050_FV3_G (MQ1036);83;42;25;35;33;84;90;156;245;453;497;476;456;432;488;438;414;357;354;354;216;143;183;127;
MQ_09060_FV11_G (MQ1037);115;78;53;39;31;45;71;112;216;308;346;355;464;489;515;485;489;530;505;395;260;180;207;153;
MQ_09060_FV11L (MQ1038);12;4;5;9;7;5;5;9;30;36;34;41;48;35;30;31;33;37;50;37;22;13;26;8;
MQ_09060_FV2_L (MQ1039);1;0;0;0;2;0;7;8;28;81;115;114;156;135;138;133;111;89;110;84;48;41;50;26;
MQ_03023_FV1_G (MQ104);50;41;19;14;18;35;77;99;169;231;311;359;389;394;391;413;360;402;407;240;162;128;172;113;
MQ_09060_FV2_R (MQ1040);0;0;0;0;0;0;1;2;6;17;24;23;32;28;28;27;23;18;22;17;10;9;10;5;
MQ_09060_FV3_G (MQ1041);87;54;32;43;46;79;97;151;245;449;488;471;450;425;487;428;415;344;350;344;241;153;167;131;
MQ_09060_FV3_R (MQ1042);21;14;13;5;5;40;35;70;73;113;120;121;160;144;156;134;118;122;145;122;63;39;48;36;
MQ_03250_FV1_R (MQ1043);8;6;4;4;2;3;6;8;13;18;22;30;37;32;41;36;40;41;39;30;20;13;15;12;
MQ_03250_FV1_G (MQ1044);45;34;24;24;9;16;34;43;72;104;125;169;211;180;233;207;226;234;221;167;111;71;85;65;
MQ_03250_FV1_L (MQ1045);28;29;8;12;7;10;6;22;39;50;56;52;75;68;75;71;60;81;63;47;37;44;35;28;
MQ_03250_FV2_R (MQ1046);13;9;6;6;5;9;11;16;25;39;46;56;57;50;56;55;48;48;44;44;28;20;22;18;
MQ_03250_FV2_G (MQ1047);98;68;45;46;33;65;78;119;181;287;334;407;421;370;412;407;351;352;320;326;203;150;162;132;
MQ_03250_FV2_L (MQ1048);35;25;16;8;8;20;28;44;77;134;130;127;162;190;149;149;151;183;169;147;89;65;68;59;
MQ_03250_FV3_R (MQ1049);16;8;5;6;6;14;20;32;46;88;100;93;92;90;99;89;78;70;65;63;42;26;35;26;
MQ_03250_FV3_G (MQ105);49;23;16;17;18;42;59;97;137;264;299;278;275;270;296;266;233;209;195;190;127;77;104;78;
MQ_03250_FV3_L (MQ1050);24;18;12;18;15;19;15;24;59;83;100;112;88;82;105;91;100;83;78;93;57;41;42;29;
MQ_03250_FV4_R (MQ1051);28;23;12;14;9;13;15;18;43;51;59;76;82;90;93;97;85;81;81;79;52;39;43;32;
MQ_03250_FV4_G (MQ1052);111;90;50;56;37;52;62;74;171;202;238;306;329;358;373;387;339;322;325;314;207;154;171;129;
MQ_03250_FV4_L (MQ1053);8;8;6;6;1;5;2;7;7;16;25;26;30;35;36;27;26;28;33;28;14;23;26;18;
MQ_03030_FV1_R (MQ1054);6;1;0;1;1;1;9;29;57;79;66;106;57;57;81;90;56;30;36;22;10;5;8;5;
MQ_03030_FV2_G (MQ1055);0;0;0;0;0;0;0;0;1;1;1;2;1;1;1;1;2;1;1;1;1;1;1;0;
MQ_03030_FV2_L (MQ1056);1;2;1;0;1;1;1;3;7;13;11;27;14;10;19;17;22;18;11;11;17;6;7;3;
MQ_03030_FV2_R (MQ1057);0;1;0;0;0;1;0;2;5;9;7;19;9;7;13;11;15;13;8;8;12;4;5;2;
MQ_03030_FV3_G (MQ1058);71;38;31;12;24;67;69;141;268;329;351;391;424;437;440;398;387;362;362;302;179;104;154;105;
MQ_03030_FV3_L (MQ1059);10;4;5;4;3;0;14;38;101;72;76;88;71;87;76;62;61;48;64;34;29;11;19;12;
MQ_03080_FV4_R (MQ106);4;3;1;2;3;4;4;15;40;37;41;43;43;53;48;39;51;55;39;22;26;22;11;16;
