Name  /  Date: 2015_08_17;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03290_FV12_GR (MQ0);35;24;18;11;27;112;288;349;355;353;354;342;357;352;369;373;356;379;341;347;224;149;188;85;
MQ_03020_FV4_L (MQ1);10;5;5;8;12;65;164;328;374;243;230;215;214;240;235;269;387;311;247;205;130;125;71;28;
MQ_03290_FV3_GR (MQ10);49;18;7;7;20;92;181;259;248;212;233;239;248;244;241;249;241;233;243;227;147;136;99;67;
MQ_03020_FV2_L (MQ100);3;1;0;0;0;9;17;37;26;38;14;27;40;25;31;34;53;44;33;23;22;27;13;9;
MQ_03181_FV3_R (MQ1001);0;0;0;0;0;0;1;2;2;2;2;2;2;2;2;3;3;3;3;2;1;1;1;0;
MQ_06170_FV4_L (MQ1002);0;0;0;0;0;1;1;7;5;5;2;7;8;6;5;5;10;6;7;5;3;5;2;2;
MQ_08050_FV3_L (MQ1003);2;3;1;2;13;32;41;37;77;103;112;121;138;128;127;97;125;130;100;82;49;5;1;2;
MQ_06161_FV3_L (MQ1004);6;8;8;6;2;30;90;162;178;116;138;96;76;98;92;126;120;140;126;94;44;26;22;18;
MQ_06170_FV6_L (MQ1005);0;1;1;0;1;6;32;68;41;37;26;33;29;29;30;45;43;38;48;28;13;13;10;4;
MQ_08110_FV1_LO (MQ1006);1;1;0;0;1;1;6;9;14;13;16;16;17;16;19;22;29;28;20;11;7;5;4;1;
MQ_08110_FV3_RO (MQ1007);1;0;0;0;0;3;8;25;44;22;32;28;29;21;19;33;31;31;25;17;8;7;2;1;
MQ_06160_FV2_R (MQ1009);8;10;10;11;22;48;138;272;308;226;215;193;160;189;213;210;213;250;213;145;100;69;48;28;
MQ_02020_FV4_L (MQ101);13;5;8;8;14;53;147;269;359;282;281;285;284;293;331;400;470;467;387;280;199;126;73;35;
MQ_03030_FV1_G (MQ1010);18;20;8;12;20;122;471;964;873;579;533;582;633;666;740;962;1136;1023;782;506;274;240;160;75;
LSA 3290 Schleifen (MQ1012);694;403;240;217;518;1720;4246;6611;6692;6382;6368;6208;6215;6541;6628;6689;6612;6599;6396;5844;4182;2949;2684;1322;
LSA 8020 Schleifen (MQ1013);567;394;208;201;430;1625;4455;6553;6278;5879;5709;5784;5899;6447;6457;6911;6881;6713;6208;5316;3688;2480;2411;1340;
LSA 8032 Schleifen (MQ1017);183;130;83;74;188;704;1871;2921;2869;2575;2379;2468;2520;2639;2753;3083;3130;2886;2626;2063;1406;906;825;738;
LSA 8041 Schleifen (MQ1018);105;70;54;48;133;443;1106;1661;1761;1585;1589;1640;1731;1689;1755;1875;1954;1846;1666;1330;862;510;424;386;
LSA 8054 Schleifen (MQ1019);99;60;47;53;120;509;1498;2724;2829;1841;1675;1806;2005;2078;2066;2254;2620;2528;2145;1460;917;604;415;227;
MQ_02020_FV3_L (MQ102);4;0;0;1;0;6;22;70;62;49;68;56;49;57;68;65;80;87;76;51;25;14;8;3;
LSA 8140 Schleifen (MQ1020);71;37;27;30;78;314;895;1457;1231;1065;960;968;1012;1058;1140;1270;1365;1415;1213;903;542;375;264;164;
MQ_01210_FV32_L (MQ1021);2;1;3;4;4;28;109;173;199;99;44;68;38;59;42;45;47;58;51;44;17;8;13;10;
MQ_01081_FV3_G (MQ1022);32;19;12;4;14;46;143;311;300;247;261;260;287;302;270;352;396;379;392;308;207;147;130;66;
MQ_03030_FV1_L (MQ1023);0;1;0;0;0;5;7;25;22;14;17;13;18;13;22;14;9;13;15;20;8;4;5;3;
MQ_01200_FV1_G (MQ1024);46;25;29;13;33;153;537;970;840;661;754;896;992;1060;1111;1468;1585;1451;1135;785;481;364;266;142;
