Name  /  Date: 2015_05_17;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_08050_FV3_G (MQ13);145;205;143;66;
MQ_03140_FV4_G (MQ130);;10;8;2;
MQ_03140_FV4_L (MQ131);27;13;7;1;
MQ_03160_FV1_G (MQ132);;
MQ_03160_FV1_L (MQ133);;
MQ_03160_FV1_R (MQ134);;
MQ_03160_FV2_G (MQ135);;
MQ_03160_FV2_L (MQ136);;
MQ_08040_FV3_L (MQ137);38;106;70;35;
MQ_03160_FV3_G (MQ138);;
MQ_08040_FV3_R (MQ139);33;16;19;5;
MQ_03070_FV1_L (MQ14);;
MQ_08040_FV3_G (MQ140);171;125;80;49;
MQ_03160_FV3_L (MQ141);;
MQ_03160_FV3_R (MQ142);;
MQ_03160_FV4_G (MQ143);;
MQ_03160_FV4_L (MQ144);;
MQ_03171_FV1_G (MQ145);264;210;148;67;
MQ_08040_FV4_R (MQ146);119;102;76;43;
MQ_08040_FV4_L (MQ147);69;62;34;10;
MQ_08040_FV6_R (MQ148);32;14;8;5;
MQ_03171_FV1_L (MQ149);;;;;
MQ_03290_FV4_G (MQ15);151;127;80;39;
MQ_03171_FV3_G (MQ151);278;215;162;91;
MQ_03171_FV3_R (MQ152);2;1;1;1;
MQ_03180_FV1_G (MQ153);201;156;124;66;
MQ_03180_FV1_L (MQ154);;19;14;12;
MQ_03180_FV1_R (MQ155);16;11;9;6;
MQ_03180_FV2_G (MQ156);96;66;38;25;
MQ_03180_FV2_L (MQ157);;;25;3;
MQ_03180_FV2_R (MQ158);10;8;5;3;
MQ_03180_FV3_G (MQ159);118;117;100;42;
MQ_03290_FV4_L (MQ16);120;69;64;27;
MQ_03180_FV3_L (MQ160);105;97;49;22;
MQ_03180_FV3_R (MQ161);4;3;4;1;
MQ_03180_FV4_G (MQ162);56;38;30;13;
MQ_08041_FV1_G (MQ163);72;188;192;106;
MQ_03180_FV4_L (MQ164);40;32;22;12;
MQ_08041_FV1_L (MQ165);6;8;5;5;
MQ_08041_FV1_R (MQ166);;14;7;3;
MQ_03180_FV4_R (MQ167);75;79;46;37;
MQ_03021_FV1_G (MQ168);243;186;109;78;
MQ_08041_FV2_L (MQ169);-7;16;6;4;
MQ_03070_FV1_R (MQ17);;
MQ_05010_FV1_L (MQ170);147;128;71;40;
MQ_05010_FV1_R (MQ171);;;;;
MQ_08041_FV3_G (MQ172);252;187;122;63;
MQ_05010_FV2_G (MQ173);56;65;53;32;
MQ_08041_FV3_L (MQ174);;11;1;1;
MQ_08041_FV3_R (MQ175);;8;4;3;
MQ_05010_FV2_R (MQ176);104;121;95;52;
MQ_03021_FV3_G (MQ177);211;239;136;69;
MQ_08041_FV4_L (MQ178);;3;5;2;
MQ_05010_FV3_G (MQ179);23;24;8;5;
MQ_03070_FV2_G (MQ18);;
MQ_03020_FV3_L (MQ180);;40;11;2;
MQ_05010_FV3_L (MQ181);;;;;
MQ_16130_FV1_G (MQ182);;5;2;7;
MQ_03020_FV3_G (MQ183);139;152;111;63;
MQ_16130_FV1_L (MQ184);27;17;7;6;
MQ_16130_FV1_R (MQ185);;;;1;
MQ_16130_FV2_G (MQ186);159;141;82;56;
MQ_16130_FV2_L (MQ187);51;50;37;19;
MQ_16130_FV2_R (MQ188);32;11;7;3;
MQ_16130_FV3_G (MQ189);;9;4;3;
MQ_03290_FV5_R (MQ19);30;36;30;18;
MQ_16130_FV3_L (MQ190);;4;1;0;
MQ_16130_FV3_R (MQ191);72;93;28;26;
MQ_16130_FV4_G (MQ192);176;100;82;33;
MQ_16130_FV4_L (MQ193);;;;;
MQ_16130_FV4_R (MQ194);;;;;
MQ_03040_FV1_G (MQ195);179;208;112;47;
MQ_03040_FV1_L (MQ196);;;;;
MQ_03040_FV1_R (MQ197);;;;;
MQ_03040_FV2_G (MQ198);13;3;2;1;
MQ_03040_FV2_L (MQ199);13;3;2;1;
MQ_03070_FV1_G (MQ2);;
MQ_03070_FV2_L (MQ20);;
MQ_08054_FV1_R (MQ200);;20;7;2;
MQ_08054_FV1_G (MQ201);239;246;196;117;
MQ_03040_FV2_R (MQ202);13;3;2;1;
MQ_08054_FV2_R (MQ203);;;4;0;
MQ_08054_FV2_L (MQ204);;2;3;0;
