Name  /  Date: 2015_05_29;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03290_FV12_GR (MQ0);46;25;7;19;21;96;246;358;352;347;346;337;340;361;360;342;372;368;383;355;310;220;247;188;
MQ_03020_FV4_L (MQ1);18;9;7;10;5;47;134;308;318;227;210;218;235;278;264;277;295;276;267;202;108;77;44;47;
MQ_03290_FV3_GR (MQ10);51;35;9;18;18;70;153;229;234;218;210;230;227;236;240;246;240;243;247;231;191;149;172;134;
MQ_03020_FV2_L (MQ100);2;1;0;0;1;1;15;35;30;26;35;37;33;56;39;40;26;43;30;26;17;11;23;9;
Alle Motion Det Albersloherweg (MQ1000);49282;49282;49282;49282;49133;44774;34781;25076;18336;16032;12311;
MQ_03181_FV3_R (MQ1001);0;0;0;0;0;0;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;
MQ_06170_FV4_L (MQ1002);0;0;0;0;0;0;3;14;7;18;19;10;23;9;12;16;14;12;15;13;6;6;3;5;
MQ_08050_FV3_L (MQ1003);3;3;2;0;6;20;45;37;75;121;128;127;138;129;139;138;169;137;127;113;62;7;3;2;
MQ_06161_FV3_L (MQ1004);19;6;3;6;12;43;157;305;280;240;211;219;214;237;240;277;239;247;224;157;119;77;68;58;
MQ_06170_FV6_L (MQ1005);3;2;1;0;3;6;32;67;44;38;33;31;36;40;42;48;42;41;42;34;18;12;7;10;
MQ_08110_FV1_LO (MQ1006);2;1;0;0;0;1;4;10;14;14;17;18;17;23;22;24;20;24;18;12;10;4;4;3;
MQ_08110_FV3_RO (MQ1007);1;0;1;0;1;2;7;17;20;30;29;29;37;21;32;34;27;32;22;15;11;8;4;2;
MQ_06160_FV2_R (MQ1009);13;9;8;6;20;49;132;289;240;226;208;194;194;174;228;241;221;255;218;168;128;87;71;54;
MQ_02020_FV4_L (MQ101);24;11;8;14;11;34;125;299;225;540;376;284;357;391;373;427;376;351;323;268;192;138;80;52;
MQ_03030_FV1_G (MQ1010);33;19;8;19;21;96;414;866;687;519;578;661;756;905;887;925;769;719;585;422;318;261;179;152;
LSA 3290 Schleifen (MQ1012);867;590;268;353;518;1468;3868;6255;6320;6282;6385;6450;6377;6645;6623;6714;6586;6600;6660;6154;4879;3927;4013;3005;
