Name  /  Date: 2016_05_30;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03290_FV12_GR (MQ0);;;349;350;336;359;373;360;371;344;322;227;145;142;65;
MQ_03020_FV4_L (MQ1);;;
MQ_03290_FV3_GR (MQ10);;;228;221;217;231;245;247;228;223;203;176;90;133;61;
MQ_03020_FV2_L (MQ100);;;
Alle Motion Det Albersloherweg (MQ1000);;;;39788;40636;43381;48887;52037;50479;41947;31057;21576;14301;10842;5365;
MQ_03181_FV3_R (MQ1001);;2;2;2;2;2;2;2;2;2;2;1;1;0;0;
MQ_06170_FV4_L (MQ1002);;;
MQ_08050_FV3_L (MQ1003);;179;138;151;136;133;142;118;143;137;74;50;13;2;3;
MQ_06161_FV3_L (MQ1004);;;
MQ_06170_FV6_L (MQ1005);;;
MQ_08110_FV1_LO (MQ1006);;20;19;20;15;19;20;27;24;18;12;8;4;2;1;
MQ_08110_FV3_RO (MQ1007);;33;25;25;25;24;29;34;32;24;18;12;8;2;1;
LSA 29120 Schleifen (MQ1008);;1096;1085;1185;1184;1285;1478;1647;1563;1253;853;688;494;283;148;
MQ_06160_FV2_R (MQ1009);;213;203;195;194;193;239;237;214;210;164;86;70;55;26;
MQ_02020_FV4_L (MQ101);;;253;279;292;314;372;406;420;327;275;193;83;70;41;
MQ_03030_FV1_G (MQ1010);;474;546;630;693;781;921;1116;901;693;520;305;268;164;75;
Alle Motion Det Weselerstr. (MQ1011);;;66919;67515;69339;70665;79313;86270;82652;72435;60118;43850;33048;27809;17904;
LSA 3290 Schleifen (MQ1012);;;6444;6173;6094;6508;6602;6581;6429;5936;5490;3989;2498;2551;1117;
LSA 8020 Schleifen (MQ1013);;;5833;5690;5819;6131;6315;6374;6143;5444;4698;3717;2446;2214;1021;
LSA 8030 Schleifen (MQ1014);;2201;2347;2255;2335;2538;2684;2883;2783;2323;1986;1463;1015;1085;402;
LSA 8031 Schleifen (MQ1015);;;2143;2012;2012;2143;2349;2443;2137;1624;1313;1011;625;522;293;
LSA 8040 Schleifen (MQ1016);;;;7521;7283;7892;9111;9480;8958;7099;4872;3028;2096;1448;717;
LSA 8032 Schleifen (MQ1017);;2538;2318;2446;2509;2601;2740;2937;2555;2104;1619;1239;828;705;333;
LSA 8041 Schleifen (MQ1018);;;2028;1681;1662;1792;1804;1825;1639;1497;1196;874;589;451;242;
LSA 8054 Schleifen (MQ1019);;2527;1992;1968;2017;2105;2508;2706;2541;2086;1379;933;613;416;227;
MQ_02020_FV3_L (MQ102);;;55;42;37;50;63;51;64;56;41;30;13;12;2;
LSA 8140 Schleifen (MQ1020);;1155;952;1071;1091;1131;1325;1304;1348;1166;866;565;417;285;146;
MQ_01210_FV32_L (MQ1021);;42;39;41;54;61;37;60;61;53;40;25;30;5;5;
MQ_01081_FV3_G (MQ1022);;288;303;318;288;285;317;407;348;372;251;207;182;176;69;
