Name  /  Date: 2016_07_24;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03290_FV12_GR (MQ0);161;117;86;68;69;85;60;50;50;101;154;186;206;229;241;267;257;250;268;269;243;150;123;86;
MQ_03290_FV3_GR (MQ10);110;113;72;71;68;63;56;65;58;92;115;135;164;179;164;185;178;176;189;181;191;118;111;73;
MQ_03181_FV3_R (MQ1001);0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
MQ_06170_FV4_L (MQ1002);1;2;0;1;1;1;0;0;4;3;7;3;11;11;4;10;11;13;11;11;4;0;3;0;
MQ_08050_FV3_L (MQ1003);5;3;1;1;2;0;1;6;2;4;8;16;22;20;18;12;11;11;18;8;5;2;1;3;
MQ_06161_FV3_L (MQ1004);28;31;26;10;4;9;16;20;29;52;81;110;125;140;134;145;141;150;137;132;91;76;70;32;
MQ_06170_FV6_L (MQ1005);10;2;3;2;2;1;4;3;9;18;22;28;21;27;26;22;25;25;24;24;17;12;10;4;
MQ_08110_FV1_LO (MQ1006);3;1;1;1;0;1;0;2;2;4;6;6;6;6;7;7;8;9;11;9;6;4;3;2;
MQ_08110_FV3_RO (MQ1007);1;1;0;1;0;1;0;4;6;7;9;10;7;7;8;6;6;10;8;9;5;3;2;2;
LSA 29120 Schleifen (MQ1008);209;184;119;91;97;77;81;95;159;305;399;480;547;567;573;556;516;564;550;500;437;327;307;125;
MQ_06160_FV2_R (MQ1009);43;35;34;24;18;34;30;23;37;77;86;96;133;116;133;134;128;138;158;133;134;88;71;38;
MQ_02020_FV4_L (MQ101);28;17;22;14;9;16;33;21;36;58;74;129;142;128;134;144;130;151;173;151;107;97;80;42;
MQ_03030_FV1_G (MQ1010);79;51;32;21;14;23;66;57;89;151;233;275;305;347;382;344;356;371;330;279;226;190;110;59;
LSA 8040 Schleifen (MQ1016);1284;987;697;484;484;541;522;627;754;1388;2172;2632;2788;3196;3340;3138;3011;3192;3251;2907;2437;1849;1378;776;
LSA 8041 Schleifen (MQ1018);518;440;301;248;264;241;188;207;246;397;549;648;757;785;880;826;861;885;932;825;746;583;436;263;
LSA 8054 Schleifen (MQ1019);380;294;201;167;130;134;148;175;225;393;609;765;768;858;958;864;844;870;912;794;695;545;404;240;
MQ_02020_FV3_L (MQ102);4;9;2;4;6;2;4;4;9;8;24;14;16;23;23;25;19;22;33;20;18;11;13;3;
LSA 8140 Schleifen (MQ1020);236;182;113;109;83;82;77;104;163;291;500;569;615;658;659;606;578;632;673;606;490;349;287;139;
MQ_01210_FV32_L (MQ1021);9;3;4;0;1;4;1;5;0;13;20;16;16;23;21;22;22;27;31;27;25;23;15;4;
MQ_01081_FV3_G (MQ1022);73;66;55;36;40;40;40;34;60;76;107;138;152;178;195;228;206;210;207;185;173;164;122;69;
MQ_03030_FV1_L (MQ1023);2;5;1;0;0;3;1;3;8;7;12;13;14;9;17;21;16;22;11;5;3;7;4;2;
MQ_01200_FV1_G (MQ1024);249;169;114;88;68;50;73;93;147;284;430;528;609;589;690;645;672;675;640;515;421;375;241;163;
MQ_01200_FV1_L (MQ1029);13;4;1;1;0;0;0;4;5;9;8;14;21;14;28;14;22;29;30;23;24;18;13;2;
MQ_01070_FV2_L (MQ1030);;;;;;;;;;;;;;;;;;;;;;;;;
Test (MQ1032);185;167;101;79;65;51;79;57;80;127;161;229;214;284;294;295;305;332;356;316;276;206;162;110;
MQ_09040_FV1_G (MQ1033);75;69;53;24;28;39;27;34;51;77;87;136;141;164;158;178;165;172;157;180;155;112;85;54;
MQ_09040_FV3_G (MQ1034);61;46;36;26;19;30;31;58;65;119;133;139;143;154;150;181;173;192;198;205;193;96;87;44;
MQ_09050_FV1_G (MQ1035);104;80;71;47;34;46;48;48;91;121;217;247;271;343;319;321;286;300;271;272;236;162;144;77;
MQ_09050_FV3_G (MQ1036);86;69;59;30;25;54;42;54;79;191;192;209;197;239;244;254;278;301;298;277;280;161;123;52;
MQ_09060_FV11_G (MQ1037);18;17;7;2;6;4;6;10;33;31;21;24;29;13;8;13;10;11;21;19;8;19;17;16;
MQ_09060_FV11L (MQ1038);94;73;62;45;35;54;44;44;82;125;209;252;272;317;328;325;291;287;262;241;217;148;133;64;
MQ_09060_FV2_L (MQ1039);20;13;12;2;3;11;17;12;23;42;65;80;70;76;84;74;67;72;72;62;57;40;26;12;
MQ_03023_FV1_G (MQ104);74;35;23;19;9;20;37;41;64;130;174;244;266;262;337;303;314;361;329;219;167;148;97;47;
MQ_09060_FV2_R (MQ1040);4;3;3;1;1;2;4;2;5;9;13;17;14;16;17;15;14;15;15;13;12;8;6;2;
MQ_09060_FV3_G (MQ1041);6;7;4;7;2;4;3;3;16;18;20;21;27;20;27;22;28;40;22;25;22;16;14;5;
MQ_09060_FV3_R (MQ1042);215;167;134;76;65;114;118;118;212;371;491;550;593;694;703;710;691;684;651;623;578;381;300;131;
MQ_03250_FV1_R (MQ1043);8;7;6;2;3;4;3;3;7;8;11;16;16;20;17;20;18;21;16;18;17;12;9;6;
MQ_03250_FV1_G (MQ1044);47;37;36;14;15;24;16;20;38;43;62;91;93;115;96;114;104;117;90;104;94;65;54;33;
MQ_03250_FV1_L (MQ1045);21;24;15;5;7;11;10;18;14;36;35;47;44;43;58;53;44;40;53;51;49;35;28;16;
MQ_03250_FV2_R (MQ1046);13;11;7;7;6;6;4;6;8;17;20;28;34;32;33;34;33;38;36;32;27;23;14;8;
MQ_03250_FV2_G (MQ1047);97;78;47;51;40;40;30;44;58;128;150;207;246;234;245;252;241;278;260;232;201;172;103;57;
MQ_03250_FV2_L (MQ1048);36;30;21;15;8;13;27;13;24;48;87;88;106;129;124;117;113;119;112;85;82;60;59;27;
MQ_03250_FV3_R (MQ1049);16;12;9;5;4;9;10;11;20;33;41;38;38;49;45;48;55;54;55;57;53;30;23;10;
MQ_03250_FV3_G (MQ105);48;36;28;16;12;26;30;33;59;98;122;114;113;146;136;143;164;163;164;170;158;90;70;31;
MQ_03250_FV3_L (MQ1050);28;22;29;11;11;16;5;8;14;46;35;63;43;52;70;63;90;99;82;51;62;34;36;14;
MQ_03250_FV4_R (MQ1051);25;19;16;17;10;11;7;8;11;22;43;48;53;57;66;55;54;63;64;60;53;36;33;15;
MQ_03250_FV4_G (MQ1052);101;76;62;66;38;43;30;33;45;90;172;191;213;226;266;220;215;253;257;242;213;144;133;60;
MQ_03250_FV4_L (MQ1053);13;10;5;1;15;3;0;3;3;11;4;13;14;15;11;17;12;18;17;18;25;19;10;4;
MQ_03030_FV1_R (MQ1054);4;3;1;3;2;1;3;14;36;49;82;54;58;60;33;59;42;21;24;36;17;13;10;6;
MQ_03030_FV2_G (MQ1055);1;0;0;0;0;0;0;0;1;1;1;2;1;1;2;2;1;1;2;1;1;1;1;0;
MQ_03030_FV2_L (MQ1056);7;2;1;0;2;1;2;3;9;17;17;31;15;18;22;22;15;19;25;9;16;8;11;2;
MQ_03030_FV2_R (MQ1057);5;1;1;0;1;1;1;2;6;12;12;21;11;12;15;15;10;13;17;6;11;6;8;2;
MQ_03030_FV3_G (MQ1058);79;46;40;19;18;57;49;49;81;160;188;244;282;319;307;328;285;287;264;249;239;161;136;56;
MQ_03030_FV3_L (MQ1059);5;6;1;2;3;2;4;19;30;53;62;84;77;66;52;50;50;35;43;43;36;24;13;10;
MQ_03080_FV4_R (MQ106);7;8;2;2;1;1;5;5;9;17;24;22;27;16;26;29;31;26;24;22;35;12;11;4;
MQ_03030_FV3_R (MQ1060);1;1;1;0;0;1;1;1;1;3;3;4;4;5;5;5;5;5;4;4;4;3;2;1;
MQ_03030_FV4_G (MQ1061);2;1;0;1;1;1;1;1;3;4;6;8;9;9;9;10;9;13;9;7;5;4;2;1;
MQ_03030_FV4_L (MQ1062);12;7;3;5;4;3;4;6;17;28;39;50;57;59;59;64;58;90;59;47;32;28;14;5;
MQ_03030_FV4_R (MQ1063);12;7;3;5;4;3;4;6;17;28;39;50;57;59;59;64;58;90;59;47;32;28;14;5;
MQ_06070_10_D_TLS_S1S (MQ1064);185;167;101;79;65;51;79;57;80;127;161;229;214;284;294;295;305;332;356;316;276;206;162;110;
MQ_06070_11_D_TLS_S3S4 (MQ1065);264;203;187;163;110;109;81;55;94;151;195;236;287;342;350;349;319;322;319;315;229;227;173;120;
MQ_03120_FV1_G (MQ107);203;145;78;76;78;88;123;105;185;318;420;454;528;552;591;561;535;568;557;509;395;317;263;138;
MQ_03120_FV1_R (MQ109);3;2;1;1;1;1;2;2;2;4;5;5;6;6;7;6;6;6;6;6;5;4;3;2;
MQ_08050_FV2_L (MQ11);21;14;12;10;23;10;12;16;30;17;34;50;70;74;77;54;51;64;44;46;31;33;14;17;
MQ_03120_FV2_L (MQ110);1;1;1;1;0;2;8;5;5;10;20;17;18;24;15;15;26;26;17;21;15;10;6;1;
MQ_03120_FV2_R (MQ111);0;0;2;0;0;2;2;1;5;4;7;7;14;18;12;9;19;15;17;13;11;13;8;0;
MQ_06160_FV3_L (MQ112);6;0;4;0;1;1;6;3;8;14;23;26;27;28;33;39;40;27;50;33;21;21;10;4;
MQ_03120_FV3_G (MQ113);172;128;90;56;34;85;96;79;127;261;371;441;473;530;628;602;587;592;651;577;484;335;233;119;
MQ_03120_FV3_L (MQ115);7;6;2;1;0;16;5;4;4;9;15;18;31;26;22;20;12;26;15;30;34;16;8;3;
MQ_03140_FV1_G (MQ116);145;106;81;48;28;55;82;66;124;227;324;409;447;500;584;533;559;533;589;498;445;311;215;114;
MQ_03140_FV1_L (MQ117);4;2;2;0;0;0;2;0;5;11;13;15;17;23;16;20;27;19;26;23;12;11;7;2;
MQ_03140_FV1_R (MQ118);4;3;3;1;1;2;2;2;4;6;9;11;11;13;15;14;14;14;16;13;12;9;7;3;
MQ_03140_FV2_G (MQ119);0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;
MQ_03290_FV3_G (MQ12);103;106;68;67;64;59;53;61;55;87;108;127;154;168;154;174;167;165;178;170;180;111;104;69;
MQ_03140_FV2_L (MQ120);2;1;2;0;0;0;1;3;3;6;7;9;9;12;8;11;14;14;15;19;8;3;6;2;
MQ_08040_FV1_L (MQ121);26;40;21;16;19;12;10;8;5;10;13;21;33;46;41;34;30;41;37;40;54;37;43;8;
MQ_03140_FV2_R (MQ122);2;2;2;1;1;0;1;4;5;10;11;14;15;19;12;17;22;22;23;29;12;5;10;3;
MQ_08040_FV1_G (MQ123);172;149;102;90;96;76;54;51;64;106;150;189;217;218;246;220;238;218;235;223;231;199;154;93;
MQ_03140_FV3_G (MQ124);182;135;73;69;63;80;110;90;161;274;402;423;512;535;591;578;545;567;555;489;413;317;250;130;
MQ_03140_FV3_L (MQ125);5;4;2;1;0;0;5;2;3;4;10;8;10;10;7;15;16;16;21;12;22;17;10;2;
MQ_03140_FV3_R (MQ126);5;3;2;2;2;2;3;2;4;6;8;9;11;11;11;11;11;11;11;10;9;6;5;3;
MQ_08040_FV1_R (MQ127);63;52;34;22;30;24;20;22;17;31;49;51;66;81;78;76;104;86;96;97;59;63;58;20;
MQ_08040_FV2_R (MQ128);18;12;13;5;4;5;8;7;5;16;26;22;36;33;45;39;53;62;54;44;22;10;9;7;
MQ_08040_FV2_L (MQ129);13;10;4;6;4;5;10;10;14;20;45;42;65;62;44;50;50;50;65;52;50;24;18;14;
MQ_08050_FV3_G (MQ13);144;110;74;61;47;76;71;97;130;225;348;405;372;432;472;443;401;431;428;388;294;207;150;105;
MQ_03140_FV4_G (MQ130);5;3;0;1;1;1;1;0;3;7;14;24;21;21;16;16;14;21;15;7;6;11;5;4;
MQ_03140_FV4_L (MQ131);1;1;3;0;1;1;7;2;9;11;15;20;31;26;25;23;24;31;25;22;9;11;7;6;
MQ_03160_FV1_G (MQ132);155;112;72;42;27;67;80;76;122;230;346;404;476;463;555;498;518;506;539;481;407;297;191;98;
MQ_03160_FV1_L (MQ133);32;29;18;15;9;10;21;13;25;53;68;106;107;110;137;130;126;134;136;121;97;68;54;35;
MQ_03160_FV1_R (MQ134);12;10;6;4;3;6;6;7;11;17;27;30;32;33;43;37;39;37;44;35;32;24;17;9;
MQ_03160_FV2_G (MQ135);59;52;35;28;23;36;33;41;66;114;136;153;141;159;168;165;163;209;209;161;139;112;80;53;
MQ_03160_FV2_L (MQ136);6;1;0;0;0;1;1;3;3;2;10;13;12;12;13;13;12;7;10;11;8;8;6;5;
MQ_08040_FV3_L (MQ137);51;37;27;16;9;32;45;60;69;113;198;221;189;239;235;210;190;209;178;179;134;113;83;49;
MQ_03160_FV3_G (MQ138);127;110;58;42;27;45;66;62;116;179;259;287;386;363;447;412;408;409;379;357;266;242;180;94;
MQ_08040_FV3_R (MQ139);15;6;7;2;6;5;3;4;17;24;41;56;48;57;46;56;42;38;47;47;30;20;9;8;
MQ_03070_FV1_L (MQ14);3;1;2;2;1;0;3;2;1;4;10;3;15;13;10;11;13;15;14;14;16;17;6;3;
MQ_08040_FV3_G (MQ140);114;87;66;53;56;58;45;58;91;128;169;208;229;243;282;260;256;267;284;235;194;132;92;70;
MQ_03160_FV3_L (MQ141);5;1;3;2;2;2;1;5;3;4;13;6;9;4;7;11;9;9;20;12;9;13;5;4;
