Name  /  Date: 2015_02_14;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03290_FV12_GR (MQ0);112;109;60;52;78;70;87;61;131;194;268;314;340;342;347;284;260;321;280;310;245;144;258;177;
MQ_03020_FV4_L (MQ1);25;16;7;15;4;22;19;48;91;118;133;198;228;228;216;177;127;181;115;128;70;32;34;46;
MQ_03290_FV3_GR (MQ10);96;70;59;47;53;52;53;60;85;128;162;175;220;213;239;206;220;217;202;215;151;129;134;129;
MQ_03020_FV2_L (MQ100);9;4;4;2;3;3;2;9;7;17;35;26;30;33;28;44;39;24;26;18;16;10;9;2;
Alle Motion Det Albersloherweg (MQ1000);7347;5614;3381;3167;3356;4576;5901;9542;16403;25574;32956;39230;41232;39952;41752;37302;34341;36183;33182;29140;19114;13062;17624;11301;
MQ_03181_FV3_R (MQ1001);0;0;0;0;0;0;0;0;1;1;1;2;2;2;2;2;1;2;2;1;1;0;0;0;
MQ_06170_FV4_L (MQ1002);1;0;0;0;0;1;2;4;4;8;11;13;14;15;17;7;6;17;10;11;6;3;1;2;
MQ_08050_FV3_L (MQ1003);4;0;0;3;1;12;9;17;65;127;169;194;194;164;149;157;173;152;142;72;42;5;1;1;
MQ_06161_FV3_L (MQ1004);22;10;6;5;7;20;32;46;119;173;182;185;168;174;181;179;165;186;166;114;81;44;48;32;
MQ_06170_FV6_L (MQ1005);6;2;2;1;2;2;3;10;17;24;30;28;31;31;28;40;27;23;27;27;12;11;11;8;
MQ_08110_FV1_LO (MQ1006);1;1;0;0;0;1;1;3;7;9;12;13;17;13;15;13;14;14;9;11;6;3;3;1;
MQ_08110_FV3_RO (MQ1007);1;1;0;0;1;2;2;8;18;30;27;35;33;18;16;19;17;18;15;17;6;4;3;3;
MQ_06160_FV2_R (MQ1009);32;33;20;11;28;26;39;51;85;142;152;197;184;183;190;160;189;156;177;144;117;73;76;46;
MQ_02020_FV4_L (MQ101);52;23;13;16;11;19;37;65;84;125;186;221;279;305;264;266;243;271;238;168;126;79;53;39;
MQ_03030_FV1_G (MQ1010);36;24;8;12;22;42;80;134;211;259;387;429;474;510;549;471;374;367;381;257;191;126;96;76;
LSA 3290 Schleifen (MQ1012);2141;1800;1315;1082;1214;1094;1210;1447;2521;3885;4891;5692;6277;6393;6394;5886;5639;5929;5481;5605;3981;2928;4319;2919;
LSA 8020 Schleifen (MQ1013);1932;1801;1305;1260;1329;1077;1127;1253;2162;3127;4018;4764;5069;5476;5426;4862;4913;4988;5134;5547;3556;2784;4370;3023;
LSA 8030 Schleifen (MQ1014);805;884;478;463;441;406;405;468;933;1252;1562;1948;2147;2319;2246;1966;2180;2433;2262;3050;1667;1142;2695;1481;
LSA 8031 Schleifen (MQ1015);825;677;579;582;632;522;479;517;924;1112;1299;1417;1631;1871;1826;1617;1534;1925;2051;2153;995;895;2528;1158;
LSA 8040 Schleifen (MQ1016);909;675;338;372;400;716;1089;1689;2935;4318;5582;6796;6951;6866;7216;6393;6049;6132;5885;4834;2773;1796;2708;1464;
LSA 8032 Schleifen (MQ1017);574;495;256;264;264;264;361;454;789;1151;1606;1910;2154;2363;2346;2153;1996;2170;1970;1918;1245;923;2156;953;
LSA 8041 Schleifen (MQ1018);340;297;155;149;167;183;274;407;742;1260;1558;1815;1919;2023;2004;1913;1836;1795;1731;1521;918;601;1138;620;
LSA 8054 Schleifen (MQ1019);263;164;88;91;85;160;225;446;739;1134;1505;1788;1898;1711;1892;1655;1510;1547;1392;1159;795;492;562;373;
MQ_02020_FV3_L (MQ102);8;9;2;4;3;2;2;13;17;29;44;62;59;48;56;47;55;62;49;40;31;11;10;9;
LSA 8140 Schleifen (MQ1020);154;114;57;59;57;112;148;274;458;741;912;1145;1107;1046;1153;1007;877;986;847;703;484;335;381;256;
MQ_01210_FV32_L (MQ1021);5;3;0;0;1;7;9;29;5;18;21;25;20;29;38;26;24;43;28;31;20;10;11;4;
MQ_01081_FV3_G (MQ1022);83;73;42;27;38;52;34;70;89;127;192;211;264;268;276;255;259;207;254;234;166;120;130;120;
MQ_03030_FV1_L (MQ1023);;;;;;;;;;;;;;;;;;;;;;;;;
MQ_01200_FV1_G (MQ1024);164;117;71;46;41;74;123;199;313;433;617;785;931;1069;1235;1138;1175;1248;1068;732;495;350;349;286;
MQ_01121_FV1_G (MQ1025);13;11;7;15;17;30;63;84;127;210;293;314;307;270;246;231;197;173;148;95;64;31;20;26;
MQ_01121_FV3_L (MQ1026);0;0;0;0;0;0;0;1;1;1;2;4;5;6;6;5;5;6;5;3;2;1;1;1;
MQ_01121_FV3_G (MQ1027);15;6;1;5;3;0;12;47;48;61;99;212;234;278;268;252;241;310;238;157;93;61;56;29;
MQ_01121_FV1_R (MQ1028);2;2;1;2;2;4;9;12;17;29;40;43;42;37;34;32;27;24;20;13;9;4;3;4;
MQ_01200_FV1_L (MQ1029);;;;;;;;;;;;;;;;;;;;;;;;;
MQ_01070_FV2_L (MQ1030);;;;;;;;;;;;;;;;;;;;;;;;;
MQ_01121_FV2_G (MQ1031);8;7;3;3;0;2;2;9;10;11;17;23;17;16;15;10;10;15;11;7;8;11;13;6;
---Test (MQ1032);;;;;;;;;;;;;;;;;;;;;;;;;
MQ_09040_FV1_G (MQ1033);76;49;18;24;24;18;44;41;80;127;162;219;274;304;325;332;310;334;306;224;164;140;131;96;
MQ_09040_FV3_G (MQ1034);58;25;19;17;18;56;56;89;166;309;386;398;348;323;296;289;267;267;278;224;169;105;85;74;
MQ_09050_FV1_G (MQ1035);113;60;27;24;23;27;63;82;142;208;289;370;399;471;514;458;460;511;460;329;281;191;215;139;
MQ_09050_FV3_G (MQ1036);71;29;27;27;23;76;67;118;233;376;493;488;432;407;403;348;374;365;403;298;224;148;134;103;
MQ_09060_FV11_G (MQ1037);99;47;24;21;24;32;58;81;131;195;279;372;378;441;498;436;454;494;424;312;250;183;207;143;
MQ_09060_FV11L (MQ1038);12;12;3;6;5;4;7;15;26;39;37;53;38;40;47;40;32;51;36;18;35;19;22;16;
MQ_09060_FV2_L (MQ1039);14;11;2;5;3;10;16;25;45;65;106;131;118;149;147;117;116;120;95;71;41;29;25;21;
MQ_03023_FV1_G (MQ104);43;28;19;14;16;41;54;87;138;212;322;328;377;377;440;448;427;421;380;232;154;129;93;72;
MQ_09060_FV2_R (MQ1040);3;2;1;1;1;2;3;5;9;14;22;27;24;31;30;24;24;25;19;15;8;6;5;4;
MQ_09060_FV3_G (MQ1041);67;33;31;28;41;73;65;125;180;372;474;518;359;365;219;329;265;169;344;266;194;149;132;111;
MQ_09060_FV3_R (MQ1042);15;10;4;7;7;29;27;23;67;91;127;127;140;136;157;119;139;127;116;80;54;29;30;19;
MQ_03250_FV1_R (MQ1043);8;5;2;2;3;2;5;7;11;16;22;27;34;36;39;43;38;44;37;27;20;16;16;11;
MQ_03250_FV1_G (MQ1044);46;26;10;14;16;10;26;38;63;90;126;156;192;207;224;241;217;251;211;154;116;89;90;60;
MQ_03250_FV1_L (MQ1045);22;19;7;11;9;7;14;24;32;40;54;75;74;69;84;56;66;60;60;46;51;31;20;23;
MQ_03250_FV2_R (MQ1046);11;7;5;4;5;7;11;13;26;38;46;54;54;61;59;55;56;54;57;47;34;26;22;16;
MQ_03250_FV2_G (MQ1047);83;52;32;27;36;54;79;94;193;280;339;396;399;448;431;400;410;396;420;348;250;194;162;121;
MQ_03250_FV2_L (MQ1048);34;17;8;3;10;10;18;29;47;80;107;138;132;171;179;129;156;155;140;88;98;62;59;48;
MQ_03250_FV3_R (MQ1049);14;5;6;4;4;16;14;25;42;80;101;106;84;82;79;67;69;71;79;55;45;23;23;19;
MQ_03250_FV3_G (MQ105);43;15;18;11;13;47;42;74;126;239;304;318;251;245;236;201;206;213;236;164;135;70;68;57;
MQ_03250_FV3_L (MQ1050);20;9;11;14;8;15;7;24;37;72;91;97;106;96;108;83;89;87;96;84;61;60;53;36;
MQ_03250_FV4_R (MQ1051);28;20;11;9;9;12;12;17;31;49;64;75;93;98;106;93;84;96;85;74;67;41;66;37;
MQ_03250_FV4_G (MQ1052);110;81;44;34;38;48;50;69;122;195;255;302;373;392;422;372;334;385;339;297;267;165;263;150;
MQ_03250_FV4_L (MQ1053);10;5;5;2;8;8;6;7;14;26;32;37;46;36;30;46;35;39;36;31;23;21;21;15;
MQ_03030_FV1_R (MQ1054);;;;;;;;;;;;;;;;;;;;;;;;;
MQ_03030_FV2_G (MQ1055);0;0;0;0;0;0;0;0;1;1;1;1;1;1;2;2;1;1;1;1;0;0;1;0;
MQ_03030_FV2_L (MQ1056);2;1;1;0;0;1;0;2;7;7;13;14;14;11;24;26;15;13;17;16;6;5;18;5;
MQ_03030_FV2_R (MQ1057);2;0;1;0;0;1;0;2;5;5;9;10;9;8;16;18;10;9;12;11;4;4;12;3;
MQ_03030_FV3_G (MQ1058);149;67;41;51;18;122;130;197;355;544;612;863;916;905;975;806;582;744;584;494;431;195;199;208;
MQ_03030_FV3_L (MQ1059);11;5;11;2;0;2;5;32;72;63;102;122;109;105;91;72;60;51;54;40;34;20;14;8;
MQ_03080_FV4_R (MQ106);6;5;2;0;3;3;6;22;19;39;29;36;49;35;40;23;21;30;33;23;23;11;13;9;
MQ_03030_FV3_R (MQ1060);;;;;;;;;;;;;;;;;;;;;;;;;
MQ_03030_FV4_G (MQ1061);;;;;;;;;;;;;;;;;;;;;;;;;
MQ_03030_FV4_L (MQ1062);;;;;;;;;;;;;;;;;;;;;;;;;
