Name  /  Date: 2015_04_08;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03290_FV12_GR (MQ0);50;53;12;16;27;72;261;320;351;352;352;352;345;358;366;361;326;381;367;327;261;178;172;104;
MQ_03020_FV4_L (MQ1);15;14;5;9;15;47;137;279;236;214;196;191;180;188;198;229;304;284;247;152;93;58;52;23;
MQ_03290_FV3_GR (MQ10);41;25;21;7;25;58;141;208;199;204;192;226;226;227;232;223;224;244;237;202;148;131;116;71;
MQ_03020_FV2_L (MQ100);1;3;1;0;1;4;14;23;31;25;21;34;29;44;41;26;36;43;36;26;22;11;9;4;
Alle Motion Det Albersloherweg (MQ1000);3310;3028;1685;1254;3151;9628;27262;43809;40816;38045;38106;40305;40385;40728;42503;47048;50948;53337;43592;31553;20346;14971;13077;7115;
MQ_03181_FV3_R (MQ1001);0;0;0;0;0;0;1;1;2;1;2;2;2;2;2;2;2;2;2;2;1;1;0;0;
MQ_06170_FV4_L (MQ1002);0;0;0;0;0;1;2;5;6;17;17;15;19;3;11;11;11;12;9;15;8;6;4;2;
MQ_08050_FV3_L (MQ1003);2;1;3;1;3;26;39;34;50;104;110;124;133;118;132;132;125;119;107;52;25;4;2;2;
MQ_06161_FV3_L (MQ1004);11;8;1;8;8;38;138;239;241;223;211;173;176;175;175;205;252;242;236;170;98;74;35;41;
MQ_06170_FV6_L (MQ1005);1;0;1;1;0;5;19;43;44;38;24;25;29;30;27;46;40;39;38;30;23;10;6;5;
MQ_08110_FV1_LO (MQ1006);0;1;0;0;0;1;3;7;11;13;16;16;18;14;13;20;21;24;18;12;8;5;5;2;
MQ_08110_FV3_RO (MQ1007);1;1;0;0;1;2;6;11;16;24;25;26;20;19;22;25;25;27;20;13;12;7;1;1;
MQ_06160_FV2_R (MQ1009);12;14;6;5;12;59;117;197;209;207;212;188;182;177;203;203;195;231;188;121;91;73;43;26;
MQ_02020_FV4_L (MQ101);29;9;6;10;10;42;119;220;248;234;228;256;247;306;337;317;394;417;363;236;135;104;66;34;
MQ_03030_FV1_G (MQ1010);33;23;16;22;24;101;369;711;632;542;524;540;623;652;713;793;932;773;654;421;274;239;151;66;
LSA 3290 Schleifen (MQ1012);766;686;335;361;561;1386;3616;5685;6019;6003;6213;6534;6331;6175;6365;6345;5972;6708;6376;5592;3999;3041;2787;1643;
LSA 8020 Schleifen (MQ1013);670;640;367;344;508;1385;3724;5824;5813;5506;5469;5915;5731;5603;6269;6154;6248;6860;6174;5082;3614;2866;2633;1686;
LSA 8030 Schleifen (MQ1014);317;310;128;103;177;497;1417;2342;2280;2206;2121;2315;2261;2272;2545;2623;2921;2867;2553;2297;1434;1375;1378;704;
LSA 8031 Schleifen (MQ1015);171;165;80;76;144;410;1298;2180;2129;2235;1991;2101;1981;1947;2120;2440;2474;2393;2020;1521;1110;922;915;519;
LSA 8040 Schleifen (MQ1016);517;429;272;190;605;1960;5319;8466;7445;6567;6589;6964;6804;7035;7210;8162;9161;8635;6886;4735;2896;1946;1661;825;
LSA 8032 Schleifen (MQ1017);240;241;108;80;190;538;1559;2455;2360;2394;2378;2608;2566;2568;2820;2835;3098;3031;2573;2033;1414;1129;1016;536;
LSA 8041 Schleifen (MQ1018);135;149;71;58;143;390;1018;1393;1439;1559;1668;1806;1740;1775;1842;1897;2002;1978;1768;1404;896;628;577;284;
LSA 8054 Schleifen (MQ1019);134;116;80;47;114;444;1326;2279;2035;1817;1777;1919;1962;1905;1991;2174;2551;2584;1999;1307;792;593;511;239;
MQ_02020_FV3_L (MQ102);3;2;0;1;3;8;18;34;38;47;39;41;39;56;59;49;44;60;45;44;30;14;17;9;
LSA 8140 Schleifen (MQ1020);81;70;41;29;92;262;786;1218;1061;952;970;1039;1076;1017;1054;1333;1378;1476;1229;780;546;397;334;162;
MQ_01210_FV32_L (MQ1021);10;2;3;1;5;10;106;125;171;57;29;37;61;45;40;39;59;52;41;47;21;11;18;18;
MQ_01081_FV3_G (MQ1022);51;31;17;11;17;51;114;211;244;235;253;237;246;288;265;301;346;359;283;255;186;154;131;103;
MQ_03030_FV1_L (MQ1023);0;0;0;0;0;2;4;16;20;14;15;15;16;14;22;19;15;11;9;9;4;5;5;1;
MQ_01200_FV1_G (MQ1024);93;52;26;28;40;114;428;652;675;623;708;810;977;1021;1239;1478;1750;1399;1089;803;514;349;265;183;
MQ_01121_FV1_G (MQ1025);4;6;3;8;24;41;89;170;226;258;286;283;248;226;215;194;190;163;118;98;59;28;21;14;
MQ_01121_FV3_L (MQ1026);0;0;0;0;0;0;1;1;2;2;2;4;5;4;4;5;5;5;4;3;2;1;1;0;
MQ_01121_FV3_G (MQ1027);1;6;1;0;1;7;27;46;71;89;103;172;234;183;216;219;226;226;195;161;98;46;35;14;
MQ_01121_FV1_R (MQ1028);1;1;0;1;3;6;12;23;31;35;39;38;34;31;29;26;26;22;16;13;8;4;3;2;
MQ_01200_FV1_L (MQ1029);;;;;;;;;;;;;;;;;;;;;;;;;
MQ_01070_FV2_L (MQ1030);;;;;;;;;;;;;;;;;;;;;;;;;
MQ_01121_FV2_G (MQ1031);4;2;1;1;1;4;0;14;21;15;16;14;12;19;10;15;20;16;15;13;12;5;5;10;
---Test (MQ1032);;;;;;;;;;;;;;;;;;;;;;;;;
MQ_09040_FV1_G (MQ1033);35;16;5;7;8;21;76;145;173;150;177;241;251;305;264;345;350;342;302;258;171;106;108;75;
MQ_09040_FV3_G (MQ1034);17;17;5;7;11;69;153;265;298;317;362;339;289;267;286;270;305;277;260;207;143;110;74;56;
MQ_09050_FV1_G (MQ1035);41;28;8;10;14;52;202;351;364;304;326;467;437;514;499;622;640;596;531;449;287;186;191;99;
MQ_09050_FV3_G (MQ1036);23;22;4;9;23;114;329;469;505;472;497;461;396;368;484;371;405;418;431;341;221;160;112;74;
MQ_09060_FV11_G (MQ1037);38;29;8;9;17;54;221;378;366;300;303;459;440;484;469;608;643;573;512;442;255;180;182;95;
