Name  /  Date: 2016_03_27;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_02020_FV3_L (MQ102);7;5;1;3;2;8;2;9;20;26;24;20;30;36;25;26;20;24;19;22;12;10;5;
LSA 8140 Schleifen (MQ1020);194;125;92;91;104;93;101;151;340;390;503;611;612;738;728;643;670;716;652;579;446;359;235;
MQ_01210_FV32_L (MQ1021);8;3;3;0;1;1;2;4;12;21;13;23;12;25;16;21;22;20;15;21;15;14;5;
MQ_01081_FV3_G (MQ1022);69;42;52;36;48;37;29;47;95;131;143;167;149;168;161;143;172;175;141;134;134;115;86;
MQ_03030_FV1_L (MQ1023);5;3;0;1;1;3;7;8;9;38;8;38;8;21;9;17;13;20;10;3;2;2;6;
MQ_01200_FV1_G (MQ1024);141;157;106;95;64;66;75;124;304;420;547;613;597;697;647;611;682;633;518;437;327;189;157;
MQ_01121_FV1_G (MQ1025);29;15;13;13;4;22;15;48;172;87;168;79;94;107;76;106;95;108;64;34;39;11;14;
MQ_01121_FV3_L (MQ1026);0;1;0;0;0;0;0;0;1;1;3;2;2;2;2;2;2;1;2;1;1;0;0;
MQ_01121_FV3_G (MQ1027);19;68;8;6;1;1;11;15;36;21;129;101;104;67;79;77;71;68;82;37;35;19;12;
MQ_01121_FV1_R (MQ1028);4;2;2;2;1;3;2;7;24;12;23;11;13;15;10;15;13;15;9;5;5;2;2;
MQ_01200_FV1_L (MQ1029);4;4;0;1;1;3;4;9;8;10;15;18;19;23;33;34;23;22;30;17;13;14;10;
MQ_01070_FV2_L (MQ1030);;;;;;;;;;;;;;;;;;;;;;;;
MQ_01121_FV2_G (MQ1031);2;7;6;2;1;1;2;5;16;9;18;10;6;10;5;5;8;5;6;7;9;3;4;
---Test (MQ1032);40;14;13;13;18;19;29;42;106;129;141;187;160;210;207;152;193;186;143;104;79;47;33;
MQ_09040_FV1_G (MQ1033);67;40;39;40;23;27;38;43;91;109;153;147;154;153;143;147;169;165;139;142;94;81;59;
MQ_09040_FV3_G (MQ1034);46;30;18;19;36;27;41;62;122;129;128;157;157;151;178;174;185;189;171;157;120;92;58;
MQ_09050_FV1_G (MQ1035);97;70;59;49;39;48;45;70;185;246;305;331;312;364;310;268;349;350;274;221;184;142;105;
MQ_09050_FV3_G (MQ1036);70;56;26;39;52;46;56;83;209;235;234;254;262;296;261;285;345;347;300;292;215;141;97;
MQ_09060_FV11_G (MQ1037);97;72;54;49;34;48;50;75;196;212;306;351;303;358;304;272;326;332;257;193;168;128;94;
MQ_09060_FV11L (MQ1038);5;9;4;7;12;9;7;13;18;19;15;29;23;23;19;12;23;21;23;25;20;13;8;
MQ_09060_FV2_L (MQ1039);15;11;5;3;8;12;21;15;61;69;85;122;99;93;88;92;105;108;76;92;46;30;17;
MQ_03023_FV1_G (MQ104);30;32;25;21;34;41;27;59;132;178;217;255;250;302;310;328;311;299;210;164;112;84;56;
MQ_09060_FV2_R (MQ1040);3;2;1;1;2;3;4;3;13;14;18;25;20;19;18;19;21;22;16;19;10;6;4;
MQ_09060_FV3_G (MQ1041);73;58;31;47;58;51;66;86;198;229;226;248;261;293;260;295;346;355;283;276;202;142;84;
MQ_09060_FV3_R (MQ1042);4;6;5;3;27;12;15;15;47;63;53;100;80;138;96;64;79;107;117;72;61;31;31;
MQ_03250_FV1_R (MQ1043);8;4;4;3;2;3;5;5;11;14;18;20;19;21;19;15;22;18;16;15;9;8;6;
MQ_03250_FV1_G (MQ1044);45;23;24;20;11;16;29;26;64;82;100;115;108;117;106;86;125;101;89;84;53;47;35;
MQ_03250_FV1_L (MQ1045);16;17;10;11;8;7;16;17;39;48;55;41;41;35;51;52;45;53;52;45;35;22;15;
MQ_03250_FV2_R (MQ1046);13;7;6;5;7;5;5;8;15;20;24;27;32;29;30;32;35;31;27;30;24;17;15;
MQ_03250_FV2_G (MQ1047);91;50;40;33;50;36;39;56;113;143;175;198;234;213;221;236;257;231;196;218;179;126;113;
MQ_03250_FV2_L (MQ1048);33;24;11;17;14;18;10;35;83;98;129;136;124;163;126;113;150;149;122;104;91;63;46;
MQ_03250_FV3_R (MQ1049);14;9;4;6;10;8;11;16;39;43;42;53;54;62;54;56;66;67;57;59;41;27;18;
MQ_03250_FV3_G (MQ105);41;27;12;17;29;23;32;48;118;128;126;158;161;185;161;167;198;200;170;176;122;80;53;
MQ_03250_FV3_L (MQ1050);20;26;15;19;23;18;13;16;32;36;63;64;56;58;45;60;72;65;70;60;49;30;29;
MQ_03250_FV4_R (MQ1051);23;21;16;15;16;13;10;14;26;36;41;44;53;53;53;55;49;54;46;41;40;30;19;
MQ_03250_FV4_G (MQ1052);92;85;62;61;63;51;41;55;102;143;165;176;212;213;211;219;197;216;183;166;159;118;78;
MQ_03250_FV4_L (MQ1053);8;5;6;4;4;5;3;0;6;7;8;13;12;7;15;9;9;17;10;12;10;8;15;
MQ_03030_FV1_R (MQ1054);0;2;2;1;2;2;7;11;25;48;66;78;86;82;65;28;42;24;21;19;9;5;2;
MQ_03030_FV2_G (MQ1055);0;0;0;0;0;0;0;0;1;2;2;1;2;3;2;2;2;1;1;1;1;0;0;
MQ_03030_FV2_L (MQ1056);3;2;1;0;1;2;3;5;17;28;34;11;31;38;30;33;24;17;11;14;7;3;5;
MQ_03030_FV2_R (MQ1057);2;1;0;0;1;1;2;3;12;19;23;7;21;26;20;23;17;12;7;10;5;2;3;
MQ_03030_FV3_G (MQ1058);46;23;13;17;64;43;46;66;135;232;229;284;291;345;309;252;277;282;230;182;129;100;67;
MQ_03030_FV3_L (MQ1059);10;7;3;2;4;6;10;19;30;54;80;77;65;62;55;42;37;40;35;26;21;14;7;
MQ_03080_FV4_R (MQ106);7;7;3;2;4;7;3;6;15;17;18;19;18;23;32;21;19;27;12;13;9;10;8;
MQ_03030_FV3_R (MQ1060);1;0;0;0;0;1;1;1;2;4;3;4;4;5;5;4;5;4;4;3;2;2;1;
MQ_03030_FV4_G (MQ1061);0;1;0;1;1;1;1;2;3;5;4;6;6;9;9;10;11;8;5;3;3;2;2;
MQ_03030_FV4_L (MQ1062);3;5;2;3;3;5;6;10;23;31;28;42;41;63;59;68;71;56;32;22;19;12;11;
MQ_03030_FV4_R (MQ1063);3;5;2;3;3;5;6;10;23;31;28;42;41;63;59;68;71;56;32;22;19;12;11;
MQ_03120_FV1_G (MQ107);132;94;72;62;99;92;104;163;358;422;499;584;559;682;532;508;541;526;463;385;354;212;133;
MQ_03020_FV2_R (MQ108);3;3;1;3;4;7;4;7;14;32;26;38;46;45;37;26;28;23;22;24;12;10;6;
MQ_03120_FV1_R (MQ109);2;1;1;1;1;1;1;2;4;5;6;7;7;7;6;6;6;6;5;5;4;3;2;
MQ_08050_FV2_L (MQ11);13;12;3;20;14;14;16;13;17;12;23;48;38;41;37;48;30;27;29;34;25;10;11;
MQ_03120_FV2_L (MQ110);4;3;2;1;2;4;8;8;18;23;15;18;12;21;24;25;28;15;21;13;15;10;8;
MQ_03120_FV2_R (MQ111);4;2;1;0;0;3;4;6;8;15;6;8;12;14;26;25;16;12;11;7;9;7;0;
MQ_06160_FV3_L (MQ112);1;3;1;3;1;5;22;12;16;19;27;40;25;44;41;33;31;35;31;34;17;11;6;
MQ_03120_FV3_G (MQ113);136;83;46;36;95;107;83;115;286;365;434;474;472;583;600;535;583;625;553;471;368;289;167;
MQ_03020_FV2_G (MQ114);13;7;9;7;12;10;13;13;38;48;66;70;76;79;75;73;66;56;58;42;28;16;19;
MQ_03120_FV3_L (MQ115);10;5;1;0;12;6;6;9;18;21;17;31;16;22;20;23;27;22;25;21;13;5;2;
MQ_03140_FV1_G (MQ116);112;65;47;30;71;84;78;99;276;351;423;460;438;566;564;537;551;580;518;436;339;253;170;
MQ_03140_FV1_L (MQ117);4;0;0;0;0;1;3;1;5;4;14;12;17;9;17;14;16;18;15;12;9;6;1;
MQ_03140_FV1_R (MQ118);3;3;1;1;2;2;2;3;7;9;10;12;11;14;14;14;14;14;13;11;9;7;5;
MQ_03140_FV2_G (MQ119);0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;
MQ_03290_FV3_G (MQ12);112;122;110;70;65;60;63;64;93;101;134;145;143;122;152;158;139;151;137;103;101;106;74;
MQ_03140_FV2_L (MQ120);2;0;0;0;0;0;1;2;6;3;6;5;5;7;10;8;8;8;6;6;6;6;3;
MQ_03140_FV2_R (MQ122);2;1;0;1;1;1;1;4;10;5;10;8;7;11;16;12;12;13;9;10;10;9;4;
MQ_03140_FV3_G (MQ124);118;84;60;55;96;89;91;143;342;386;441;538;547;656;516;503;537;523;481;424;329;214;132;
MQ_03140_FV3_L (MQ125);3;6;0;3;5;1;3;4;8;9;9;20;14;18;15;19;16;15;17;17;17;13;5;
MQ_03140_FV3_R (MQ126);3;2;1;1;2;2;2;4;7;8;10;11;11;13;10;10;10;11;9;8;7;4;3;
MQ_08050_FV3_G (MQ13);113;65;59;62;69;77;70;98;281;358;340;372;401;527;454;424;489;428;406;318;280;238;161;
MQ_03140_FV4_G (MQ130);2;3;1;0;2;0;0;0;3;3;6;7;4;6;9;11;7;8;17;25;7;2;0;
MQ_03140_FV4_L (MQ131);3;2;1;1;1;5;3;10;28;16;28;30;19;32;29;15;15;20;21;10;10;4;2;
MQ_03160_FV1_G (MQ132);109;65;47;35;82;83;82;117;269;362;410;495;435;560;539;496;536;557;490;438;380;272;182;
MQ_03160_FV1_L (MQ133);35;22;9;8;10;21;22;24;66;76;124;122;119;145;123;134;132;111;130;85;68;61;35;
MQ_03160_FV1_R (MQ134);11;7;4;3;8;7;8;10;22;28;30;36;33;39;40;37;38;39;36;33;30;24;16;
MQ_03160_FV2_G (MQ135);49;43;31;41;39;41;42;65;140;118;154;180;154;217;178;184;200;203;165;154;98;88;66;
MQ_03160_FV2_L (MQ136);1;2;1;3;1;1;2;3;2;6;7;7;9;12;12;13;8;13;13;5;10;7;2;
MQ_03160_FV3_G (MQ138);93;56;32;32;54;64;55;104;228;268;321;401;381;485;434;391;414;418;389;327;259;177;108;
MQ_03070_FV1_L (MQ14);2;5;2;0;2;1;1;3;5;5;9;8;13;16;12;5;11;14;9;13;12;3;4;
MQ_03160_FV3_L (MQ141);1;1;1;0;0;1;3;7;7;5;9;7;8;9;12;10;4;14;5;13;9;3;6;
MQ_03160_FV3_R (MQ142);0;0;0;0;0;0;0;0;1;1;2;2;2;2;2;2;2;2;2;2;1;1;0;
MQ_03160_FV4_G (MQ143);35;27;17;17;17;17;14;14;50;47;55;80;77;80;95;63;88;81;72;71;52;50;42;
MQ_03160_FV4_L (MQ144);83;79;58;67;63;51;59;53;135;142;158;196;206;199;194;183;229;191;186;206;158;102;80;
MQ_03171_FV1_G (MQ145);106;57;38;40;63;72;53;115;256;318;370;446;397;485;491;428;468;462;400;357;315;199;150;
MQ_03171_FV1_L (MQ149);0;0;0;0;0;2;0;1;1;3;6;5;4;8;5;8;6;3;2;4;5;1;2;
MQ_03290_FV4_G (MQ15);76;72;67;56;53;35;27;29;71;75;117;121;138;147;115;136;150;137;115;133;119;79;68;
MQ_03171_FV3_G (MQ151);91;58;37;37;46;66;56;90;206;261;310;383;381;474;436;382;422;431;397;338;263;195;103;
MQ_03171_FV3_R (MQ152);0;0;0;0;0;0;0;0;1;1;2;2;2;3;2;2;2;2;2;2;1;1;1;
MQ_03290_FV4_L (MQ16);81;48;37;26;33;17;22;30;82;80;118;141;159;160;110;126;157;127;105;124;90;65;63;
MQ_08041_FV1_G (MQ163);192;160;146;156;151;87;87;84;152;147;235;290;284;277;269;451;284;282;284;312;322;199;130;
MQ_08041_FV1_L (MQ165);8;2;3;1;4;7;3;1;2;6;2;3;6;4;4;17;11;11;6;3;11;1;5;
MQ_08041_FV1_R (MQ166);8;7;13;6;2;3;2;1;7;3;11;9;9;8;8;55;11;10;6;23;26;4;4;
MQ_03021_FV1_G (MQ168);64;32;19;26;72;58;58;87;167;289;314;359;365;417;382;300;314;330;276;218;159;124;73;
MQ_08041_FV2_L (MQ169);3;2;2;6;8;7;15;5;4;4;8;5;4;7;5;9;10;17;6;13;7;8;8;
MQ_03070_FV1_R (MQ17);11;14;6;7;19;21;17;15;32;55;60;89;82;85;86;51;66;57;69;62;46;18;20;
MQ_05010_FV1_L (MQ170);52;52;32;44;44;43;53;64;164;140;186;211;165;257;206;209;232;231;185;169;98;93;70;
MQ_05010_FV1_R (MQ171);1;0;0;0;2;2;0;1;9;11;9;14;7;17;14;17;5;12;14;12;4;3;2;
MQ_08041_FV3_G (MQ172);137;92;77;98;95;85;59;68;150;214;211;299;369;299;279;358;464;327;345;292;230;216;166;
MQ_05010_FV2_G (MQ173);64;42;24;25;31;31;33;34;81;85;133;154;161;162;164;153;163;163;161;121;83;88;63;
MQ_08041_FV3_L (MQ174);4;0;2;1;3;0;0;2;1;7;6;3;8;5;8;6;4;5;7;10;8;4;1;
MQ_08041_FV3_R (MQ175);3;4;0;6;9;17;2;2;3;10;6;7;7;8;6;7;15;18;6;7;6;4;7;
MQ_05010_FV2_R (MQ176);65;44;24;22;28;40;33;37;101;113;165;179;170;202;206;181;187;164;190;144;103;99;63;
MQ_03021_FV3_G (MQ177);64;65;39;32;52;71;43;94;190;269;332;349;391;512;476;476;497;457;340;283;188;146;81;
MQ_08041_FV4_L (MQ178);4;9;3;1;1;0;1;2;0;4;2;3;4;6;2;7;6;5;5;0;6;0;1;
MQ_05010_FV3_G (MQ179);2;1;2;5;2;3;1;13;11;16;33;28;42;40;21;35;16;36;24;28;19;15;8;
MQ_03070_FV2_G (MQ18);37;22;31;15;27;21;10;26;60;69;92;97;95;112;88;83;96;89;80;78;78;52;42;
MQ_03020_FV3_L (MQ180);4;4;2;5;2;2;5;3;12;10;11;22;15;16;33;30;21;17;13;14;14;7;3;
MQ_05010_FV3_L (MQ181);0;1;2;1;1;0;1;1;3;8;10;8;10;10;8;16;11;8;17;16;8;7;9;
MQ_03020_FV3_G (MQ183);55;35;28;27;50;41;37;62;120;216;211;271;280;292;286;220;228;220;174;150;123;109;57;
MQ_03290_FV5_R (MQ19);18;23;23;6;18;6;5;6;10;13;13;19;25;19;20;38;32;27;31;37;33;26;25;
MQ_03040_FV1_G (MQ195);53;43;30;27;42;58;46;88;170;248;285;377;368;461;400;332;359;371;297;253;150;118;66;
MQ_03040_FV1_L (MQ196);3;0;0;0;1;1;2;1;3;3;13;8;6;12;6;2;3;5;3;5;1;0;0;
MQ_03040_FV1_R (MQ197);0;0;0;0;0;0;0;2;0;4;4;6;5;7;3;3;2;2;2;2;2;0;0;
MQ_03040_FV2_G (MQ198);1;1;0;1;0;1;1;2;5;7;7;11;8;10;12;7;10;6;4;5;4;0;0;
MQ_03040_FV2_L (MQ199);1;1;0;1;0;1;1;2;5;7;7;11;8;10;12;7;10;6;4;5;4;0;0;
MQ_03070_FV1_G (MQ2);30;26;13;16;37;37;26;56;117;173;217;262;249;296;250;206;207;226;176;150;99;76;30;
MQ_03070_FV2_L (MQ20);7;4;2;3;8;3;5;7;13;41;16;28;21;37;31;10;22;17;18;17;11;6;5;
MQ_08054_FV1_R (MQ200);3;1;2;3;1;4;8;6;8;4;5;12;9;9;14;10;9;17;7;8;5;5;4;
MQ_08054_FV1_G (MQ201);159;126;86;88;85;71;86;87;170;229;315;423;389;456;498;456;445;491;411;374;318;228;149;
MQ_03040_FV2_R (MQ202);1;1;0;1;0;1;1;2;5;7;7;11;8;10;12;7;10;6;4;5;4;0;0;
MQ_08054_FV2_R (MQ203);0;0;0;0;0;0;0;0;1;1;2;3;1;1;3;1;0;0;3;0;1;0;0;
MQ_08054_FV2_L (MQ204);0;1;1;1;1;0;2;1;2;2;0;2;3;11;5;1;3;5;3;2;3;1;1;
MQ_03040_FV3_G (MQ205);48;23;12;22;62;49;45;64;158;209;239;285;320;404;376;379;404;363;252;205;143;107;74;
MQ_03040_FV3_L (MQ206);1;1;0;0;2;2;1;4;0;3;5;4;5;4;4;2;2;4;2;3;3;4;0;
MQ_03040_FV3_R (MQ207);3;1;1;1;1;3;3;2;8;11;13;13;15;19;17;20;22;18;14;11;8;6;5;
MQ_08054_FV3_G (MQ208);112;70;58;62;66;80;72;107;277;361;355;383;414;524;465;435;491;419;411;321;277;237;164;
MQ_08054_FV3_L (MQ209);0;0;0;0;0;0;0;0;1;3;0;1;1;2;1;2;1;1;2;0;0;0;0;
MQ_03020_FV4_G (MQ21);14;8;8;4;6;17;9;29;51;41;55;46;62;49;67;69;69;81;53;47;33;17;20;
MQ_08060_FV1_R (MQ210);6;8;5;3;2;1;3;4;9;12;9;14;20;20;20;28;17;21;15;11;9;7;4;
MQ_03040_FV4_G (MQ211);1;0;0;0;1;1;0;3;3;3;3;4;3;8;5;10;5;4;4;3;2;1;0;
MQ_08060_FV1_G (MQ212);147;114;84;78;79;67;71;75;150;214;293;396;346;428;440;421;414;437;372;344;289;215;142;
MQ_03040_FV4_L (MQ213);1;0;0;0;1;1;0;3;3;3;3;4;3;8;5;10;5;4;4;3;2;1;0;
MQ_08060_FV1_L (MQ214);3;2;1;4;2;1;0;0;7;10;12;10;16;12;20;10;14;16;18;8;19;6;2;
MQ_03040_FV4_R (MQ215);1;0;0;0;1;1;0;3;3;3;3;4;3;8;5;10;5;4;4;3;2;1;0;
MQ_03050_FV1_G (MQ216);55;42;32;29;64;67;49;104;175;271;282;368;362;453;390;327;355;355;300;251;160;130;62;
MQ_03050_FV1_L (MQ217);17;6;6;7;9;17;7;25;51;44;60;73;83;92;82;88;68;76;58;27;33;28;20;
MQ_02010_FV3_L (MQ218);2;2;1;1;1;1;1;1;3;4;5;6;6;6;6;5;6;5;5;6;3;2;2;
MQ_08060_FV2_G (MQ219);4;0;3;3;4;3;3;6;14;23;30;32;26;39;41;26;35;37;27;28;19;13;10;
MQ_03020_FV4_R (MQ22);5;3;3;1;2;6;3;10;17;14;18;15;21;16;22;23;23;27;18;16;11;6;7;
MQ_08060_FV2_L (MQ220);27;20;20;16;16;15;20;25;49;54;47;75;55;69;59;61;68;50;68;85;75;57;37;
MQ_03050_FV1_R (MQ221);4;2;1;3;20;10;2;19;22;34;23;34;27;23;44;19;27;19;21;18;21;10;8;
MQ_03050_FV2_G (MQ222);17;25;13;6;12;7;7;21;32;49;54;83;47;47;69;48;55;56;47;33;23;24;21;
MQ_03050_FV2_L (MQ223);10;8;2;1;2;5;3;8;11;20;34;41;34;33;41;27;31;29;26;19;8;8;6;
MQ_08060_FV3_R (MQ224);5;4;6;1;3;4;7;18;29;32;31;54;35;54;64;50;59;55;66;33;36;24;10;
MQ_08060_FV3_G (MQ225);94;60;53;55;62;74;70;97;259;347;316;347;385;481;428;395;450;391;366;286;256;216;142;
MQ_03050_FV2_R (MQ226);23;28;13;9;9;9;10;13;29;38;57;70;66;90;85;62;88;78;66;38;22;31;21;
MQ_08060_FV3_L (MQ227);10;7;1;0;14;11;7;23;39;54;66;74;78;91;70;66;73;64;69;47;42;42;15;
MQ_03050_FV3_G (MQ228);42;25;15;20;49;36;42;52;141;179;198;241;277;348;329;339;361;341;234;182;126;95;64;
MQ_03050_FV3_L (MQ229);3;0;2;3;11;4;1;8;6;15;18;27;17;26;30;19;46;6;11;13;9;8;2;
MQ_03020_FV3_R (MQ23);3;2;1;1;1;2;2;2;5;10;9;11;13;13;13;9;10;9;8;6;6;5;3;
MQ_03050_FV3_R (MQ230);4;2;1;0;0;2;4;7;20;20;27;22;36;40;36;50;45;35;22;24;15;6;6;
MQ_03050_FV4_G (MQ231);12;11;6;2;6;17;5;18;38;52;56;41;32;59;58;36;43;56;33;40;31;21;15;
MQ_03050_FV4_L (MQ232);6;6;2;1;3;10;4;3;20;30;29;26;23;35;35;28;28;29;20;22;16;13;9;
MQ_03060_FV1_G (MQ233);76;55;44;42;76;95;58;135;243;322;355;461;469;581;502;444;448;471;377;292;206;169;92;
MQ_08060_FV4_R (MQ234);37;17;11;4;4;9;4;19;43;50;58;89;84;108;92;78;83;81;79;82;57;36;31;
MQ_08060_FV4_G (MQ235);17;5;4;2;2;9;3;20;25;34;46;65;76;104;66;57;83;74;39;47;137;48;21;
MQ_03060_FV2_G (MQ236);92;76;38;39;75;70;65;80;201;267;313;372;399;534;484;459;514;481;346;265;184;159;115;
MQ_08060_FV4_L (MQ237);10;6;2;1;2;4;3;6;8;9;20;14;19;28;17;17;21;11;19;58;14;17;10;
MQ_03130_FV1_G (MQ238);106;67;44;30;72;92;75;99;276;346;403;419;426;530;551;490;527;573;504;420;337;258;153;
MQ_03130_FV1_L (MQ239);0;3;1;1;2;11;3;6;7;15;12;14;18;32;22;11;25;17;18;19;10;10;3;
MQ_08020_FV1_L (MQ24);114;103;107;71;69;55;33;23;45;59;72;57;56;56;83;87;113;71;105;84;86;82;71;
MQ_03130_FV1_R (MQ240);11;9;5;4;9;7;7;10;25;30;34;35;36;42;43;42;41;46;40;37;32;24;15;
MQ_03130_FV2_G (MQ241);1;0;1;0;1;4;2;3;10;9;10;12;9;18;11;14;16;11;9;11;9;6;3;
MQ_03130_FV2_L (MQ242);1;1;1;0;2;6;4;5;15;13;16;18;14;28;16;22;25;17;14;17;14;9;5;
MQ_03130_FV2_R (MQ243);0;0;0;0;1;1;1;1;4;3;4;4;3;7;4;5;6;4;3;4;3;2;1;
MQ_06160_FV1_R (MQ244);2;3;2;2;1;1;1;2;6;6;10;9;10;11;10;10;10;10;9;6;6;3;1;
MQ_03130_FV3_G (MQ245);139;103;68;62;104;109;109;167;354;414;474;548;545;667;537;498;535;519;460;385;342;214;125;
MQ_03130_FV3_L (MQ246);15;14;11;20;22;21;11;29;66;78;74;105;98;129;109;107;124;109;103;77;67;51;21;
MQ_03130_FV3_R (MQ247);4;3;2;1;2;3;3;5;9;11;14;15;15;17;13;13;13;14;12;11;9;6;3;
MQ_03130_FV4_G (MQ248);3;1;2;1;1;2;2;5;9;11;13;15;11;14;12;13;14;15;11;9;7;4;4;
MQ_03130_FV4_L (MQ249);9;21;5;4;6;53;328;18;17;34;138;42;40;38;355;190;36;35;32;189;41;18;109;
MQ_08020_FV1_G (MQ25);298;264;215;156;153;111;110;103;206;217;317;454;467;401;375;397;471;374;374;309;263;255;237;
MQ_03130_FV4_R (MQ250);10;3;6;2;3;4;5;16;26;33;40;46;32;42;35;37;41;44;34;27;20;12;12;
MQ_03150_FV1_G (MQ251);126;77;52;32;77;94;92;108;304;384;446;525;448;610;583;550;562;591;552;433;339;245;181;
MQ_06161_FV1_R (MQ252);34;12;10;11;14;16;20;38;98;119;130;166;146;197;204;151;165;185;135;98;88;51;38;
MQ_08070_FV1_G (MQ253);188;135;95;80;82;77;81;99;210;289;375;530;460;572;567;518;528;544;488;470;365;271;176;
MQ_03150_FV1_L (MQ254);7;7;3;2;4;8;8;16;31;45;52;59;40;63;66;66;67;76;75;72;42;25;17;
MQ_03150_FV1_R (MQ255);5;3;2;1;3;3;3;4;10;12;12;15;13;17;17;16;16;16;13;13;10;7;6;
MQ_08070_FV2_R (MQ256);1;1;0;0;3;4;2;4;7;14;12;19;18;34;19;19;13;8;8;13;6;8;2;
MQ_08070_FV2_L (MQ257);4;0;2;1;6;4;4;5;18;14;13;16;0;5;8;6;18;12;10;9;6;4;3;
MQ_03150_FV2_G (MQ258);264;247;276;243;292;220;216;215;251;202;262;229;293;215;218;285;169;222;260;226;185;217;259;
MQ_03150_FV2_L (MQ259);257;279;261;293;246;169;155;261;308;446;289;329;275;254;253;220;313;359;299;324;326;397;262;
MQ_08052_FV1_G (MQ26);155;125;84;86;92;62;82;86;174;227;307;431;382;455;478;446;445;467;405;353;314;222;146;
MQ_08070_FV3_G (MQ260);108;71;60;55;77;84;82;135;324;413;395;470;487;602;542;502;562;522;480;353;324;271;164;
MQ_03150_FV2_R (MQ261);113;106;118;104;125;94;93;92;108;86;112;98;126;92;94;122;73;95;112;97;79;93;111;
MQ_08070_FV3_L (MQ262);3;0;1;1;5;4;2;8;11;15;18;16;15;14;11;14;20;10;17;8;2;3;5;
MQ_03150_FV3_G (MQ263);69;61;45;44;57;51;50;78;217;245;248;334;333;406;354;341;387;347;297;255;206;155;85;
MQ_03150_FV3_L (MQ264);117;81;50;51;70;61;79;101;206;232;297;336;327;403;336;322;364;347;346;321;229;148;104;
