Name  /  Date: 2016_03_27;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03290_FV12_GR (MQ0);127;126;96;98;88;92;75;44;97;151;145;166;185;209;175;274;241;283;207;258;259;153;116;
MQ_03020_FV4_L (MQ1);21;10;4;5;23;17;22;27;65;87;94;111;101;128;127;116;175;145;112;82;60;35;27;
MQ_03290_FV3_GR (MQ10);119;130;117;75;69;64;67;68;99;107;143;154;152;130;162;168;148;161;146;110;107;113;79;
MQ_03020_FV2_L (MQ100);5;4;3;4;3;2;2;9;9;18;14;19;20;20;18;21;14;18;10;12;11;6;7;
MQ_03181_FV3_R (MQ1001);0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
MQ_06170_FV4_L (MQ1002);1;0;1;2;1;0;0;1;1;7;2;11;3;0;2;1;2;5;8;4;3;3;2;
MQ_08050_FV3_L (MQ1003);2;3;0;0;2;3;5;1;2;4;6;9;9;12;11;9;4;5;7;5;3;2;1;
MQ_06161_FV3_L (MQ1004);30;13;6;13;13;25;17;36;66;87;107;110;127;171;169;148;150;165;135;120;99;62;29;
MQ_06170_FV6_L (MQ1005);3;3;4;1;2;3;4;8;13;18;28;28;21;30;28;26;29;33;24;21;16;11;5;
MQ_08110_FV1_LO (MQ1006);2;2;2;0;1;0;2;6;8;8;6;11;7;7;10;9;9;10;9;8;6;3;4;
MQ_08110_FV3_RO (MQ1007);2;1;0;0;1;1;1;8;17;15;10;10;9;14;14;8;11;13;6;9;5;3;2;
LSA 29120 Schleifen (MQ1008);208;114;101;91;116;119;111;188;347;434;504;650;634;744;831;675;759;781;682;608;447;338;262;
MQ_06160_FV2_R (MQ1009);44;26;26;20;28;26;28;31;59;91;96;100;104;99;113;98;142;120;122;97;89;69;62;
MQ_02020_FV4_L (MQ101);27;12;6;5;15;32;18;16;69;98;101;118;119;165;157;138;158;149;131;114;82;49;36;
MQ_03030_FV1_G (MQ1010);57;45;29;27;42;57;39;81;159;228;247;334;326;407;372;318;349;347;283;249;150;117;63;
Alle Motion Det Weselerstr. (MQ1011);35839;32237;25462;19910;
LSA 3290 Schleifen (MQ1012);2233;2064;1628;1434;1293;1086;833;982;2021;2252;2703;3228;3493;3611;3108;4011;3923;3823;3290;3027;2868;2318;1970;
LSA 8020 Schleifen (MQ1013);2578;2407;2075;1842;1574;1249;1021;820;1558;1866;2218;2865;3132;2962;2853;3819;3476;3091;3014;2915;2725;2394;2220;
LSA 8030 Schleifen (MQ1014);1117;1017;785;863;698;516;433;291;586;735;848;1205;1456;1179;1131;1951;1639;1362;1264;1339;1258;1207;1019;
LSA 8031 Schleifen (MQ1015);953;959;977;820;775;579;492;331;468;508;643;964;1144;740;818;2187;1448;902;843;1076;1397;677;658;
LSA 8032 Schleifen (MQ1017);595;471;402;468;460;328;523;460;1170;975;1394;1654;1603;1090;1042;1690;1271;1086;1076;1115;1128;701;480;
LSA 8041 Schleifen (MQ1018);415;323;268;303;324;243;201;178;344;434;517;662;736;663;625;1004;877;756;715;722;703;468;351;
LSA 8054 Schleifen (MQ1019);277;199;148;155;157;155;172;202;465;607;682;831;823;1018;997;909;954;940;847;707;608;472;319;
