Name  /  Date: 2016_12_04;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03290_FV12_GR (MQ0);175;162;125;112;94;103;75;64;72;120;196;217;279;332;350;359;339;313;295;250;213;174;185;46;
MQ_03290_FV3_GR (MQ10);169;145;119;82;109;58;57;62;69;110;177;159;223;213;230;208;242;224;243;230;221;140;112;65;
MQ_03181_FV3_R (MQ1001);0;0;0;0;0;0;0;0;0;1;1;1;1;1;2;2;1;2;1;1;1;1;0;0;
MQ_06170_FV4_L (MQ1002);1;1;0;0;0;0;0;1;3;3;8;6;10;4;9;8;7;7;5;4;9;4;0;0;
MQ_08050_FV3_L (MQ1003);5;3;5;4;9;1;3;10;6;17;42;78;81;78;58;53;30;15;3;11;6;3;0;2;
MQ_06161_FV3_L (MQ1004);42;35;14;13;9;17;23;9;39;59;108;148;177;168;196;217;173;211;169;141;87;69;35;24;
MQ_06170_FV6_L (MQ1005);10;6;3;2;1;2;3;4;7;16;18;27;29;28;40;26;23;30;29;20;16;10;5;0;
MQ_08110_FV1_LO (MQ1006);2;1;2;1;1;0;0;1;3;6;7;7;8;9;10;9;9;10;9;9;5;5;4;0;
MQ_08110_FV3_RO (MQ1007);2;1;0;0;0;0;0;2;7;11;10;11;9;8;9;10;6;11;11;6;4;4;2;1;
LSA 29120 Schleifen (MQ1008);259;320;199;116;107;88;99;120;120;344;575;666;753;680;976;940;868;947;803;720;290;324;387;
MQ_06160_FV2_R (MQ1009);37;37;20;21;21;20;22;25;31;97;95;115;150;153;175;156;175;175;147;118;86;56;45;24;
MQ_02020_FV4_L (MQ101);29;30;16;6;7;13;27;27;35;75;123;172;194;206;270;252;190;195;173;122;99;82;49;29;
MQ_03030_FV1_G (MQ1010);115;86;32;11;17;32;66;43;95;171;283;310;414;490;544;513;461;491;407;309;228;154;105;52;
LSA 3290 Schleifen (MQ1012);2787;2609;1759;1462;1485;1290;1058;911;1152;2257;3526;4022;5070;5412;5916;5643;5576;5484;5197;4540;3911;2756;2353;1034;
LSA 8020 Schleifen (MQ1013);2669;2844;2125;1559;1741;1339;1162;874;1067;2050;3120;3249;4490;4674;5060;4679;4550;4574;4388;3697;3217;2339;2122;851;
LSA 8030 Schleifen (MQ1014);953;1252;805;581;614;460;397;323;372;708;1193;1276;1846;1801;2116;1898;1910;2110;1861;1666;1377;1029;1219;351;
LSA 8031 Schleifen (MQ1015);945;1024;1045;960;947;749;604;411;489;550;977;949;1297;1412;1491;1423;1421;1672;1481;948;796;993;1018;266;
LSA 8040 Schleifen (MQ1016);1496;1152;844;604;495;603;697;788;854;1799;3592;4532;5484;5745;6249;5482;4722;4526;3874;2805;2122;1648;1352;508;
LSA 8032 Schleifen (MQ1017);694;665;525;446;354;325;291;279;340;639;1205;1335;1745;1793;1960;1805;1522;1639;1489;1236;1028;936;870;300;
LSA 8041 Schleifen (MQ1018);482;458;386;330;242;253;204;213;226;425;777;864;1123;1241;1318;1202;1065;1151;980;795;665;621;562;188;
LSA 8054 Schleifen (MQ1019);411;329;250;188;128;137;128;170;232;502;853;1071;1286;1422;1610;1458;1232;1230;1113;844;629;496;384;165;
MQ_02020_FV3_L (MQ102);14;7;2;6;5;5;3;3;9;19;21;30;32;32;27;25;33;32;30;25;28;18;7;9;
LSA 8140 Schleifen (MQ1020);229;172;122;97;70;78;89;105;165;328;524;662;807;897;981;921;869;847;734;565;435;314;269;122;
MQ_01210_FV32_L (MQ1021);11;2;4;6;0;1;4;6;15;19;21;23;42;29;42;79;44;46;47;39;18;15;10;5;
MQ_01081_FV3_G (MQ1022);90;93;66;47;41;42;40;30;50;71;112;157;200;251;277;254;224;312;251;264;217;159;127;76;
MQ_03030_FV1_L (MQ1023);4;7;3;0;2;4;2;5;14;17;7;9;16;21;22;26;6;6;10;4;4;5;4;3;
MQ_01200_FV1_G (MQ1024);333;202;118;85;63;67;80;92;146;272;452;656;851;906;1189;1210;1126;1135;1084;805;593;352;258;104;
MQ_01121_FV1_G (MQ1025);18;12;13;5;8;4;16;12;50;126;146;199;170;178;190;227;212;184;150;90;44;24;11;5;
