Name  /  Date: 2015_05_28;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03290_FV12_GR (MQ0);38;30;16;18;28;85;257;371;363;357;362;349;342;362;381;347;357;367;388;333;254;168;184;110;
MQ_03020_FV4_L (MQ1);8;6;10;4;13;47;141;338;293;235;184;176;245;218;247;262;297;341;255;184;124;86;56;33;
MQ_03290_FV3_GR (MQ10);61;32;14;17;28;67;150;238;217;193;202;228;228;247;214;231;247;247;225;225;171;134;167;60;
MQ_03020_FV2_L (MQ100);2;2;2;1;0;1;9;37;29;26;26;25;28;28;24;37;27;41;37;21;15;17;14;7;
MQ_03181_FV3_R (MQ1001);0;0;0;0;0;0;1;2;2;2;2;2;2;2;2;3;3;2;2;1;1;1;1;0;
MQ_06170_FV4_L (MQ1002);0;0;0;0;0;0;4;9;6;12;14;7;16;5;13;9;3;11;9;11;7;9;2;1;
MQ_08050_FV3_L (MQ1003);4;2;1;0;14;19;41;27;71;103;117;120;135;130;96;93;114;129;90;58;44;7;1;2;
MQ_06161_FV3_L (MQ1004);5;3;6;9;10;41;157;275;296;240;222;193;190;174;215;226;272;263;235;173;126;68;36;43;
MQ_06170_FV6_L (MQ1005);2;1;0;0;0;6;27;70;49;39;28;27;28;31;32;44;53;44;41;29;23;14;13;5;
MQ_08110_FV1_LO (MQ1006);1;0;0;0;1;2;3;9;15;13;12;19;19;17;16;20;28;32;22;12;10;6;4;1;
MQ_08110_FV3_RO (MQ1007);2;0;0;0;1;2;8;18;26;23;26;29;25;20;23;23;30;35;23;15;12;7;2;1;
MQ_06160_FV2_R (MQ1009);11;1;7;8;15;56;127;294;258;215;193;182;197;189;200;233;252;257;211;169;86;66;66;40;
MQ_02020_FV4_L (MQ101);13;9;6;13;21;43;137;300;267;290;246;242;291;337;334;369;432;395;351;234;203;135;96;50;
MQ_03030_FV1_G (MQ1010);33;19;10;13;28;117;441;888;819;555;526;544;764;763;699;899;982;840;770;500;331;244;209;102;
LSA 3290 Schleifen (MQ1012);872;622;377;417;624;1379;3757;6451;6542;6236;6312;6368;6054;6495;6495;6544;6624;6856;6549;5800;4075;3034;3269;1487;
LSA 8020 Schleifen (MQ1013);855;548;361;378;592;1489;3855;6590;6556;5782;5531;5762;5855;6366;6511;6558;6492;6960;6243;5249;3503;2526;2976;1401;
LSA 8030 Schleifen (MQ1014);326;220;127;125;190;530;1529;2812;2686;2311;2199;2279;2364;2557;2629;2821;2968;3150;2612;2186;1505;1057;1392;596;
LSA 8040 Schleifen (MQ1016);469;339;221;255;665;2113;5931;10358;8928;6966;6533;6784;7027;7300;7434;8278;9554;9400;7247;5181;3147;2280;1741;987;
LSA 8032 Schleifen (MQ1017);225;136;81;91;186;671;1654;2855;2629;2300;2428;2663;2501;2878;2828;3111;3124;2996;2588;1964;1388;1039;1063;513;
