Name  /  Date: 2015_04_05;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03290_FV12_GR (MQ0);149;138;96;99;100;103;69;65;79;121;155;164;223;219;225;215;276;239;246;253;245;215;158;149;
MQ_03020_FV4_L (MQ1);22;13;13;7;8;17;19;15;35;71;88;102;141;103;150;151;118;137;122;94;80;65;35;26;
MQ_03290_FV3_GR (MQ10);145;112;70;66;74;72;57;59;66;105;117;158;180;157;171;163;152;163;150;175;139;136;93;95;
MQ_03020_FV2_L (MQ100);7;4;9;2;2;1;1;1;9;21;11;13;22;31;24;26;32;22;30;13;19;7;5;1;
Alle Motion Det Albersloherweg (MQ1000);9569;8083;5319;5597;5605;4763;4139;3995;6239;13507;17073;21018;23694;24527;25629;23912;24162;27383;24878;21867;19207;17069;13501;9454;
MQ_03181_FV3_R (MQ1001);0;0;0;0;0;0;0;0;0;1;1;1;2;1;2;1;1;1;1;1;1;1;0;0;
MQ_06170_FV4_L (MQ1002);1;0;0;1;0;0;0;1;2;5;8;1;4;4;5;7;2;1;6;4;7;5;4;2;
MQ_08050_FV3_L (MQ1003);3;1;1;2;3;2;1;2;1;2;3;6;8;0;4;4;7;2;8;8;5;4;1;1;
MQ_06161_FV3_L (MQ1004);22;25;11;6;10;14;25;10;37;83;107;122;148;131;174;148;136;174;162;139;107;112;64;34;
MQ_06170_FV6_L (MQ1005);6;4;1;2;2;3;2;3;8;13;25;22;30;24;31;34;20;28;32;24;20;15;9;7;
MQ_08110_FV1_LO (MQ1006);1;2;1;1;1;1;0;1;4;6;6;7;7;7;9;7;9;8;11;8;4;10;4;2;
MQ_08110_FV3_RO (MQ1007);2;1;0;0;0;0;1;2;6;7;10;8;5;8;7;6;6;8;9;5;5;5;3;1;
MQ_06160_FV2_R (MQ1009);47;16;27;18;23;33;24;27;32;65;67;85;115;124;115;108;130;148;122;115;131;93;69;43;
MQ_02020_FV4_L (MQ101);31;20;10;9;11;12;13;20;46;76;85;121;164;150;145;173;138;153;165;110;97;84;49;26;
MQ_03030_FV1_G (MQ1010);72;47;19;13;15;33;47;42;82;175;258;297;379;368;445;391;336;401;349;319;232;193;129;80;
LSA 3290 Schleifen (MQ1012);2836;2368;1686;1669;1653;1401;1115;963;1307;2316;2691;3421;4019;4195;4121;3986;4521;4485;4118;4039;3469;3367;2639;2361;
LSA 8020 Schleifen (MQ1013);2808;2570;1723;1948;1907;1460;1162;859;1081;1815;2260;2834;3513;3741;3460;3321;3897;4023;3533;3524;3091;2951;2623;2230;
LSA 8030 Schleifen (MQ1014);1222;1144;634;801;755;575;389;326;388;669;849;1072;1473;1690;1335;1269;1980;1812;1462;1532;1395;1500;1331;1058;
LSA 8031 Schleifen (MQ1015);1340;1206;1031;1242;1103;811;630;452;459;561;671;927;1235;1436;981;981;2017;1595;1139;1004;1120;1450;817;755;
LSA 8040 Schleifen (MQ1016);1094;954;602;618;695;614;495;493;726;1705;2271;2708;3125;3249;3535;3145;3302;3655;3339;2846;2437;2355;1699;1206;
LSA 8032 Schleifen (MQ1017);771;778;466;578;608;431;310;268;386;739;913;1131;1341;1600;1429;1374;1969;1529;1351;1269;1224;1448;951;678;
LSA 8041 Schleifen (MQ1018);420;389;246;278;333;244;190;181;223;457;551;692;825;922;880;831;1029;971;869;791;732;784;550;407;
LSA 8054 Schleifen (MQ1019);283;230;155;158;168;157;143;145;227;555;724;894;988;1020;1123;1025;931;1094;1026;860;729;641;484;328;
MQ_02020_FV3_L (MQ102);11;3;2;2;3;1;3;3;14;22;21;31;27;24;25;13;24;19;18;15;20;14;6;10;
LSA 8140 Schleifen (MQ1020);196;154;87;89;92;75;81;84;156;419;527;617;714;721;805;696;716;890;775;662;602;458;385;230;
MQ_01210_FV32_L (MQ1021);3;5;1;0;1;6;2;1;6;4;14;19;30;8;28;22;23;26;28;26;19;17;22;3;
MQ_01081_FV3_G (MQ1022);105;57;38;29;28;39;38;38;64;112;111;166;161;175;172;195;169;161;195;172;186;131;94;70;
MQ_03030_FV1_L (MQ1023);8;3;2;0;0;2;0;5;13;12;25;12;35;21;34;27;13;20;21;20;6;6;4;4;
MQ_01200_FV1_G (MQ1024);189;167;94;92;60;57;64;77;149;316;469;578;606;617;757;750;737;736;663;572;399;349;236;179;
MQ_01121_FV1_G (MQ1025);12;13;12;8;8;9;20;13;56;164;86;158;82;96;115;80;79;109;112;55;47;25;22;23;
MQ_01121_FV3_L (MQ1026);1;1;0;0;0;0;0;0;0;1;0;2;2;2;2;2;2;1;1;2;1;0;1;0;
MQ_01121_FV3_G (MQ1027);27;64;7;8;1;0;2;8;13;40;20;112;111;90;73;81;82;61;65;74;36;17;20;11;
MQ_01121_FV1_R (MQ1028);2;2;2;1;1;1;3;2;8;22;12;22;11;13;16;11;11;15;15;8;7;4;3;3;
MQ_01200_FV1_L (MQ1029);;;;;;;;;;;;;;;;;;;;;;;;;
MQ_01070_FV2_L (MQ1030);;;;;;;;;;;;;;;;;;;;;;;;;
MQ_01121_FV2_G (MQ1031);8;6;4;4;1;1;1;3;3;9;15;16;9;8;8;6;8;10;10;7;5;5;5;3;
---Test (MQ1032);;;;;;;;;;;;;;;;;;;;;;;;;
