Name  /  Date: 2015_02_21;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03290_FV12_GR (MQ0);105;98;52;55;64;58;85;96;141;233;261;325;331;321;325;357;373;319;309;309;196;169;235;169;
MQ_03020_FV4_L (MQ1);37;17;16;19;9;32;29;42;85;136;139;179;201;212;201;190;171;186;163;150;76;54;45;52;
MQ_03290_FV3_GR (MQ10);96;85;53;44;38;47;52;78;84;137;175;188;233;243;213;213;208;205;206;223;145;116;153;104;
MQ_03020_FV2_L (MQ100);9;5;3;6;0;2;6;11;13;22;19;28;21;27;31;24;34;24;36;37;21;10;56;24;
Alle Motion Det Albersloherweg (MQ1000);7423;5930;3380;3472;3601;4415;6768;10531;17437;26095;33562;38110;41819;43128;41764;41089;41567;36278;34401;28860;19029;14361;14960;11169;
MQ_03181_FV3_R (MQ1001);0;0;0;0;0;0;0;0;1;1;2;2;2;2;2;2;2;2;2;1;1;0;1;0;
MQ_06170_FV4_L (MQ1002);1;1;0;0;0;0;1;6;3;5;8;9;9;10;5;5;6;12;7;10;4;1;2;2;
MQ_08050_FV3_L (MQ1003);5;3;0;2;2;7;8;20;70;108;175;177;191;161;164;170;149;162;122;66;39;6;0;1;
MQ_06161_FV3_L (MQ1004);36;23;8;5;12;24;26;57;99;165;179;201;196;204;288;184;160;188;188;136;88;48;56;54;
MQ_06170_FV6_L (MQ1005);6;5;1;0;3;2;3;9;16;22;34;35;32;32;35;26;28;28;37;29;14;10;10;10;
MQ_08110_FV1_LO (MQ1006);2;2;1;1;1;2;1;4;6;11;11;12;14;12;10;12;12;12;13;11;6;4;5;3;
MQ_08110_FV3_RO (MQ1007);2;1;0;0;0;1;2;7;15;26;29;31;32;22;21;17;18;17;15;12;11;6;3;2;
MQ_06160_FV2_R (MQ1009);29;29;24;13;16;46;28;52;98;138;188;191;199;196;161;169;160;160;171;141;96;69;64;56;
MQ_02020_FV4_L (MQ101);45;24;11;12;11;14;40;51;86;149;194;229;262;286;279;315;249;260;279;176;128;66;81;49;
MQ_03030_FV1_G (MQ1010);152;54;62;29;46;89;195;407;609;669;786;920;1108;1343;1144;1188;963;1014;1033;657;478;330;294;207;
LSA 3290 Schleifen (MQ1012);2063;1817;1172;1153;1133;1108;1254;1603;2685;3956;4867;5987;6381;6555;6404;6241;6303;5690;5615;5362;3987;3235;3940;2837;
LSA 8020 Schleifen (MQ1013);1907;1798;1316;1192;1228;1025;1144;1397;2139;3083;4019;4725;5348;5713;5669;5245;6005;4973;4859;5058;3340;2854;3731;2569;
LSA 8030 Schleifen (MQ1014);740;938;470;432;430;376;416;481;861;1255;1669;2041;2261;2336;2508;2244;2836;2241;2002;2509;1494;1302;2190;1281;
LSA 8031 Schleifen (MQ1015);591;594;518;483;497;426;547;583;754;984;1528;1688;1864;2072;2299;2149;2173;1877;1578;1800;881;790;1139;959;
LSA 8040 Schleifen (MQ1016);939;662;380;353;501;738;1204;1750;2976;4510;5978;6570;7068;7247;7387;6953;7228;6150;5532;4691;2727;1983;1997;1453;
LSA 8032 Schleifen (MQ1017);504;500;255;268;320;275;414;485;775;1123;1659;1915;2216;2394;2531;2304;2489;2106;1921;1855;1120;933;1245;889;
LSA 8041 Schleifen (MQ1018);344;256;141;155;191;216;335;520;833;1272;1661;1824;1941;1987;2072;1933;1959;1802;1686;1438;846;665;738;529;
LSA 8054 Schleifen (MQ1019);248;187;91;113;94;152;299;524;803;1144;1490;1693;1877;2013;1877;1869;1973;1619;1494;1189;767;541;508;411;
MQ_02020_FV3_L (MQ102);10;3;4;2;3;3;6;2;17;21;35;49;53;66;61;55;57;47;65;50;42;14;22;15;
LSA 8140 Schleifen (MQ1020);167;131;55;57;62;96;172;300;496;758;950;1074;1093;1200;1101;1117;1037;958;948;716;515;360;355;278;
MQ_01210_FV32_L (MQ1021);7;3;3;0;2;4;6;8;19;41;35;23;24;44;34;27;31;35;35;19;13;11;10;9;
MQ_01081_FV3_G (MQ1022);85;66;37;30;32;38;42;55;102;153;171;208;244;288;283;284;277;230;225;219;156;128;177;114;
MQ_03030_FV1_L (MQ1023);;;;;;;;;;;;;;;;;;;;;;;;;
MQ_01200_FV1_G (MQ1024);207;124;64;53;40;71;103;196;350;484;623;704;962;1113;1106;1170;1173;1068;972;674;505;356;435;342;
MQ_01121_FV1_G (MQ1025);15;11;6;15;23;32;64;102;137;213;270;266;264;289;242;224;180;141;143;82;72;39;33;33;
MQ_01121_FV3_L (MQ1026);0;0;0;0;0;0;0;1;1;2;2;3;4;6;5;5;5;4;5;3;2;1;2;1;
MQ_01121_FV3_G (MQ1027);14;5;3;2;4;4;11;32;57;78;100;136;216;277;250;251;242;220;247;140;76;54;82;56;
MQ_01121_FV1_R (MQ1028);2;2;1;2;3;4;9;14;19;29;37;36;36;39;33;31;24;19;20;11;10;5;5;5;
MQ_01200_FV1_L (MQ1029);;;;;;;;;;;;;;;;;;;;;;;;;
MQ_01070_FV2_L (MQ1030);;;;;;;;;;;;;;;;;;;;;;;;;
MQ_01121_FV2_G (MQ1031);13;7;2;1;1;2;4;4;7;16;15;9;16;12;19;12;13;13;12;9;8;5;15;13;
---Test (MQ1032);;;;;;;;;;;;;;;;;;;;;;;;;
MQ_09040_FV1_G (MQ1033);78;52;25;25;26;26;37;50;92;170;168;206;241;284;315;278;325;315;262;274;196;157;145;93;
