Name  /  Date: 2015_03_05;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03290_FV12_GR (MQ0);27;21;16;18;31;82;212;346;355;334;287;306;283;307;359;339;374;376;368;261;217;117;146;56;
MQ_03020_FV4_L (MQ1);9;8;7;11;9;55;147;364;315;223;184;187;213;231;242;246;309;332;248;188;107;52;55;28;
MQ_03290_FV3_GR (MQ10);37;29;23;17;18;58;156;226;232;192;177;202;212;216;194;229;232;228;244;188;136;118;120;71;
MQ_03020_FV2_L (MQ100);6;4;1;0;1;4;19;39;25;17;24;17;40;33;27;23;41;42;36;30;27;11;6;4;
Alle Motion Det Albersloherweg (MQ1000);2829;1780;1479;1330;3234;9143;29364;50800;48032;37625;35278;35602;38580;40171;42810;46542;52664;52379;43888;30509;19158;14428;12338;6150;
MQ_03181_FV3_R (MQ1001);0;0;0;0;0;0;1;2;2;1;2;2;2;2;2;2;3;2;2;1;1;1;1;0;
MQ_06170_FV4_L (MQ1002);0;0;0;0;0;2;2;7;5;10;10;16;14;10;10;11;14;14;16;17;3;2;7;0;
MQ_08050_FV3_L (MQ1003);2;2;3;1;4;16;45;54;76;87;107;113;111;97;96;124;106;136;95;67;34;6;2;2;
MQ_06161_FV3_L (MQ1004);4;3;4;3;9;36;167;289;302;255;204;172;169;215;216;220;209;266;238;171;100;62;71;18;
MQ_06170_FV6_L (MQ1005);1;2;1;1;3;5;26;72;55;36;33;26;34;25;32;40;52;48;42;31;18;12;13;6;
MQ_08110_FV1_LO (MQ1006);1;0;0;0;0;2;4;10;18;12;13;15;18;12;19;22;25;31;21;13;7;6;4;2;
MQ_08110_FV3_RO (MQ1007);0;0;0;0;1;4;6;32;26;25;26;28;23;19;23;23;31;39;25;14;8;6;2;1;
MQ_06160_FV2_R (MQ1009);8;7;8;11;15;63;115;279;266;225;208;188;177;162;185;236;244;256;194;131;75;46;61;23;
MQ_02020_FV4_L (MQ101);15;11;9;13;14;39;138;301;313;269;238;273;281;311;347;419;461;417;332;235;181;120;78;43;
MQ_03030_FV1_G (MQ1010);19;15;10;14;25;101;464;998;919;561;566;595;675;725;838;1012;1065;980;773;501;319;268;164;90;
LSA 3290 Schleifen (MQ1012);653;523;323;337;613;1241;3542;6079;6506;6038;5660;5882;5809;5957;6284;6435;6632;6474;6433;5327;3726;2780;2630;1603;
LSA 8020 Schleifen (MQ1013);556;439;321;272;560;1262;3517;5909;6018;5313;4903;4949;5147;5305;5594;5736;5741;5963;5521;4368;3018;2243;2437;1360;
LSA 8030 Schleifen (MQ1014);218;153;112;84;173;455;1367;2448;2557;2178;1860;1936;2065;2227;2337;2437;2683;2712;2469;1886;1305;918;1248;496;
LSA 8031 Schleifen (MQ1015);151;139;66;79;153;389;1246;2186;2405;2158;1858;1792;1942;1946;2019;2350;2392;2415;1932;1250;770;559;627;364;
LSA 8040 Schleifen (MQ1016);371;235;218;251;627;1971;5968;10299;9368;6807;6320;6396;7120;7464;7948;8551;9697;9546;7615;4860;2884;2049;1591;822;
LSA 8032 Schleifen (MQ1017);180;118;83;98;160;469;1450;2286;2454;2111;2139;2200;2231;2344;2424;2545;2830;2669;2321;1688;1109;854;883;504;
LSA 8041 Schleifen (MQ1018);112;81;53;50;163;417;1288;1762;1879;1680;1740;1763;1771;1810;1911;2059;2086;2021;1848;1407;906;602;563;323;
LSA 8054 Schleifen (MQ1019);101;73;55;54;141;404;1374;2589;2392;1686;1647;1565;1917;1916;1967;2159;2613;2595;2074;1324;830;714;482;251;
MQ_02020_FV3_L (MQ102);1;4;2;1;2;8;25;52;67;58;41;43;48;65;53;62;53;60;68;45;23;18;18;5;
LSA 8140 Schleifen (MQ1020);74;40;37;32;84;251;893;1410;1278;983;955;937;1000;1080;1129;1257;1455;1429;1213;818;536;409;317;139;
MQ_01210_FV32_L (MQ1021);0;1;1;2;7;16;133;165;218;66;37;46;45;51;39;60;53;48;50;48;29;13;9;6;
MQ_01081_FV3_G (MQ1022);55;27;24;21;20;66;147;328;313;252;228;244;316;282;280;332;377;368;356;277;188;155;141;91;
MQ_03030_FV1_L (MQ1023);0;0;1;0;1;1;7;12;24;29;12;19;18;15;11;10;23;14;18;7;10;9;5;2;
MQ_01200_FV1_G (MQ1024);63;42;17;25;40;136;513;952;857;651;726;822;1031;994;1254;1517;1622;1376;1093;770;499;489;343;189;
MQ_01121_FV1_G (MQ1025);8;6;0;3;8;25;71;166;240;212;201;165;171;171;175;174;204;205;145;145;40;32;14;11;
MQ_01121_FV3_L (MQ1026);0;0;0;0;0;0;0;1;1;1;2;3;3;3;3;3;4;4;4;3;2;2;1;0;
MQ_01121_FV3_G (MQ1027);5;1;1;3;2;4;19;50;51;59;98;125;157;132;169;164;178;189;187;142;70;108;53;14;
MQ_01121_FV1_R (MQ1028);1;1;0;0;1;4;10;23;33;29;27;23;23;23;24;24;28;28;20;20;5;4;2;2;
MQ_01200_FV1_L (MQ1029);;;;;;;;;;;;;;;;;;;;;;;;;
MQ_01070_FV2_L (MQ1030);;;;;;;;;;;;;;;;;;;;;;;;;
MQ_01121_FV2_G (MQ1031);6;3;2;2;5;2;1;21;23;30;15;11;11;12;17;5;14;22;21;21;7;10;6;4;
---Test (MQ1032);;;;;;;;;;;;;;;;;;;;;;;;;
MQ_09040_FV1_G (MQ1033);35;20;6;7;11;36;115;225;202;179;193;222;262;258;243;268;329;379;323;244;212;149;139;79;
MQ_09040_FV3_G (MQ1034);15;10;3;10;12;62;179;311;365;336;323;347;234;287;299;339;308;317;297;255;167;131;97;46;
MQ_09050_FV1_G (MQ1035);35;12;12;16;14;74;243;408;352;304;325;416;515;476;452;502;563;566;522;429;341;251;211;109;
MQ_09050_FV3_G (MQ1036);20;7;8;18;26;85;353;546;585;480;427;391;314;368;436;456;445;462;435;388;233;148;117;52;
MQ_09060_FV11_G (MQ1037);31;11;10;15;15;77;259;403;343;273;308;401;497;471;444;491;535;539;508;408;309;234;197;98;
MQ_09060_FV11L (MQ1038);2;1;2;3;2;12;18;82;57;39;51;43;50;42;43;44;72;71;62;48;32;27;19;8;
MQ_09060_FV2_L (MQ1039);3;3;2;0;4;16;81;137;147;116;121;127;169;189;201;223;248;202;177;113;94;61;34;19;
MQ_03023_FV1_G (MQ104);12;15;6;8;16;73;287;680;615;401;366;395;471;470;573;681;751;650;500;350;208;201;105;54;
MQ_09060_FV2_R (MQ1040);1;1;0;0;1;3;17;28;30;24;25;26;35;39;41;46;51;41;36;23;19;13;7;4;
MQ_09060_FV3_G (MQ1041);15;9;10;22;29;97;360;523;577;465;421;382;305;345;413;344;434;458;400;369;217;135;117;53;
