Name  /  Date: 2015_10_12;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03290_FV12_GR (MQ0);33;32;15;13;17;98;241;332;357;350;360;348;307;372;349;362;357;397;371;283;238;129;177;86;
MQ_03020_FV4_L (MQ1);18;8;2;12;10;41;119;283;262;215;190;191;195;193;204;245;273;257;234;113;81;72;33;20;
MQ_03290_FV3_GR (MQ10);55;30;17;15;18;79;154;240;217;226;208;245;230;232;233;233;239;242;227;207;161;104;113;52;
MQ_03020_FV2_L (MQ100);1;2;1;0;0;3;17;26;24;23;16;21;34;21;32;34;37;39;28;25;18;7;6;2;
MQ_03181_FV3_R (MQ1001);0;0;0;0;0;0;0;1;1;1;2;2;2;2;2;2;2;2;2;1;1;1;0;0;
MQ_06170_FV4_L (MQ1002);0;0;1;1;0;2;;9;4;8;9;;11;9;16;20;10;11;40;9;3;1;6;2;
MQ_08050_FV3_L (MQ1003);3;4;1;4;7;28;46;41;62;100;141;116;128;133;135;139;122;133;97;68;23;7;6;2;
MQ_06161_FV3_L (MQ1004);15;9;2;2;7;48;147;273;299;193;192;188;155;152;191;202;226;245;203;152;82;50;31;20;
MQ_06170_FV6_L (MQ1005);3;2;1;1;2;6;32;52;42;38;38;;29;32;28;46;45;51;64;28;16;8;7;5;
MQ_08110_FV1_LO (MQ1006);1;1;0;0;0;1;2;10;12;12;11;14;14;16;17;21;22;26;16;12;7;2;4;1;
MQ_08110_FV3_RO (MQ1007);0;0;0;1;0;2;6;8;17;24;20;28;29;16;21;29;30;35;20;14;8;3;2;2;
LSA 29120 Schleifen (MQ1008);58;55;36;44;104;323;725;1150;1154;1146;982;1133;1114;1115;1190;1349;1649;1556;1157;815;477;345;268;159;
MQ_06160_FV2_R (MQ1009);11;6;14;9;14;60;128;206;199;197;174;157;189;169;196;196;208;222;194;142;81;53;47;28;
MQ_02020_FV4_L (MQ101);19;11;3;9;6;37;137;265;252;240;237;235;282;288;297;326;422;415;323;230;144;121;69;37;
MQ_03030_FV1_G (MQ1010);19;12;11;9;26;111;370;753;682;507;456;555;586;613;700;845;956;791;581;423;266;217;115;65;
LSA 3290 Schleifen (MQ1012);650;492;270;205;380;1496;3473;5678;5728;5894;5880;6310;6039;6387;6331;6384;6619;6742;6407;5240;3669;2401;2639;1323;
LSA 8020 Schleifen (MQ1013);553;415;250;212;423;1349;3654;5805;5424;5742;5565;5686;5625;5678;5897;5985;6336;6280;5766;4488;3454;2182;2654;1373;
LSA 8030 Schleifen (MQ1014);216;263;91;69;155;494;1392;2299;2207;2215;2250;2217;2237;2312;2422;2680;2877;2940;2608;2007;1482;897;1296;633;
LSA 8031 Schleifen (MQ1015);122;93;64;57;100;401;1292;2106;1944;2208;1999;2013;1905;2051;2086;2422;2479;2346;1910;1258;889;585;668;584;
LSA 8040 Schleifen (MQ1016);350;309;224;241;512;2058;5544;9207;7856;6774;6781;7061;6937;7036;7462;8481;9596;9540;6904;4408;2648;1642;1423;807;
LSA 8032 Schleifen (MQ1017);163;140;86;75;150;560;1592;2498;2349;2263;2357;2331;2395;2444;2539;2663;2836;2788;2189;1584;1135;691;754;416;
LSA 8041 Schleifen (MQ1018);111;109;60;58;141;412;1051;1353;1401;1485;1633;1603;1615;1641;1717;1834;1879;1877;1652;1207;779;481;454;272;
MQ_02020_FV3_L (MQ102);1;1;0;2;1;7;27;46;51;34;56;63;59;52;53;53;54;69;73;32;26;13;12;9;
LSA 8140 Schleifen (MQ1020);;;;;;;;;;;;;;;;;;;;;;296;258;137;
MQ_01210_FV32_L (MQ1021);3;3;0;0;3;14;100;156;143;53;28;62;45;46;42;46;52;47;46;48;15;16;8;7;
MQ_03030_FV1_L (MQ1023);0;0;0;0;0;4;8;11;13;21;11;15;34;36;19;18;11;13;22;16;9;5;5;1;
MQ_01200_FV1_G (MQ1024);58;31;24;18;34;149;431;674;647;665;698;804;863;949;1010;1402;1643;1378;1051;713;470;381;275;130;
MQ_01121_FV1_G (MQ1025);9;4;0;4;3;17;84;166;177;189;201;209;195;172;183;160;165;140;129;86;34;26;20;9;
MQ_01121_FV3_L (MQ1026);0;0;0;0;0;0;1;1;1;2;2;2;3;3;4;3;4;4;3;3;1;1;1;0;
MQ_01121_FV3_G (MQ1027);5;2;1;0;0;5;21;38;59;70;108;97;129;142;190;160;198;197;159;123;68;46;24;12;
MQ_01121_FV1_R (MQ1028);1;1;0;1;0;2;11;23;24;26;27;29;27;23;25;22;22;19;17;12;5;4;3;1;
MQ_01200_FV1_L (MQ1029);;;;;;;;;;;;;;23;38;56;66;51;25;35;23;6;0;0;
MQ_01070_FV2_L (MQ1030);;;;;;;;;;;;;;;;;;;;;;;;;
MQ_01121_FV2_G (MQ1031);2;1;0;2;3;2;1;10;14;15;6;8;13;12;8;15;9;9;26;13;6;10;6;2;
---Test (MQ1032);18;9;3;6;14;63;186;345;287;293;257;308;306;295;251;303;352;288;236;180;90;87;72;36;
MQ_09040_FV1_G (MQ1033);30;12;10;5;8;33;80;152;194;140;168;235;203;231;244;305;349;367;280;220;183;106;102;43;
MQ_09040_FV3_G (MQ1034);24;8;5;6;15;64;159;263;301;306;318;288;253;241;274;265;297;314;236;206;137;76;68;18;
MQ_09050_FV1_G (MQ1035);25;14;10;6;25;88;206;356;328;323;356;399;400;436;423;541;622;598;525;405;298;172;152;67;
