Name  /  Date: 2015_01_28;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03290_FV12_GR (MQ0);25;23;4;7;16;78;216;344;337;318;321;343;277;284;324;339;324;392;335;289;189;108;242;65;
MQ_03020_FV4_L (MQ1);13;5;11;1;11;53;153;371;357;213;181;219;197;193;253;289;351;334;287;212;124;77;59;28;
MQ_03290_FV3_GR (MQ10);30;18;16;6;13;51;132;218;219;199;194;187;199;224;236;241;238;232;207;196;153;99;91;57;
MQ_03020_FV2_L (MQ100);3;3;1;0;0;2;18;50;33;26;32;35;36;31;23;39;41;42;47;34;24;6;15;5;
MQ_03181_FV3_R (MQ1001);0;0;0;0;0;0;1;2;2;1;1;2;2;2;2;3;3;2;2;1;1;1;1;0;
MQ_06170_FV4_L (MQ1002);1;0;0;0;0;0;3;6;6;8;7;6;11;10;8;10;9;11;6;5;4;6;0;7;
MQ_08050_FV3_L (MQ1003);1;4;1;1;11;21;44;37;71;93;88;132;129;108;102;101;105;89;85;43;26;11;2;2;
MQ_06161_FV3_L (MQ1004);7;6;2;5;11;38;148;247;291;221;187;177;185;171;186;200;236;273;225;146;91;68;36;22;
MQ_06170_FV6_L (MQ1005);0;0;0;1;2;4;28;67;48;28;31;25;26;28;31;44;61;43;34;26;15;6;11;4;
MQ_08110_FV1_LO (MQ1006);1;1;0;0;1;1;4;10;14;14;13;19;19;16;18;22;24;28;17;14;7;5;4;2;
MQ_08110_FV3_RO (MQ1007);0;0;0;0;0;1;7;19;20;23;23;29;16;20;21;32;25;27;18;13;10;4;2;1;
MQ_06160_FV2_R (MQ1009);9;7;6;8;14;68;133;267;281;219;180;190;208;162;184;190;228;232;183;154;76;58;36;20;
MQ_02020_FV4_L (MQ101);16;5;7;4;6;46;120;279;335;260;263;249;260;306;346;384;498;442;336;266;188;109;73;36;
MQ_03030_FV1_G (MQ1010);35;10;15;14;23;108;437;905;851;588;537;589;689;759;762;972;1056;904;738;464;330;242;212;81;
