Name  /  Date: 2015_01_22;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03290_FV12_GR (MQ0);26;25;19;13;29;75;205;340;329;341;285;295;254;314;312;339;348;355;350;278;160;139;176;200;
MQ_03020_FV4_L (MQ1);11;14;8;13;12;34;152;379;377;214;199;194;237;247;224;271;329;339;248;189;130;72;41;36;
MQ_03290_FV3_GR (MQ10);16;28;11;16;21;52;130;231;220;177;168;179;196;215;210;242;243;239;236;233;137;122;99;49;
MQ_03020_FV2_L (MQ100);3;2;2;2;1;6;11;40;32;19;32;35;30;30;39;44;60;42;40;22;17;14;14;5;
Alle Motion Det Albersloherweg (MQ1000);2804;1999;1241;1404;3215;9481;28781;52003;47049;36725;34160;36432;37434;41358;41035;47737;54774;53433;45372;32640;19202;15180;13959;11108;
MQ_03181_FV3_R (MQ1001);0;0;0;0;0;0;1;2;2;1;1;2;2;2;2;3;3;2;2;1;1;1;0;0;
MQ_06170_FV4_L (MQ1002);0;0;0;0;0;0;2;10;7;9;7;17;8;6;7;11;11;5;13;6;5;5;2;0;
MQ_08050_FV3_L (MQ1003);3;6;2;1;9;26;45;40;68;72;124;119;114;124;69;91;97;123;88;42;26;10;2;1;
MQ_06161_FV3_L (MQ1004);9;4;2;4;10;36;155;253;286;237;185;192;175;167;217;217;202;238;226;156;87;66;44;31;
MQ_06170_FV6_L (MQ1005);1;2;2;0;2;5;28;67;58;34;34;26;31;20;36;47;46;52;41;30;19;12;12;4;
MQ_08110_FV1_LO (MQ1006);1;1;0;0;0;1;4;9;15;15;15;16;15;16;15;22;24;29;21;12;6;5;3;2;
MQ_08110_FV3_RO (MQ1007);1;0;0;1;0;3;7;22;24;27;24;28;27;19;22;26;30;34;23;11;10;4;2;2;
MQ_06160_FV2_R (MQ1009);16;13;10;11;13;58;144;254;269;197;142;160;166;154;197;193;228;248;206;154;72;51;36;22;
MQ_02020_FV4_L (MQ101);13;10;11;11;14;49;133;306;321;253;270;254;326;305;343;417;462;434;377;264;149;127;63;36;
MQ_03030_FV1_G (MQ1010);39;14;10;11;25;109;472;921;927;537;532;588;668;698;764;917;1042;884;738;488;292;231;171;72;
Alle Motion Det Weselerstr. (MQ1011);12789;11013;9985;9618;9612;9612;9612;9612;9612;9612;9612;9612;9612;9612;9612;9612;9612;9612;9612;64762;40780;32897;28148;20821;
LSA 3290 Schleifen (MQ1012);634;550;383;387;596;1230;3389;6231;6335;5703;5352;5655;5371;5759;6110;6465;6589;6683;6321;5591;3490;2916;2804;2339;
LSA 8020 Schleifen (MQ1013);523;555;372;327;616;1187;3418;6119;6080;5071;4610;4619;4771;5314;5428;5906;6381;6536;6102;5129;2995;2382;2697;2405;
LSA 8030 Schleifen (MQ1014);186;202;114;94;192;438;1336;2499;2494;1980;1748;1884;1854;2191;2211;2533;2803;3124;2982;2272;1273;1023;1555;1580;
LSA 8031 Schleifen (MQ1015);145;147;89;78;173;389;1287;2261;2358;1979;1761;1727;1775;1995;2089;2519;2518;2482;2645;1937;846;657;1330;1495;
LSA 8040 Schleifen (MQ1016);373;287;215;212;681;1902;5933;9974;9042;6769;6065;6146;6365;6897;7042;7957;9302;8844;7342;4923;2781;2115;1845;1828;
LSA 8032 Schleifen (MQ1017);166;156;64;63;168;466;1383;2429;2436;2088;1944;2059;2063;2291;2316;2638;2818;2743;2543;1854;1144;859;1285;1403;
LSA 8041 Schleifen (MQ1018);102;99;64;50;175;409;1329;2223;2230;1947;1870;1994;2011;2160;2188;2442;2426;2362;2191;1557;837;597;785;805;
LSA 8054 Schleifen (MQ1019);107;72;37;51;112;422;1364;2592;2345;1624;1603;1666;1795;1920;1841;2144;2707;2614;2036;1397;823;701;499;336;
MQ_02020_FV3_L (MQ102);4;3;0;1;0;5;29;58;59;44;37;44;48;48;53;71;47;42;52;37;15;17;20;7;
LSA 8140 Schleifen (MQ1020);75;37;24;32;73;275;855;1398;1149;986;909;964;991;1119;1091;1245;1492;1465;1205;862;527;429;338;250;
MQ_01210_FV32_L (MQ1021);3;1;1;1;3;18;141;174;239;63;33;42;47;45;44;58;45;57;64;33;24;17;14;4;
MQ_01081_FV3_G (MQ1022);48;31;22;22;13;61;146;321;361;258;255;266;319;317;293;356;381;378;363;271;191;152;148;99;
MQ_03030_FV1_L (MQ1023);3;0;2;1;0;2;11;10;55;20;14;12;29;14;18;12;18;20;13;9;6;2;5;2;
MQ_01200_FV1_G (MQ1024);68;40;40;24;38;132;508;996;834;643;660;912;992;1075;1153;1482;1650;1402;1145;772;501;435;340;172;
MQ_01121_FV1_G (MQ1025);13;4;4;6;4;16;86;159;242;223;203;182;151;174;179;195;191;192;159;119;51;29;23;8;
MQ_01121_FV3_L (MQ1026);0;0;0;0;0;0;1;1;1;1;2;3;3;3;3;3;4;4;4;3;2;2;1;0;
MQ_01121_FV3_G (MQ1027);5;3;0;1;3;2;22;56;53;67;94;141;154;152;148;141;179;193;182;133;75;83;34;18;
MQ_01121_FV1_R (MQ1028);2;1;1;1;1;2;12;22;33;30;28;25;20;24;24;27;26;26;22;16;7;4;3;1;
MQ_01200_FV1_L (MQ1029);;;;;;;;;;;;;;;;;;;;;;;;;
MQ_01070_FV2_L (MQ1030);;;;;;;;;;;;;;;;;;;;;;;;;
MQ_01121_FV2_G (MQ1031);2;2;3;3;1;5;3;10;23;23;25;22;14;20;17;17;24;10;21;9;11;9;10;10;
---Test (MQ1032);;;;;;;;;;;;;;;;;;;;;;;;;
MQ_09040_FV1_G (MQ1033);39;12;12;5;16;33;92;231;230;183;167;201;231;242;260;294;354;347;391;278;176;136;119;68;
MQ_09040_FV3_G (MQ1034);17;16;6;6;11;67;171;340;376;342;294;296;267;277;337;318;340;349;312;233;166;99;74;53;
MQ_09050_FV1_G (MQ1035);42;18;13;9;24;59;259;402;366;298;329;398;444;457;459;509;553;546;548;457;264;246;192;115;
MQ_09050_FV3_G (MQ1036);27;17;15;10;15;105;346;567;596;482;401;399;300;370;431;434;454;484;398;346;198;108;130;60;
MQ_09060_FV11_G (MQ1037);36;19;12;7;21;61;274;397;360;269;307;394;425;452;446;482;520;530;533;421;233;233;186;115;
MQ_09060_FV11L (MQ1038);8;4;3;5;6;8;18;66;81;65;43;37;39;42;56;51;63;75;46;32;29;23;26;6;
MQ_09060_FV2_L (MQ1039);4;7;1;1;5;23;58;156;155;109;123;134;198;201;207;232;281;189;167;124;46;31;8;1;
MQ_03023_FV1_G (MQ104);21;11;5;8;19;64;293;683;606;374;368;430;479;492;573;675;805;674;556;346;194;169;118;42;
MQ_09060_FV2_R (MQ1040);1;2;0;0;1;5;12;32;32;22;25;27;40;41;42;47;57;39;34;25;9;6;2;0;
MQ_09060_FV3_G (MQ1041);26;17;18;13;30;118;355;556;564;454;378;390;281;343;393;419;447;483;396;330;169;112;107;61;
MQ_09060_FV3_R (MQ1042);5;2;5;1;12;66;246;383;313;194;145;132;132;148;171;160;189;233;184;134;81;44;31;20;
MQ_03250_FV1_R (MQ1043);5;1;1;1;1;3;14;32;30;23;16;27;31;29;33;35;40;42;48;36;18;16;13;8;
MQ_03250_FV1_G (MQ1044);26;7;6;4;8;20;81;181;168;128;92;153;176;166;187;199;229;241;273;202;102;93;71;43;
MQ_03250_FV1_L (MQ1045);7;7;2;1;5;12;25;51;59;60;63;55;76;54;76;73;92;80;84;56;51;28;30;20;
MQ_03250_FV2_R (MQ1046);4;2;3;3;5;16;41;68;75;63;53;60;62;62;67;71;79;77;76;51;34;24;19;10;
MQ_03250_FV2_G (MQ1047);30;17;18;22;37;117;299;498;548;459;393;437;458;456;488;521;579;568;558;376;251;177;136;71;
MQ_03250_FV2_L (MQ1048);15;5;3;4;9;32;127;142;127;125;144;167;174;190;174;190;217;209;176;146;97;72;63;44;
MQ_03250_FV3_R (MQ1049);4;4;3;2;4;25;72;102;99;96;78;79;62;71;84;83;86;86;75;54;38;23;23;13;
MQ_03250_FV3_G (MQ105);12;11;8;7;11;74;215;306;297;289;235;238;186;213;251;248;257;258;224;162;115;68;70;39;
MQ_03250_FV3_L (MQ1050);7;4;6;6;4;18;51;144;169;122;93;101;69;88;111;103;92;131;100;110;60;24;42;15;
MQ_03250_FV4_R (MQ1051);8;7;3;4;5;18;48;100;99;91;86;88;93;102;112;113;113;115;113;93;61;63;46;51;
MQ_03250_FV4_G (MQ1052);30;26;14;14;22;73;194;400;397;366;342;354;373;410;447;451;452;458;454;371;246;253;182;204;
MQ_03250_FV4_L (MQ1053);6;1;2;3;2;10;14;28;49;41;38;35;43;35;51;49;52;52;57;42;24;18;13;8;
MQ_03030_FV1_R (MQ1054);0;0;1;0;0;5;15;51;56;54;32;46;53;46;60;75;73;65;54;37;27;12;12;3;
MQ_03030_FV2_G (MQ1055);0;0;0;0;0;0;0;1;2;2;1;1;1;1;1;2;1;4;1;1;1;1;1;0;
MQ_03030_FV2_L (MQ1056);2;2;1;1;0;1;3;7;28;21;14;11;15;14;17;19;15;55;18;10;7;9;8;3;
MQ_03030_FV2_R (MQ1057);1;1;0;1;0;1;2;5;19;14;10;8;10;10;12;13;11;38;12;7;5;6;5;2;
MQ_03030_FV3_G (MQ1058);24;15;15;15;35;100;393;832;858;617;527;513;612;610;602;677;789;748;561;429;291;171;121;67;
MQ_03030_FV3_L (MQ1059);4;1;2;0;3;6;29;113;82;76;49;72;69;62;51;80;99;89;111;66;55;19;21;10;
MQ_03080_FV4_R (MQ106);4;0;1;0;1;3;46;153;147;69;51;49;49;46;60;60;73;94;56;45;27;17;13;5;
MQ_03030_FV3_R (MQ1060);0;0;0;0;0;1;5;11;12;9;7;7;8;8;8;9;11;10;8;6;4;3;2;1;
MQ_03030_FV4_G (MQ1061);1;0;0;0;1;3;7;16;14;10;8;6;9;9;11;11;13;15;13;12;8;5;4;2;
MQ_03030_FV4_L (MQ1062);4;2;2;0;4;17;46;106;97;66;56;38;63;60;75;73;84;101;85;80;53;34;28;11;
MQ_03030_FV4_R (MQ1063);4;2;2;0;4;17;46;106;97;66;56;38;63;60;75;73;84;101;85;80;53;34;28;11;
MQ_03120_FV1_G (MQ107);62;41;24;36;69;182;568;1019;985;875;839;855;953;1029;1021;1244;1207;1125;995;714;495;394;309;181;
MQ_03020_FV2_R (MQ108);7;3;1;2;3;4;25;86;74;63;34;74;65;74;55;67;91;82;82;56;51;20;18;6;
MQ_03120_FV1_R (MQ109);1;1;0;1;1;2;6;10;10;8;8;9;10;10;11;13;12;12;11;8;6;5;4;3;
MQ_08050_FV2_L (MQ11);21;19;15;10;33;78;168;296;315;372;388;438;493;519;514;564;640;618;441;257;176;88;44;33;
MQ_03120_FV2_L (MQ110);1;4;2;0;1;65;7;21;30;46;25;42;33;34;48;54;38;25;20;17;7;13;8;2;
MQ_03120_FV2_R (MQ111);1;4;2;2;0;48;7;24;17;20;17;29;20;21;35;44;57;26;17;8;9;9;0;4;
MQ_06160_FV3_L (MQ112);0;1;0;0;3;2;26;53;70;53;52;59;66;61;60;78;81;78;94;47;30;27;13;6;
MQ_03120_FV3_G (MQ113);61;37;23;24;55;187;817;1383;1327;967;843;807;889;902;972;1046;1207;1110;1028;788;542;330;288;152;
MQ_03020_FV2_G (MQ114);10;5;7;6;6;15;39;122;122;102;69;116;97;120;121;133;175;165;169;104;85;49;45;16;
MQ_03120_FV3_L (MQ115);4;2;1;0;0;24;69;113;80;59;39;53;64;45;58;69;67;41;35;33;30;16;6;11;
MQ_03140_FV1_G (MQ116);53;27;21;25;42;148;691;1178;1198;843;736;719;852;821;924;1010;1140;1017;947;736;485;303;286;132;
MQ_03140_FV1_L (MQ117);0;2;0;0;3;0;3;30;40;27;28;17;26;26;36;32;38;45;51;29;20;5;7;5;
