Name  /  Date: 2015_07_03;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03290_FV12_GR (MQ0);97;65;25;26;24;102;264;380;342;344;361;342;345;367;373;352;362;360;259;305;249;222;206;213;
MQ_03020_FV4_L (MQ1);17;8;11;5;14;51;146;261;286;230;213;240;231;255;217;232;211;192;211;138;89;76;46;30;
MQ_03290_FV3_GR (MQ10);72;48;31;24;25;66;122;218;221;217;185;207;253;245;241;238;219;214;185;202;187;158;167;142;
MQ_03020_FV2_L (MQ100);3;1;2;2;1;3;13;19;36;32;24;19;29;25;32;22;28;32;20;26;18;10;24;17;
Alle Motion Det Albersloherweg (MQ1000);5606;3219;1783;1915;3321;11003;27082;43609;41048;36766;37481;39313;42271;46909;45037;43656;41822;37258;34716;29698;23417;17413;15432;12895;
MQ_03181_FV3_R (MQ1001);0;0;0;0;0;0;1;2;2;1;2;2;2;2;2;2;2;2;2;1;1;1;0;0;
MQ_06170_FV4_L (MQ1002);1;0;0;0;0;2;2;2;12;17;8;10;10;6;8;11;25;19;12;23;13;12;10;2;
MQ_08050_FV3_L (MQ1003);4;3;2;1;12;31;37;43;97;139;154;143;160;112;131;138;131;108;129;87;60;9;4;6;
MQ_06161_FV3_L (MQ1004);17;13;5;6;10;16;82;150;132;86;100;88;102;88;132;94;92;100;82;86;36;40;26;18;
MQ_06170_FV6_L (MQ1005);6;0;1;0;2;5;20;45;46;38;33;34;32;37;39;42;35;32;35;30;24;13;8;6;
MQ_08110_FV1_LO (MQ1006);1;1;1;0;0;1;3;8;11;14;16;17;18;17;20;19;16;17;14;9;8;5;3;4;
MQ_08110_FV3_RO (MQ1007);1;0;0;1;1;2;7;18;22;28;35;29;23;20;26;23;23;23;20;14;13;8;4;2;
MQ_06160_FV2_R (MQ1009);20;13;7;11;21;62;123;194;216;200;193;207;203;199;178;180;158;175;181;146;122;92;74;64;
MQ_02020_FV4_L (MQ101);16;18;11;6;18;43;136;246;258;212;308;279;362;425;353;357;275;259;242;172;143;144;70;74;
MQ_03030_FV1_G (MQ1010);44;13;8;14;28;117;372;617;685;533;572;605;705;736;771;744;613;528;465;369;280;242;161;106;
LSA 3290 Schleifen (MQ1012);1556;863;481;456;472;1407;3741;5787;5883;5857;6346;6278;6473;6577;6380;6240;5981;6000;5288;5488;4713;4077;3748;3211;
LSA 8020 Schleifen (MQ1013);1479;945;523;457;533;1539;3979;5818;5723;5375;5588;5699;5900;6319;6160;5784;5591;5298;5208;5014;4422;4083;3732;3560;
LSA 8030 Schleifen (MQ1014);601;377;194;148;180;584;1551;2312;2384;2249;2252;2416;2548;2766;2584;2519;2485;2354;2146;2513;2301;1872;1695;1521;
LSA 8031 Schleifen (MQ1015);808;416;472;480;419;559;1418;2241;2200;2090;2037;2113;2379;2368;2028;2020;1928;1848;1733;1800;1637;1381;1561;1465;
LSA 8040 Schleifen (MQ1016);746;409;266;294;618;2270;5658;8896;8040;6646;6541;7125;7552;8828;8301;7851;7505;6372;5852;4685;3430;2468;2013;1745;
LSA 8032 Schleifen (MQ1017);420;244;135;95;184;661;1665;2496;2431;2230;2345;2520;2838;2985;2609;2593;2354;2253;1938;1873;1583;1250;1214;1055;
LSA 8041 Schleifen (MQ1018);280;153;80;69;133;453;1086;1413;1469;1490;1596;1696;1797;1890;1814;1730;1703;1586;1417;1304;995;789;751;634;
LSA 8054 Schleifen (MQ1019);205;127;56;59;152;528;1431;2508;2296;1918;1912;2186;2373;2604;2353;2324;2121;1816;1670;1361;1030;649;681;499;
MQ_02020_FV3_L (MQ102);4;1;0;1;2;5;22;47;50;42;51;53;55;53;37;66;51;46;48;33;21;14;17;6;
LSA 8140 Schleifen (MQ1020);126;64;32;46;91;319;739;1137;1058;963;1001;964;1070;1178;1179;1160;1147;995;896;762;584;410;378;295;
MQ_01210_FV32_L (MQ1021);7;4;0;1;7;23;85;154;104;56;32;37;57;48;56;62;53;48;36;58;20;25;12;12;
MQ_01081_FV3_G (MQ1022);65;32;23;11;19;66;129;202;255;256;282;295;287;272;296;272;256;265;274;223;200;151;124;112;
MQ_03030_FV1_L (MQ1023);1;1;0;0;1;3;13;11;21;12;17;10;22;15;11;13;7;12;20;13;10;9;2;3;
MQ_01200_FV1_G (MQ1024);114;57;49;42;45;147;301;553;645;620;754;953;1015;1263;1187;1148;943;795;785;614;371;385;370;327;
