Name  /  Date: 2016_05_19;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03250_FV2_G (MQ1047);35;19;13;18;26;87;250;397;460;396;424;397;396;404;374;
MQ_03250_FV2_L (MQ1048);18;8;3;6;10;51;129;187;187;153;158;156;202;191;215;
MQ_03250_FV3_R (MQ1049);4;3;1;2;7;21;79;100;101;92;87;78;70;85;78;
MQ_03250_FV3_G (MQ105);11;9;4;6;20;64;237;300;302;276;262;233;210;255;234;
MQ_03250_FV3_L (MQ1050);9;5;3;6;1;18;55;98;129;92;71;70;83;86;110;
MQ_03250_FV4_R (MQ1051);11;5;3;3;4;14;41;88;76;74;75;94;83;93;97;
MQ_03250_FV4_G (MQ1052);45;19;10;14;16;55;166;353;304;294;298;375;332;373;386;
MQ_03250_FV4_L (MQ1053);1;5;3;2;0;0;4;18;19;19;24;19;25;30;21;
MQ_03030_FV1_R (MQ1054);2;0;0;3;1;3;11;55;63;46;51;46;62;62;80;
MQ_03030_FV2_G (MQ1055);0;0;0;0;0;0;0;1;2;2;2;1;1;3;3;
MQ_03030_FV2_L (MQ1056);2;3;1;2;1;2;4;16;31;20;19;14;18;45;38;
MQ_03030_FV2_R (MQ1057);2;2;1;2;0;1;3;11;21;14;13;10;12;31;26;
MQ_03030_FV3_G (MQ1058);35;25;16;7;36;110;406;760;844;654;530;485;529;574;579;
MQ_03030_FV3_L (MQ1059);6;1;0;1;3;7;29;110;90;73;62;73;65;59;59;
MQ_03080_FV4_R (MQ106);2;1;0;0;1;5;50;170;141;63;51;35;63;45;56;
MQ_03030_FV3_R (MQ1060);1;0;0;0;1;1;5;10;12;9;7;7;8;8;8;
MQ_03030_FV4_G (MQ1061);1;0;0;0;0;2;6;15;17;8;8;11;8;9;10;
MQ_03030_FV4_L (MQ1062);3;0;0;0;2;11;41;98;113;55;54;76;54;61;69;
MQ_03030_FV4_R (MQ1063);3;0;0;0;2;11;41;98;113;55;54;76;54;61;69;
MQ_03120_FV1_G (MQ107);80;38;25;44;76;233;610;1125;1149;948;886;954;1007;1116;1133;
MQ_03020_FV2_R (MQ108);;
MQ_03120_FV1_R (MQ109);1;1;0;1;1;3;6;11;11;10;9;10;11;11;12;
MQ_08050_FV2_L (MQ11);35;20;25;17;27;76;175;205;308;338;396;440;482;492;534;
MQ_03120_FV2_L (MQ110);0;0;0;4;3;3;17;42;44;27;36;34;43;43;77;
MQ_03120_FV2_R (MQ111);3;0;3;3;1;1;6;36;35;10;27;29;25;33;32;
MQ_06160_FV3_L (MQ112);1;1;0;0;1;8;23;69;66;46;73;64;64;41;53;
MQ_03120_FV3_G (MQ113);65;23;19;26;37;209;785;1389;1182;946;820;787;869;898;1003;
MQ_03020_FV2_G (MQ114);;
MQ_03120_FV3_L (MQ115);1;2;1;4;2;15;62;99;70;51;52;48;61;51;57;
MQ_03140_FV1_G (MQ116);53;17;12;18;29;170;685;1227;1098;828;773;720;818;838;927;
MQ_03140_FV1_L (MQ117);5;0;0;0;2;0;11;31;36;33;33;25;30;45;26;
MQ_03140_FV1_R (MQ118);1;1;0;0;1;4;15;29;26;18;19;17;18;19;20;
MQ_03140_FV2_G (MQ119);0;0;0;0;0;0;1;1;1;1;1;1;1;2;1;
MQ_03290_FV3_G (MQ12);45;35;27;21;27;62;150;212;202;197;167;208;195;221;206;
MQ_03140_FV2_L (MQ120);1;0;0;0;1;2;10;26;23;14;17;16;18;30;22;
MQ_08040_FV1_L (MQ121);12;10;7;2;8;10;18;28;51;57;66;72;69;66;80;
MQ_03140_FV2_R (MQ122);1;0;0;0;1;3;16;41;36;23;26;26;29;47;34;
MQ_08040_FV1_G (MQ123);57;31;32;23;45;101;248;396;404;410;450;504;506;504;473;
MQ_03140_FV3_G (MQ124);71;36;19;34;60;227;593;1102;1112;927;857;939;932;1068;1095;
MQ_03140_FV3_L (MQ125);0;3;0;0;0;1;5;14;17;10;19;21;24;23;22;
MQ_03140_FV3_R (MQ126);2;1;1;1;2;6;12;18;19;16;15;16;17;19;19;
MQ_08040_FV1_R (MQ127);22;17;7;8;15;15;35;75;115;117;144;164;164;182;157;
MQ_08040_FV2_R (MQ128);3;2;0;2;4;20;93;66;88;77;58;74;56;56;70;
MQ_08040_FV2_L (MQ129);8;7;5;8;23;92;163;260;221;164;145;193;181;192;196;
MQ_08050_FV3_G (MQ13);66;26;21;23;89;243;838;1417;1160;908;734;675;725;746;739;
MQ_03140_FV4_G (MQ130);5;0;0;0;0;6;19;59;39;20;18;22;25;34;23;
MQ_03140_FV4_L (MQ131);1;3;1;2;0;6;31;57;52;36;44;39;48;44;36;
MQ_03160_FV1_G (MQ132);49;18;14;15;32;189;597;1042;909;779;721;680;765;824;891;
MQ_03160_FV1_L (MQ133);17;6;3;6;9;40;290;346;334;216;174;213;231;213;264;
MQ_03160_FV1_R (MQ134);4;2;1;2;3;15;48;75;68;55;55;52;53;59;61;
MQ_03160_FV2_G (MQ135);22;23;7;17;37;93;225;402;403;361;341;349;376;396;431;
MQ_03160_FV2_L (MQ136);4;1;1;0;2;6;14;38;45;30;51;48;62;66;89;
MQ_08040_FV3_L (MQ137);44;21;23;14;57;169;474;822;690;496;410;420;469;511;547;
MQ_03160_FV3_G (MQ138);42;20;10;22;43;166;522;729;731;667;581;603;549;678;686;
MQ_08040_FV3_R (MQ139);15;7;9;6;16;36;88;135;128;154;156;177;163;181;193;
MQ_03070_FV1_L (MQ14);4;0;0;1;0;3;41;57;35;31;35;35;34;34;41;
MQ_08040_FV3_G (MQ140);50;26;18;18;46;137;483;681;711;624;593;519;519;511;512;
MQ_03160_FV3_L (MQ141);2;0;0;0;0;3;6;23;20;24;17;23;30;36;18;
MQ_03160_FV3_R (MQ142);0;0;0;0;0;1;3;4;4;4;3;3;3;4;4;
MQ_03160_FV4_G (MQ143);19;11;7;9;6;51;234;252;241;177;152;160;152;183;141;
MQ_03160_FV4_L (MQ144);51;29;12;21;14;87;268;347;395;326;332;349;371;381;392;
MQ_03171_FV1_G (MQ145);47;21;15;19;42;184;459;840;754;666;634;592;699;695;786;
MQ_08040_FV4_R (MQ146);39;25;26;20;51;192;534;913;816;516;396;383;483;491;477;
MQ_08040_FV4_L (MQ147);16;8;4;5;21;75;211;278;226;192;147;144;142;153;168;
MQ_08040_FV6_R (MQ148);1;4;3;0;6;7;18;40;43;27;36;22;34;23;35;
MQ_03171_FV1_L (MQ149);0;0;1;0;0;0;2;8;9;8;9;4;7;13;15;
MQ_03290_FV4_G (MQ15);41;25;13;9;9;24;81;164;238;199;182;178;205;214;223;
MQ_03171_FV3_G (MQ151);35;19;10;16;43;157;533;745;776;680;537;627;556;705;688;
MQ_03171_FV3_R (MQ152);0;0;0;0;0;1;3;3;4;3;3;3;3;3;3;
MQ_03180_FV1_G (MQ153);34;13;9;13;30;111;335;409;450;423;369;426;419;487;471;
MQ_03180_FV1_L (MQ154);3;1;1;1;0;3;22;37;52;47;44;50;57;62;36;
MQ_03180_FV1_R (MQ155);3;1;1;2;3;9;24;28;31;29;26;29;29;32;32;
MQ_03180_FV2_G (MQ156);7;9;4;0;0;11;40;83;129;128;145;173;135;147;146;
MQ_03180_FV2_L (MQ157);;;;;;;;;;;;;;;;
MQ_03180_FV2_R (MQ158);1;1;1;0;0;2;6;12;19;18;21;25;19;21;21;
MQ_03180_FV3_G (MQ159);26;10;7;10;26;136;300;487;451;430;401;347;412;419;443;
MQ_03290_FV4_L (MQ16);19;14;12;14;24;62;158;245;233;221;234;241;238;233;237;
MQ_03180_FV3_L (MQ160);15;8;3;4;10;36;141;370;301;229;232;246;281;274;317;
MQ_03180_FV3_R (MQ161);0;0;0;0;1;3;8;13;12;10;9;8;10;9;10;
MQ_03180_FV4_G (MQ162);1;6;2;0;3;11;75;178;192;127;98;85;87;96;100;
MQ_08041_FV1_G (MQ163);75;45;39;24;46;109;245;373;384;370;381;436;427;448;415;
MQ_03180_FV4_L (MQ164);4;4;2;1;4;8;39;56;67;65;55;48;57;50;43;
MQ_08041_FV1_L (MQ165);2;6;1;4;8;11;14;18;23;43;44;53;56;36;38;
MQ_08041_FV1_R (MQ166);6;1;3;0;3;3;18;17;13;13;17;18;23;22;18;
MQ_03180_FV4_R (MQ167);8;6;2;5;10;51;205;353;348;304;225;226;194;261;264;
MQ_03021_FV1_G (MQ168);48;36;17;9;51;123;482;904;943;741;613;582;604;662;653;
MQ_08041_FV2_L (MQ169);4;5;4;2;12;8;20;24;63;100;127;137;136;131;146;
MQ_03070_FV1_R (MQ17);9;6;2;8;13;43;86;134;184;171;157;147;151;143;140;
MQ_05010_FV1_L (MQ170);20;25;8;16;39;104;325;615;569;439;320;313;308;353;381;
MQ_05010_FV1_R (MQ171);0;0;0;1;3;12;106;171;187;68;31;30;44;42;35;
MQ_08041_FV3_G (MQ172);65;25;22;22;51;180;573;747;673;564;463;416;405;440;428;
MQ_05010_FV2_G (MQ173);29;14;9;15;18;88;552;566;586;404;321;355;320;338;294;
MQ_08041_FV3_L (MQ174);2;2;0;1;1;11;30;25;21;22;21;16;15;24;26;
MQ_08041_FV3_R (MQ175);2;7;1;3;16;34;57;85;112;146;139;143;143;119;135;
MQ_05010_FV2_R (MQ176);28;11;8;14;12;54;141;216;208;230;220;276;276;288;319;
MQ_03021_FV3_G (MQ177);46;22;13;24;40;134;478;1064;956;693;612;682;718;797;913;
MQ_08041_FV4_L (MQ178);4;0;1;0;0;0;2;12;8;6;11;10;4;11;5;
MQ_05010_FV3_G (MQ179);8;6;0;1;7;19;63;172;188;160;195;225;321;326;326;
MQ_03070_FV2_G (MQ18);26;17;12;7;5;22;76;173;161;146;144;167;176;183;184;
MQ_03020_FV3_L (MQ180);;
MQ_05010_FV3_L (MQ181);0;0;0;0;1;0;14;18;23;23;29;30;58;58;45;
MQ_16130_FV1_G (MQ182);;
MQ_03020_FV3_G (MQ183);;
MQ_16130_FV1_L (MQ184);;
