Name  /  Date: 2016_12_06;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03290_FV12_GR (MQ0);28;19;10;12;21;121;266;350;342;363;355;352;344;343;374;362;337;349;349;338;247;135;221;145;
MQ_03020_FV4_L (MQ1);12;3;6;3;9;43;150;374;438;248;224;237;263;240;251;303;371;380;303;184;115;60;47;30;
MQ_03290_FV3_GR (MQ10);45;19;23;14;17;75;155;234;238;221;206;217;237;235;230;254;241;241;219;234;173;142;125;64;
MQ_03020_FV2_L (MQ100);1;2;0;0;0;2;12;49;35;31;31;36;32;38;45;60;42;46;44;35;23;12;8;10;
MQ_03181_FV3_R (MQ1001);0;0;0;0;0;0;1;2;2;2;2;2;2;2;2;2;3;3;2;2;1;1;1;0;
MQ_06170_FV4_L (MQ1002);0;1;0;0;0;0;1;7;8;9;17;16;14;13;7;17;14;10;13;8;6;5;1;2;
MQ_08050_FV3_L (MQ1003);3;1;2;0;14;35;42;41;77;114;118;128;147;135;125;124;130;101;92;59;34;16;1;2;
MQ_06161_FV3_L (MQ1004);16;5;3;7;12;42;170;363;376;241;216;213;182;219;210;219;262;279;249;171;122;69;58;26;
MQ_06170_FV6_L (MQ1005);2;1;0;1;2;6;32;60;50;30;28;21;26;35;41;47;52;44;42;27;21;16;10;6;
MQ_08110_FV1_LO (MQ1006);1;0;0;0;0;2;4;10;15;11;14;15;17;15;19;28;32;31;21;11;8;5;4;2;
MQ_08110_FV3_RO (MQ1007);1;0;0;0;0;2;8;24;23;25;33;27;26;19;26;30;35;26;19;16;7;5;2;0;
LSA 29120 Schleifen (MQ1008);22;37;39;54;572;1106;1679;1359;1235;960;1303;1158;1277;1080;1080;1612;1621;1521;1160;838;407;312;
MQ_06160_FV2_R (MQ1009);9;5;4;5;12;58;145;287;296;215;200;195;205;189;231;232;236;255;207;145;85;69;55;18;
MQ_02020_FV4_L (MQ101);19;4;4;7;9;44;144;261;323;250;245;248;318;282;330;408;418;404;331;233;149;107;61;35;
MQ_03030_FV1_G (MQ1010);37;13;13;5;25;100;439;928;950;601;560;573;678;718;830;1018;1190;952;753;488;337;235;161;85;
LSA 3290 Schleifen (MQ1012);670;385;285;227;387;1457;3974;6316;6233;6307;6163;6278;6548;6488;6480;6736;6439;6448;6240;5644;4129;3067;3227;1874;
LSA 8020 Schleifen (MQ1013);565;294;252;212;443;1537;4178;6203;6131;5500;5410;5912;5977;6165;6266;6229;5964;6159;5852;5114;3789;2554;3291;1644;
LSA 8030 Schleifen (MQ1014);212;123;86;89;173;562;1628;2701;2775;2348;2188;2420;2507;2638;2728;2825;2953;3235;2847;2330;1555;1013;1886;918;
LSA 8031 Schleifen (MQ1015);186;68;53;75;119;490;1562;2436;2517;2231;1912;2097;2184;2229;2365;2725;2820;2705;2304;1673;1050;686;1818;761;
LSA 8040 Schleifen (MQ1016);434;260;233;219;575;2216;6486;10278;9304;6959;6553;7029;7191;7420;7986;8582;9244;8542;7347;5033;3226;2182;2064;1066;
LSA 8032 Schleifen (MQ1017);199;87;67;48;155;619;1757;2732;2751;2356;2250;2517;2533;2657;2679;2879;2920;2971;2272;1766;1256;873;1445;658;
LSA 8041 Schleifen (MQ1018);128;57;53;45;120;424;1177;1686;1624;1550;1659;1841;1810;1862;1831;1931;1991;1938;1640;1353;879;599;880;458;
LSA 8054 Schleifen (MQ1019);104;50;46;44;111;473;1553;2736;2404;1805;1703;1853;2101;2164;2147;2549;2800;2450;2122;1392;1037;658;552;308;
MQ_02020_FV3_L (MQ102);0;1;0;0;2;8;29;53;44;43;62;51;60;56;51;64;67;63;61;36;31;19;19;4;
LSA 8140 Schleifen (MQ1020);62;30;24;29;73;265;894;1359;1205;973;938;1099;1057;1152;1217;1365;1409;1504;1242;810;572;391;326;212;
MQ_01210_FV32_L (MQ1021);2;1;1;1;1;20;126;174;208;79;41;36;68;53;54;55;58;56;47;40;21;10;6;8;
