Name  /  Date: 2015_09_15;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03290_FV12_GR (MQ0);36;27;9;15;23;91;254;344;375;341;348;344;326;352;364;332;356;374;354;341;224;170;166;67;
MQ_03020_FV4_L (MQ1);6;7;4;8;12;49;154;313;316;218;201;239;192;250;220;261;307;290;236;152;92;54;44;21;
MQ_03290_FV3_GR (MQ10);32;20;10;9;22;66;160;246;216;210;191;208;220;235;235;238;238;250;241;214;142;138;100;48;
MQ_03020_FV2_L (MQ100);2;0;1;0;1;3;21;39;29;26;31;11;30;34;26;37;41;41;35;18;22;21;6;4;
Alle Motion Det Albersloherweg (MQ1000);2994;1735;1016;1237;911;911;911;911;911;911;911;34459;38002;40384;41968;
MQ_03181_FV3_R (MQ1001);0;0;0;0;0;0;1;2;2;2;2;2;2;2;2;2;3;3;2;1;1;1;1;0;
MQ_06170_FV4_L (MQ1002);0;0;0;0;0;1;2;7;11;5;9;13;9;11;14;11;11;10;9;9;9;3;3;2;
MQ_08050_FV3_L (MQ1003);2;4;3;2;8;25;32;34;80;97;115;104;124;114;101;102;100;98;112;56;24;7;2;2;
MQ_06161_FV3_L (MQ1004);4;16;4;8;2;20;60;154;204;108;112;104;94;126;116;90;108;162;132;74;68;26;36;14;
MQ_06170_FV6_L (MQ1005);1;1;0;0;1;5;28;69;52;36;36;30;33;30;34;40;46;52;43;29;16;9;12;4;
MQ_08110_FV1_LO (MQ1006);1;0;0;0;0;1;4;10;12;14;13;16;15;15;17;19;23;25;18;13;6;6;4;2;
MQ_08110_FV3_RO (MQ1007);0;0;0;1;1;1;9;17;17;25;25;25;25;18;22;26;29;29;21;16;6;5;2;1;
MQ_06160_FV2_R (MQ1009);13;6;5;4;13;50;114;270;252;215;204;191;186;160;172;209;219;228;209;153;101;57;44;22;
MQ_03030_FV1_G (MQ1010);21;14;8;10;24;103;429;929;817;562;528;542;614;657;744;837;966;823;649;477;302;231;168;72;
LSA 3290 Schleifen (MQ1012);674;415;164;260;449;1425;3823;6345;6540;6124;5767;5880;5941;6189;6245;6540;6583;6824;6428;5675;4066;3049;2697;1100;
LSA 8020 Schleifen (MQ1013);569;417;151;192;433;1535;3852;6510;6513;5981;5415;5370;5679;6122;6272;6377;6507;6956;6183;5121;3728;2604;2783;1133;
LSA 8030 Schleifen (MQ1014);267;192;54;62;169;583;1529;2733;2755;2351;2088;2153;2342;2427;2571;2823;3081;3042;2657;2239;1649;1120;1355;504;
LSA 8031 Schleifen (MQ1015);139;86;41;53;123;475;1483;2473;2615;2382;2083;2040;2051;2159;2243;2636;2635;2422;1961;1533;983;693;649;264;
LSA 8040 Schleifen (MQ1016);432;310;229;274;556;2154;5845;10124;9014;6704;6167;6454;6854;7098;7407;8611;9610;9793;7269;4975;3019;2080;1597;759;
