Name  /  Date: 2016_01_25;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03290_FV12_GR (MQ0);33;16;15;13;22;96;299;339;350;369;353;403;328;366;291;356;364;347;371;297;218;138;161;43;
MQ_03020_FV4_L (MQ1);10;7;8;6;13;62;153;372;354;243;209;193;197;216;211;277;338;316;220;176;98;71;37;17;
MQ_03290_FV3_GR (MQ10);41;26;10;14;18;95;194;246;237;197;199;206;226;213;242;206;238;206;212;212;161;108;96;58;
MQ_03020_FV2_L (MQ100);4;4;2;2;0;8;17;46;26;30;26;35;36;31;46;36;42;45;38;24;11;14;6;1;
Alle Motion Det Albersloherweg (MQ1000);2872;2872;2872;2872;2872;2872;2872;2872;2872;2872;2872;2872;2872;2872;2872;2872;2872;2872;2872;2872;2872;2872;2872;4510;
MQ_03181_FV3_R (MQ1001);0;0;0;0;0;0;1;2;2;1;1;2;2;2;2;2;2;2;2;1;1;1;1;0;
MQ_06170_FV4_L (MQ1002);0;0;0;0;0;0;2;7;9;2;6;13;11;8;5;14;10;10;8;10;7;6;0;2;
MQ_08050_FV3_L (MQ1003);2;3;1;2;11;29;29;36;78;100;107;120;113;115;96;102;129;126;104;54;26;11;4;2;
MQ_06161_FV3_L (MQ1004);7;6;5;5;11;52;155;356;378;238;200;181;167;206;232;251;235;298;265;167;85;54;40;16;
MQ_06170_FV6_L (MQ1005);2;1;0;0;1;7;29;66;47;32;29;28;34;30;37;48;47;44;42;32;18;11;10;4;
MQ_08110_FV1_LO (MQ1006);1;2;0;0;0;4;8;13;23;19;21;24;20;28;24;31;42;41;29;12;8;7;5;3;
MQ_08110_FV3_RO (MQ1007);0;0;0;0;2;5;12;28;38;33;41;46;36;21;35;46;49;45;39;15;15;6;2;2;
LSA 29120 Schleifen (MQ1008);58;37;26;32;102;328;936;1537;1311;1162;1150;1128;1190;1188;1274;1512;1664;1734;1262;777;510;347;268;140;
MQ_06160_FV2_R (MQ1009);8;4;7;11;11;53;134;282;274;225;185;192;156;165;179;182;213;234;193;137;95;58;37;23;
MQ_02020_FV4_L (MQ101);12;12;10;7;15;33;140;265;324;274;244;267;247;304;305;354;475;450;330;255;168;121;66;34;
MQ_03030_FV1_G (MQ1010);22;16;10;12;21;128;417;948;852;595;529;589;634;645;716;855;1001;886;694;437;272;245;113;62;
LSA 3290 Schleifen (MQ1012);559;308;216;218;395;1377;3989;6085;6063;5673;5627;5641;5662;5801;5506;6010;6274;6190;6057;4840;3765;2595;2177;985;
LSA 8020 Schleifen (MQ1013);513;303;192;197;478;1388;4067;6023;6105;5567;5326;5149;5289;5537;5127;6013;6071;5931;5488;4266;3378;2507;2205;1010;
LSA 8030 Schleifen (MQ1014);194;127;74;62;183;504;1582;2557;2572;2290;2128;2089;2102;2186;2465;2657;3004;2942;2451;1860;1420;1077;1062;432;
LSA 8031 Schleifen (MQ1015);119;79;46;61;117;367;1338;2073;2177;2082;1939;1781;1764;1888;1658;2317;2416;2115;1646;1130;836;568;449;206;
LSA 8040 Schleifen (MQ1016);342;222;210;206;573;2052;6136;10052;9326;7040;6626;6788;7029;7055;5449;8582;9494;8387;6920;4362;2508;1767;1164;634;
LSA 8032 Schleifen (MQ1017);165;98;77;67;178;572;1736;2804;2650;2452;2307;2379;2342;2347;2463;2664;2892;2663;2146;1425;1050;760;605;308;
LSA 8041 Schleifen (MQ1018);117;79;63;49;155;399;1126;1506;1599;1493;1629;1617;1602;1602;1458;1766;1818;1785;1493;1146;740;497;349;197;
LSA 8054 Schleifen (MQ1019);90;66;34;52;134;471;1470;2660;2467;1830;1708;1738;1922;1922;2250;2208;2625;2511;1994;1162;757;550;372;179;
MQ_02020_FV3_L (MQ102);5;2;2;0;3;5;27;57;53;51;50;51;55;43;36;59;65;77;59;38;24;14;11;8;
LSA 8140 Schleifen (MQ1020);50;28;24;29;83;291;879;1375;1158;1011;967;965;1017;978;1136;1254;1339;1450;1151;736;488;348;287;125;
MQ_01210_FV32_L (MQ1021);6;0;3;2;4;19;129;179;202;92;35;39;53;62;52;52;47;34;41;37;22;20;28;3;
MQ_01081_FV3_G (MQ1022);34;11;11;6;10;48;170;308;305;244;238;274;281;315;274;315;376;405;370;226;178;144;129;66;
MQ_03030_FV1_L (MQ1023);0;1;1;0;0;3;8;14;20;12;14;17;23;15;13;11;14;12;12;15;2;4;2;2;
MQ_01200_FV1_G (MQ1024);56;31;19;18;33;166;497;955;863;613;716;884;954;997;1146;1408;1654;1339;1057;710;465;388;249;124;
MQ_01121_FV1_G (MQ1025);5;2;1;3;3;21;79;198;236;201;223;163;162;188;160;177;180;194;152;110;45;22;18;4;
MQ_01121_FV3_L (MQ1026);0;0;0;0;0;0;1;1;2;2;2;2;3;3;4;3;4;4;4;3;2;1;1;0;
MQ_01121_FV3_G (MQ1027);2;3;0;0;1;4;27;56;68;89;98;113;143;159;178;168;184;212;189;147;68;51;25;15;
MQ_01121_FV1_R (MQ1028);1;0;0;0;0;3;11;27;32;27;30;22;22;26;22;24;25;26;21;15;6;3;3;1;
MQ_01200_FV1_L (MQ1029);;;;;;;;;;;;;;;;;;;;;;;;;
MQ_01070_FV2_L (MQ1030);;;;;;;;;;;;;;;;;;;;;;;;;
MQ_01121_FV2_G (MQ1031);1;2;1;0;2;2;3;17;27;20;18;13;14;17;15;17;20;15;29;11;9;13;4;6;
---Test (MQ1032);15;9;2;6;23;110;221;461;389;252;282;281;332;386;372;459;503;470;360;239;168;164;152;45;
MQ_09040_FV1_G (MQ1033);23;9;5;6;9;35;83;234;180;154;180;248;257;233;250;296;371;368;313;238;167;114;90;33;
MQ_09040_FV3_G (MQ1034);23;4;2;3;12;66;201;280;357;315;281;287;247;286;320;302;284;342;258;200;141;92;56;37;
MQ_09050_FV1_G (MQ1035);34;12;9;13;24;90;275;480;386;307;317;432;487;465;458;578;651;607;566;414;308;209;176;62;
MQ_09050_FV3_G (MQ1036);22;8;5;7;39;134;414;501;562;499;388;395;356;359;443;470;436;532;463;331;220;140;78;37;
MQ_09060_FV11_G (MQ1037);30;11;8;12;26;89;296;495;387;306;332;419;492;451;471;568;628;590;528;382;301;202;170;59;
MQ_09060_FV11L (MQ1038);5;0;0;3;3;11;22;57;42;31;27;63;51;61;44;43;50;47;46;52;25;20;10;5;
