Name  /  Date: 2015_12_06;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03020_FV4_L (MQ1);36;21;15;15;4;19;15;19;52;66;95;107;132;153;187;173;155;160;137;131;71;54;40;19;
MQ_03020_FV2_L (MQ100);6;15;4;5;2;5;4;3;10;10;15;21;23;21;32;34;20;29;25;17;15;12;7;5;
MQ_03181_FV3_R (MQ1001);0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;1;1;1;2;1;1;1;0;0;
MQ_06170_FV4_L (MQ1002);0;0;1;0;0;1;0;0;1;1;0;7;7;2;3;4;1;7;7;7;2;1;2;1;
MQ_08050_FV3_L (MQ1003);8;2;4;0;2;3;4;8;5;16;39;66;79;67;73;41;25;7;8;3;9;2;1;4;
MQ_06161_FV3_L (MQ1004);36;30;13;8;4;16;15;6;26;87;116;126;150;179;226;242;186;204;207;130;87;78;38;25;
MQ_06170_FV6_L (MQ1005);5;7;5;4;2;3;2;4;9;16;22;28;28;29;32;28;22;28;23;23;20;12;9;3;
MQ_08110_FV1_LO (MQ1006);2;2;2;1;1;1;1;2;3;5;8;6;10;10;9;13;9;11;9;7;5;3;3;2;
MQ_08110_FV3_RO (MQ1007);1;1;0;0;0;0;0;3;11;12;12;12;10;11;11;10;10;10;9;8;7;2;2;2;
LSA 29120 Schleifen (MQ1008);254;167;113;105;101;128;95;116;199;385;588;723;818;857;1127;947;834;968;839;584;469;335;214;118;
MQ_06160_FV2_R (MQ1009);65;39;29;25;33;32;14;24;39;74;121;111;140;154;172;189;166;183;174;111;109;65;46;20;
MQ_02020_FV4_L (MQ101);29;36;14;18;5;6;36;19;38;98;105;150;194;172;238;217;177;208;177;156;108;91;57;25;
MQ_03030_FV1_G (MQ1010);84;55;49;30;16;32;58;56;88;177;260;339;381;475;513;518;427;504;389;344;241;184;109;56;
LSA 8020 Schleifen (MQ1013);3295;2829;1802;1697;1686;1688;1119;1058;1118;1783;2733;3150;3920;4542;5028;4373;4440;4168;3884;3618;2757;1980;1628;892;
LSA 8030 Schleifen (MQ1014);1321;1229;730;680;715;723;408;380;411;659;1033;1247;1541;1801;2070;1803;1974;1737;1601;1659;1210;856;830;390;
LSA 8031 Schleifen (MQ1015);1161;1076;860;881;872;902;595;570;533;575;906;967;1184;1358;1465;1257;1292;1109;959;907;697;493;353;232;
LSA 8040 Schleifen (MQ1016);1420;1182;743;703;735;728;637;743;950;1820;3208;4162;5097;5548;5859;4992;4483;3980;3499;2934;2109;1525;956;576;
LSA 8032 Schleifen (MQ1017);806;740;510;507;550;444;244;295;398;660;1102;1320;1655;1882;1980;1705;1616;1514;1330;1248;960;638;519;332;
LSA 8041 Schleifen (MQ1018);487;424;313;288;325;275;179;234;256;446;720;880;1019;1122;1205;1028;1104;967;878;811;604;401;312;193;
LSA 8054 Schleifen (MQ1019);420;359;176;150;159;189;125;164;236;536;821;1035;1268;1366;1580;1339;1205;1195;1112;875;662;432;301;182;
MQ_02020_FV3_L (MQ102);12;7;5;11;1;0;7;6;10;16;24;27;37;27;46;42;36;30;33;22;21;24;18;10;
LSA 8140 Schleifen (MQ1020);262;179;102;85;87;95;76;105;186;387;527;694;771;829;1061;849;828;885;764;597;403;253;203;120;
MQ_01210_FV32_L (MQ1021);7;6;9;3;2;1;2;2;4;13;18;19;23;26;32;44;24;36;35;26;17;11;1;7;
MQ_01081_FV3_G (MQ1022);116;93;67;53;60;40;41;26;50;83;136;161;206;236;231;271;239;280;251;241;225;172;122;62;
MQ_03030_FV1_L (MQ1023);11;7;6;14;0;3;3;4;9;9;8;4;22;22;20;13;9;13;20;5;5;3;6;4;
MQ_01200_FV1_G (MQ1024);307;219;144;103;50;64;78;76;159;325;471;710;818;946;1082;1085;960;1044;1020;797;579;387;242;116;
MQ_01121_FV1_G (MQ1025);17;11;11;10;10;5;17;7;53;133;154;214;182;165;194;182;193;194;160;86;55;34;18;8;
MQ_01121_FV3_L (MQ1026);0;0;0;0;0;0;0;0;1;1;1;2;3;4;3;4;4;4;4;4;3;1;1;0;
MQ_01121_FV3_G (MQ1027);20;12;9;4;3;2;2;6;22;24;35;102;119;173;157;206;206;202;208;191;126;52;25;8;
MQ_01121_FV1_R (MQ1028);2;2;2;1;1;1;2;1;7;18;21;29;25;23;26;25;26;27;22;12;8;5;3;1;
MQ_01200_FV1_L (MQ1029);;;;;;;;;;;;;;;;;;;;;;;;;
MQ_01070_FV2_L (MQ1030);;;;;;;;;;;;;;;;;;;;;;;;;
MQ_01121_FV2_G (MQ1031);3;3;2;4;2;0;1;3;2;11;8;17;16;11;16;7;14;12;18;17;11;10;6;6;
---Test (MQ1032);63;50;15;8;15;35;30;42;66;119;177;233;281;312;317;288;240;231;167;218;156;141;89;24;
MQ_09040_FV1_G (MQ1033);121;76;46;59;33;25;28;38;46;86;114;159;177;211;252;246;246;310;261;229;182;137;97;42;
MQ_09040_FV3_G (MQ1034);75;54;34;31;33;39;20;41;71;146;191;198;251;232;302;300;287;278;275;213;154;106;80;34;
MQ_09050_FV1_G (MQ1035);154;132;73;69;37;42;30;47;82;151;212;315;368;399;516;440;382;502;464;387;279;212;121;53;
MQ_09050_FV3_G (MQ1036);101;87;61;45;53;44;38;56;106;259;267;282;341;368;471;443;426;473;403;319;236;170;100;43;
MQ_09060_FV11_G (MQ1037);158;128;78;60;40;40;29;46;81;143;211;306;370;374;475;413;371;482;436;353;254;195;114;53;
MQ_09060_FV11L (MQ1038);13;9;8;19;17;16;4;10;14;22;21;31;36;27;43;46;25;42;27;31;13;12;15;6;
MQ_09060_FV2_L (MQ1039);23;17;11;9;0;6;11;15;24;45;82;83;111;119;131;96;109;112;85;66;47;33;21;4;
MQ_03023_FV1_G (MQ104);11;7;4;0;4;1;3;4;1;8;19;22;22;25;32;22;28;33;23;18;17;7;10;4;
MQ_09060_FV2_R (MQ1040);5;4;2;2;0;1;2;3;5;9;17;17;23;24;27;20;23;23;18;14;10;7;4;1;
MQ_09060_FV3_G (MQ1041);100;82;64;39;45;62;49;51;96;236;267;273;323;363;484;442;414;449;390;294;231;159;91;57;
MQ_09060_FV3_R (MQ1042);23;9;4;4;5;29;14;11;24;53;63;86;104;116;127;119;86;117;103;88;57;33;35;8;
MQ_03250_FV1_R (MQ1043);13;10;6;6;4;2;2;5;5;10;12;19;21;25;32;27;28;38;27;24;20;17;10;5;
MQ_03250_FV1_G (MQ1044);73;54;35;32;20;12;14;26;26;58;71;110;120;142;179;156;157;213;156;134;114;97;58;29;
MQ_03250_FV1_L (MQ1045);37;14;8;19;11;13;12;10;22;39;51;55;61;63;74;75;54;76;84;73;48;26;34;12;
MQ_03250_FV2_R (MQ1046);15;10;7;5;7;7;6;5;9;17;32;30;41;47;44;44;45;41;43;34;25;16;12;5;
MQ_03250_FV2_G (MQ1047);108;76;50;38;49;54;41;40;63;126;231;222;300;345;326;320;330;303;312;247;184;117;85;40;
MQ_03250_FV2_L (MQ1048);50;52;16;18;6;15;11;15;35;62;84;119;149;161;199;169;136;181;202;143;90;62;43;17;
MQ_03250_FV3_R (MQ1049);19;16;11;7;10;9;8;10;20;45;53;56;71;72;92;88;83;86;80;62;50;31;21;9;
MQ_03250_FV3_G (MQ105);57;47;32;20;29;26;23;29;59;135;159;167;212;215;276;263;249;259;240;185;149;94;62;26;
MQ_03250_FV3_L (MQ1050);32;25;18;21;25;21;10;9;22;53;59;64;61;66;99;93;95;104;81;61;44;42;30;6;
MQ_03250_FV4_R (MQ1051);31;25;18;16;15;14;9;9;12;27;38;56;64;65;87;80;69;79;73;66;54;31;28;9;
MQ_03250_FV4_G (MQ1052);126;102;73;64;58;58;36;37;46;108;154;222;257;260;347;318;275;316;291;266;216;125;113;37;
MQ_03250_FV4_L (MQ1053);8;6;6;7;5;7;4;5;4;4;9;12;18;18;21;14;21;22;21;14;19;14;14;4;
MQ_03030_FV1_R (MQ1054);3;3;1;3;2;3;2;9;22;53;75;73;73;72;92;121;57;41;25;18;14;14;6;2;
MQ_03030_FV2_G (MQ1055);1;1;1;1;0;0;0;0;0;1;2;3;2;2;2;2;2;2;1;1;1;1;1;0;
MQ_03030_FV2_L (MQ1056);13;10;8;15;2;3;1;2;1;18;28;35;27;22;24;30;28;22;11;9;11;16;15;4;
MQ_03030_FV2_R (MQ1057);9;7;5;10;1;2;0;1;1;12;19;24;19;15;16;20;19;15;7;6;8;11;11;3;
MQ_03030_FV3_G (MQ1058);70;61;35;27;13;48;35;39;87;138;244;289;364;376;440;408;368;370;340;285;240;120;94;48;
MQ_03030_FV3_L (MQ1059);17;12;6;0;2;5;3;9;39;57;67;91;81;85;73;111;72;64;56;57;27;21;14;3;
MQ_03080_FV4_R (MQ106);5;2;2;1;0;1;3;0;6;16;19;26;31;34;45;40;22;49;26;24;23;13;10;6;
MQ_03030_FV3_R (MQ1060);1;1;1;0;0;0;1;1;1;2;4;5;5;6;7;6;5;6;5;5;3;2;2;1;
MQ_03030_FV4_G (MQ1061);2;1;1;0;0;0;0;1;2;5;6;7;11;12;12;12;12;11;11;7;3;3;1;1;
MQ_03030_FV4_L (MQ1062);10;7;4;2;2;3;2;5;12;30;37;50;72;79;79;82;82;73;73;45;19;20;9;6;
MQ_03030_FV4_R (MQ1063);10;7;4;2;2;3;2;5;12;30;37;50;72;79;79;82;82;73;73;45;19;20;9;6;
MQ_03120_FV1_G (MQ107);211;152;111;92;60;99;102;85;156;344;461;597;660;755;882;825;682;772;750;546;475;318;205;111;
MQ_03020_FV2_R (MQ108);13;6;3;2;3;5;1;2;9;32;32;45;42;47;55;44;51;49;37;37;27;18;12;3;
MQ_03120_FV1_R (MQ109);3;2;1;1;1;1;1;1;2;4;5;7;7;8;10;9;8;9;9;6;6;4;2;1;
MQ_08050_FV2_L (MQ11);29;33;11;11;22;14;14;26;20;33;63;226;332;361;337;308;204;114;63;33;26;32;8;12;
MQ_03120_FV2_L (MQ110);4;7;4;0;0;3;5;2;7;9;13;19;28;35;30;34;19;23;26;16;20;4;6;1;
MQ_03120_FV2_R (MQ111);2;6;1;7;1;0;8;4;2;6;10;13;18;16;19;18;14;36;16;33;50;6;6;1;
MQ_06160_FV3_L (MQ112);6;4;3;0;1;3;2;1;7;11;28;26;50;37;43;67;49;35;39;31;18;10;5;3;
MQ_03120_FV3_G (MQ113);166;149;72;56;57;92;107;99;116;306;431;528;657;751;849;847;762;871;773;585;460;271;219;106;
MQ_03020_FV2_G (MQ114);20;15;18;8;5;9;10;7;22;48;47;71;77;101;98;83;89;104;79;76;59;43;25;10;
MQ_03120_FV3_L (MQ115);7;8;1;2;4;7;9;3;4;19;16;26;29;34;36;30;28;30;17;36;21;4;7;5;
MQ_03140_FV1_G (MQ116);150;141;64;38;40;80;82;89;101;274;421;490;618;708;801;792;742;810;717;551;406;271;194;95;
MQ_03140_FV1_L (MQ117);6;5;2;0;0;0;0;6;4;10;18;22;28;24;29;43;32;27;24;19;14;9;9;2;
MQ_03140_FV1_R (MQ118);4;4;2;1;1;3;2;3;3;7;11;12;16;18;20;20;19;21;18;14;12;8;6;3;
MQ_03140_FV2_G (MQ119);0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;
MQ_03140_FV2_L (MQ120);2;1;2;0;0;0;0;1;5;6;9;11;13;20;16;17;13;17;11;8;5;2;3;1;
MQ_08040_FV1_L (MQ121);28;40;25;30;27;20;16;10;10;8;20;17;34;40;58;31;65;33;27;57;23;14;32;22;
MQ_03140_FV2_R (MQ122);4;1;4;0;0;0;1;2;8;10;14;18;20;32;25;27;20;26;17;12;8;3;5;1;
MQ_08040_FV1_G (MQ123);184;162;107;102;116;84;50;56;67;121;220;294;337;387;398;337;301;297;302;258;226;151;126;76;
MQ_03140_FV3_G (MQ124);182;143;99;81;48;93;85;73;149;335;462;555;639;740;898;839;706;782;751;543;417;312;192;100;
MQ_03140_FV3_L (MQ125);9;2;3;2;3;2;1;1;3;8;7;16;23;16;20;22;29;18;31;20;13;8;7;6;
MQ_03140_FV3_R (MQ126);4;3;2;2;1;2;2;2;3;8;10;11;12;14;17;15;13;15;14;11;9;7;4;2;
MQ_08040_FV1_R (MQ127);49;50;55;45;57;39;14;32;32;34;46;68;77;107;98;76;101;86;69;77;81;37;24;16;
MQ_08040_FV2_R (MQ128);27;10;12;13;13;16;17;5;19;12;40;24;31;45;46;49;71;31;35;38;21;8;6;3;
MQ_08040_FV2_L (MQ129);15;12;4;5;7;8;11;23;10;36;120;131;148;159;115;100;55;64;48;31;23;15;12;8;
MQ_08050_FV3_G (MQ13);194;142;80;59;61;81;60;86;140;320;415;476;583;643;771;670;585;568;499;396;263;203;110;56;
MQ_03140_FV4_G (MQ130);4;2;1;0;1;0;1;1;2;4;8;12;16;22;21;7;13;3;13;13;10;5;2;1;
MQ_03140_FV4_L (MQ131);5;7;4;4;1;2;7;2;9;15;13;24;40;34;32;19;28;24;19;21;26;9;14;2;
MQ_03160_FV1_G (MQ132);152;128;71;36;35;79;81;96;120;258;428;501;640;698;772;748;673;761;687;543;389;256;169;87;
