Name  /  Date: 2015_01_07;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03290_FV12_GR (MQ0);25;18;9;11;22;78;184;332;330;329;302;290;305;330;353;321;332;357;341;256;184;130;189;76;
MQ_03020_FV4_L (MQ1);8;14;12;2;10;45;142;379;327;233;183;175;212;209;239;246;334;325;231;130;100;70;46;21;
MQ_03290_FV3_GR (MQ10);21;13;4;6;14;46;101;215;197;135;154;164;195;212;208;217;220;225;190;147;108;98;70;31;
MQ_03020_FV2_L (MQ100);2;1;1;0;0;2;19;56;24;27;31;31;34;33;22;32;43;47;35;24;14;10;12;6;
MQ_03181_FV3_R (MQ1001);0;0;0;0;0;0;1;2;2;1;1;2;2;2;2;2;2;2;2;1;1;0;1;0;
MQ_06170_FV4_L (MQ1002);0;0;0;0;0;0;2;8;13;4;11;13;14;13;8;9;11;7;9;7;5;4;1;1;
MQ_08050_FV3_L (MQ1003);2;3;1;0;9;27;53;30;62;73;106;108;103;111;115;100;103;90;99;35;22;6;1;3;
MQ_06161_FV3_L (MQ1004);6;3;4;5;10;48;152;282;284;207;209;165;159;174;200;209;207;243;222;135;96;47;49;26;
MQ_06170_FV6_L (MQ1005);1;1;0;1;2;5;26;62;45;34;28;26;24;28;40;43;47;46;38;26;19;7;7;3;
MQ_08110_FV1_LO (MQ1006);1;1;0;0;0;1;3;11;12;13;13;15;20;14;20;18;23;26;18;10;7;4;3;1;
MQ_08110_FV3_RO (MQ1007);0;0;0;0;0;3;6;19;29;18;28;29;25;20;20;27;25;28;21;14;7;3;3;0;
MQ_06160_FV2_R (MQ1009);10;7;9;7;15;56;141;252;216;190;176;148;168;156;211;191;183;226;198;113;77;38;34;19;
MQ_02020_FV4_L (MQ101);13;8;10;3;12;32;108;309;304;237;246;249;278;324;333;386;439;425;378;228;162;102;73;29;
MQ_03030_FV1_G (MQ1010);32;11;10;13;23;107;437;895;763;523;502;524;644;688;771;910;1005;826;678;459;289;221;157;61;
LSA 3290 Schleifen (MQ1012);513;381;215;195;354;1213;3260;5797;6300;5667;5144;5563;5709;5929;6130;6173;6313;6259;5708;4730;3260;2430;2817;1247;
LSA 8020 Schleifen (MQ1013);480;356;174;178;390;1222;3190;5754;5868;4812;4631;4673;4992;5185;5378;5605;5869;5645;5206;4284;2977;2034;2662;1151;
LSA 8030 Schleifen (MQ1014);199;165;63;62;140;452;1226;2407;2395;1964;1899;1973;2139;2217;2260;2432;2831;2817;2599;1867;1364;908;1743;679;
LSA 8031 Schleifen (MQ1015);127;95;76;66;118;360;1138;2120;2404;2005;1784;1858;1913;1941;1912;2188;2632;2534;2495;1573;1131;685;1796;713;
LSA 8040 Schleifen (MQ1016);357;237;197;231;519;2007;5742;9687;9305;6135;5756;5976;6584;6718;7168;7728;9248;8924;7014;4407;2667;1914;1979;896;
LSA 8054 Schleifen (MQ1019);92;63;26;40;100;425;1382;2558;2431;1666;1608;1582;1800;1856;1945;2070;2556;2435;1888;1167;736;537;498;204;
MQ_02020_FV3_L (MQ102);4;1;1;0;3;6;27;58;50;30;38;52;45;54;50;48;51;56;41;35;25;21;18;6;
LSA 8140 Schleifen (MQ1020);56;43;26;26;76;260;794;1391;1234;950;950;898;1001;1070;1121;1208;1489;1405;1039;781;446;347;325;142;
MQ_01210_FV32_L (MQ1021);1;1;2;4;8;25;129;208;211;52;31;45;31;41;45;64;46;53;33;42;18;12;8;6;
MQ_01081_FV3_G (MQ1022);36;16;16;6;11;50;121;301;323;251;261;292;278;296;293;328;367;361;354;247;173;145;130;80;
MQ_03030_FV1_L (MQ1023);0;2;1;0;1;4;2;12;20;10;10;14;6;17;18;17;19;12;7;18;3;5;6;1;
MQ_01200_FV1_G (MQ1024);66;35;18;15;37;136;509;952;704;624;661;756;972;1035;1147;1415;1637;1334;1023;701;428;369;276;135;
MQ_01121_FV1_G (MQ1025);8;3;1;8;18;33;108;167;248;246;225;216;170;159;178;193;193;163;139;100;51;29;22;10;
MQ_01121_FV3_L (MQ1026);0;0;0;0;0;0;0;1;1;2;2;3;4;4;4;3;3;4;3;2;2;1;1;0;
MQ_01121_FV3_G (MQ1027);4;3;1;0;1;5;19;60;63;79;115;133;177;190;196;166;170;195;162;113;71;44;25;19;
MQ_01121_FV1_R (MQ1028);1;0;0;1;3;5;15;23;34;34;31;29;23;22;24;26;26;22;19;14;7;4;3;1;
MQ_01200_FV1_L (MQ1029);3;2;0;1;1;5;11;88;92;55;38;29;29;38;46;54;78;72;61;30;22;12;20;13;
MQ_01070_FV2_L (MQ1030);;;;;;;;;;;;;;;;;;;;;;;;;
MQ_01121_FV2_G (MQ1031);5;2;1;0;3;5;5;19;35;14;16;9;19;20;23;9;18;15;11;11;11;3;12;8;
---Test (MQ1032);3;2;0;1;1;5;11;88;92;55;38;29;29;38;46;54;78;72;61;30;22;12;20;13;
MQ_09040_FV1_G (MQ1033);25;20;1;8;14;36;101;207;182;175;196;232;241;278;274;288;318;286;252;235;167;110;124;45;
MQ_09040_FV3_G (MQ1034);11;12;6;4;11;62;175;311;373;353;315;292;280;292;309;291;287;316;291;224;139;96;65;42;
MQ_09050_FV1_G (MQ1035);34;20;11;9;16;61;239;410;336;287;333;412;461;501;474;508;536;521;480;362;267;222;187;80;
MQ_09050_FV3_G (MQ1036);20;8;7;10;26;89;306;540;554;470;435;363;352;368;399;405;428;457;378;292;174;104;86;68;
MQ_09060_FV11_G (MQ1037);32;19;11;8;16;59;247;414;330;268;295;384;438;485;460;497;503;487;438;343;235;200;183;79;
MQ_09060_FV11L (MQ1038);2;0;1;3;4;10;37;74;60;39;42;47;34;41;72;61;61;80;56;37;23;20;17;20;
MQ_09060_FV2_L (MQ1039);1;1;0;1;0;6;39;152;149;115;103;125;152;188;224;231;231;159;144;100;80;50;1;1;
MQ_03023_FV1_G (MQ104);22;9;5;5;13;75;284;666;550;360;373;384;462;464;535;624;794;617;484;312;196;172;103;41;
MQ_09060_FV2_R (MQ1040);0;0;0;0;0;1;8;31;30;24;21;26;31;39;46;47;47;33;30;20;16;10;0;0;
MQ_09060_FV3_G (MQ1041);28;16;8;10;27;109;363;544;528;459;411;353;340;326;355;393;421;489;369;276;161;106;91;61;
MQ_09060_FV3_R (MQ1042);6;2;6;2;14;68;242;387;279;196;138;113;137;152;139;185;180;207;159;105;65;36;29;9;
MQ_03250_FV1_R (MQ1043);3;2;0;0;1;3;15;30;24;19;24;29;32;35;35;35;41;38;34;27;23;15;13;6;
MQ_03250_FV1_G (MQ1044);18;13;2;3;6;20;85;172;138;105;136;164;182;196;199;196;233;214;194;156;132;82;76;37;
