Name  /  Date: 2015_05_20;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03250_FV4_R (MQ1051);86;92;83;99;103;104;117;107;85;67;49;52;21;
MQ_03250_FV4_G (MQ1052);343;366;334;396;410;414;469;427;338;270;197;209;84;
MQ_03250_FV4_L (MQ1053);32;35;39;46;49;26;41;26;24;20;9;15;6;
MQ_03030_FV1_R (MQ1054);57;59;67;72;86;95;101;83;43;25;23;11;2;
MQ_03030_FV2_G (MQ1055);1;1;2;2;1;2;2;1;1;1;1;1;0;
MQ_03030_FV2_L (MQ1056);14;8;21;21;17;30;19;11;14;11;14;8;5;
MQ_03030_FV2_R (MQ1057);9;6;15;15;11;21;13;8;10;8;9;6;3;
MQ_03030_FV3_G (MQ1058);534;577;535;561;649;817;799;621;406;301;215;147;80;
MQ_03030_FV3_L (MQ1059);91;99;71;70;86;105;138;123;84;42;31;25;9;
MQ_03080_FV4_R (MQ106);76;53;65;60;55;62;101;64;38;23;16;7;7;
MQ_03030_FV3_R (MQ1060);7;8;7;8;9;11;12;9;6;4;3;2;1;
MQ_03030_FV4_G (MQ1061);6;6;7;8;14;13;14;10;6;3;10;6;2;
MQ_03030_FV4_L (MQ1062);42;43;45;56;93;88;91;66;36;19;66;40;12;
MQ_03030_FV4_R (MQ1063);42;43;45;56;93;88;91;66;36;19;66;40;12;
MQ_03120_FV1_G (MQ107);1025;997;1070;1093;1246;1212;1266;1063;807;504;391;345;176;
MQ_03020_FV2_R (MQ108);63;75;63;50;69;98;94;75;54;51;28;19;9;
MQ_03120_FV1_R (MQ109);10;11;11;12;12;12;13;11;8;6;5;4;2;
MQ_08050_FV2_L (MQ11);435;465;476;499;578;619;587;433;288;177;97;39;20;
MQ_03120_FV2_L (MQ110);30;46;44;43;38;47;32;30;22;21;15;2;1;
MQ_03120_FV2_R (MQ111);20;24;25;33;27;32;30;18;18;12;42;4;1;
MQ_06160_FV3_L (MQ112);37;67;66;60;54;107;90;87;59;26;29;12;3;
MQ_03120_FV3_G (MQ113);855;910;975;986;1085;1151;1055;1063;824;578;416;290;167;
MQ_03020_FV2_G (MQ114);134;104;133;109;128;180;153;140;94;85;57;57;28;
MQ_03120_FV3_L (MQ115);56;68;73;59;68;71;48;44;42;32;12;2;5;
MQ_03140_FV1_G (MQ116);780;814;899;926;1030;1103;1000;1007;758;534;404;298;152;
MQ_03140_FV1_L (MQ117);20;28;30;37;42;41;42;50;31;19;18;3;10;
MQ_03140_FV1_R (MQ118);17;19;22;21;25;26;24;24;18;13;10;9;5;
MQ_03140_FV2_G (MQ119);0;1;1;1;1;1;1;1;1;1;0;0;0;
MQ_03290_FV3_G (MQ12);197;198;213;216;221;224;209;209;217;124;118;98;47;
MQ_03140_FV2_L (MQ120);5;15;22;18;25;17;16;14;17;9;7;5;2;
MQ_08040_FV1_L (MQ121);60;66;77;75;93;126;95;72;72;34;26;123;28;
MQ_03140_FV2_R (MQ122);9;24;35;29;40;27;26;21;26;14;11;7;3;
MQ_08040_FV1_G (MQ123);466;527;511;503;552;584;531;480;408;301;218;343;142;
MQ_03140_FV3_G (MQ124);963;951;1034;1030;1212;1159;1278;1140;802;481;380;306;156;
MQ_03140_FV3_L (MQ125);;28;27;23;26;31;34;36;12;16;15;14;7;
MQ_03140_FV3_R (MQ126);17;17;18;19;21;20;23;20;14;9;7;7;4;
MQ_08040_FV1_R (MQ127);140;168;177;203;266;270;182;158;139;80;57;192;95;
MQ_08040_FV2_R (MQ128);55;57;66;67;70;80;66;94;135;26;19;18;7;
MQ_08040_FV2_L (MQ129);177;185;196;194;202;227;181;127;79;50;39;15;17;
MQ_08050_FV3_G (MQ13);855;662;750;833;1008;1141;1187;900;570;321;221;200;96;
MQ_03140_FV4_G (MQ130);32;32;33;33;17;25;29;24;28;9;16;10;3;
MQ_03140_FV4_L (MQ131);44;39;40;42;38;55;37;38;35;19;20;6;7;
MQ_03160_FV1_G (MQ132);;
MQ_03160_FV1_L (MQ133);;
MQ_03160_FV1_R (MQ134);;
MQ_03160_FV2_G (MQ135);;
MQ_03160_FV2_L (MQ136);;
MQ_08040_FV3_L (MQ137);459;435;509;567;707;794;836;554;346;185;128;106;47;
MQ_03160_FV3_G (MQ138);;
MQ_08040_FV3_R (MQ139);161;175;193;207;267;286;271;196;119;83;39;32;14;
MQ_03070_FV1_L (MQ14);;
MQ_08040_FV3_G (MQ140);605;500;526;550;581;604;643;597;417;252;169;123;59;
MQ_03160_FV3_L (MQ141);;
MQ_03160_FV3_R (MQ142);;
MQ_03160_FV4_G (MQ143);;
MQ_03160_FV4_L (MQ144);;
MQ_03171_FV1_G (MQ145);564;677;744;720;823;902;822;804;596;419;300;266;107;
MQ_08040_FV4_R (MQ146);397;446;479;496;468;599;521;476;342;204;153;121;55;
MQ_08040_FV4_L (MQ147);193;143;166;169;158;183;209;191;172;76;46;33;27;
MQ_08040_FV6_R (MQ148);22;16;19;29;29;30;39;40;29;17;9;10;2;
MQ_03171_FV1_L (MQ149);;;17;11;12;14;16;14;3;6;3;2;0;
MQ_03290_FV4_G (MQ15);278;208;228;185;225;193;203;231;196;163;119;94;58;
MQ_03171_FV3_G (MQ151);575;610;681;676;728;785;811;750;560;332;300;246;103;
MQ_03171_FV3_R (MQ152);3;3;3;3;4;4;4;4;3;2;2;1;1;
MQ_03180_FV1_G (MQ153);430;426;480;475;510;514;530;495;385;240;226;182;79;
MQ_03180_FV1_L (MQ154);56;47;71;61;50;59;69;58;42;25;18;16;6;
MQ_03180_FV1_R (MQ155);32;32;33;30;36;35;37;36;27;17;17;14;6;
MQ_03180_FV2_G (MQ156);199;217;222;202;260;255;278;269;150;96;72;70;39;
MQ_03180_FV2_L (MQ157);44;32;33;21;33;38;38;46;22;14;6;13;5;
MQ_03180_FV2_R (MQ158);25;31;27;24;29;24;33;40;21;13;10;8;5;
MQ_03180_FV3_G (MQ159);323;409;441;438;468;473;480;466;356;251;164;155;69;
