Name  /  Date: 2015_04_22;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03290_FV12_GR (MQ0);31;24;11;13;27;105;276;349;346;367;348;361;367;348;374;358;353;351;363;311;266;157;141;75;
MQ_03020_FV4_L (MQ1);11;8;8;6;11;47;152;324;348;271;234;193;193;215;208;261;329;333;283;182;104;88;47;29;
MQ_03290_FV3_GR (MQ10);39;14;16;10;19;65;159;259;238;190;171;201;208;217;211;238;243;210;232;160;148;143;104;61;
MQ_03020_FV2_L (MQ100);5;0;0;1;1;3;16;41;25;31;29;29;37;41;26;45;47;73;47;31;20;14;12;8;
Alle Motion Det Albersloherweg (MQ1000);2828;1421;1491;1116;1982;
MQ_03181_FV3_R (MQ1001);0;0;0;0;0;0;1;1;2;1;2;2;2;2;2;2;3;2;2;2;1;1;1;0;
MQ_06170_FV4_L (MQ1002);;;;;;;;;;;;;;;;;;;;;;;;4;
MQ_08050_FV3_L (MQ1003);3;4;1;1;9;23;38;32;70;94;111;116;126;120;91;94;112;116;108;59;34;8;1;2;
MQ_06161_FV3_L (MQ1004);7;4;1;6;6;37;148;286;326;258;200;199;187;152;221;242;253;292;238;195;120;68;52;33;
MQ_06170_FV6_L (MQ1005);0;;;;;;;;;;;;;;;;;;;;;;10;9;
MQ_08110_FV1_LO (MQ1006);1;0;0;0;1;0;4;8;15;14;14;17;15;15;17;17;23;20;22;14;9;5;4;2;
MQ_08110_FV3_RO (MQ1007);0;0;0;0;1;2;5;18;22;21;22;28;23;18;17;23;26;31;20;17;10;5;5;0;
MQ_06160_FV2_R (MQ1009);9;5;7;16;14;74;160;289;291;226;206;193;188;188;172;189;211;219;192;127;105;64;44;32;
MQ_02020_FV4_L (MQ101);17;6;5;10;7;36;131;261;352;289;268;255;272;321;335;391;466;466;357;255;193;141;85;37;
MQ_03030_FV1_G (MQ1010);23;12;6;10;22;109;451;963;836;598;571;561;681;729;800;918;997;914;688;502;367;257;182;81;
LSA 3290 Schleifen (MQ1012);572;322;288;198;485;1569;4202;6443;6787;6341;6307;6300;6223;6249;6498;6599;6796;6766;6469;5514;4426;3198;2645;1444;
LSA 8020 Schleifen (MQ1013);588;289;300;179;524;1577;4271;6739;6620;5985;5983;5757;5787;6052;6643;6763;7017;6940;6126;4849;3738;2725;2408;1283;
LSA 8030 Schleifen (MQ1014);225;138;99;60;121;
LSA 8031 Schleifen (MQ1015);142;118;82;65;150;475;1491;2398;2704;2318;2138;2066;2035;2188;2373;2599;2945;2530;1922;1458;1074;774;666;338;
LSA 8040 Schleifen (MQ1016);424;236;256;241;573;2170;6267;10058;9304;7226;6917;6650;6955;7082;7744;8524;9756;9359;7041;4996;3219;2099;1598;731;
LSA 8032 Schleifen (MQ1017);216;109;96;66;193;624;1728;2883;3019;2456;2511;2559;2561;2646;2948;3128;3296;3116;2464;1880;1505;1121;880;391;
LSA 8041 Schleifen (MQ1018);138;72;50;50;151;454;1133;1664;1717;1582;1741;1664;1679;1722;1818;2031;1990;1913;1612;1299;941;633;514;235;
LSA 8054 Schleifen (MQ1019);119;49;66;48;127;431;1460;2691;2482;1877;1827;1866;1943;1954;2090;2306;2766;2546;2103;1425;932;650;483;217;
MQ_02020_FV3_L (MQ102);5;0;1;0;1;5;30;52;53;42;46;43;51;58;46;41;63;65;63;61;29;19;16;9;
LSA 8140 Schleifen (MQ1020);64;34;38;27;92;252;892;1403;1257;1042;1000;1028;1016;1062;1233;1300;1475;1381;1231;860;595;469;352;148;
MQ_01210_FV32_L (MQ1021);1;2;3;1;4;23;124;182;227;69;28;51;51;45;64;52;46;48;55;46;22;29;16;7;
MQ_01081_FV3_G (MQ1022);43;20;10;8;13;54;135;300;353;226;248;270;336;292;298;349;418;368;389;265;229;175;147;102;
