Name  /  Date: 2016_07_25;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03290_FV12_GR (MQ0);51;21;10;15;24;93;249;289;318;325;323;341;322;328;340;348;350;357;363;281;214;131;133;79;
MQ_03020_FV4_L (MQ1);188;183;204;211;279;265;194;150;108;55;52;21;
MQ_03290_FV3_GR (MQ10);49;34;12;9;28;79;157;180;211;178;198;173;220;203;213;231;226;218;193;151;132;95;111;65;
MQ_03020_FV2_L (MQ100);13;36;26;32;43;33;36;22;20;18;7;8;
MQ_03181_FV3_R (MQ1001);0;0;0;0;0;0;1;1;1;1;2;2;2;2;2;2;2;2;2;1;1;0;0;0;
MQ_06170_FV4_L (MQ1002);1;0;0;0;0;2;2;5;6;7;20;20;12;12;6;8;15;16;8;5;19;7;2;4;
MQ_08050_FV3_L (MQ1003);2;5;0;1;6;26;29;53;68;115;124;156;129;140;114;115;133;154;128;68;41;13;4;4;
MQ_06161_FV3_L (MQ1004);14;5;2;5;8;48;185;263;242;213;200;174;150;169;180;163;242;263;224;136;96;66;40;30;
MQ_06170_FV6_L (MQ1005);1;1;0;1;2;6;19;40;33;26;26;22;24;26;30;36;34;38;35;24;16;13;10;4;
MQ_08110_FV1_LO (MQ1006);1;0;0;0;0;1;3;8;11;9;13;15;19;11;16;21;25;20;14;12;9;8;3;1;
MQ_08110_FV3_RO (MQ1007);0;0;0;0;1;2;5;12;18;22;22;23;26;18;20;24;26;26;17;13;6;10;2;3;
LSA 29120 Schleifen (MQ1008);70;45;26;39;42;215;546;730;781;782;730;841;876;879;915;1089;1266;1143;937;677;554;333;258;127;
MQ_06160_FV2_R (MQ1009);12;11;6;1;12;51;139;201;214;196;190;176;157;169;180;213;216;222;154;131;85;71;52;27;
MQ_02020_FV4_L (MQ101);12;15;9;11;12;41;115;212;228;237;229;229;237;238;248;271;310;328;254;190;138;95;67;34;
MQ_03030_FV1_G (MQ1010);40;20;13;14;24;93;371;655;609;456;479;465;552;545;617;692;796;663;475;349;241;198;139;88;
LSA 8020 Schleifen (MQ1013);5757;5308;4193;3225;2460;2172;1361;
LSA 8031 Schleifen (MQ1015);1416;1342;897;811;612;549;275;
LSA 8040 Schleifen (MQ1016);460;270;273;247;555;2065;5894;8251;7761;6496;6039;6323;6569;6324;6637;7448;8574;7910;6249;4218;2722;1869;1262;850;
LSA 8032 Schleifen (MQ1017);2067;1833;1954;1920;2093;2048;2101;2419;2555;2081;1726;1209;1053;794;658;340;
LSA 8041 Schleifen (MQ1018);153;86;78;54;144;442;1058;1353;1395;1445;1534;1607;1617;1656;1604;1798;1894;1604;1481;1179;834;600;453;267;
LSA 8054 Schleifen (MQ1019);132;75;51;49;107;465;1381;2140;2017;1747;1702;1840;1807;1830;1851;2161;2560;2281;1794;1089;832;526;388;229;
MQ_02020_FV3_L (MQ102);3;1;0;2;6;7;20;33;35;39;36;38;31;48;42;45;48;50;57;52;24;15;8;11;
LSA 8140 Schleifen (MQ1020);75;52;27;34;69;286;741;1010;983;973;942;934;1011;969;1001;1081;1265;1242;1146;899;534;357;270;155;
MQ_01210_FV32_L (MQ1021);1;3;5;5;4;13;107;138;108;44;27;36;59;42;26;26;50;38;38;27;18;15;9;4;
MQ_01081_FV3_G (MQ1022);53;25;12;7;13;47;145;223;231;207;226;234;283;270;267;300;331;306;287;216;161;139;100;68;
MQ_03030_FV1_L (MQ1023);1;0;0;1;1;3;12;6;15;12;13;27;12;17;18;13;13;18;10;14;12;7;4;1;
MQ_01200_FV1_G (MQ1024);80;60;32;21;30;136;397;658;600;582;718;712;845;910;978;1216;1487;1165;894;605;420;369;269;153;
MQ_01200_FV1_L (MQ1029);6;1;3;3;1;2;11;60;63;40;33;36;35;39;35;49;50;50;49;34;16;12;16;7;
MQ_01070_FV2_L (MQ1030);;;;;;;;;;;;;;;;;;;;;;;;;
Test (MQ1032);53;40;28;15;30;67;187;345;382;397;411;437;392;409;401;480;472;491;418;334;225;196;130;95;
MQ_09040_FV1_G (MQ1033);33;18;10;5;10;40;72;116;113;165;185;194;180;193;197;234;250;258;228;181;143;102;92;46;
MQ_09040_FV3_G (MQ1034);19;11;4;9;15;58;146;199;225;235;247;226;206;191;207;199;195;208;198;167;119;108;67;36;
MQ_09050_FV1_G (MQ1035);40;26;14;10;14;74;162;215;235;250;299;284;284;318;313;385;404;411;367;293;216;160;138;82;
MQ_09050_FV3_G (MQ1036);30;13;10;8;36;90;263;315;310;283;286;292;247;263;288;272;266;297;287;240;176;180;93;51;
MQ_09060_FV11_G (MQ1037);12;4;1;1;1;7;3;4;19;32;20;18;14;14;21;20;17;12;19;16;9;15;7;10;
MQ_09060_FV11L (MQ1038);36;27;15;9;16;82;178;255;246;241;277;289;263;299;320;372;377;415;357;290;222;156;142;75;
MQ_09060_FV2_L (MQ1039);14;5;3;4;7;10;52;89;83;56;85;71;81;75;118;125;140;136;126;69;67;45;20;16;
MQ_03023_FV1_G (MQ104);29;21;12;11;15;63;256;475;409;341;375;334;389;397;456;537;699;518;364;289;199;160;111;59;
MQ_09060_FV2_R (MQ1040);3;1;1;1;2;2;11;18;17;12;18;14;17;15;24;26;29;28;26;14;14;10;4;3;
MQ_09060_FV3_G (MQ1041);5;2;1;0;2;10;27;11;5;0;1;0;1;0;1;7;8;4;5;2;4;6;3;6;
MQ_09060_FV3_R (MQ1042);89;37;25;19;54;206;584;738;732;635;697;691;649;685;790;837;894;884;820;614;468;373;274;129;
MQ_03250_FV1_R (MQ1043);4;2;1;1;1;5;10;15;15;17;19;23;18;23;24;27;27;31;27;21;16;12;10;5;
MQ_03250_FV1_G (MQ1044);20;12;5;3;6;26;56;86;83;95;108;128;105;133;133;155;155;177;150;120;89;65;55;29;
MQ_03250_FV1_L (MQ1045);9;4;3;2;4;12;22;34;58;59;75;60;78;61;53;65;66;66;58;51;29;25;29;9;
MQ_03250_FV2_R (MQ1046);3;2;2;2;3;13;32;42;49;49;47;45;47;47;50;50;53;55;43;38;24;19;13;8;
MQ_03250_FV2_G (MQ1047);22;14;15;13;21;92;230;310;359;357;343;328;347;347;365;367;392;400;312;279;177;141;97;56;
MQ_03250_FV2_L (MQ1048);13;5;9;4;6;34;71;83;103;123;121;110;126;118;114;151;151;173;116;95;68;52;47;33;
MQ_03250_FV3_R (MQ1049);8;3;3;2;7;17;52;67;68;59;61;58;51;56;58;52;52;57;56;48;32;30;16;8;
MQ_03250_FV3_G (MQ105);24;10;8;5;20;50;155;200;204;178;182;173;152;168;173;157;157;170;169;143;97;91;49;24;
MQ_03250_FV3_L (MQ1050);6;3;2;3;5;16;46;66;69;61;71;61;47;60;73;72;64;73;66;57;45;52;29;20;
MQ_03250_FV4_R (MQ1051);11;5;4;4;2;12;36;61;59;68;69;71;75;71;77;83;85;95;85;62;51;33;30;19;
MQ_03250_FV4_G (MQ1052);45;21;16;16;10;48;142;244;235;273;275;283;299;285;307;332;338;378;339;250;205;133;122;74;
MQ_03250_FV4_L (MQ1053);5;1;2;4;1;2;5;11;15;17;23;17;21;28;24;20;22;27;23;18;19;20;9;8;
