Name  /  Date: 2015_09_09;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03290_FV12_GR (MQ0);43;31;14;12;29;89;271;363;365;356;389;371;341;338;391;360;340;357;424;315;257;170;147;66;
MQ_03020_FV4_L (MQ1);12;7;5;5;11;44;140;321;334;234;182;197;211;201;225;264;349;306;252;157;96;83;55;28;
MQ_03290_FV3_GR (MQ10);41;20;12;14;20;80;149;247;211;187;197;215;213;225;235;246;246;247;196;193;185;162;120;71;
MQ_03020_FV2_L (MQ100);4;2;0;0;0;4;14;27;31;13;17;24;23;25;23;37;41;27;25;22;19;16;17;8;
Alle Motion Det Albersloherweg (MQ1000);2738;1780;1189;1128;2984;9683;28672;49947;45608;37186;36214;37824;39580;38989;41258;47043;50633;51062;42215;30816;21940;15538;11745;6571;
MQ_03181_FV3_R (MQ1001);0;0;0;0;0;0;1;2;2;1;2;2;2;2;2;2;3;2;2;2;1;1;1;0;
MQ_06170_FV4_L (MQ1002);0;0;0;0;0;2;1;10;6;9;13;12;16;11;6;17;11;17;12;12;5;7;1;1;
MQ_08050_FV3_L (MQ1003);2;6;2;1;8;30;42;39;71;98;100;125;123;104;105;127;113;125;121;59;41;3;5;7;
MQ_06161_FV3_L (MQ1004);10;6;2;10;10;8;64;184;202;118;96;72;80;94;94;78;114;110;140;94;42;28;34;6;
MQ_06170_FV6_L (MQ1005);2;0;1;0;1;8;30;63;47;29;29;30;30;30;40;43;46;43;40;38;14;12;9;6;
MQ_08110_FV1_LO (MQ1006);0;0;0;0;0;1;4;10;11;14;14;16;17;15;18;18;23;24;14;14;10;6;4;1;
MQ_08110_FV3_RO (MQ1007);0;0;0;1;2;2;7;14;21;22;21;26;25;20;23;23;23;27;26;17;11;5;2;1;
MQ_06160_FV2_R (MQ1009);11;13;12;12;16;51;132;272;250;191;171;180;155;173;174;190;213;206;161;141;104;70;55;19;
MQ_03030_FV1_G (MQ1010);33;18;13;16;20;113;434;938;811;577;521;611;634;688;797;894;942;786;633;486;306;257;157;55;
LSA 3290 Schleifen (MQ1012);610;422;263;235;508;1375;3807;6397;6319;5920;6128;6048;6124;6072;6400;6585;6607;6595;6340;5129;4268;3191;2634;1425;
LSA 8020 Schleifen (MQ1013);578;426;231;203;418;1418;3876;6376;6353;5514;5559;5618;5879;5849;6191;6527;6842;6618;6072;4569;3818;2930;2543;1303;
LSA 8030 Schleifen (MQ1014);246;194;96;67;160;519;1464;2688;2603;2208;2157;2182;2287;2320;2533;2628;2794;3007;2512;1956;1594;1198;1052;527;
LSA 8031 Schleifen (MQ1015);149;93;58;54;121;378;1301;2218;2273;2117;1939;2219;2208;1866;2015;2244;2356;2208;1807;1380;1062;821;761;313;
LSA 8040 Schleifen (MQ1016);397;254;238;223;604;1967;5719;10222;8910;6808;6158;6572;7012;6765;7542;8724;9436;9306;6981;4637;3140;2081;1542;815;
LSA 8032 Schleifen (MQ1017);210;148;85;66;170;569;1594;2668;2578;2283;2220;2420;2489;2488;2655;2784;3006;2755;2354;1791;1463;1033;934;486;
