Name  /  Date: 2015_03_16;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03290_FV12_GR (MQ0);18;23;11;15;17;112;291;362;378;366;414;342;353;400;381;393;356;365;402;345;227;141;142;49;
MQ_03020_FV4_L (MQ1);3;6;10;5;9;45;131;327;329;226;186;207;216;237;214;263;364;350;252;169;96;68;41;23;
MQ_03290_FV3_GR (MQ10);28;22;11;6;13;91;165;260;251;203;218;217;196;228;228;234;239;232;214;181;134;115;95;37;
MQ_03020_FV2_L (MQ100);2;5;1;0;0;2;12;50;22;22;31;24;37;35;24;37;50;45;26;29;21;18;5;7;
Alle Motion Det Albersloherweg (MQ1000);2378;1516;1119;1020;3179;10792;31155;53499;48601;38396;38187;38468;39356;40833;42754;48696;55599;54758;44345;30170;20639;13508;10216;4319;
MQ_03181_FV3_R (MQ1001);0;0;0;0;0;0;1;2;2;1;2;2;2;2;2;2;3;3;2;1;1;1;0;0;
MQ_06170_FV4_L (MQ1002);0;0;0;0;1;1;5;8;12;10;15;11;17;11;14;14;13;14;12;8;3;2;4;1;
MQ_08050_FV3_L (MQ1003);2;3;2;0;10;29;49;28;95;98;96;127;125;120;116;110;109;145;116;47;30;4;0;3;
MQ_06161_FV3_L (MQ1004);6;4;4;4;8;48;147;283;322;236;200;216;165;198;203;218;236;286;245;181;80;57;58;19;
MQ_06170_FV6_L (MQ1005);1;1;1;0;2;6;28;63;47;30;26;26;26;37;34;46;53;46;47;26;21;16;5;5;
MQ_08110_FV1_LO (MQ1006);1;1;0;0;0;1;4;10;12;12;17;15;16;14;15;20;21;29;20;12;7;3;4;1;
MQ_08110_FV3_RO (MQ1007);0;1;0;0;0;3;6;33;22;27;23;28;26;20;22;28;30;32;23;16;11;5;2;1;
MQ_06160_FV2_R (MQ1009);8;4;8;5;11;53;120;303;246;250;190;188;178;178;188;189;229;234;206;142;88;57;40;24;
MQ_02020_FV4_L (MQ101);16;7;10;3;8;50;133;289;366;301;259;285;322;349;344;435;499;434;388;250;143;124;61;23;
MQ_03030_FV1_G (MQ1010);19;10;13;12;19;103;455;968;835;571;538;589;616;674;680;886;970;858;662;469;256;228;133;44;
LSA 3290 Schleifen (MQ1012);487;329;172;187;364;1540;4187;6518;6760;6284;6461;6103;6080;6250;6492;6751;6720;6711;6561;5443;3604;2703;2160;845;
LSA 8020 Schleifen (MQ1013);437;322;184;191;433;1579;4123;6499;6218;5693;5988;5468;5733;6377;6234;7046;6998;6962;6205;4862;3343;2426;2035;807;
LSA 8030 Schleifen (MQ1014);158;160;78;54;146;607;1651;2766;2704;2283;2253;2093;2190;2397;2531;2735;3039;2989;2562;1973;1364;934;984;346;
LSA 8031 Schleifen (MQ1015);133;80;64;53;106;495;1502;2531;2586;2310;2254;1984;2083;2174;2295;2468;2763;2556;2004;1406;927;607;528;203;
LSA 8040 Schleifen (MQ1016);301;212;220;211;597;2176;6081;10474;9519;7113;6806;6856;7235;7368;7727;8752;10413;9921;7229;4722;2892;1842;1300;565;
LSA 8032 Schleifen (MQ1017);201;130;70;64;175;639;1838;2995;2835;2418;2644;2410;2574;2764;2748;2985;3239;3073;2505;1829;1283;865;731;301;
LSA 8041 Schleifen (MQ1018);110;74;41;51;156;473;1231;1840;1847;1774;1862;1843;1847;1886;1972;1995;2074;2074;1789;1370;863;573;397;156;
LSA 8054 Schleifen (MQ1019);92;61;46;48;121;465;1443;2742;2336;1726;1667;1776;1852;1844;1942;2282;2742;2754;2034;1229;933;566;408;170;
MQ_02020_FV3_L (MQ102);6;1;0;1;3;7;24;63;53;55;46;55;55;45;61;59;53;64;58;35;31;9;9;3;
